cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
45074386,32163464,77230365,46574459,28015396,144535859,52434743,59781577,6818288,8100798,59711469,193712962,263955
98800,47542,142713,80927,55754,300055,0,0,0,19785,116933,291604,226
1747520,241606,2528613,1890510,374201,2768057,792936,0,0,156256,1701714,3024988,724
41016175,84716746,59408144,47331438,7134475,64032924,14413604,17284180,11441535,12494113,38055336,64396201,52517
37384789,31031202,51550668,35772649,10311212,76626902,16181865,17243302,2364535,3044843,20911337,61714419,107902
22966858,2625357,33624820,25315352,6172770,49061069,11763800,13286638,555599,1031977,18725509,36849926,20388
22715469,2439908,33046374,25074648,5809029,46920057,11036364,12412122,459386,902835,18145730,35374508,16727
22907363,2285999,32880266,24914095,5596258,45953563,10845328,12432782,398910,824316,18131150,36095003,15976
23179098,2140566,33534422,25231213,5965756,46823533,11093146,12242655,302784,746579,18074554,36825852,17769
22780660,2094034,33191136,25101958,5824451,46545494,11054684,12444369,287600,721235,17606955,34820116,17548
22642072,2053967,32997353,24865970,5882962,45379652,11191147,12609765,301495,709972,18051588,35884867,15809
22867335,1979932,32893122,24839871,5643295,45626140,10968609,12552462,266811,685565,17934266,36373934,18987
23034072,2023722,33273134,25054214,5885711,45135482,10982838,12182179,262746,680834,17986521,36667773,17512
22855483,1883626,33078442,24939696,5886551,45388267,11169421,12565159,192563,613124,17409526,35859002,17083
22638247,1865515,32906834,24887592,6004144,45927766,11393790,12793617,195982,606972,17946652,35885923,17124
22919939,1916525,33062066,24815445,5673816,45130408,10975605,12591001,198724,609611,17935319,36601402,17562
22957638,1934688,33157162,24990623,5896870,45159182,10994650,12180223,231023,633517,17978071,36360872,16965
22885928,1917049,33088158,24889784,5898913,45526796,11190226,12597677,200396,622093,17474734,35869784,17713
22664486,1873070,33010551,24957111,5905866,44973379,11233702,12647554,192757,610603,17654803,35354221,17451
23076270,1962072,33357167,25000578,5924690,44802537,11477478,12879915,184067,595405,18318360,38020435,18038
23105975,1847736,33346927,25017630,6009511,45074201,11002982,12205336,178153,585166,18043417,37387124,19162
22872158,1831942,33102414,24914867,5934155,44790241,11291572,12700642,176850,584807,17357367,35387838,17090
22734546,1965096,33124468,25049717,5935989,45240902,11273589,12680863,206792,630274,17697557,35442544,18180
22704429,1772706,32808201,24657888,5799148,44513199,11233007,12651845,149008,562185,17804067,36776666,17608
23021240,1764262,33315981,24939547,5926901,44619301,11043816,12446952,149747,549775,17995111,37279489,17799
23017461,1775165,33239441,25028165,5944626,45102502,11266955,12685031,152763,552916,17387849,35356748,18717
22539933,1754631,32812893,24778247,5922181,44745879,11269133,12668408,125746,545691,17804118,35384274,16658
22790253,1755557,32741018,24729490,5809929,45082331,11265090,12661383,143759,541626,17800822,36786830,16895
