cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
42020757,29856739,65182373,41373233,31662793,150944338,50828969,55634547,5093948,6766869,61855895,210385249,327041
100080,44189,144949,79571,57579,331167,109075,113552,0,0,0,307895,281
1678720,176889,2429177,1789553,380565,2783456,818076,958181,90680,0,0,3198221,767
40898963,91833210,59236677,47188923,6517759,65208635,14488143,17376730,10773273,11024898,37249662,64248847,56589
36727781,29630172,50348495,34972817,10210180,73035357,11752356,12967878,2576371,3757543,26798795,78092684,132745
23184793,2344857,33756233,25391771,6203748,52611904,11913049,13114631,377691,730015,18377078,36197703,22741
22573842,1662512,32896363,24483874,5908449,48306653,11224918,12647636,98689,429003,17556997,35331083,11718
22516746,1589960,32324565,24227365,5793958,48289024,11219928,12606378,96932,411272,17704984,35853094,12146
22740113,1624239,32882900,24206114,5941173,47949573,11094877,12511886,103384,415638,17871398,37462212,13101
22791906,1592185,32981355,24523362,5893671,49528185,11206929,12622874,101684,415071,17299508,35981708,16743
22567701,1596274,32865694,24413233,5935049,48686335,11299559,12712414,84451,400177,17272006,35329298,13320
22336473,1547425,32559318,24249307,5914988,48010134,11218383,12636490,96392,409777,17659462,36021669,11845
22714035,1611478,32624052,24317803,5708365,47938022,11115788,12751124,96073,418446,17745063,36841707,12748
22651202,1560971,32789229,24306267,5929273,47780775,11066501,12273875,82791,391127,17719353,36755993,12782
22539243,1505027,32752294,24260174,6011663,48015592,11409181,12858376,82569,379602,17230899,36006867,12298
22425314,1516183,32422430,24248476,5931924,47843260,11274070,12696284,77625,383319,17752073,36118979,11741
22689303,1539168,32789847,24357539,5743894,47566305,11122536,12736865,85366,398027,17779516,36918868,12763
22829783,1543811,32994913,24574992,5898645,49383025,11041502,12235987,71178,381130,17785425,36603342,16824
22645296,1523623,32694141,24234453,5943336,47990295,11324392,12742984,73967,373311,17300318,36120661,12272
22656510,1672435,33013782,24535278,6183284,48458986,11504415,12940728,142509,453578,18111763,37150883,12731
22826330,1503110,32766024,24240467,5719030,47844460,11305916,12939599,83921,378744,17954876,37528448,13257
22774710,1512603,33008132,24503153,5983585,48101632,10954200,12381599,80023,383863,17769693,36909282,12869
22681244,1503689,32725194,24280698,5930934,48080433,11289983,12724055,72650,367773,17363228,36312701,12841
22676134,1598235,33047890,24633704,5926433,49710682,11283027,12703227,109293,419446,17604487,35463808,15388
22756806,1569402,32699640,24375565,5837654,48219328,11479399,12898141,128287,418551,18026182,36950984,13108
22834150,1534659,32998634,24466617,5985042,48056507,10987194,12419344,91683,388950,17862298,37042615,12690
22787404,1509983,32932205,24420201,5969165,48382912,11367002,12774864,70364,364690,17351600,36384774,12744
22358958,1460168,32772996,24256434,5946869,48007295,11346491,12773761,59616,357055,17501649,35621810,12052
22768211,1507798,32701281,24493964,5827794,49792073,11297351,12728018,65473,389283,17812219,36834553,16411
22775865,1515573,32862248,24266965,5847156,47673899,10990198,12535264,84266,388451,17723856,36922471,12939
22928594,1535774,33092336,24516445,6052838,48354884,11332248,12787949,73945,381942,17582967,36943959,13356
22507953,1553733,32945146,24437447,5977625,48249726,11361030,12756743,108010,411251,17614035,35710735,12072
22643020,1606659,32523162,24243229,5829752,47944729,11261738,12682231,108901,411158,17742058,36864997,12476
22642613,1476772,32785810,24322883,5839732,47535130,10907005,12487078,74211,371398,17761114,36983318,12839
22998935,1540182,33160640,24677065,5958966,50338488,11338582,12548914,103599,405246,17671148,36970126,17125
22480596,1500598,32925194,24346776,6056682,48480886,11509644,12959086,80864,384048,17585721,35493239,12251
22778971,1643481,32693503,24258006,5840937,48267378,11520867,12944524,145236,450929,18103689,37564384,13027
17246210,1351525,26193188,18513014,5116145,67438422,9160059,10181941,75966,323266,12804541,30079605,71023
1060868,685539,1413108,767287,335252,2723119,736750,549910,120994,190604,909424,2896935,6238
617939,603604,1168972,908955,353805,3561574,682608,709701,235793,258006,475702,591201,2124
574603,357753,794977,514913,323338,2430856,819313,846568,129355,159674,1136622,2199346,3002
8646233,1673422,12207278,7313763,3699145,30411688,4107075,4876739,324259,635600,6922370,18937610,41082
11779238,14326658,17695245,12263051,3223461,35693835,4744238,5434157,1874600,1820618,9490835,20044585,22472
10829929,9541172,15525791,10717199,3218603,33423034,4604579,5633757,1141613,1404137,8517433,18703931,17920
10965495,12867409,15902101,12045269,3120355,32747478,4494624,5452838,1909426,1866987,9278496,19239590,18302
10359387,9486532,15655884,10212581,2915130,31512190,4469800,5440899,1063760,1282147,8714603,19088639,16448
11689456,13483586,16535219,11604070,3261250,33217422,4502783,5371354,1606827,1834823,9353605,20334064,18091
10282518,13362922,15519809,11293088,3000278,30661217,4642021,5718770,1620805,1321473,8104166,17986542,15765
11345931,8834642,16506490,11055913,3227601,33890550,4761687,5587208,1063387,1791193,9562903,19948193,17264
10888352,12895741,15681948,11101735,2860791,30876551,4283030,5714663,2153417,1912090,8778849,18834651,16864
4702614,4420217,7416573,5143399,1683971,15575855,1855623,2188523,484812,630374,4180076,10635618,9310
775414,346287,1409807,1108474,582290,5429820,1111259,1184449,103383,112393,716638,1773416,3242
25254306,6039020,47891540,27060721,17888610,102741782,28552563,29844394,1247972,1951033,23897684,52028076,118097
24091189,1483333,35621245,23155623,7245968,127689987,13430826,14453973,120108,472874,17743730,46093411,187010
26715985,1820877,39096856,24112843,9475031,120396987,18224760,19884699,215466,694277,24274907,60033439,196359
20992808,2571335,29977803,16605579,9983399,67977948,18369370,18608963,423386,878419,22706994,58969108,79854
13985539,18676870,22095067,16030760,5680206,49918168,8187444,9557108,1967006,2904372,14800582,28134033,36986
12814832,4115359,18917607,10333446,6646715,31844835,10707504,11349426,668013,942334,13974265,36975634,27559
29125940,18584142,42267662,28886355,8205705,134204176,16226336,17079617,3835602,4811691,25536175,50082215,207303
27799414,15238415,40035864,27018653,7801902,129215871,15683658,16787050,3074516,3959378,24470987,50721273,208046
14532957,1501277,21002533,13614437,3610868,76410432,7256981,8197237,94683,550320,10948104,26886338,106937
14616971,1409098,21112070,13667078,3964456,76553560,7481107,8004065,61689,520574,10875299,26859145,103149
14364239,1441388,20741996,13455554,3822462,76030966,7435960,8170894,20801,477510,10296808,26156695,101927
14117999,1400304,20646041,13570568,3820927,76413978,7430829,8169124,16478,475754,10502513,25411435,106797
14464739,1393097,20906539,13519376,3825366,76562910,7622801,8130461,25182,484851,10966340,27449741,108528
14499062,1401886,20913017,13628093,3704727,76395521,7014033,7946966,19885,488601,10772022,26893414,107797
14417449,1383429,20822335,13557138,3829920,76547398,7436883,7943707,21535,477719,10478132,26659638,107153
14336886,1411984,20956884,13729417,3942165,76993414,7620165,8350059,30909,497997,10534981,25383095,107813
14385014,1385767,20782493,13518278,3714532,76785793,7452677,8179683,38428,501572,10794870,26844790,110063
14736670,1411428,21275457,13662582,3704406,77007781,7411683,8118714,36810,508768,11001617,27367354,114520
14666960,1619623,21201412,13881570,3814245,77188441,7216759,7940811,132576,598550,10718679,26837080,113432
14348983,1500441,20961497,13676876,3824676,76609573,7435178,8167569,94287,555475,10384975,25393898,107446
14323912,1633900,20745440,13740338,3798897,76560490,7558470,8285068,156511,615960,11136280,25850138,108362
14457272,1413419,20887486,13555715,3677171,76308755,7172605,7893958,46041,495562,10794626,26608336,112068
14484449,1579436,20955924,13686789,3817179,76635044,7204750,7916426,115981,561606,10595529,26593362,108309
14534471,1415188,21202239,13696982,3804133,77093973,7588318,8334877,22118,485094,10559711,26034659,111428
15504090,3801794,23399240,15813427,4366796,84130283,8571747,9367602,782538,1076092,11529720,26598061,113894
14797315,1621134,21117318,13775723,3722009,76724686,7250611,8176097,144599,588046,11200954,27577951,108985
14486467,1373022,20925727,13598435,3822730,76714775,7262860,7989074,35469,475197,10594465,26909345,106778
14441936,1563239,21078246,13771613,3839444,76629293,7453916,8189417,144170,582800,10502293,25487227,107187
14289697,1491050,20919554,13673462,3840783,76960707,7438654,8170081,86658,542680,10888440,26222389,109789
14642298,1543090,20942779,13751882,3596209,77136776,7236047,8181326,80534,530829,10930888,26822516,114399
14691110,1444495,21220640,13861903,3831803,77295275,7236126,7746733,58567,504819,10866427,26764495,115932
