cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
45356776,32650900,77440395,46798549,28039070,144895291,52393644,59755160,6904109,8232561,60007592,194669145,267120
106160,58549,153432,89687,56545,320274,0,0,0,24809,123411,297418,253
1699760,215344,2459415,1820488,375873,2822991,793985,0,0,91050,1625317,3040757,734
41341570,87123981,59875984,47839453,7127141,64099877,14427816,17324861,11466609,12418352,37987136,64507726,52824
33785070,29512403,46931663,32592171,9732561,69523793,14758629,14837430,2369740,2951271,19981868,55213779,92694
23681166,3228345,34294463,25840842,6263243,52582382,11846167,13347880,610270,1023312,18748487,38098569,30042
22744820,2247509,33081356,25171628,5794760,47211749,11028176,12427575,381078,804060,18135491,34699472,16824
23042436,2081705,33090598,24980029,5655466,46032116,11170106,12564951,303817,698592,18015616,36441634,18108
23022553,2157118,33183841,24999848,5873151,45446476,10758294,12158630,290937,702510,18057646,36673503,17492
22874105,2070649,33119035,24948579,5891940,45954603,11167129,12582930,264864,668064,17506321,35712452,17085
22738404,2105552,33335861,25211858,6009077,46313381,11377304,12771549,313109,699421,18072535,35162970,17156
23048244,2111061,33055086,24921891,5663964,46169002,11186713,12596867,315624,724824,18119782,36586459,18293
23049625,1958401,33258050,25069160,5900911,45760549,10760847,12168305,214484,633114,17939126,36584720,18140
23103290,2125647,33379164,25210558,5906675,45913443,11206513,12605966,290381,682272,17587942,35952865,18335
22630292,1902930,33104893,24862682,5922177,45500004,11254536,12669416,208389,590482,17715845,35381789,17316
22967657,1869794,32983607,24865111,5830846,45597843,11296477,12903883,193420,577833,18149418,37533597,18225
23023035,2063547,33261258,25066325,5916105,45267053,10835810,12227296,265458,674276,18044601,36819243,18232
22972395,1972111,33200167,24980587,5935165,45477041,11263640,12678405,238112,627776,17503419,35997395,18631
22743235,1839279,33234393,24940936,5948636,45743104,11275410,12682102,170194,543527,17706213,35513885,17876
22973288,1951203,33030511,24912642,5912787,45684882,11237314,12655148,179654,609420,18215367,37451120,18250
23252878,1823250,33582668,25104573,6032943,45496820,11037406,12452854,160746,541432,18327829,37881615,19155
23105642,1898832,33337430,25034855,5936132,45673651,11256392,12641884,148100,536580,17505958,36318157,18930
22683230,1842487,33132737,24933950,5913823,45801244,11236586,12647210,161692,544796,17736391,35406480,17585
22779265,1800416,32740041,24750556,5819060,45328923,11238692,12631506,145934,534325,17837452,36746960,17907
22971440,1816704,33144418,24929399,5830822,44844975,10887933,12496441,151479,543547,17908317,36926074,18913
22948873,1868704,33180447,24849754,5956405,45094585,11321654,12508022,172682,566563,17644005,36930282,19318
22827007,1805274,33175851,24961046,6081497,45401254,11511531,12927088,155871,544872,17683710,35621272,18667
22724950,1775785,32871059,24717842,5819419,44884139,11305304,12715156,140333,523443,17825306,36745902,18689
22978131,1767154,33185031,24886190,5833008,45060796,10903977,12520074,124452,524929,17851988,36844626,19981
23045173,1782626,33253142,24972668,5925707,45354934,11251051,12486810,142112,528052,17661683,37014616,19637
22783680,1760338,33103134,24893555,5946333,45448777,11275626,12690785,132198,511771,17388579,35473210,18171
22800549,1786533,32913687,24759878,5943976,45274752,11509313,12911264,157904,548200,18017817,36852393,18943
22919834,1746736,33068285,24804869,5821294,44879353,10868206,12495116,124276,506849,17807243,36915419,18662
22988730,1740670,33262063,25001635,5961528,45287506,11332560,12510868,129016,511734,17676067,36169996,19228
22905663,1771151,33295707,25023799,5953014,45341990,11259692,12695026,145865,526025,17635670,35735643,18738
22672987,1727394,32861296,24946773,5951697,45508033,11329330,12744445,126749,514727,17949906,36262814,18222
23391169,1831297,33775815,25195628,5938511,44869894,11093105,12741727,166783,557706,18318132,38211213,20089
23866911,1717705,33358434,22851065,5774474,66853436,10812950,12162933,172023,513335,17152342,41327493,101169
610224,232351,1221498,760570,382250,3237780,782575,812239,140426,167377,797930,876582,3729
754724,594767,724627,710421,227338,3490550,662469,677356,188634,172648,859148,1339420,4014
721580,284657,971103,431075,195660,1348454,398927,419480,71152,94025,804415,2173252,3614
5667903,1297089,8503107,5365297,2686552,22391578,2788235,3125792,145165,371934,4629480,12936209,23899
12260296,7979403,17439694,11860778,3974050,37392164,5673764,6391294,1205525,2036344,10042570,22380006,28479
10577635,12611247,15966941,11442207,3148245,29555395,4731694,5837448,1651300,1428084,9454393,19291112,15989
10687780,9682855,15119382,10516090,2939095,28731638,4312548,5534217,1568641,1835213,9051063,20721874,17915
11515969,13640872,16862488,11458583,3144059,29615989,4456262,5147481,1612716,1571398,9468456,19785726,17081
10688643,13084640,15419856,11021952,3142170,28516728,4586460,5698957,1607165,1855196,8377146,19052683,16781
11442233,5877631,16518234,11388816,3405889,31677762,4943702,5749748,1122987,1889899,9982033,20398659,18553
10749332,12938569,16028262,11895081,2969804,30161573,4505826,5887609,1671512,1951586,8919934,19496516,18915
11185253,8618805,15406990,10496044,3128932,28183152,4244405,4919070,1099530,1822541,8948707,20116686,19721
6365509,4973229,9299869,6555245,1884835,17382546,2691151,2934063,1015930,673652,4988009,10982193,13353
559300,229871,1050093,628147,345015,2595254,671021,696251,70964,97984,540283,700048,2327
26834591,5985219,45215211,24820441,16192827,98205446,26951449,28256949,1333763,1985570,22495157,58559539,117437
24389552,1761575,37131227,23382653,7820475,120869289,14337426,15573066,191665,538329,16996651,44382113,178343
26553289,1945248,38335100,23704664,9006436,121102848,17319169,18830923,283205,685586,22655959,56515840,193249
19575897,2691811,29862455,16903534,10095486,66295087,20076886,20794894,451918,925771,20567218,51975900,83286
16681307,7749676,22166506,13902517,4937829,46311463,10898175,12422355,2480143,2297150,15367268,34278738,47928
11033263,3566623,16931651,10109895,6535574,32225584,10710773,10965325,591471,871722,11624942,27071012,24487
28063155,17263892,40737259,28047435,7638811,127905460,15353000,17499026,3695791,4587168,25573215,51432673,184579
