cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
44908665,32380277,77022991,46336843,28145130,145001694,52508839,59756529,6639255,7919208,59439070,192782426,263620
106080,55650,153599,89006,57231,333359,0,0,0,22324,124011,306708,304
1708720,258347,2472241,1834520,378797,2765533,803502,0,0,135943,1633763,3056699,698
40926196,85856056,59272413,47242668,7139683,64720893,14426180,17325794,11220931,12142971,37722456,64916149,53524
37215470,29945538,51108539,35243326,10321473,77218428,15735526,15429799,2288524,2916801,23320261,62230225,108474
23026718,2608654,33543532,25203403,6220349,49246333,11842563,13364273,570916,979957,18562552,37769813,22492
22665301,2125719,32957107,24966729,5895455,46826699,11197631,12592817,330374,716381,17936433,35228894,19532
22832595,2043336,32859883,24952946,5781616,47069540,11217534,12625790,310308,672445,18109074,35873120,20149
23099332,1989729,33384826,24921821,5966593,45613402,11170741,12581047,239957,611373,18360636,37692252,19646
23019429,1982834,33233681,24986281,5927841,45784871,11252928,12685677,253457,606899,17709396,36255781,19263
22772186,1955336,33156729,24844910,5944061,46081182,11283018,12680647,241613,609144,17853549,35478309,20041
22598692,1878806,32584583,24689627,5827320,45502372,11243704,12650611,215656,575629,18020888,36044293,18082
22915911,2003657,33185626,24925753,5842092,45720948,11125399,12536728,269340,643118,18151053,36885390,21124
22895132,1860936,33094953,24821733,5946031,46142622,11083144,12466831,199623,566725,17773848,36720254,21818
22801708,1969800,33419176,25036393,6063737,46488657,11484699,12905288,239506,599646,17867439,35492850,21761
22768390,1844194,32795984,24738061,5845626,46155941,11338896,12760647,207926,577935,18098591,36952271,21489
22800737,1763556,33027739,24721305,5863390,45245495,11128517,12554523,152840,516117,17916357,36846778,20157
22867275,1707936,33012251,24763153,5958561,45891237,11129210,12555301,136534,497491,17777174,37109592,20771
22701161,1875944,33019304,24757432,5939878,45446424,11278756,12704087,204201,564889,17597297,35488702,20924
22917272,1872628,33168587,24880815,6061288,46536103,11468189,12852534,169121,585803,18419940,37544339,22935
22878332,1784058,33038859,24798959,5837620,45250053,10925545,12549787,172504,536991,17949617,36895489,21174
22750845,1736061,32800616,24583970,5940885,45585052,11291876,12513531,152486,506997,17691423,36781882,21116
22634422,1802475,32896858,24661251,5875296,45381414,11159841,12588418,171277,527197,17457729,35510457,20525
22599180,1795834,32875927,24747627,5942311,45923040,11310676,12742953,167180,534402,18064282,36221423,21277
23032320,1670719,33064130,24805030,5843455,45468184,11089776,12705362,145357,502120,18158637,37634502,21839
22970191,1719341,33182461,24876990,5979656,46173440,11363801,12595770,139156,501567,17791018,37090518,22199
22706535,1653803,33063534,24832822,5948675,46043400,11285089,12706633,130087,484532,17495170,35538899,21610
22596235,1649914,32669965,24675323,5952475,45886361,11295465,12695170,127402,483890,18003829,36335831,21571
22871593,1667436,32954546,24748670,5708595,45881469,11074990,12721392,122385,477288,17933396,36822519,22237
22984274,1659829,33153602,24883897,5948556,45535935,11104590,12314498,116206,476873,17920332,36939716,22071
23029856,1843036,33471736,25070157,6067039,46409408,11511792,12934113,208437,568508,17660593,36411538,21293
22704149,1666669,32872030,24842494,5969317,46052912,11359130,12781248,115759,493872,18090849,36476287,21385
22855041,1676921,32949433,24657250,5712421,45277579,11104396,12718417,125480,478115,17924917,36779307,22323
22895728,1649089,33096488,24785898,5955709,45855823,11117350,12308877,116135,474959,18009972,37040329,21555
22969353,1695265,33255010,24974715,5972668,46100910,11349388,12745188,127624,485045,17617984,35839247,22171
22576129,1702846,32843481,24809815,6053302,46110430,11496867,12902818,144252,495068,17838471,36088579,20989
23131298,1715043,33395086,24912704,5845980,45535681,11114595,12730384,154824,516317,18353171,37700735,23446
16614858,1256828,25029590,17381214,4823561,65980047,8955824,9308714,98845,328019,12418277,28416693,77645
1037286,479952,1148717,697680,338661,2850539,720072,747564,144800,156980,540526,1335068,5613
351504,573101,1284344,860846,350935,3579684,677903,704263,208171,235695,591375,560461,1947
756778,279876,730431,307682,203712,2305045,823193,839566,93451,116258,1053342,2879811,3597
8868463,1398813,12308209,7558907,3847600,34205120,4452879,5059170,272453,600357,7452312,20364576,38152
11452162,9526233,16081807,11740394,3185763,29807623,4763469,5873167,1649090,1876639,9573418,19906421,16703
10985558,14098787,16113249,11068483,3253550,29822198,4547701,5524786,1595643,2069191,9267391,19546170,15973
10534352,12715230,15905850,11370312,3236437,30316530,4824988,5776272,1165486,1419381,8981588,20182533,16307
11194646,9765574,15975275,11271338,2856882,28516790,4172585,5478076,2082543,1861773,9673409,19586461,17736
11380974,13729747,16345593,11427248,3371234,29539770,4666366,5365720,1594863,2340452,9114218,20521664,17573
10741287,13061330,17014692,11919049,3344817,31673833,4959477,5972218,1178257,1448842,8398325,19194465,18327
10616732,13825890,15793444,11100714,3051851,29997794,4624687,5693136,1573984,1866771,9251994,19994538,18883
11374443,8670632,15634616,10787959,2982289,27588711,4267248,5374730,1572381,1409898,8865768,19387581,18282
3143853,513519,4417585,3149000,1125668,10085442,1502527,1408468,478108,580131,3114934,6720703,7347
7988995,1252366,15663937,9196925,5126052,38729397,8370215,9063779,292269,473043,8044157,14577165,56301
22703065,5496763,38811093,22541692,13897044,89125892,23117362,24185113,1126155,1624656,21194389,50947623,84082
26461795,929055,38181413,24156141,7357788,135673364,14254992,15648397,52406,276653,19131391,50706743,222856
25508901,2474691,37786547,22898017,10122737,103020366,18493499,19721089,353537,782506,23123007,56075781,152814
19079431,6039225,27123998,16059679,9098443,57830318,16615721,16893810,1027417,1407545,23492771,56254916,61703
12282687,15215591,20721747,13864187,4634794,39675438,7188875,8719351,2124267,1787742,11039975,21783112,34159
17976555,8111479,25149014,14545259,7304036,53902906,12324936,13528472,1486652,1948496,19792205,44576992,74910
30773363,21654510,44602549,30232742,8495541,136273733,17123321,18338159,4221975,5169338,27376021,53391781,214666
22908632,11573806,33207614,22408973,6429201,109438765,12564340,13550991,2103485,2774041,19756339,40999096,170288
14435707,1276892,20624634,13443893,3546691,76570214,7322505,8045784,18701,423764,10714137,26474432,116245
14634453,1329202,21146858,13795000,3906952,76763941,7138877,7838949,28599,438575,10695956,27035727,115722
14257044,1305322,20858383,13607940,3776153,76454228,7316343,8035823,14501,418117,10199060,25107202,114104
