cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
48697056,35076857,77165326,47147541,28313934,134354535,56770422,62077272,7331000,8025402,58251350,185366775,269104
91440,40725,132523,73395,53921,0,0,0,13157,16232,109280,281063,243
1707920,235851,2470916,1830464,380824,2707202,0,0,95267,98093,1619612,3059821,709
40781404,93319842,59051234,46619852,7569322,66715736,14654748,17552866,11702837,11986744,37446424,59815390,48899
37754402,30380502,51477175,35234510,10049468,76720176,14343392,14400835,2718020,3435061,26225650,72362791,131003
23180034,2632227,33780975,25733235,6213785,48599413,11920128,13351390,524469,938713,18272353,36090919,21631
22635455,2079380,32970629,25085657,5838014,45813523,11098417,12466946,317892,691885,17659045,34886119,16986
22971558,2051460,33199783,25097562,5725162,46591403,11080688,12473329,289905,684371,18013140,36373472,20505
23242386,2034733,33610978,25372361,5842114,46434884,10862095,12275666,286206,660339,18185291,36944815,20968
23058406,1981369,33302325,25182745,5837028,46551523,11067687,12455014,244361,619639,17497621,35620951,20478
22735872,1812782,33121436,25134872,5880410,46355707,11176501,12568871,183144,566381,17586013,35117279,19949
22947597,1776322,33173273,25055166,5769880,46499600,11205339,12605457,177069,541253,17855571,36474574,20369
22974085,1823273,33265167,25165312,5768591,46234551,10805905,12353554,173441,542416,17797722,36424837,22853
22986919,1774279,33227725,25101849,5881597,46150501,11178500,12358714,152131,507473,17522696,35764508,20614
22878343,1777350,33354000,25268506,5998505,46473984,11381365,12765526,145901,522629,17801514,35128557,19826
22930661,1771188,33052745,24961119,5727367,46044173,11150753,12550419,151553,529757,17808872,36504838,20570
22972139,1756230,33252140,25118581,5784733,45705981,10791528,12416491,160507,518109,17764051,36512795,21073
22957260,1813879,33269941,25092274,5898288,46000180,11197331,12382528,154060,526143,17554872,35864014,21869
22818505,1754499,33301310,25141465,5904521,46159269,11241022,12655874,163841,538641,17606278,35179154,21772
23081176,1823863,33170416,25009191,5886360,46062152,11386038,12764632,142658,563832,18171580,37260900,21878
23161850,1818905,33516271,25222051,5895973,45869574,10798270,12409825,198733,565618,18100842,37512001,22584
23075317,1694112,33360412,25128973,5893132,45928418,11209561,12544018,142169,507547,17499798,35929454,22247
22782019,1661157,33223205,25055493,5900186,45957123,11165944,12569719,126112,495755,17518663,35215320,20823
22881927,1710368,32977819,25084215,5794073,46224141,11234773,12642377,144073,512497,17792072,35990808,21741
23138763,1750635,33447578,25081088,5908407,45560327,11001054,12400203,127062,506767,17998338,37201809,21746
23184371,1777024,33511476,25331434,5918176,46206931,11253391,12672021,151469,520493,17472834,36085369,22788
22657722,1741287,33225332,25054176,5909960,45938391,11238483,12655341,140117,517410,17604153,35234626,20222
22548998,1680238,32735266,24858760,5866696,45881400,11133735,12514754,123947,500052,17601525,35727093,21302
22957087,1735573,33016439,24982473,5662585,45790301,10984070,12603464,145383,511308,17750547,36633980,21436
22955457,1749128,33239363,25074318,5884848,45673642,10982106,12183794,129139,500276,17719640,36501632,22186
23001476,1720613,33459001,25113151,6012625,46125315,11406082,12817153,124034,493137,17433710,36000720,21997
22757184,1572210,32926009,25048449,5897270,46015069,11217010,12630227,100134,478016,17831476,36032892,22933
23157147,1656761,33486215,25234483,5684914,45603030,11026523,12636497,103752,476368,17843508,36731149,23082
23053816,1640354,33411321,25146801,5894578,45826331,10992865,12205733,111898,480835,17788396,36695460,22857
23017886,1633641,33191155,25068817,5908320,45988038,11248884,12640059,116839,481898,17333711,35928085,21972
22582712,1618160,32950863,25033834,6020220,46004081,11373860,12771678,104569,471347,17713065,35824602,21375
23255287,1674515,33590397,25240640,5684711,45440664,11019016,12843043,129476,503964,18136800,37416165,23141
24568548,1529756,34789104,24740748,6271781,73034248,12105431,13310412,150994,579669,18806824,42873947,97950
1147386,398864,1523186,992766,444928,3927662,846243,882873,129523,144021,363646,1068248,5486
488090,541162,987257,839046,345516,3564113,680914,656897,144076,170226,986606,767781,2979
775113,296046,1005643,441774,168222,1848809,600889,836482,87002,109436,998031,2755664,3819
4256365,1053245,6637139,4364838,2149685,18926222,2467561,2511104,109670,295956,3699481,9313721,19114
12177021,9698815,17551772,12124102,4117237,38428966,5531918,6447641,1752171,2084237,9778153,22152404,31260
10352157,9598160,15054980,10808989,3116636,28492016,4630648,5630525,1607553,1402378,9155350,19072511,16171
