cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
48041214,34890218,77031050,47086445,28368103,134124868,56980195,61971828,7215412,7820552,58087563,185320195,265811
98480,50331,142360,80769,55319,0,0,0,17707,20140,115440,289062,216
1690880,226492,2446496,1810301,376149,2715261,0,0,82848,92560,1600862,3044965,690
40774059,99464176,58999173,46362476,8271869,67686830,14642849,17545865,11797246,12089057,37487417,57543032,44145
37338434,27263236,50283714,32767332,9662862,69157334,11557586,12689690,2918395,4156652,29207787,84819361,128340
23628255,2131613,34648165,26075173,6202196,50067170,11971649,13204270,511115,899947,18675038,36234553,24223
23115316,2008518,33571239,25429383,5861550,46532008,11134211,12515006,310477,679140,17954858,35167154,17185
22855550,1943421,33317210,25312584,5874894,46099908,11164877,12555982,287101,642636,18111434,35712673,16577
23296184,1874458,33420632,25256393,5765124,46095683,10970463,12573376,232083,588893,18282183,37267111,18314
23137261,1836696,33430939,25297626,5842136,46330573,11018985,12351829,202753,555171,17786422,36326695,17912
22951012,1750610,33410205,25209881,5905979,45776322,11248640,12649172,171005,522628,17548240,35280254,17717
22825989,1735649,33264318,25162511,5919167,45531339,11216659,12639441,170395,512336,18036100,36061131,17009
23160881,1747143,33204784,25160039,5694512,45595450,11076313,12705604,175338,535935,18075923,36778223,18690
23088806,1757118,33408920,25200425,5919775,45519422,11034402,12215235,159347,519944,17963157,36622168,18407
23053822,1723260,33504924,25213750,6007166,45912788,11401325,12816198,151663,503999,17523630,36129206,17725
22751861,1670928,32983105,25040765,5888953,45363191,11183156,12593881,155026,495919,17907305,35905101,17408
23152937,1736843,33332502,25206643,5694505,45546083,11057218,12686322,160475,503833,17976257,36791860,18189
23055044,1682429,33375022,25206753,5801641,45184510,10835772,12445041,142308,485859,17972259,36805727,18635
23118488,1862959,33488706,25268886,5923857,45486992,11268344,12466286,214862,563880,17813951,35949583,18572
23122647,1812512,33601469,25195598,6036055,45518487,11657518,13086600,187161,529672,18293455,36154355,18730
23060892,1663648,33170905,24997616,5814494,45342542,11466197,12890114,139515,494193,18182024,37360083,18164
23084032,1659415,33296123,25021620,5893317,45062494,10874588,12313881,131013,477935,17904486,36725315,18780
23056050,1597929,33358186,25124143,5911158,45395652,11215415,12428382,113830,443506,17609109,35956013,18380
22805501,1642758,33172942,24990207,5921369,45399890,11264336,12677617,140410,481878,17676474,35301634,17481
23114183,1653745,33116926,25042148,5821799,45507198,11459616,12855972,126410,476163,18154798,36818645,18604
23106519,1629634,33320946,25098538,5919589,45463890,10913701,12318966,134095,482315,17995448,36898595,18749
23103331,1636984,33368022,25190000,5950035,45537421,11294715,12700267,127587,461766,17592466,36244644,18602
22799750,1681406,33455665,25208598,5928198,45541029,11250978,12663753,134641,475523,17779046,35331673,18898
22823870,1665519,32870171,24967689,5803785,45226532,11257895,12653649,138323,477894,17952693,36023854,17898
23050010,1653952,33274395,24983688,5808548,44823323,11081482,12488047,122978,456857,17900713,36816460,18598
23130553,1657113,33434184,25117052,6029331,45496024,11244333,12644865,125998,465497,17675043,36796043,19422
22833279,1655557,33404386,25181874,5925492,45600246,11267596,12679673,123134,472646,17784487,35391928,18324
23006029,1555397,33060152,25113635,5837760,45328273,11308045,12713157,112448,456612,17991924,37007559,18291
23053627,1562094,33265880,25057615,5817029,44666790,10847941,12467194,98158,436797,18001232,36865755,19422
23060826,1566895,33370988,25170506,5956673,45500114,11125342,12517290,105881,445304,17707293,36857470,19119
22876718,1579480,33530123,25225611,6037307,45283851,11429114,12825523,103259,450146,17747321,35337366,19260
23068059,1580222,32959289,25001221,5819554,45655900,11502247,12919934,119332,464032,18197434,37379664,19851
