cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
44922199,32260541,76733744,46130398,28138928,145492451,52132975,59494686,6611102,7921512,59396642,192330316,265880
90800,34249,131526,70534,54717,312391,0,0,0,11458,105983,288998,249
1682880,202276,2434713,1797267,378068,2776915,799997,0,0,76155,1593988,3050512,810
40582513,84627219,58779178,46749273,7128574,64121151,14418268,17300568,11058999,11979931,37331378,64730949,51934
37407676,30551283,51685923,35570076,10657685,77136730,16144275,16645729,2230558,2879070,21390568,63472460,107363
23026481,2412945,33693691,25245344,6260861,48995224,11936582,13480074,496944,877335,18796412,37365802,21791
22632846,2096040,33007201,24946384,5899176,46552953,11191582,12580596,369255,711209,18199219,35840411,17166
23009322,2039030,33109500,24979864,5653017,46378888,11171033,12571351,319040,658779,18195286,36567886,18314
23185297,2084484,33453855,25071475,6033012,46008190,11043378,12456403,339230,677582,18182448,37356582,18415
22700418,1887069,33049802,24799501,5918666,45688271,11229474,12635592,227844,559641,17548689,35342119,17064
22602709,1813176,32923149,24809485,5927960,46048741,11282560,12696236,207289,541879,18058352,36215316,17177
22937078,1854388,32988419,24847908,5704667,45771437,11070433,12695362,209969,559118,17965400,36735707,18784
22984114,1837037,33215237,24897240,5930259,45773476,11078086,12306518,190841,536495,18039814,37120865,18504
22817210,1829490,33028010,24784209,5927502,45842432,11252752,12656016,182921,524727,17528809,36086254,18525
22514898,1742613,33007855,24702051,6053787,46049382,11458235,12851108,172546,509168,17853036,36144757,18511
22873357,1750422,32840603,24687617,5716744,45617280,11078362,12712457,164494,521402,18021716,36988754,19927
22851340,1775490,32996110,24685360,5949433,45551932,11137570,12351119,184910,530170,17941219,36871133,18600
22789977,1739256,32962061,24663165,5932370,45341213,11247903,12659220,152939,493218,17476520,36126717,18256
22540123,1690662,32808760,24710852,5944377,45647845,11312155,12736941,159262,500906,17704025,35492676,18146
22982284,1842303,33131297,24837650,5938493,45770189,11434117,12842685,172545,537173,18215776,37858775,20141
23085955,1804281,33273626,24856784,6045710,45368884,11099660,12321450,162030,524018,18224939,37738980,19555
22804360,1733562,33000512,24673253,5935387,45836891,11317870,12734582,162437,507768,17501305,36266923,18747
22465106,1764456,32756825,24676506,5937922,45537713,11259645,12675903,160142,512018,17702420,35435658,18700
22837613,1882103,33050049,24803521,5840376,45325829,11303620,12740005,226877,576564,18030580,37014282,17931
23074913,1801685,33378024,24902834,5949342,46013926,11107452,12517211,177552,524876,18182532,37480041,19344
22899215,1777693,33087165,24756002,5949720,45874035,11305424,12725253,176856,524452,17623493,36014670,19167
22609883,1687552,32857836,24763428,5941123,45825731,11316673,12730105,144453,493595,17715498,35625051,18955
22807174,1634738,32987190,24705898,5840400,45348525,11295906,12703027,116189,472272,17915931,36943023,19660
22907763,1653746,33125393,24804370,5821554,45400977,10882706,12495165,127048,481612,17953162,37001599,19957
22824699,1676773,33068191,24770237,5958408,45750682,11310584,12508183,134616,478176,17735383,36129508,20056
22713804,1619946,32998299,24795638,6084913,45762205,11523410,12918884,115559,475287,17947980,35644289,19044
22851930,1618205,32897685,24654016,5735557,45379401,11305031,12721200,118894,467140,17927655,36890441,19653
22831195,1582349,32972928,24683909,5852860,45397041,10910121,12550280,109390,463689,17934561,36872594,19486
22995212,1638106,33229677,24886551,5963412,45623367,11322991,12541455,122609,465761,17761332,36408375,19767
22667754,1628909,32959225,24623844,5928337,45570197,11310222,12734777,135907,476484,17631528,35535860,18525
22890402,1628501,32890724,24698226,5865380,45977721,11577378,13003374,108056,465976,18167659,36960534,19539
23038824,1695659,33299753,24901450,6046980,45781722,10901420,12321200,130169,496664,18264310,37750048,20194
16682008,1219047,24695987,16908523,4647471,60780076,9362878,10698621,125502,414588,13177468,29511196,68545
789705,501360,1353760,859363,407349,3173471,761459,664447,102559,126140,694450,1057329,3257
491623,488376,969504,527893,316872,2657327,678657,705465,201130,229032,1034258,1536471,2985
961805,336295,1022958,612875,200656,1909755,409563,646831,95203,119070,1015067,2778822,4426
8607021,1701380,12341871,7709083,3823998,31743166,4360897,4569843,88426,436121,6665366,18737424,41983
11708164,13244776,17125078,11821126,3258277,31637928,4862370,5969716,1706193,1999309,8746126,19160850,23149
10003107,7766245,14787266,10230770,3145426,28366094,4611522,5464012,1087573,1332761,9022529,18484052,15805
12002477,13363563,16827051,11817880,2959983,29959593,4515228,5882831,1661379,2411287,10185823,21838362,19763
11562072,13461234,16504124,11798918,3407692,30344667,4652690,5475404,1611830,1829533,9245999,21005513,19230
10583940,9689826,15486638,10602498,3168707,29064113,4555465,5602345,1102539,1376538,7861434,17955857,17992
11432046,12701641,16643713,11439530,3072532,30719967,4744087,5726073,2159596,1931269,10096195,20257898,19544
11081696,13876487,16075388,11913036,3074942,28759510,4466860,5729786,1592518,2101437,9267601,20164256,17391
10664278,9550927,15600610,10666242,3212072,29873939,4518364,5393027,1048186,1350061,8794410,20713021,17302
3124881,4111014,4691971,3512870,1150609,9720119,1648321,1782755,511093,590898,2659277,5714233,5848
6866839,1063904,9985458,6233641,2589039,27950029,4064297,5225575,186992,306363,5990150,16920401,43363
29984430,5910477,40790736,22619525,13825598,71353936,16672443,20090573,1257843,1983058,31857569,92428687,173804
26406956,1285843,38359457,24474772,7352422,137241455,14253922,15637739,150288,511179,19648292,49354039,223398
26217217,2759359,38027581,22593432,10942566,109159826,19222970,19395846,382142,888638,23331979,60320909,157119
20364435,6410681,29886846,15916691,8972607,53956232,16429084,17654010,908765,945699,19894388,51342155,71774
14493917,3691306,18167073,12040859,4029698,41276222,7686870,8830179,2182361,2364207,13290398,29706564,41045
15821609,7299022,23615127,13815181,7677981,53624434,13220296,14462090,1189256,1541913,15236672,38076793,61499
30484645,19852055,44521491,30285800,8620177,140103405,17425664,18701564,4143386,5027004,26835998,52550310,216847
23930007,11255444,34661246,23413799,6597167,115529823,13406478,14362669,2231521,2879822,20274037,42993747,180256
14547531,1464608,21017857,13702026,3678631,76842598,6967042,7886266,109554,506076,10822310,26708779,108247
14706113,1398015,21232206,13819090,3890236,77624673,7547222,8070855,62455,473897,10542396,26545097,112354
14419585,1568590,21286920,13946996,3800823,77906939,7363088,8070822,161771,562126,10688447,25212171,114518
14420322,1370425,20643386,13537069,3669208,77431715,7357017,8091679,61602,475984,10864656,26690568,112829
14619460,1361470,21355353,13842412,3798566,77571002,7169293,8102253,68247,478456,10819861,26549258,113222
14546871,1308276,21008530,13641739,3788977,77144804,7341248,7864219,52536,447311,10552283,26756485,111744
14378391,1368895,20981372,13644849,3776750,76805818,7350783,8079958,82797,491197,10362696,25260956,109201
14505127,1541444,20952149,13707353,3800050,77200035,7602266,8301029,162639,562260,11086600,26635093,110937
14629300,1393027,21111297,13777897,3664065,77411312,6943845,7860403,75148,475715,10795687,26599265,112940
14793311,1366229,21348998,13872997,3897765,77949355,7352970,7853878,33004,452881,10733182,27174335,115203
14484422,1302449,21193178,13787948,3802369,78122289,7355400,8074083,9001,426925,10315797,25257213,116095
14186252,1293498,20524828,13546501,3766084,77176594,7347199,8072432,22773,450695,10713146,25830526,110440
14665984,1285859,21191527,13627780,3666490,77265704,7140113,8089221,11962,420220,10924955,27156795,113657
14653429,1428135,21182889,13818979,3797871,77774235,7348666,7870754,91892,490447,10631462,25995614,113553
14415335,1280973,21012302,13723300,3781271,77622686,7343027,8063512,11515,418586,10269207,25225822,113277
14477597,1340178,20915137,13741768,3914280,78058943,7574287,8091527,23386,444825,10979374,26642016,113955
16986730,4849400,24085859,15842438,4063502,82321998,7659150,8457110,413613,918824,12593460,30181952,129945
14771629,1399651,21342256,13868470,3920840,77749304,7158865,7870845,74574,471940,10812943,27226800,114125
14454373,1514914,21127106,13780460,3794132,77440177,7336669,8053680,123565,531345,10418714,25257130,111729
14376219,1477544,21014753,13760054,3782228,77758151,7368495,8103934,128883,522600,10898637,25937263,115398
14667036,1372267,21000481,13698329,3567440,77908426,7302610,8083368,81431,485388,10826385,26577319,116292
14697031,1422598,21234657,13872318,3782821,77899214,6940861,7657858,86480,490995,10875508,26732719,117020
14726086,1444077,21262223,13907200,3788822,78263988,7353153,8065240,76619,488370,10391431,25960917,118373
14399218,1451898,21262141,13872472,3912667,78262924,7562807,8275223,102767,512597,10883660,26018546,116795
14737285,1416161,21056584,13779755,3572768,78145771,7161723,8099028,64319,479868,10876670,26829556,117723
14624840,1290882,21144751,13776376,3801395,77953061,7156142,7652495,12477,430554,10772282,26575722,116969
14839124,1319402,21367315,13850515,3782200,78155505,7338767,8261028,8129,431373,10583276,26803583,117589
14266179,1288956,21037795,13714976,3782442,77834219,7354817,8068812,16224,436254,10528935,25271247,114756
14636143,1341762,20932663,13666037,3683937,78193703,7389007,8313068,17398,434318,10958659,27273922,116900
14671539,1349614,21178972,13799920,3789911,78067141,7158367,7668019,16720,437696,10817042,26776584,116878
14649876,1347792,21147906,13783428,3788141,77952484,7359567,8087615,19251,448825,10353570,25985351,116832
14287771,1321340,20918121,13771513,3796524,77942590,7342624,8051398,21090,439487,10575122,25247180,116238
14496714,1334145,20897201,13625485,3681819,78152704,7375158,8093189,18383,444700,10827055,26756780,116415
16154002,3031697,22498986,14666306,4046023,81047911,7999583,8926221,942337,1385865,13505805,30378503,118685
14695704,1410373,21256527,13880472,3794714,78171719,7365772,8094778,78916,491306,10370371,26044066,113994
14378205,1387987,21035947,13867922,3786282,78026064,7361950,8072751,84941,500601,10620201,25229165,115627
14424662,1294688,20846879,13533512,3667321,77426658,7363100,8085562,15999,437179,10751428,26572413,113286
14543545,1244064,20983383,13648105,3669101,77068581,6927931,7854618,14124,420675,10731305,26674443,110548
14663250,1416254,21171201,13865165,3781663,77751477,7339686,7856092,99217,498094,10596089,25871196,115788
14631219,1258734,21337378,13818700,3908579,77881416,7545355,8273999,13464,410851,10545999,25340814,113996
14493773,1273768,20772375,13709441,3684730,78279555,7394469,8110482,6199,423927,10812892,26021564,114871
14541775,1268466,21002829,13585512,3671528,77043672,7122912,7843394,12258,424408,10698490,26553519,113220
14644876,1289884,21090486,13730425,3778282,77536592,7123856,7841926,22971,422416,10486303,26726935,113072
14671875,1291330,21399973,13818247,3804380,78162916,7590667,8322548,12126,428815,10596186,26050802,116947
14699538,1280055,21217372,13879868,3910940,78257868,7562523,8287340,18231,433673,11169528,27381604,116474
14712376,1264259,21239574,13797335,3680920,78127588,7137364,7857941,13667,428378,10801758,26772603,117614
14613253,1274098,21082607,13742382,3794704,77749664,7153490,7849051,12084,421645,10526480,26585503,115199
14524991,1272973,21202703,13802507,3795639,78196688,7355491,8085096,15613,420698,10354189,25345308,116902
14377657,1269292,21018327,13788245,3785787,78204693,7350235,8067369,28590,442317,10802592,25923049,117624
15925421,3695163,23724763,16095329,4238374,84817601,8306427,9267563,847789,1110098,11884716,27430695,118365
14642498,1321364,21139889,13776848,3784043,77813955,7329402,7854663,49813,458253,10597636,26779704,115221
14560080,1426929,21266354,13899713,3791277,78094561,7350016,8077052,103171,506366,10440088,25385750,116567
14352698,1356725,21017308,13724093,3797434,77958735,7357393,8069494,27386,442773,10807416,26058579,116473
14630506,1300929,20959192,13712244,3568147,78138275,7161602,8086929,12484,440998,10790585,26673268,116729
14543002,1266364,21020334,13704194,3784935,77270449,7146289,7652375,10628,419288,10691647,26507016,113702
14699076,1299115,21390995,13892611,3904792,78325348,7542302,8264296,12888,414169,10306770,26039954,118400
14304691,1308949,20717095,13702453,3799503,77859311,7369357,8086165,16976,442780,10815280,26062616,114364
14707536,1294190,21153171,13762283,3576983,78221624,7142773,8071309,14688,434989,10785347,26676490,117597
14611267,1282528,21090571,13739472,3776766,77775957,7129293,7635144,13808,420511,10795316,26722580,116974
14850752,1286921,21206032,13816819,3798567,78458809,7594925,8318655,11942,425535,10574413,26682564,118271
14430161,1310590,21056020,13870341,3915055,78626804,7559399,8269999,17622,436865,10798530,26101609,118061
14762807,1264912,21070165,13723970,3557966,78313126,7372514,8100930,14720,436076,10818641,26698829,119645
14762091,1302635,21281374,13906478,3799464,78376433,6939108,7656649,6952,432415,10777700,26663144,119518
14728272,1443952,21298850,13907514,3792538,78187124,7351121,8056791,86382,487683,10443345,26056333,117671
14547118,1307105,21208735,13838247,3798055,78410246,7378461,8095477,19897,439380,10578813,25381936,117442
14728705,1323293,21064804,13811724,3677479,78520167,7560068,8273360,24883,447768,11012566,26673976,119878
16979754,4595732,24079823,15958622,4243102,82474475,7409113,8090924,378105,891108,12667962,30243236,133116
14515578,1494384,20981778,13703728,3791786,76931505,7354967,8083836,146884,550923,10405915,25809915,108859
14392022,1581213,21272932,13903946,3798803,77667302,7344309,8069799,153446,567260,10684547,25311753,111969
14469506,1390856,20727329,13599783,3682631,77438017,7396750,8124546,85858,495223,10852238,26739161,110464
14757789,1305702,21319639,13763883,3811829,77811314,7136989,7869864,22328,433754,10954487,27260867,112704
14511119,1532870,20796624,13732773,3682500,77594559,7382243,8111960,144954,553322,10833215,26587392,110573
14584502,1439551,21085333,13716529,3677915,77270790,6957060,7869896,88635,511745,10866136,26711494,110749
14674457,1626300,21185002,13826129,3793552,77519311,7384577,7880112,165535,593961,10755246,26685411,110704
14344048,1350992,20948985,13616496,3793137,77419202,7361673,8073101,28663,454312,10306083,25267234,109259
14241683,1331352,20594297,13556472,3786946,77424446,7358032,8091316,10722,440324,10774030,25972739,110234
14820633,1319531,21191749,13757158,3786446,77680932,7306836,8092077,15821,446945,11165472,27758869,110957
14603498,1321125,21058636,13732483,3787127,77504018,7336540,7860362,14275,425839,10531172,26748573,113525
14429825,1332883,21083798,13713450,3773417,77861149,7347884,8073062,16995,437934,10327055,25227917,115386
14335960,1354357,20777281,13723145,3811600,78216168,7382951,8100097,11865,445924,10769011,25956963,115185
14733681,1350496,21277249,13816239,3559206,78291220,7134017,8061565,16457,446051,10834228,26708539,119707
14847861,1339384,21413454,13931016,3897015,78638921,7347870,7844342,26740,448464,10808597,27017232,118437
14444547,1376266,21061188,13720472,3787758,77931349,7342088,8052192,21281,444971,10344290,25291880,115284
20163347,7736060,30158786,19022943,8336207,77956771,15886305,16908923,1402340,1853958,19581943,44593650,98676
22439313,6459943,32260903,17431013,12952164,48399570,23335484,24419357,927873,1394214,26229832,64662480,45277
23550585,7323420,34335710,18097292,13699581,48932934,23145133,24640454,941191,1416614,27936286,70598558,48811
23486905,6692171,34385082,18359147,13956383,50132201,23895502,25186107,828505,1285669,26801194,68752037,48346
23500740,7224286,34070420,18070129,13845153,50050178,24150405,25454192,899175,1345963,27846834,69914037,48786
23853429,7153500,34502460,18415728,13872381,50491080,23661551,24669142,842399,1318785,28027055,70130424,50217
23919685,6951451,34574897,18199897,14109699,50346000,23921683,25097558,837922,1301098,28087240,71485275,49314
24123924,6821147,34949559,18446890,14065797,50814782,24365184,25737399,813163,1288846,27842970,71597109,49940
21691077,6171557,30679461,16297935,12296992,45133972,21168133,22752953,783353,1245099,26349498,66658580,46363
1051058,482425,1463601,918576,399877,3840787,988341,1231232,188467,228335,1529261,3225551,4880
17668928,5209468,26142544,14008761,10584147,39220698,18102367,19432947,746450,1059754,21266353,51598518,36403
24651476,7341474,35449216,18667773,14328380,51550419,24726964,26049474,906980,1389616,28321740,72843892,50302
23900874,6294206,34757195,18360449,13874770,51133444,24684201,25734159,787867,1251138,27733055,70720644,50084
24096801,6574935,34848691,18595913,14347438,50815179,24642532,25991466,815570,1302312,28838400,72503045,48914
24060778,6504727,34803664,18220181,13737089,49925751,23757853,25311996,783102,1266185,28317482,71867915,49316
24639302,7004237,35524132,18719526,14233975,51148894,24717965,25838484,854074,1322839,28159881,72827268,50208
23943197,6679479,34846625,18481778,14125398,50919085,24411084,25716077,785818,1265823,27849797,70400402,48785
23676226,6481828,34375907,18288354,13990496,50618109,24262816,25863531,841389,1325758,27897391,70468954,48968
24218212,6801631,34836510,18312807,13857538,50502406,24375152,25712822,835110,1318544,28287086,72171740,49707
24389177,6801657,35130915,18576926,14204512,50561961,24188514,25566511,874263,1372124,28416086,73034123,49508
23997156,6840822,34912600,18478671,14209447,50989311,24555203,25740369,836701,1298081,27655894,70342608,48818
24044202,6983593,34777346,18432565,14043843,50164439,24293556,25786491,854216,1328875,28329308,72062304,48694
24201345,6812265,35257718,18589647,14115853,50654025,24459824,25811200,814451,1296009,28456158,72061698,49414
24182388,6878518,35052579,18546119,14038681,50108567,24222129,25744926,866905,1349482,28375961,72368794,49427
15856478,4262345,22951748,12425075,9577311,36163239,17119406,17819639,582385,912284,18865045,46945331,33025
834986,476293,1453627,1059326,515826,4161066,951562,979075,158382,190295,773208,1064263,3795
15407515,4943964,22970661,16983745,4995471,53752187,9074008,9763052,1113422,1468096,13192576,26631577,42595
23021933,2321440,33308084,24890759,6069253,44250723,11525237,12936886,246580,614172,17791900,37024550,18105
22510899,2236354,32818007,24724197,5988391,43463060,11345129,12742560,282383,654671,17848193,35622596,15952
22738361,2180886,32774222,24623829,5897095,43784973,11337248,12760721,236042,605461,18081999,37349311,16543
3882674,714134,4772951,2925800,718830,4718777,1085109,1165318,142887,212700,3535158,8020300,6511
834850,406039,1132601,693043,339511,2644174,643537,656156,77883,100313,311692,1445102,3296
381943,344538,833799,690637,322310,2641578,638791,670532,111324,135872,609450,685976,2533
2072787,1336168,2504785,1478597,504652,8117170,1378276,1408238,240938,247417,1296524,4568115,14824
15008604,1532292,19741526,13977619,3177071,26612369,5914541,6960622,302342,549496,12405771,26367998,16392
23584331,2169045,34011011,25426151,6046883,49583979,11493506,12689039,244836,613681,18254082,36575329,21534
14252481,1529461,20610604,15375768,3694537,30592624,7016494,7850202,197130,440229,11320100,22477932,13053
12086747,1476013,16686834,11854261,2775402,19997052,4592125,4886282,261057,410426,7395184,17940432,12098
22323269,2096694,32575521,24497677,5845414,45760275,11052847,12430371,253334,605156,17683008,35001199,20127
22592783,1965613,32703128,24501598,5745221,45726343,11127904,12513016,198681,557189,17910457,36402125,20316
22779653,1996459,32874920,24500068,5860968,45745681,10922930,12287217,200310,557755,17973683,36876063,21364
22563516,2021072,32568195,24321350,5866221,45780317,11124710,12529125,190240,556509,17420001,35059400,20568
22248974,1699520,32411540,24362598,5868980,45783612,11123831,12538531,131722,465530,17584381,35066755,20003
22368850,1720991,32593866,24246133,5867827,45713937,11309356,12689833,145364,490177,17978011,36557760,20132
22620303,1771046,32685395,24435585,5755279,45661990,10748918,12343305,140294,485965,17841899,36491476,21035
12366232,1705229,17987518,13683706,3358955,26596588,6455416,7275961,333132,504500,10817434,20104146,12624
716043,395849,1289008,984270,474186,3848910,881608,877828,148307,168568,943303,845195,3509
668682,62264,682009,292736,93121,1703647,657047,683598,12931,25880,757392,2159274,3141
660963,100071,921287,499011,225108,1685959,210281,405296,9486,22781,676553,1997347,2927
694196,90024,937075,500680,328020,1909983,635396,438363,12940,19097,489561,1443450,2988
312678,37662,415431,545285,376360,2463752,728900,753040,32733,53219,629800,283324,961
471463,214931,683587,458082,396754,1871174,735263,776015,5342,20895,759229,928054,3397
410970,159348,596200,376117,306736,1611154,570087,598932,6836,21000,591857,867538,2837
372323,145328,541097,354548,300251,1501199,557965,586742,2553,16411,572145,752461,2590
301160,117755,437421,321339,290175,1292836,538219,567816,5736,19088,548266,606260,1970
292983,112404,424861,316141,289063,1270281,536006,565409,6240,19172,544693,600687,1866
297265,163152,431035,322408,289496,1282054,535995,570915,9628,22708,551431,577580,1743
343224,127685,500706,395039,380152,1485886,703255,740426,7826,21671,712699,655589,2007
301319,121865,432689,318979,290338,1298758,538067,567572,3685,16924,545989,603167,1900
123520,522497,1980669,1130581,439650,1772869,708921,730894,24715,39613,749545,120068,906
847822,303709,754473,686227,239015,4571896,717510,730292,197896,232807,1037513,2103364,4908
1086345,245184,1416802,629923,364315,2316273,697197,712503,38588,65232,836712,3094597,4787
1007381,184956,1306081,709435,462124,2843357,686951,720833,12438,35221,579154,2356719,4240
444496,169966,1086541,619106,361883,2549867,703297,727986,8477,37781,546509,837624,2755
625681,144910,619168,401667,243041,2506984,686418,710823,2863,31878,812451,2394062,3299
1042103,282909,1415191,851005,294592,3190772,246199,491223,34964,92620,1011745,2704445,6103
15645134,2042400,24234253,13110125,8501842,40138978,11145682,12193779,324223,755770,16610999,51048668,91185
9003795,2427518,13501934,7551718,6476566,33884546,10425631,10491589,450664,672085,7190274,21564349,47363
521628,242162,759090,728983,373071,4049485,725059,747624,97162,136397,980699,1672878,4415
1009025,387494,1373455,689532,123725,2511810,477565,715463,93454,139404,974266,2542241,6293
4916763,2170103,6782853,3758007,1540300,17451114,2655797,2622949,317557,498016,4345610,11996710,37612
7174593,1022612,10201098,5978855,1990455,32854411,3991612,4336677,111670,287585,5407048,14333591,51180
58960,20060,85596,0,0,0,53110,55860,2317,4998,61585,154231,172
61680,22420,89078,0,0,0,54504,57383,2115,6022,64744,159398,168
63120,21486,91845,0,0,0,53591,56494,1835,6474,66947,156729,147
70560,24648,102429,0,0,0,61199,64576,1715,7625,77134,178515,168
72080,29580,104516,0,0,0,57181,60380,4865,10677,79852,169678,169
71120,24566,102903,0,0,0,60360,63810,1930,7733,78232,179716,171
