epi_delta,busy_fraction,label
"[5955.0, 13601.0, 13672.0, 13099.0, 12879.0, 12710.0, 12131.0, 12288.0, 13153.0, 11719.0, 12325.0, 20519.0, 17678.0, 12327.0, 12652.0, 12601.0, 12368.0, 13268.0, 13858.0, 12602.0, 11908.0, 11404.0, 12123.0, 12486.0, 12754.0, 12169.0, 12758.0, 12104.0, 26616.0, 12099.0, 11259.0, 13555.0, 12463.0, 12843.0, 12255.0, 12386.0, 12422.0, 13331.0, 12358.0, 12080.0, 14884.0, 11685.0, 11557.0, 12553.0, 21188.0, 17177.0, 12524.0, 12185.0, 12134.0, 12967.0, 13787.0, 11376.0, 12197.0, 13263.0, 11895.0, 12036.0, 11749.0, 12099.0, 12188.0, 12537.0, 13047.0, 26414.0, 12362.0, 12694.0, 13385.0, 12207.0, 12295.0, 13239.0, 11720.0, 12569.0, 12304.0, 12152.0, 13518.0, 14458.0, 11783.0, 12190.0, 12844.0, 21938.0, 16384.0, 12495.0, 11357.0, 13067.0, 12742.0, 12969.0, 12307.0, 12516.0, 14106.0, 12226.0, 11528.0, 12535.0, 11609.0, 12349.0, 12379.0, 14602.0, 27699.0, 16143.0, 17832.0, 13023.0, 12654.0, 11557.0]","[114.519231, 114.294118, 104.366412, 125.951923, 114.991071, 116.605505, 114.443396, 108.743363, 121.787037, 110.556604, 117.380952, 193.575472, 163.685185, 104.466102, 118.242991, 114.554545, 106.62069, 120.618182, 116.453782, 124.772277, 108.254545, 109.653846, 114.367925, 116.691589, 117.009174, 114.801887, 119.233645, 111.045872, 233.473684, 119.792079, 101.432432, 115.854701, 110.292035, 117.825688, 116.714286, 115.757009, 121.784314, 102.546154, 117.695238, 100.666667, 139.102804, 110.235849, 109.028302, 115.165138, 196.185185, 162.04717, 113.854545, 108.794643, 112.351852, 115.776786, 118.853448, 110.446602, 115.066038, 121.678899, 113.285714, 114.628571, 111.895238, 114.141509, 113.906542, 117.168224, 109.638655, 242.330275, 112.381818, 112.336283, 115.387931, 111.990826, 117.095238, 119.27027, 108.518519, 119.704762, 111.854545, 110.472727, 119.628319, 112.077519, 112.219048, 116.095238, 115.711712, 206.962264, 156.038095, 116.775701, 108.161905, 114.622807, 116.899083, 113.763158, 115.018692, 115.888889, 121.603448, 115.339623, 110.846154, 124.108911, 109.518868, 113.293578, 99.830645, 126.973913, 225.195122, 92.775862, 148.6, 118.390909, 111.0, 115.57]",distilgpt
"[12325.0, 20519.0, 17678.0, 12327.0, 12652.0, 12601.0, 12368.0, 13268.0, 13858.0, 12602.0, 11908.0, 11404.0, 12123.0, 12486.0, 12754.0, 12169.0, 12758.0, 12104.0, 26616.0, 12099.0, 11259.0, 13555.0, 12463.0, 12843.0, 12255.0, 12386.0, 12422.0, 13331.0, 12358.0, 12080.0, 14884.0, 11685.0, 11557.0, 12553.0, 21188.0, 17177.0, 12524.0, 12185.0, 12134.0, 12967.0, 13787.0, 11376.0, 12197.0, 13263.0, 11895.0, 12036.0, 11749.0, 12099.0, 12188.0, 12537.0, 13047.0, 26414.0, 12362.0, 12694.0, 13385.0, 12207.0, 12295.0, 13239.0, 11720.0, 12569.0, 12304.0, 12152.0, 13518.0, 14458.0, 11783.0, 12190.0, 12844.0, 21938.0, 16384.0, 12495.0, 11357.0, 13067.0, 12742.0, 12969.0, 12307.0, 12516.0, 14106.0, 12226.0, 11528.0, 12535.0, 11609.0, 12349.0, 12379.0, 14602.0, 27699.0, 16143.0, 17832.0, 13023.0, 12654.0, 11557.0, 12555.0, 12255.0, 12008.0, 13055.0, 12122.0, 12420.0, 12788.0, 12018.0, 13144.0, 18624.0]","[117.380952, 193.575472, 163.685185, 104.466102, 118.242991, 114.554545, 106.62069, 120.618182, 116.453782, 124.772277, 108.254545, 109.653846, 114.367925, 116.691589, 117.009174, 114.801887, 119.233645, 111.045872, 233.473684, 119.792079, 101.432432, 115.854701, 110.292035, 117.825688, 116.714286, 115.757009, 121.784314, 102.546154, 117.695238, 100.666667, 139.102804, 110.235849, 109.028302, 115.165138, 196.185185, 162.04717, 113.854545, 108.794643, 112.351852, 115.776786, 118.853448, 110.446602, 115.066038, 121.678899, 113.285714, 114.628571, 111.895238, 114.141509, 113.906542, 117.168224, 109.638655, 242.330275, 112.381818, 112.336283, 115.387931, 111.990826, 117.095238, 119.27027, 108.518519, 119.704762, 111.854545, 110.472727, 119.628319, 112.077519, 112.219048, 116.095238, 115.711712, 206.962264, 156.038095, 116.775701, 108.161905, 114.622807, 116.899083, 113.763158, 115.018692, 115.888889, 121.603448, 115.339623, 110.846154, 124.108911, 109.518868, 113.293578, 99.830645, 126.973913, 225.195122, 92.775862, 148.6, 118.390909, 111.0, 115.57, 113.108108, 115.613208, 113.283019, 117.612613, 112.240741, 112.909091, 116.254545, 112.317757, 111.389831, 164.814159]",distilgpt
"[11908.0, 11404.0, 12123.0, 12486.0, 12754.0, 12169.0, 12758.0, 12104.0, 26616.0, 12099.0, 11259.0, 13555.0, 12463.0, 12843.0, 12255.0, 12386.0, 12422.0, 13331.0, 12358.0, 12080.0, 14884.0, 11685.0, 11557.0, 12553.0, 21188.0, 17177.0, 12524.0, 12185.0, 12134.0, 12967.0, 13787.0, 11376.0, 12197.0, 13263.0, 11895.0, 12036.0, 11749.0, 12099.0, 12188.0, 12537.0, 13047.0, 26414.0, 12362.0, 12694.0, 13385.0, 12207.0, 12295.0, 13239.0, 11720.0, 12569.0, 12304.0, 12152.0, 13518.0, 14458.0, 11783.0, 12190.0, 12844.0, 21938.0, 16384.0, 12495.0, 11357.0, 13067.0, 12742.0, 12969.0, 12307.0, 12516.0, 14106.0, 12226.0, 11528.0, 12535.0, 11609.0, 12349.0, 12379.0, 14602.0, 27699.0, 16143.0, 17832.0, 13023.0, 12654.0, 11557.0, 12555.0, 12255.0, 12008.0, 13055.0, 12122.0, 12420.0, 12788.0, 12018.0, 13144.0, 18624.0, 20543.0, 12175.0, 12259.0, 12017.0, 12231.0, 11437.0, 12874.0, 12320.0, 11875.0, 14093.0]","[108.254545, 109.653846, 114.367925, 116.691589, 117.009174, 114.801887, 119.233645, 111.045872, 233.473684, 119.792079, 101.432432, 115.854701, 110.292035, 117.825688, 116.714286, 115.757009, 121.784314, 102.546154, 117.695238, 100.666667, 139.102804, 110.235849, 109.028302, 115.165138, 196.185185, 162.04717, 113.854545, 108.794643, 112.351852, 115.776786, 118.853448, 110.446602, 115.066038, 121.678899, 113.285714, 114.628571, 111.895238, 114.141509, 113.906542, 117.168224, 109.638655, 242.330275, 112.381818, 112.336283, 115.387931, 111.990826, 117.095238, 119.27027, 108.518519, 119.704762, 111.854545, 110.472727, 119.628319, 112.077519, 112.219048, 116.095238, 115.711712, 206.962264, 156.038095, 116.775701, 108.161905, 114.622807, 116.899083, 113.763158, 115.018692, 115.888889, 121.603448, 115.339623, 110.846154, 124.108911, 109.518868, 113.293578, 99.830645, 126.973913, 225.195122, 92.775862, 148.6, 118.390909, 111.0, 115.57, 113.108108, 115.613208, 113.283019, 117.612613, 112.240741, 112.909091, 116.254545, 112.317757, 111.389831, 164.814159, 195.647619, 118.203883, 116.752381, 108.261261, 117.605769, 112.127451, 119.203704, 110.990991, 108.944954, 118.428571]",distilgpt
"[11259.0, 13555.0, 12463.0, 12843.0, 12255.0, 12386.0, 12422.0, 13331.0, 12358.0, 12080.0, 14884.0, 11685.0, 11557.0, 12553.0, 21188.0, 17177.0, 12524.0, 12185.0, 12134.0, 12967.0, 13787.0, 11376.0, 12197.0, 13263.0, 11895.0, 12036.0, 11749.0, 12099.0, 12188.0, 12537.0, 13047.0, 26414.0, 12362.0, 12694.0, 13385.0, 12207.0, 12295.0, 13239.0, 11720.0, 12569.0, 12304.0, 12152.0, 13518.0, 14458.0, 11783.0, 12190.0, 12844.0, 21938.0, 16384.0, 12495.0, 11357.0, 13067.0, 12742.0, 12969.0, 12307.0, 12516.0, 14106.0, 12226.0, 11528.0, 12535.0, 11609.0, 12349.0, 12379.0, 14602.0, 27699.0, 16143.0, 17832.0, 13023.0, 12654.0, 11557.0, 12555.0, 12255.0, 12008.0, 13055.0, 12122.0, 12420.0, 12788.0, 12018.0, 13144.0, 18624.0, 20543.0, 12175.0, 12259.0, 12017.0, 12231.0, 11437.0, 12874.0, 12320.0, 11875.0, 14093.0, 11817.0, 13068.0, 12694.0, 12665.0, 11709.0, 11877.0, 22961.0, 14885.0, 12055.0, 12266.0]","[101.432432, 115.854701, 110.292035, 117.825688, 116.714286, 115.757009, 121.784314, 102.546154, 117.695238, 100.666667, 139.102804, 110.235849, 109.028302, 115.165138, 196.185185, 162.04717, 113.854545, 108.794643, 112.351852, 115.776786, 118.853448, 110.446602, 115.066038, 121.678899, 113.285714, 114.628571, 111.895238, 114.141509, 113.906542, 117.168224, 109.638655, 242.330275, 112.381818, 112.336283, 115.387931, 111.990826, 117.095238, 119.27027, 108.518519, 119.704762, 111.854545, 110.472727, 119.628319, 112.077519, 112.219048, 116.095238, 115.711712, 206.962264, 156.038095, 116.775701, 108.161905, 114.622807, 116.899083, 113.763158, 115.018692, 115.888889, 121.603448, 115.339623, 110.846154, 124.108911, 109.518868, 113.293578, 99.830645, 126.973913, 225.195122, 92.775862, 148.6, 118.390909, 111.0, 115.57, 113.108108, 115.613208, 113.283019, 117.612613, 112.240741, 112.909091, 116.254545, 112.317757, 111.389831, 164.814159, 195.647619, 118.203883, 116.752381, 108.261261, 117.605769, 112.127451, 119.203704, 110.990991, 108.944954, 118.428571, 113.625, 123.283019, 114.36036, 115.136364, 110.462264, 108.963303, 205.008929, 150.353535, 115.913462, 112.53211]",distilgpt
"[14884.0, 11685.0, 11557.0, 12553.0, 21188.0, 17177.0, 12524.0, 12185.0, 12134.0, 12967.0, 13787.0, 11376.0, 12197.0, 13263.0, 11895.0, 12036.0, 11749.0, 12099.0, 12188.0, 12537.0, 13047.0, 26414.0, 12362.0, 12694.0, 13385.0, 12207.0, 12295.0, 13239.0, 11720.0, 12569.0, 12304.0, 12152.0, 13518.0, 14458.0, 11783.0, 12190.0, 12844.0, 21938.0, 16384.0, 12495.0, 11357.0, 13067.0, 12742.0, 12969.0, 12307.0, 12516.0, 14106.0, 12226.0, 11528.0, 12535.0, 11609.0, 12349.0, 12379.0, 14602.0, 27699.0, 16143.0, 17832.0, 13023.0, 12654.0, 11557.0, 12555.0, 12255.0, 12008.0, 13055.0, 12122.0, 12420.0, 12788.0, 12018.0, 13144.0, 18624.0, 20543.0, 12175.0, 12259.0, 12017.0, 12231.0, 11437.0, 12874.0, 12320.0, 11875.0, 14093.0, 11817.0, 13068.0, 12694.0, 12665.0, 11709.0, 11877.0, 22961.0, 14885.0, 12055.0, 12266.0, 12283.0, 12639.0, 12779.0, 12345.0, 12484.0, 12705.0, 12072.0, 12672.0, 12527.0, 11941.0]","[139.102804, 110.235849, 109.028302, 115.165138, 196.185185, 162.04717, 113.854545, 108.794643, 112.351852, 115.776786, 118.853448, 110.446602, 115.066038, 121.678899, 113.285714, 114.628571, 111.895238, 114.141509, 113.906542, 117.168224, 109.638655, 242.330275, 112.381818, 112.336283, 115.387931, 111.990826, 117.095238, 119.27027, 108.518519, 119.704762, 111.854545, 110.472727, 119.628319, 112.077519, 112.219048, 116.095238, 115.711712, 206.962264, 156.038095, 116.775701, 108.161905, 114.622807, 116.899083, 113.763158, 115.018692, 115.888889, 121.603448, 115.339623, 110.846154, 124.108911, 109.518868, 113.293578, 99.830645, 126.973913, 225.195122, 92.775862, 148.6, 118.390909, 111.0, 115.57, 113.108108, 115.613208, 113.283019, 117.612613, 112.240741, 112.909091, 116.254545, 112.317757, 111.389831, 164.814159, 195.647619, 118.203883, 116.752381, 108.261261, 117.605769, 112.127451, 119.203704, 110.990991, 108.944954, 118.428571, 113.625, 123.283019, 114.36036, 115.136364, 110.462264, 108.963303, 205.008929, 150.353535, 115.913462, 112.53211, 104.09322, 122.708738, 109.222222, 118.701923, 118.895238, 115.5, 113.886792, 114.162162, 112.855856, 111.598131]",distilgpt
"[13787.0, 11376.0, 12197.0, 13263.0, 11895.0, 12036.0, 11749.0, 12099.0, 12188.0, 12537.0, 13047.0, 26414.0, 12362.0, 12694.0, 13385.0, 12207.0, 12295.0, 13239.0, 11720.0, 12569.0, 12304.0, 12152.0, 13518.0, 14458.0, 11783.0, 12190.0, 12844.0, 21938.0, 16384.0, 12495.0, 11357.0, 13067.0, 12742.0, 12969.0, 12307.0, 12516.0, 14106.0, 12226.0, 11528.0, 12535.0, 11609.0, 12349.0, 12379.0, 14602.0, 27699.0, 16143.0, 17832.0, 13023.0, 12654.0, 11557.0, 12555.0, 12255.0, 12008.0, 13055.0, 12122.0, 12420.0, 12788.0, 12018.0, 13144.0, 18624.0, 20543.0, 12175.0, 12259.0, 12017.0, 12231.0, 11437.0, 12874.0, 12320.0, 11875.0, 14093.0, 11817.0, 13068.0, 12694.0, 12665.0, 11709.0, 11877.0, 22961.0, 14885.0, 12055.0, 12266.0, 12283.0, 12639.0, 12779.0, 12345.0, 12484.0, 12705.0, 12072.0, 12672.0, 12527.0, 11941.0, 12727.0, 12382.0, 12593.0, 26805.0, 13717.0, 12362.0, 12750.0, 13531.0, 11959.0, 12970.0]","[118.853448, 110.446602, 115.066038, 121.678899, 113.285714, 114.628571, 111.895238, 114.141509, 113.906542, 117.168224, 109.638655, 242.330275, 112.381818, 112.336283, 115.387931, 111.990826, 117.095238, 119.27027, 108.518519, 119.704762, 111.854545, 110.472727, 119.628319, 112.077519, 112.219048, 116.095238, 115.711712, 206.962264, 156.038095, 116.775701, 108.161905, 114.622807, 116.899083, 113.763158, 115.018692, 115.888889, 121.603448, 115.339623, 110.846154, 124.108911, 109.518868, 113.293578, 99.830645, 126.973913, 225.195122, 92.775862, 148.6, 118.390909, 111.0, 115.57, 113.108108, 115.613208, 113.283019, 117.612613, 112.240741, 112.909091, 116.254545, 112.317757, 111.389831, 164.814159, 195.647619, 118.203883, 116.752381, 108.261261, 117.605769, 112.127451, 119.203704, 110.990991, 108.944954, 118.428571, 113.625, 123.283019, 114.36036, 115.136364, 110.462264, 108.963303, 205.008929, 150.353535, 115.913462, 112.53211, 104.09322, 122.708738, 109.222222, 118.701923, 118.895238, 115.5, 113.886792, 114.162162, 112.855856, 111.598131, 114.657658, 115.719626, 116.601852, 241.486486, 116.245763, 108.438596, 108.050847, 120.8125, 112.820755, 117.909091]",distilgpt
"[13047.0, 26414.0, 12362.0, 12694.0, 13385.0, 12207.0, 12295.0, 13239.0, 11720.0, 12569.0, 12304.0, 12152.0, 13518.0, 14458.0, 11783.0, 12190.0, 12844.0, 21938.0, 16384.0, 12495.0, 11357.0, 13067.0, 12742.0, 12969.0, 12307.0, 12516.0, 14106.0, 12226.0, 11528.0, 12535.0, 11609.0, 12349.0, 12379.0, 14602.0, 27699.0, 16143.0, 17832.0, 13023.0, 12654.0, 11557.0, 12555.0, 12255.0, 12008.0, 13055.0, 12122.0, 12420.0, 12788.0, 12018.0, 13144.0, 18624.0, 20543.0, 12175.0, 12259.0, 12017.0, 12231.0, 11437.0, 12874.0, 12320.0, 11875.0, 14093.0, 11817.0, 13068.0, 12694.0, 12665.0, 11709.0, 11877.0, 22961.0, 14885.0, 12055.0, 12266.0, 12283.0, 12639.0, 12779.0, 12345.0, 12484.0, 12705.0, 12072.0, 12672.0, 12527.0, 11941.0, 12727.0, 12382.0, 12593.0, 26805.0, 13717.0, 12362.0, 12750.0, 13531.0, 11959.0, 12970.0, 11880.0, 12583.0, 12453.0, 13095.0, 12950.0, 12535.0, 13471.0, 11770.0, 12430.0, 24144.0]","[109.638655, 242.330275, 112.381818, 112.336283, 115.387931, 111.990826, 117.095238, 119.27027, 108.518519, 119.704762, 111.854545, 110.472727, 119.628319, 112.077519, 112.219048, 116.095238, 115.711712, 206.962264, 156.038095, 116.775701, 108.161905, 114.622807, 116.899083, 113.763158, 115.018692, 115.888889, 121.603448, 115.339623, 110.846154, 124.108911, 109.518868, 113.293578, 99.830645, 126.973913, 225.195122, 92.775862, 148.6, 118.390909, 111.0, 115.57, 113.108108, 115.613208, 113.283019, 117.612613, 112.240741, 112.909091, 116.254545, 112.317757, 111.389831, 164.814159, 195.647619, 118.203883, 116.752381, 108.261261, 117.605769, 112.127451, 119.203704, 110.990991, 108.944954, 118.428571, 113.625, 123.283019, 114.36036, 115.136364, 110.462264, 108.963303, 205.008929, 150.353535, 115.913462, 112.53211, 104.09322, 122.708738, 109.222222, 118.701923, 118.895238, 115.5, 113.886792, 114.162162, 112.855856, 111.598131, 114.657658, 115.719626, 116.601852, 241.486486, 116.245763, 108.438596, 108.050847, 120.8125, 112.820755, 117.909091, 114.230769, 120.990385, 108.286957, 114.868421, 111.637931, 117.149533, 118.166667, 116.534653, 118.380952, 225.64486]",distilgpt
"[12304.0, 12152.0, 13518.0, 14458.0, 11783.0, 12190.0, 12844.0, 21938.0, 16384.0, 12495.0, 11357.0, 13067.0, 12742.0, 12969.0, 12307.0, 12516.0, 14106.0, 12226.0, 11528.0, 12535.0, 11609.0, 12349.0, 12379.0, 14602.0, 27699.0, 16143.0, 17832.0, 13023.0, 12654.0, 11557.0, 12555.0, 12255.0, 12008.0, 13055.0, 12122.0, 12420.0, 12788.0, 12018.0, 13144.0, 18624.0, 20543.0, 12175.0, 12259.0, 12017.0, 12231.0, 11437.0, 12874.0, 12320.0, 11875.0, 14093.0, 11817.0, 13068.0, 12694.0, 12665.0, 11709.0, 11877.0, 22961.0, 14885.0, 12055.0, 12266.0, 12283.0, 12639.0, 12779.0, 12345.0, 12484.0, 12705.0, 12072.0, 12672.0, 12527.0, 11941.0, 12727.0, 12382.0, 12593.0, 26805.0, 13717.0, 12362.0, 12750.0, 13531.0, 11959.0, 12970.0, 11880.0, 12583.0, 12453.0, 13095.0, 12950.0, 12535.0, 13471.0, 11770.0, 12430.0, 24144.0, 13685.0, 12578.0, 12162.0, 13757.0, 13327.0, 12377.0, 11986.0, 12188.0, 11901.0, 11941.0]","[111.854545, 110.472727, 119.628319, 112.077519, 112.219048, 116.095238, 115.711712, 206.962264, 156.038095, 116.775701, 108.161905, 114.622807, 116.899083, 113.763158, 115.018692, 115.888889, 121.603448, 115.339623, 110.846154, 124.108911, 109.518868, 113.293578, 99.830645, 126.973913, 225.195122, 92.775862, 148.6, 118.390909, 111.0, 115.57, 113.108108, 115.613208, 113.283019, 117.612613, 112.240741, 112.909091, 116.254545, 112.317757, 111.389831, 164.814159, 195.647619, 118.203883, 116.752381, 108.261261, 117.605769, 112.127451, 119.203704, 110.990991, 108.944954, 118.428571, 113.625, 123.283019, 114.36036, 115.136364, 110.462264, 108.963303, 205.008929, 150.353535, 115.913462, 112.53211, 104.09322, 122.708738, 109.222222, 118.701923, 118.895238, 115.5, 113.886792, 114.162162, 112.855856, 111.598131, 114.657658, 115.719626, 116.601852, 241.486486, 116.245763, 108.438596, 108.050847, 120.8125, 112.820755, 117.909091, 114.230769, 120.990385, 108.286957, 114.868421, 111.637931, 117.149533, 118.166667, 116.534653, 118.380952, 225.64486, 126.712963, 116.462963, 102.201681, 129.783019, 112.940678, 114.601852, 114.152381, 118.330097, 115.543689, 108.554545]",distilgpt
"[11357.0, 13067.0, 12742.0, 12969.0, 12307.0, 12516.0, 14106.0, 12226.0, 11528.0, 12535.0, 11609.0, 12349.0, 12379.0, 14602.0, 27699.0, 16143.0, 17832.0, 13023.0, 12654.0, 11557.0, 12555.0, 12255.0, 12008.0, 13055.0, 12122.0, 12420.0, 12788.0, 12018.0, 13144.0, 18624.0, 20543.0, 12175.0, 12259.0, 12017.0, 12231.0, 11437.0, 12874.0, 12320.0, 11875.0, 14093.0, 11817.0, 13068.0, 12694.0, 12665.0, 11709.0, 11877.0, 22961.0, 14885.0, 12055.0, 12266.0, 12283.0, 12639.0, 12779.0, 12345.0, 12484.0, 12705.0, 12072.0, 12672.0, 12527.0, 11941.0, 12727.0, 12382.0, 12593.0, 26805.0, 13717.0, 12362.0, 12750.0, 13531.0, 11959.0, 12970.0, 11880.0, 12583.0, 12453.0, 13095.0, 12950.0, 12535.0, 13471.0, 11770.0, 12430.0, 24144.0, 13685.0, 12578.0, 12162.0, 13757.0, 13327.0, 12377.0, 11986.0, 12188.0, 11901.0, 11941.0, 12121.0, 12133.0, 13076.0, 12559.0, 13273.0, 14279.0, 24858.0, 12512.0, 13642.0, 11983.0]","[108.161905, 114.622807, 116.899083, 113.763158, 115.018692, 115.888889, 121.603448, 115.339623, 110.846154, 124.108911, 109.518868, 113.293578, 99.830645, 126.973913, 225.195122, 92.775862, 148.6, 118.390909, 111.0, 115.57, 113.108108, 115.613208, 113.283019, 117.612613, 112.240741, 112.909091, 116.254545, 112.317757, 111.389831, 164.814159, 195.647619, 118.203883, 116.752381, 108.261261, 117.605769, 112.127451, 119.203704, 110.990991, 108.944954, 118.428571, 113.625, 123.283019, 114.36036, 115.136364, 110.462264, 108.963303, 205.008929, 150.353535, 115.913462, 112.53211, 104.09322, 122.708738, 109.222222, 118.701923, 118.895238, 115.5, 113.886792, 114.162162, 112.855856, 111.598131, 114.657658, 115.719626, 116.601852, 241.486486, 116.245763, 108.438596, 108.050847, 120.8125, 112.820755, 117.909091, 114.230769, 120.990385, 108.286957, 114.868421, 111.637931, 117.149533, 118.166667, 116.534653, 118.380952, 225.64486, 126.712963, 116.462963, 102.201681, 129.783019, 112.940678, 114.601852, 114.152381, 118.330097, 115.543689, 108.554545, 115.438095, 113.392523, 114.701754, 114.172727, 116.429825, 129.809091, 232.317757, 111.714286, 129.92381, 106.991071]",distilgpt
"[11609.0, 12349.0, 12379.0, 14602.0, 27699.0, 16143.0, 17832.0, 13023.0, 12654.0, 11557.0, 12555.0, 12255.0, 12008.0, 13055.0, 12122.0, 12420.0, 12788.0, 12018.0, 13144.0, 18624.0, 20543.0, 12175.0, 12259.0, 12017.0, 12231.0, 11437.0, 12874.0, 12320.0, 11875.0, 14093.0, 11817.0, 13068.0, 12694.0, 12665.0, 11709.0, 11877.0, 22961.0, 14885.0, 12055.0, 12266.0, 12283.0, 12639.0, 12779.0, 12345.0, 12484.0, 12705.0, 12072.0, 12672.0, 12527.0, 11941.0, 12727.0, 12382.0, 12593.0, 26805.0, 13717.0, 12362.0, 12750.0, 13531.0, 11959.0, 12970.0, 11880.0, 12583.0, 12453.0, 13095.0, 12950.0, 12535.0, 13471.0, 11770.0, 12430.0, 24144.0, 13685.0, 12578.0, 12162.0, 13757.0, 13327.0, 12377.0, 11986.0, 12188.0, 11901.0, 11941.0, 12121.0, 12133.0, 13076.0, 12559.0, 13273.0, 14279.0, 24858.0, 12512.0, 13642.0, 11983.0, 12072.0, 12124.0, 11963.0, 12261.0, 12156.0, 12121.0, 13057.0, 11934.0, 15567.0, 18310.0]","[109.518868, 113.293578, 99.830645, 126.973913, 225.195122, 92.775862, 148.6, 118.390909, 111.0, 115.57, 113.108108, 115.613208, 113.283019, 117.612613, 112.240741, 112.909091, 116.254545, 112.317757, 111.389831, 164.814159, 195.647619, 118.203883, 116.752381, 108.261261, 117.605769, 112.127451, 119.203704, 110.990991, 108.944954, 118.428571, 113.625, 123.283019, 114.36036, 115.136364, 110.462264, 108.963303, 205.008929, 150.353535, 115.913462, 112.53211, 104.09322, 122.708738, 109.222222, 118.701923, 118.895238, 115.5, 113.886792, 114.162162, 112.855856, 111.598131, 114.657658, 115.719626, 116.601852, 241.486486, 116.245763, 108.438596, 108.050847, 120.8125, 112.820755, 117.909091, 114.230769, 120.990385, 108.286957, 114.868421, 111.637931, 117.149533, 118.166667, 116.534653, 118.380952, 225.64486, 126.712963, 116.462963, 102.201681, 129.783019, 112.940678, 114.601852, 114.152381, 118.330097, 115.543689, 108.554545, 115.438095, 113.392523, 114.701754, 114.172727, 116.429825, 129.809091, 232.317757, 111.714286, 129.92381, 106.991071, 113.886792, 115.466667, 112.858491, 115.669811, 113.607477, 109.198198, 122.028037, 111.53271, 93.777108, 125.410959]",distilgpt
