sample,epi_delta,runtime_delta,busy_fraction
1,5955,52,114.519231
2,13601,119,114.294118
3,13672,131,104.366412
4,13099,104,125.951923
5,12879,112,114.991071
6,12710,109,116.605505
7,12131,106,114.443396
8,12288,113,108.743363
9,13153,108,121.787037
10,11719,106,110.556604
11,12325,105,117.380952
12,20519,106,193.575472
13,17678,108,163.685185
14,12327,118,104.466102
15,12652,107,118.242991
16,12601,110,114.554545
17,12368,116,106.620690
18,13268,110,120.618182
19,13858,119,116.453782
20,12602,101,124.772277
21,11908,110,108.254545
22,11404,104,109.653846
23,12123,106,114.367925
24,12486,107,116.691589
25,12754,109,117.009174
26,12169,106,114.801887
27,12758,107,119.233645
28,12104,109,111.045872
29,26616,114,233.473684
30,12099,101,119.792079
31,11259,111,101.432432
32,13555,117,115.854701
33,12463,113,110.292035
34,12843,109,117.825688
35,12255,105,116.714286
36,12386,107,115.757009
37,12422,102,121.784314
38,13331,130,102.546154
39,12358,105,117.695238
40,12080,120,100.666667
41,14884,107,139.102804
42,11685,106,110.235849
43,11557,106,109.028302
44,12553,109,115.165138
45,21188,108,196.185185
46,17177,106,162.047170
47,12524,110,113.854545
48,12185,112,108.794643
49,12134,108,112.351852
50,12967,112,115.776786
51,13787,116,118.853448
52,11376,103,110.446602
53,12197,106,115.066038
54,13263,109,121.678899
55,11895,105,113.285714
56,12036,105,114.628571
57,11749,105,111.895238
58,12099,106,114.141509
59,12188,107,113.906542
60,12537,107,117.168224
61,13047,119,109.638655
62,26414,109,242.330275
63,12362,110,112.381818
64,12694,113,112.336283
65,13385,116,115.387931
66,12207,109,111.990826
67,12295,105,117.095238
68,13239,111,119.270270
69,11720,108,108.518519
70,12569,105,119.704762
71,12304,110,111.854545
72,12152,110,110.472727
73,13518,113,119.628319
74,14458,129,112.077519
75,11783,105,112.219048
76,12190,105,116.095238
77,12844,111,115.711712
78,21938,106,206.962264
79,16384,105,156.038095
80,12495,107,116.775701
81,11357,105,108.161905
82,13067,114,114.622807
83,12742,109,116.899083
84,12969,114,113.763158
85,12307,107,115.018692
86,12516,108,115.888889
87,14106,116,121.603448
88,12226,106,115.339623
89,11528,104,110.846154
90,12535,101,124.108911
91,11609,106,109.518868
92,12349,109,113.293578
93,12379,124,99.830645
94,14602,115,126.973913
95,27699,123,225.195122
96,16143,174,92.775862
97,17832,120,148.600000
98,13023,110,118.390909
99,12654,114,111.000000
100,11557,100,115.570000
101,12555,111,113.108108
102,12255,106,115.613208
103,12008,106,113.283019
104,13055,111,117.612613
105,12122,108,112.240741
106,12420,110,112.909091
107,12788,110,116.254545
108,12018,107,112.317757
109,13144,118,111.389831
110,18624,113,164.814159
111,20543,105,195.647619
112,12175,103,118.203883
113,12259,105,116.752381
114,12017,111,108.261261
115,12231,104,117.605769
116,11437,102,112.127451
117,12874,108,119.203704
118,12320,111,110.990991
119,11875,109,108.944954
120,14093,119,118.428571
121,11817,104,113.625000
122,13068,106,123.283019
123,12694,111,114.360360
124,12665,110,115.136364
125,11709,106,110.462264
126,11877,109,108.963303
127,22961,112,205.008929
128,14885,99,150.353535
129,12055,104,115.913462
130,12266,109,112.532110
131,12283,118,104.093220
132,12639,103,122.708738
133,12779,117,109.222222
134,12345,104,118.701923
135,12484,105,118.895238
136,12705,110,115.500000
137,12072,106,113.886792
138,12672,111,114.162162
139,12527,111,112.855856
140,11941,107,111.598131
141,12727,111,114.657658
142,12382,107,115.719626
143,12593,108,116.601852
144,26805,111,241.486486
145,13717,118,116.245763
146,12362,114,108.438596
147,12750,118,108.050847
148,13531,112,120.812500
149,11959,106,112.820755
150,12970,110,117.909091
151,11880,104,114.230769
152,12583,104,120.990385
153,12453,115,108.286957
154,13095,114,114.868421
155,12950,116,111.637931
156,12535,107,117.149533
157,13471,114,118.166667
158,11770,101,116.534653
159,12430,105,118.380952
160,24144,107,225.644860
161,13685,108,126.712963
162,12578,108,116.462963
163,12162,119,102.201681
164,13757,106,129.783019
165,13327,118,112.940678
166,12377,108,114.601852
167,11986,105,114.152381
168,12188,103,118.330097
169,11901,103,115.543689
170,11941,110,108.554545
171,12121,105,115.438095
172,12133,107,113.392523
173,13076,114,114.701754
174,12559,110,114.172727
175,13273,114,116.429825
176,14279,110,129.809091
177,24858,107,232.317757
178,12512,112,111.714286
179,13642,105,129.923810
180,11983,112,106.991071
181,12072,106,113.886792
182,12124,105,115.466667
183,11963,106,112.858491
184,12261,106,115.669811
185,12156,107,113.607477
186,12121,111,109.198198
187,13057,107,122.028037
