sample,epi_delta,runtime_delta,busy_fraction
1,3849,30,128.300000
2,10309,107,96.345794
3,10880,116,93.793103
4,9711,99,98.090909
5,10341,108,95.750000
6,19428,117,166.051282
7,30771,108,284.916667
8,29403,110,267.300000
9,28892,100,288.920000
10,30494,128,238.234375
11,32342,115,281.234783
12,11126,106,104.962264
13,9736,109,89.321101
14,10680,110,97.090909
15,10204,109,93.614679
16,10479,107,97.934579
17,9735,109,89.311927
18,10075,106,95.047170
19,10057,112,89.794643
20,10661,101,105.554455
21,10043,103,97.504854
22,9752,106,92.000000
23,9277,109,85.110092
24,10647,114,93.394737
25,10381,102,101.774510
26,9997,112,89.258929
27,10308,105,98.171429
28,11404,125,91.232000
29,11392,108,105.481481
30,10829,123,88.040650
31,11250,114,98.684211
32,10639,111,95.846847
33,10519,115,91.469565
34,10330,104,99.326923
35,10281,107,96.084112
36,10297,110,93.609091
37,10311,116,88.887931
38,11424,110,103.854545
39,10267,104,98.721154
40,10003,106,94.367925
41,9747,106,91.952830
42,10863,123,88.317073
43,10965,107,102.476636
44,9897,108,91.638889
45,10091,107,94.308411
46,10682,114,93.701754
47,12265,117,104.829060
48,9449,105,89.990476
49,10311,106,97.273585
50,10385,106,97.971698
51,10755,107,100.514019
52,9598,107,89.700935
53,9894,106,93.339623
54,10133,105,96.504762
55,10703,108,99.101852
56,10034,110,91.218182
57,11048,114,96.912281
58,10996,114,96.456140
59,10276,106,96.943396
60,10084,120,84.033333
61,11069,108,102.490741
62,10199,100,101.990000
63,9821,106,92.650943
64,10035,108,92.916667
65,10518,108,97.388889
66,10011,104,96.259615
67,10500,106,99.056604
68,9788,107,91.476636
69,10202,113,90.283186
70,10943,106,103.235849
71,12564,118,106.474576
72,11473,117,98.059829
73,11092,115,96.452174
74,10622,116,91.568966
75,10619,106,100.179245
76,10353,109,94.981651
77,10367,104,99.682692
78,10904,118,92.406780
79,18598,119,156.285714
80,28788,108,266.555556
81,31375,109,287.844037
82,28499,106,268.858491
83,30450,117,260.256410
84,29574,99,298.727273
85,13619,108,126.101852
86,9818,106,92.622642
87,9968,111,89.801802
88,10555,107,98.644860
89,10085,107,94.252336
90,9811,104,94.336538
91,10344,108,95.777778
92,9905,106,93.443396
93,11169,123,90.804878
94,9928,99,100.282828
95,10198,107,95.308411
96,10065,106,94.952830
97,10511,109,96.431193
98,9908,110,90.072727
99,10184,107,95.177570
100,10366,110,94.236364
101,11563,115,100.547826
102,9816,119,82.487395
103,12090,122,99.098361
104,10745,111,96.801802
105,10425,106,98.349057
106,10425,110,94.772727
107,10461,109,95.972477
108,10084,105,96.038095
109,10157,109,93.183486
110,10643,109,97.642202
111,10213,123,83.032520
112,11762,118,99.677966
113,10880,108,100.740741
114,9943,105,94.695238
115,10268,106,96.867925
116,10565,110,96.045455
117,10236,109,93.908257
118,10279,109,94.302752
119,10489,112,93.651786
120,10573,106,99.745283
121,10393,106,98.047170
122,10373,107,96.943925
123,10365,108,95.972222
124,10417,125,83.336000
125,11507,109,105.568807
126,10766,103,104.524272
127,9844,108,91.148148
128,10384,116,89.517241
129,10984,101,108.752475
130,10376,112,92.642857
131,9958,109,91.357798
132,10187,104,97.951923
133,10039,106,94.707547
134,11318,118,95.915254
135,10226,108,94.685185
136,10204,107,95.364486
137,10817,106,102.047170
138,10542,109,96.715596
139,9714,109,89.119266
140,10256,107,95.850467
141,10330,108,95.648148
142,11198,112,99.982143
143,9977,110,90.700000
144,11085,114,97.236842
145,10323,107,96.476636
146,10615,114,93.114035
147,10581,114,92.815789
148,10457,102,102.519608
149,10173,104,97.817308
150,10161,106,95.858491
151,10036,107,93.794393
152,10552,113,93.380531
153,25907,103,251.524272
154,29422,107,274.971963
155,28800,106,271.698113
156,29344,106,276.830189
157,29130,115,253.304348
158,26580,103,258.058252
159,9927,112,88.633929
160,9650,99,97.474747
161,9918,125,79.344000
162,12706,101,125.801980
163,10213,106,96.349057
164,9747,111,87.810811
165,11647,127,91.708661
166,11126,124,89.725806
167,13234,126,105.031746
168,10672,112,95.285714
169,10879,125,87.032000
170,10836,105,103.200000
171,11149,114,97.798246
172,9836,112,87.821429
173,10098,103,98.038835
174,10192,103,98.951456
175,10977,125,87.816000
176,10452,103,101.475728
177,9653,104,92.817308
178,10161,106,95.858491
179,11750,120,97.916667
180,9950,109,91.284404
181,10308,106,97.245283
182,9852,105,93.828571
183,9847,110,89.518182
184,10701,109,98.174312
185,10371,108,96.027778
186,9954,104,95.711538
187,10110,102,99.117647
188,10175,106,95.990566
189,11233,121,92.834711
190,10205,111,91.936937
191,10332,105,98.400000
192,10556,116,91.000000
193,10640,108,98.518519
194,11276,116,97.206897
195,10794,113,95.522124
196,10745,117,91.837607
197,10731,121,88.685950
198,12098,111,108.990991
199,9859,107,92.140187
200,10257,106,96.764151
201,11120,112,99.285714
202,9965,124,80.362903
203,11383,108,105.398148
204,10429,104,100.278846
205,10132,107,94.691589
206,10597,112,94.616071
207,11332,117,96.854701
208,10215,104,98.221154
209,10086,108,93.388889
210,10756,108,99.592593
211,10045,110,91.318182
212,11008,109,100.990826
213,10081,105,96.009524
214,9904,105,94.323810
215,10082,108,93.351852
216,11361,114,99.657895
217,10143,108,93.916667
218,10329,107,96.532710
219,10944,122,89.704918
220,10489,108,97.120370
221,10954,128,85.578125
222,12017,106,113.367925
223,10301,104,99.048077
224,10489,106,98.952830
225,13945,110,126.772727
226,28463,106,268.518868
227,29450,109,270.183486
228,30448,109,279.339450
229,32314,117,276.188034
230,29323,109,269.018349
231,16018,101,158.594059
232,10725,109,98.394495
233,10023,115,87.156522
234,11205,112,100.044643
235,9789,108,90.638889
236,10474,109,96.091743
237,10975,109,100.688073
238,9862,115,85.756522
239,10821,112,96.616071
240,10302,101,102.000000
241,9823,108,90.953704
242,9843,111,88.675676
243,11050,107,103.271028
244,10586,113,93.681416
245,10107,106,95.349057
246,10112,108,93.629630
247,9896,108,91.629630
248,11114,112,99.232143
249,9994,107,93.401869
250,11158,124,89.983871
251,11761,135,87.118519
252,13002,112,116.089286
253,10719,104,103.067308
254,10301,106,97.179245
255,9917,111,89.342342
256,10211,103,99.135922
257,11023,114,96.692982
258,10737,110,97.609091
259,10353,110,94.118182
260,10381,120,86.508333
261,11664,118,98.847458
262,12070,124,97.338710
263,11402,123,92.699187
264,10576,113,93.592920
265,11427,110,103.881818
266,9951,108,92.138889
267,10310,101,102.079208
268,9803,108,90.768519
269,10365,107,96.869159
270,10156,114,89.087719
271,10701,111,96.405405
272,10224,105,97.371429
273,11049,113,97.778761
274,10902,123,88.634146
275,11767,130,90.515385
276,11655,114,102.236842
277,11243,121,92.917355
278,11102,106,104.735849
279,11435,130,87.961538
280,10526,101,104.217822
281,11391,116,98.198276
282,11575,123,94.105691
283,10076,113,89.168142
284,10922,104,105.019231
285,9917,107,92.682243
286,10320,106,97.358491
287,12099,134,90.291045
288,11864,122,97.245902
289,10731,109,98.449541
290,9896,101,97.980198
291,10903,109,100.027523
292,11283,117,96.435897
293,9560,103,92.815534
294,10108,104,97.192308
295,10111,105,96.295238
296,10812,110,98.290909
297,15941,115,138.617391
298,29263,106,276.066038
299,28690,106,270.660377
300,29203,111,263.090090
301,29641,104,285.009615
302,33007,118,279.720339
303,14776,110,134.327273
304,11027,110,100.245455
305,9897,110,89.972727
306,10201,113,90.274336
307,10804,110,98.218182
308,9492,104,91.269231
309,10752,113,95.150442
310,11319,108,104.805556
311,10133,111,91.288288
312,10047,104,96.605769
313,10026,107,93.700935
314,10158,107,94.934579
315,9372,111,84.432432
316,10311,109,94.596330
317,10182,100,101.820000
318,10212,106,96.339623
319,9920,109,91.009174
320,11168,116,96.275862
321,9835,100,98.350000
322,9935,104,95.528846
323,9526,107,89.028037
324,10635,112,94.955357
325,11586,111,104.378378
326,9307,108,86.175926
327,10124,105,96.419048
328,10118,107,94.560748
329,11740,120,97.833333
330,10459,109,95.954128
331,9990,105,95.142857
332,10765,107,100.607477
333,9984,116,86.068966
334,10948,110,99.527273
335,9869,107,92.233645
336,10524,106,99.283019
337,10010,107,93.551402
338,10095,108,93.472222
339,11189,111,100.801802
340,9702,106,91.528302
341,10130,109,92.935780
342,10565,104,101.586538
343,12324,110,112.036364
344,9809,110,89.172727
345,10076,108,93.296296
346,11265,118,95.466102
347,11247,105,107.114286
348,9853,111,88.765766
349,10458,107,97.738318
350,10138,108,93.870370
351,10063,104,96.759615
352,10248,111,92.324324
353,10845,106,102.311321
354,10013,106,94.462264
355,10270,119,86.302521
356,11281,120,94.008333
357,13818,146,94.643836
358,12167,110,110.609091
359,10371,109,95.146789
360,10219,119,85.873950
361,11434,108,105.870370
362,9952,103,96.621359
363,10170,108,94.166667
364,10203,110,92.754545
365,9989,105,95.133333
366,10827,109,99.330275
367,10065,105,95.857143
368,10312,107,96.373832
369,9374,104,90.134615
370,10864,110,98.763636
371,21548,107,201.383178
372,28578,104,274.788462
373,29718,107,277.738318
374,30577,118,259.127119
375,30869,107,288.495327
376,28107,105,267.685714
377,10037,111,90.423423
378,10168,108,94.148148
379,10540,112,94.107143
380,10361,117,88.555556
381,11404,114,100.035088
382,10639,104,102.298077
383,10658,114,93.491228
384,10865,119,91.302521
385,11330,111,102.072072
386,9799,106,92.443396
387,9930,108,91.944444
388,10268,106,96.867925
389,10136,114,88.912281
390,11440,112,102.142857
391,9570,106,90.283019
392,10406,114,91.280702
393,11355,109,104.174312
394,9448,105,89.980952
395,10196,105,97.104762
396,10444,108,96.703704
397,10991,114,96.412281
398,10712,112,95.642857
399,9847,102,96.539216
400,10199,105,97.133333
401,10105,108,93.564815
402,9772,112,87.250000
403,11141,111,100.369369
404,10173,100,101.730000
405,10140,107,94.766355
406,9890,114,86.754386
407,10774,115,93.686957
408,10425,115,90.652174
409,11285,102,110.637255
410,9961,111,89.738739
411,11157,109,102.357798
412,10386,115,90.313043
413,10205,107,95.373832
414,10298,106,97.150943
415,10393,108,96.231481
416,10831,114,95.008772
417,10121,105,96.390476
418,10170,105,96.857143
419,10808,114,94.807018
420,10995,110,99.954545
421,9820,107,91.775701
422,10617,111,95.648649
423,10045,105,95.666667
424,10125,110,92.045455
425,10201,109,93.587156
426,10726,114,94.087719
427,10544,101,104.396040
428,10275,115,89.347826
429,10985,115,95.521739
430,11087,102,108.696078
431,9852,103,95.650485
432,10043,112,89.669643
433,9801,104,94.240385
434,11963,110,108.754545
435,10446,103,101.417476
436,10205,108,94.490741
437,10512,105,100.114286
438,9740,114,85.438596
439,11399,121,94.206612
440,12039,114,105.605263
441,10256,103,99.572816
442,10184,114,89.333333
443,10880,110,98.909091
444,14574,107,136.205607
445,28003,107,261.710280
446,29921,108,277.046296
447,29410,103,285.533981
448,28288,109,259.522936
449,31484,106,297.018868
450,18150,116,156.465517
451,10439,119,87.722689
452,12051,124,97.185484
453,10959,117,93.666667
454,10596,103,102.873786
455,9930,109,91.100917
456,10306,106,97.226415
457,10056,119,84.504202
458,10382,107,97.028037
459,10798,106,101.867925
460,9831,115,85.486957
461,10451,108,96.768519
462,10949,104,105.278846
463,9437,106,89.028302
464,10713,107,100.121495
465,10225,108,94.675926
466,10393,110,94.481818
467,9959,108,92.212963
468,10406,109,95.467890
469,10418,106,98.283019
470,10026,105,95.485714
471,9972,108,92.333333
472,10310,114,90.438596
473,10598,121,87.586777
474,11722,108,108.537037
475,10501,110,95.463636
476,9850,110,89.545455
477,10092,106,95.207547
478,10672,103,103.611650
479,10095,110,91.772727
480,10088,106,95.169811
481,10057,105,95.780952
482,9961,104,95.778846
483,9715,107,90.794393
484,10669,109,97.880734
485,10259,108,94.990741
486,10256,105,97.676190
487,10043,108,92.990741
488,9959,105,94.847619
489,10165,110,92.409091
490,10574,112,94.410714
491,10641,105,101.342857
492,10552,105,100.495238
493,10035,110,91.227273
494,10099,127,79.519685
495,12513,111,112.729730
496,10086,107,94.261682
497,11240,106,106.037736
498,9737,117,83.222222
499,10704,102,104.941176
500,10764,109,98.752294
