sample,epi_delta,runtime_delta,busy_fraction
1,2844,35,81.257143
2,7869,113,69.637168
3,7649,101,75.732673
4,8322,113,73.646018
5,7813,109,71.678899
6,7402,104,71.173077
7,8658,126,68.714286
8,9510,126,75.476190
9,8283,112,73.955357
10,7458,114,65.421053
11,7793,108,72.157407
12,8051,107,75.242991
13,7772,114,68.175439
14,8611,111,77.576577
15,7795,107,72.850467
16,7827,113,69.265487
17,7562,100,75.620000
18,7858,110,71.436364
19,7858,108,72.759259
20,7665,111,69.054054
21,7761,107,72.532710
22,7712,110,70.109091
23,8327,113,73.690265
24,7707,112,68.812500
25,7785,103,75.582524
26,7790,105,74.190476
27,8492,116,73.206897
28,7551,109,69.275229
29,7699,109,70.633028
30,8347,112,74.526786
31,7319,101,72.465347
32,7856,112,70.142857
33,8061,109,73.954128
34,7784,136,57.235294
35,10056,117,85.948718
36,8473,123,68.886179
37,9336,123,75.902439
38,7796,110,70.872727
39,8133,103,78.961165
40,7509,106,70.839623
41,7699,115,66.947826
42,7940,102,77.843137
43,8276,111,74.558559
44,7655,106,72.216981
45,7680,116,66.206897
46,8263,110,75.118182
47,7722,105,73.542857
48,8094,112,72.267857
49,7891,116,68.025862
50,7848,111,70.702703
51,8048,106,75.924528
52,7719,103,74.941748
53,7659,109,70.266055
54,7781,109,71.385321
55,8320,112,74.285714
56,7795,108,72.175926
57,7575,106,71.462264
58,7787,111,70.153153
59,8037,107,75.112150
60,7819,106,73.764151
61,7744,119,65.075630
62,8486,108,78.574074
63,7944,118,67.322034
64,8368,115,72.765217
65,8210,101,81.287129
66,7698,107,71.943925
67,7583,113,67.106195
68,7823,106,73.801887
69,7424,105,70.704762
70,7710,105,73.428571
71,8291,113,73.371681
72,7598,108,70.351852
73,8089,111,72.873874
74,9608,107,89.794393
75,7858,111,70.792793
76,8328,115,72.417391
77,8838,108,81.833333
78,7605,107,71.074766
79,8040,110,73.090909
80,7741,111,69.738739
81,7722,106,72.849057
82,7955,113,70.398230
83,8294,106,78.245283
84,7667,112,68.455357
85,8000,100,80.000000
86,7498,114,65.771930
87,8328,114,73.052632
88,7697,103,74.728155
89,7809,111,70.351351
90,7423,102,72.774510
91,7328,103,71.145631
92,7884,107,73.682243
93,8101,112,72.330357
94,7412,107,69.271028
95,8165,109,74.908257
96,7934,107,74.149533
97,7605,106,71.745283
98,7412,105,70.590476
99,7774,109,71.321101
100,8845,126,70.198413
101,9259,124,74.669355
102,7773,107,72.644860
103,7876,102,77.215686
104,7371,111,66.405405
105,8080,116,69.655172
106,8261,106,77.933962
107,7371,110,67.009091
108,8222,105,78.304762
109,7561,110,68.736364
110,7616,100,76.160000
111,7836,109,71.889908
112,7781,105,74.104762
113,7825,107,73.130841
114,8474,119,71.210084
115,8336,111,75.099099
116,7995,120,66.625000
117,37056,117,316.717949
118,29198,111,263.045045
119,31498,106,297.150943
120,32474,110,295.218182
121,29602,103,287.398058
122,29601,104,284.625000
123,31231,106,294.632075
124,30837,113,272.893805
125,29953,106,282.575472
126,31269,108,289.527778
127,30315,104,291.490385
128,32456,111,292.396396
129,28402,110,258.200000
130,35914,133,270.030075
131,35126,119,295.176471
132,34673,126,275.182540
133,33461,108,309.824074
134,29571,107,276.364486
135,32113,107,300.121495
136,28959,106,273.198113
137,30603,102,300.029412
138,31045,110,282.227273
139,32627,108,302.101852
140,30237,113,267.584071
141,29588,108,273.962963
142,32420,105,308.761905
143,31289,108,289.712963
144,33017,119,277.453782
145,30035,115,261.173913
146,34634,108,320.685185
147,28602,105,272.400000
148,31189,105,297.038095
149,28909,112,258.116071
150,34145,108,316.157407
151,29617,112,264.437500
152,31973,109,293.330275
153,30490,105,290.380952
154,30771,107,287.579439
155,31161,109,285.880734
156,32099,118,272.025424
157,31158,114,273.315789
158,32253,102,316.205882
159,33936,123,275.902439
160,29898,108,276.833333
161,30068,107,281.009346
162,31950,104,307.211538
163,29902,106,282.094340
164,30987,107,289.598131
165,30198,107,282.224299
166,30607,110,278.245455
167,30421,103,295.349515
168,30515,106,287.877358
169,35235,122,288.811475
170,30600,110,278.181818
171,29681,105,282.676190
172,31664,109,290.495413
173,30482,109,279.651376
174,31786,115,276.400000
175,30918,109,283.651376
176,30652,105,291.923810
177,32024,108,296.518519
178,31335,118,265.550847
179,32346,100,323.460000
180,30293,115,263.417391
181,28400,103,275.728155
182,7764,110,70.581818
183,7591,105,72.295238
184,7949,106,74.990566
185,7592,105,72.304762
186,7431,109,68.174312
187,7803,103,75.757282
188,7040,105,67.047619
189,8088,110,73.527273
190,7305,106,68.915094
191,7563,107,70.682243
192,8783,112,78.419643
193,8049,132,60.977273
194,8229,107,76.906542
195,8237,111,74.207207
196,8335,118,70.635593
197,7866,107,73.514019
198,7847,124,63.282258
199,9024,113,79.858407
200,7579,114,66.482456
201,7757,107,72.495327
202,7912,100,79.120000
203,7516,107,70.242991
204,7453,104,71.663462
205,7829,117,66.914530
206,7825,102,76.715686
