sample,epi_delta,runtime_delta,busy_fraction
1,3216,32,100.500000
2,10168,110,92.436364
3,10827,98,110.479592
4,10021,105,95.438095
5,10496,107,98.093458
6,11149,107,104.196262
7,10277,107,96.046729
8,11560,107,108.037383
9,10237,108,94.787037
10,10916,110,99.236364
11,11261,107,105.242991
12,17337,113,153.424779
13,27833,115,242.026087
14,28666,98,292.510204
15,27228,112,243.107143
16,28539,109,261.825688
17,27367,108,253.398148
18,28282,103,274.582524
19,18300,116,157.758621
20,12228,110,111.163636
21,10315,104,99.182692
22,9396,105,89.485714
23,11276,117,96.376068
24,10743,111,96.783784
25,10599,111,95.486486
26,11598,101,114.831683
27,10054,105,95.752381
28,11110,113,98.318584
29,11173,104,107.432692
30,10329,111,93.054054
31,11344,103,110.135922
32,9975,109,91.513761
33,10224,111,92.108108
34,11227,113,99.353982
35,11510,111,103.693694
36,10808,116,93.172414
37,12468,124,100.548387
38,12435,123,101.097561
39,11594,118,98.254237
40,12348,102,121.058824
41,10372,118,87.898305
42,10564,105,100.609524
43,11247,111,101.324324
44,10247,102,100.460784
45,11382,113,100.725664
46,11420,121,94.380165
47,12088,109,110.899083
48,10428,114,91.473684
49,11290,101,111.782178
50,9877,108,91.453704
51,12020,124,96.935484
52,12614,114,110.649123
53,10437,107,97.542056
54,11362,109,104.238532
55,9939,112,88.741071
56,11868,111,106.918919
57,11355,108,105.138889
58,10440,103,101.359223
59,10202,107,95.345794
60,28417,114,249.271930
61,26526,119,222.907563
62,29973,102,293.852941
63,26874,110,244.309091
64,27270,109,250.183486
65,28626,110,260.236364
66,27130,105,258.380952
67,11434,101,113.207921
68,9879,108,91.472222
69,11118,103,107.941748
70,10468,108,96.925926
71,10400,110,94.545455
72,10833,107,101.242991
73,10004,105,95.276190
74,12671,132,95.992424
75,11563,113,102.327434
76,10617,106,100.160377
77,11579,112,103.383929
78,10100,107,94.392523
79,10535,105,100.333333
80,11013,114,96.605263
81,10957,100,109.570000
82,10436,108,96.629630
83,10814,105,102.990476
84,10884,116,93.827586
85,11237,107,105.018692
86,10945,107,102.289720
87,10990,114,96.403509
88,11622,107,108.616822
89,9856,110,89.600000
90,11219,106,105.839623
91,11004,105,104.800000
92,13711,116,118.198276
93,10300,112,91.964286
94,12499,111,112.603604
95,9810,109,90.000000
96,10946,110,99.509091
97,10833,101,107.257426
98,11180,112,99.821429
99,11391,106,107.462264
100,10329,110,93.900000
101,10158,118,86.084746
102,12460,102,122.156863
103,10673,114,93.622807
104,10233,99,103.363636
105,11080,107,103.551402
106,10232,108,94.740741
107,11243,104,108.105769
108,21614,110,196.490909
109,27695,107,258.831776
110,29484,121,243.669421
111,29753,111,268.045045
112,27836,109,255.376147
113,27580,111,248.468468
114,28079,103,272.611650
115,13048,117,111.521368
116,10317,108,95.527778
117,11617,108,107.564815
118,9893,105,94.219048
119,10462,121,86.462810
120,11403,106,107.575472
121,11285,103,109.563107
122,9994,105,95.180952
123,10065,106,94.952830
124,10295,106,97.122642
125,11240,109,103.119266
126,10598,105,100.933333
127,11014,116,94.948276
128,10612,108,98.259259
129,12391,118,105.008475
130,10696,115,93.008696
131,11565,113,102.345133
132,11346,113,100.407080
133,11561,120,96.341667
134,12280,114,107.719298
135,10936,110,99.418182
136,10786,108,99.870370
137,10833,102,106.205882
138,10427,109,95.660550
139,11194,107,104.616822
140,11045,109,101.330275
141,9770,105,93.047619
