sample,epi_delta,runtime_delta,busy_fraction
1,4501,37,121.648649
2,13170,120,109.750000
3,12487,107,116.700935
4,10964,106,103.433962
5,11701,108,108.342593
6,12802,115,111.321739
7,11824,105,112.609524
8,12167,107,113.710280
9,11621,101,115.059406
10,12795,116,110.301724
11,11116,110,101.054545
12,12486,126,99.095238
13,12808,99,129.373737
14,12358,113,109.362832
15,12772,108,118.259259
16,11924,122,97.737705
17,30561,111,275.324324
18,33775,125,270.200000
19,28770,115,250.173913
20,12345,113,109.247788
21,11919,107,111.392523
22,11794,105,112.323810
23,10860,111,97.837838
24,13000,108,120.370370
25,11912,110,108.290909
26,11605,107,108.457944
27,12060,108,111.666667
28,13280,115,115.478261
29,11433,114,100.289474
30,11662,110,106.018182
31,12484,107,116.672897
32,12152,103,117.980583
33,11435,109,104.908257
34,12138,108,112.388889
35,12233,110,111.209091
36,11642,106,109.830189
37,18214,112,162.625000
38,32047,108,296.731481
39,30663,135,227.133333
40,23528,104,226.230769
41,11147,108,103.212963
42,13132,114,115.192982
43,11740,106,110.754717
44,11986,112,107.017857
45,12069,109,110.724771
46,13003,112,116.098214
47,11061,106,104.349057
48,11716,108,108.481481
49,12381,110,112.554545
50,11815,116,101.853448
51,12123,102,118.852941
52,11782,105,112.209524
53,12937,113,114.486726
54,11376,110,103.418182
55,12125,115,105.434783
56,13308,110,120.981818
57,11400,108,105.555556
58,26802,111,241.459459
59,31452,109,288.550459
60,28428,108,263.222222
61,17610,125,140.880000
62,13387,113,118.469027
63,12311,112,109.919643
64,11728,109,107.596330
65,11887,109,109.055046
66,12400,115,107.826087
67,12389,113,109.637168
68,12631,112,112.776786
69,12143,110,110.390909
70,11983,111,107.954955
71,11993,108,111.046296
72,12542,119,105.394958
73,12744,114,111.789474
74,11648,107,108.859813
75,11898,101,117.801980
76,11957,110,108.700000
77,12173,111,109.666667
78,16141,98,164.704082
79,30507,113,269.973451
80,30507,111,274.837838
81,24793,108,229.564815
82,11593,104,111.471154
83,12017,118,101.838983
84,11617,101,115.019802
85,11665,104,112.163462
86,11352,108,105.111111
87,12196,112,108.892857
88,13048,113,115.469027
89,11520,107,107.663551
90,11701,108,108.342593
91,12079,109,110.816514
92,12444,121,102.842975
93,12247,100,122.470000
94,12468,114,109.368421
95,11979,107,111.953271
96,12094,111,108.954955
97,12613,111,113.630631
98,11466,108,106.166667
99,19346,103,187.825243
100,31407,110,285.518182
101,30131,110,273.918182
102,20428,104,196.423077
103,11376,104,109.384615
104,12315,112,109.955357
105,10848,108,100.444444
106,12790,111,115.225225
107,11975,113,105.973451
108,12101,112,108.044643
109,12155,106,114.669811
110,12024,111,108.324324
111,12113,112,108.151786
112,13495,119,113.403361
113,13898,122,113.918033
114,12427,124,100.217742
115,13641,112,121.794643
116,12117,107,113.242991
117,11716,107,109.495327
118,12312,113,108.955752
119,11945,105,113.761905
120,30618,112,273.375000
121,32044,111,288.684685
122,27661,106,260.952830
123,10956,107,102.392523
124,12972,117,110.871795
125,11723,107,109.560748
126,11784,114,103.368421
127,12621,101,124.960396
128,11939,112,106.598214
129,11595,106,109.386792
130,11323,101,112.108911
131,11370,104,109.326923
132,11846,107,110.710280
133,12099,108,112.027778
134,11823,106,111.537736
135,11670,108,108.055556
136,12864,118,109.016949
137,11878,105,113.123810
138,12112,114,106.245614
139,11488,107,107.364486
140,13113,107,122.551402
141,31444,113,278.265487
142,32423,108,300.212963
143,25356,110,230.509091
144,11716,108,108.481481
145,12816,115,111.443478
146,12134,116,104.603448
147,12481,106,117.745283
148,11720,125,93.760000
149,13696,108,126.814815
150,12232,113,108.247788
151,12239,115,106.426087
152,13262,101,131.306931
153,12437,111,112.045045
154,12513,119,105.151261
155,14512,123,117.983740
156,11647,108,107.842593
157,11905,108,110.231481
158,11535,106,108.820755
159,12001,111,108.117117
160,12513,110,113.754545
161,24905,108,230.601852
162,31078,124,250.629032
163,30671,104,294.913462
164,15774,115,137.165217
165,12695,108,117.546296
166,11483,104,110.413462
167,11429,107,106.813084
168,11726,106,110.622642
169,11949,118,101.262712
170,12238,101,121.168317
171,12186,109,111.798165
172,12561,111,113.162162
173,11911,109,109.275229
174,12607,122,103.336066
175,12296,121,101.619835
176,13822,106,130.396226
177,12196,111,109.873874
178,12061,120,100.508333
179,12528,103,121.631068
180,12205,107,114.065421
181,16995,113,150.398230
182,30004,105,285.752381
183,32486,116,280.051724
184,22553,107,210.775701
185,11620,105,110.666667
186,11531,106,108.783019
187,12181,111,109.738739
188,11901,105,113.342857
189,11462,107,107.121495
190,12282,108,113.722222
191,11443,113,101.265487
192,12512,107,116.934579
193,12947,115,112.582609
194,11464,108,106.148148
195,11700,105,111.428571
196,12387,114,108.657895
197,11720,104,112.692308
198,11794,103,114.504854
199,11107,112,99.169643
200,12877,103,125.019417
201,11772,112,105.107143
202,15076,101,149.267327
203,30939,111,278.729730
204,30761,101,304.564356
205,23702,110,215.472727
206,12240,124,98.709677
207,13305,118,112.754237
208,13163,123,107.016260
209,14165,125,113.320000
210,12469,105,118.752381
211,12503,111,112.639640
212,11773,107,110.028037
213,12092,110,109.927273
214,11794,118,99.949153
215,13152,99,132.848485
216,11231,108,103.990741
217,11892,112,106.178571
218,12156,107,113.607477
219,11944,103,115.961165
220,11485,109,105.366972
221,12574,107,117.514019
222,11359,108,105.175926
223,25566,116,220.396552
224,32677,109,299.788991
225,27764,110,252.400000
226,17047,111,153.576577
227,11208,111,100.972973
228,12418,113,109.893805
229,12328,105,117.409524
230,11243,107,105.074766
231,12134,108,112.351852
232,11609,105,110.561905
233,12222,116,105.362069
234,12337,105,117.495238
235,11529,105,109.800000
236,12462,111,112.270270
237,11548,112,103.107143
238,13163,108,121.879630
239,11202,107,104.691589
240,11775,106,111.084906
241,11890,113,105.221239
242,11916,102,116.823529
243,13509,111,121.702703
244,27271,111,245.684685
245,31446,111,283.297297
246,28423,121,234.900826
247,18354,127,144.519685
248,11753,114,103.096491
