sample,epi_delta,runtime_delta,busy_fraction
1,10248,35,292.800000
2,31693,109,290.761468
3,32531,111,293.072072
4,31254,109,286.733945
5,33256,105,316.723810
6,34291,117,293.085470
7,32118,116,276.879310
8,31553,101,312.405941
9,32024,107,299.289720
10,32393,108,299.935185
11,33214,111,299.225225
12,30434,106,287.113208
13,36933,129,286.302326
14,33086,119,278.033613
15,34853,116,300.456897
16,39184,127,308.535433
17,38015,126,301.706349
18,18366,112,163.982143
19,10626,130,81.738462
20,8467,129,65.635659
21,11049,108,102.305556
22,10412,123,84.650407
23,8471,115,73.660870
24,11534,148,77.932432
25,11744,123,95.479675
26,9116,110,82.872727
27,8567,107,80.065421
28,9634,111,86.792793
29,8632,107,80.672897
30,9312,119,78.252101
31,9109,109,83.568807
32,9618,108,89.055556
33,8791,109,80.651376
34,9134,106,86.169811
35,8705,106,82.122642
36,8461,104,81.355769
37,8414,104,80.903846
38,8834,104,84.942308
39,8620,104,82.884615
40,9151,105,87.152381
41,8508,109,78.055046
42,9318,104,89.596154
43,9088,110,82.618182
44,8506,107,79.495327
45,8846,105,84.247619
46,9758,111,87.909910
47,8978,117,76.735043
48,9601,108,88.898148
49,9409,107,87.934579
50,9564,121,79.041322
51,9595,113,84.911504
52,9265,115,80.565217
53,9228,102,90.470588
54,8620,109,79.082569
55,8815,108,81.620370
56,9873,114,86.605263
57,9533,121,78.785124
58,9189,99,92.818182
59,8974,113,79.415929
60,9298,107,86.897196
61,8748,112,78.107143
62,9554,104,91.865385
63,8718,107,81.476636
64,9141,116,78.801724
65,9884,116,85.206897
66,9543,108,88.361111
67,9325,107,87.149533
68,9215,110,83.772727
69,8929,111,80.441441
70,8800,107,82.242991
71,10039,110,91.263636
72,8565,105,81.571429
73,8974,110,81.581818
74,8844,104,85.038462
75,9216,110,83.781818
76,10065,117,86.025641
77,10126,119,85.092437
78,8811,117,75.307692
79,9964,112,88.964286
80,10101,124,81.459677
81,9596,116,82.724138
82,9599,121,79.330579
83,11628,133,87.428571
84,9163,104,88.105769
85,9428,110,85.709091
86,9493,109,87.091743
87,9165,111,82.567568
88,9595,115,83.434783
89,9122,113,80.725664
90,9132,102,89.529412
91,9479,116,81.715517
92,9193,110,83.572727
93,8988,103,87.262136
94,9400,112,83.928571
95,8805,110,80.045455
96,9100,108,84.259259
97,8600,109,78.899083
98,9580,108,88.703704
99,9358,105,89.123810
100,8665,113,76.681416
101,9035,109,82.889908
102,10224,108,94.666667
103,8778,106,82.811321
104,9622,120,80.183333
105,10976,108,101.629630
106,9008,107,84.186916
107,9665,114,84.780702
108,8381,100,83.810000
109,8962,108,82.981481
110,8814,104,84.750000
111,10138,139,72.935252
112,10541,107,98.514019
113,9332,115,81.147826
114,9154,108,84.759259
115,8612,104,82.807692
116,10447,119,87.789916
117,8789,102,86.166667
118,8941,116,77.077586
119,9447,108,87.472222
120,9896,109,90.788991
121,8560,103,83.106796
122,9015,106,85.047170
123,9701,115,84.356522
124,8765,105,83.476190
125,9076,107,84.822430
126,8793,107,82.177570
127,8822,102,86.490196
128,8931,109,81.935780
129,8891,104,85.490385
130,13963,101,138.247525
131,9669,117,82.641026
132,8787,100,87.870000
133,9112,123,74.081301
134,9946,104,95.634615
135,8762,107,81.887850
136,9500,112,84.821429
137,9164,116,79.000000
138,9459,102,92.735294
139,8868,108,82.111111
140,9655,116,83.232759
141,8950,109,82.110092
142,9227,107,86.233645
143,9609,110,87.354545
144,8820,109,80.917431
145,9083,105,86.504762
146,9629,112,85.973214
147,9208,111,82.954955
148,9103,107,85.074766
149,8999,104,86.528846
150,8945,111,80.585586
151,9325,107,87.149533
152,9218,115,80.156522
153,9411,103,91.368932
154,9448,112,84.357143
155,9250,115,80.434783
156,9726,110,88.418182
157,8833,102,86.598039
158,9069,113,80.256637
159,9368,110,85.163636
160,9946,110,90.418182
161,8994,102,88.176471
162,9485,114,83.201754
163,8857,106,83.556604
164,8516,103,82.679612
165,8984,105,85.561905
166,9525,122,78.073770
167,9852,114,86.421053
168,9324,105,88.800000
169,9874,126,78.365079
170,10056,113,88.991150
171,9303,105,88.600000
172,9021,107,84.308411
173,8832,108,81.777778
174,9351,111,84.243243
175,10209,121,84.371901
176,10042,115,87.321739
177,9425,116,81.250000
178,10310,120,85.916667
179,9523,116,82.094828
180,9704,101,96.079208
181,8928,107,83.439252
182,8949,104,86.048077
183,9456,121,78.148760
184,9488,105,90.361905
185,9121,109,83.678899
186,8742,103,84.873786
187,9744,117,83.282051
188,9462,103,91.864078
189,9597,115,83.452174
190,8627,102,84.578431
191,9247,108,85.620370
192,9284,105,88.419048
193,8786,114,77.070175
194,10271,113,90.893805
195,8545,109,78.394495
196,9380,110,85.272727
197,11004,110,100.036364
198,9544,105,90.895238
199,9087,112,81.133929
200,9024,107,84.336449
201,8933,112,79.758929
202,9525,107,89.018692
203,9463,103,91.873786
204,8898,109,81.633028
205,9578,108,88.685185
206,14534,116,125.293103
207,32638,111,294.036036
208,31000,99,313.131313
209,30930,106,291.792453
210,33777,113,298.911504
211,36013,124,290.427419
212,32341,104,310.971154
213,30827,110,280.245455
214,31670,106,298.773585
215,31544,107,294.803738
216,32702,106,308.509434
217,30623,109,280.944954
218,31204,105,297.180952
219,31140,117,266.153846
220,37038,105,352.742857
221,29327,115,255.017391
222,33394,106,315.037736
223,29913,103,290.417476
224,32084,108,297.074074
225,31267,109,286.853211
226,33704,106,317.962264
227,19103,104,183.682692
228,8406,104,80.826923
229,8764,108,81.148148
230,9144,107,85.457944
231,8642,104,83.096154
232,8836,104,84.961538
233,14371,110,130.645455
234,9789,121,80.900826
235,8519,104,81.913462
236,8669,102,84.990196
237,8486,105,80.819048
238,9500,110,86.363636
239,8580,115,74.608696
240,9643,107,90.121495
241,9149,112,81.687500
242,9330,110,84.818182
243,9641,119,81.016807
244,9365,108,86.712963
245,9621,107,89.915888
246,8570,104,82.403846
247,9152,114,80.280702
248,8819,121,72.884298
249,10635,105,101.285714
250,8838,109,81.082569
251,8952,105,85.257143
252,8689,116,74.905172
253,9485,102,92.990196
254,8280,107,77.383178
255,9215,108,85.324074
256,9355,118,79.279661
257,9973,113,88.256637
258,9111,108,84.361111
259,8310,103,80.679612
260,9665,110,87.863636
261,9257,120,77.141667
262,9549,108,88.416667
263,9885,114,86.710526
264,8883,106,83.801887
265,8864,109,81.321101
266,9179,106,86.594340
267,8706,106,82.132075
268,9101,107,85.056075
269,8677,110,78.881818
270,10301,121,85.132231
271,9864,116,85.034483
272,9917,117,84.760684
273,9966,122,81.688525
274,9099,115,79.121739
275,9660,99,97.575758
276,9208,111,82.954955
277,8920,108,82.592593
278,8610,108,79.722222
279,9480,108,87.777778
280,10076,119,84.672269
281,8685,103,84.320388
282,8622,107,80.579439
283,9176,109,84.183486
284,9831,118,83.313559
285,9238,102,90.568627
286,8879,114,77.885965
287,9153,108,84.750000
288,10808,116,93.172414
289,9247,106,87.235849
290,9087,106,85.726415
291,9227,104,88.721154
292,8419,109,77.238532
293,9461,109,86.798165
294,9213,109,84.522936
295,8931,103,86.708738
296,8796,103,85.398058
297,8987,105,85.590476
298,9494,118,80.457627
299,8837,106,83.367925
300,8632,100,86.320000
301,8593,107,80.308411
302,10194,115,88.643478
303,10129,127,79.755906
304,9250,108,85.648148
305,9625,110,87.500000
306,8849,104,85.086538
307,9981,114,87.552632
308,8282,107,77.401869
309,9322,106,87.943396
310,8679,108,80.361111
311,9044,113,80.035398
312,9121,101,90.306931
313,8782,109,80.568807
314,9092,105,86.590476
315,9491,119,79.756303
316,9261,106,87.367925
317,9493,112,84.758929
318,8981,105,85.533333
319,8947,111,80.603604
320,8680,114,76.140351
321,9692,109,88.917431
322,8993,102,88.166667
323,9555,111,86.081081
324,9437,122,77.352459
325,10082,116,86.913793
326,9362,101,92.693069
327,8740,107,81.682243
328,8650,104,83.173077
329,8386,105,79.866667
330,10173,118,86.211864
331,10008,113,88.566372
332,8844,103,85.864078
333,8557,107,79.971963
334,9131,115,79.400000
335,9254,114,81.175439
336,14674,102,143.862745
337,8886,107,83.046729
338,9654,110,87.763636
339,9360,114,82.105263
340,8616,102,84.470588
341,8984,106,84.754717
342,8795,104,84.567308
343,9071,115,78.878261
344,9776,108,90.518519
345,11954,110,108.672727
346,8732,105,83.161905
347,9050,112,80.803571
348,9130,105,86.952381
349,9141,107,85.429907
350,9365,108,86.712963
351,9076,106,85.622642
352,8661,109,79.458716
353,10234,119,86.000000
354,9611,140,68.650000
355,10745,110,97.681818
356,9228,111,83.135135
357,9634,109,88.385321
358,9333,106,88.047170
359,8937,110,81.245455
360,9586,106,90.433962
361,9703,126,77.007937
362,9810,104,94.326923
363,9832,110,89.381818
364,8664,107,80.971963
365,9172,120,76.433333
366,10713,129,83.046512
367,10476,123,85.170732
368,11081,121,91.578512
369,9501,112,84.830357
370,8982,104,86.365385
371,9719,118,82.364407
372,9522,108,88.166667
373,8890,107,83.084112
374,8709,111,78.459459
375,10425,120,86.875000
376,9338,102,91.549020
377,8832,102,86.588235
378,8917,109,81.807339
379,11471,112,102.419643
380,9058,110,82.345455
381,10604,125,84.832000
382,9171,121,75.793388
383,10741,113,95.053097
384,11285,149,75.738255
385,12214,132,92.530303
386,11172,128,87.281250
387,9895,122,81.106557
388,9482,114,83.175439
389,9671,112,86.348214
390,8851,107,82.719626
391,9459,111,85.216216
392,9811,112,87.598214
393,8856,108,82.000000
394,9448,102,92.627451
395,8816,106,83.169811
396,9120,106,86.037736
397,10024,116,86.413793
398,9153,108,84.750000
399,8408,105,80.076190
400,9108,106,85.924528
401,9206,108,85.240741
402,9739,114,85.429825
403,9704,111,87.423423
404,9632,106,90.867925
405,9536,111,85.909910
406,10494,118,88.932203
407,8456,106,79.773585
408,9025,107,84.345794
409,9354,107,87.420561
410,9821,111,88.477477
411,9249,110,84.081818
412,8916,105,84.914286
413,8634,104,83.019231
414,9342,109,85.706422
415,9973,114,87.482456
416,30129,105,286.942857
417,31288,106,295.169811
418,31669,107,295.971963
419,31776,105,302.628571
420,35672,117,304.888889
421,30433,104,292.625000
422,31838,107,297.551402
423,29561,106,278.877358
424,35685,117,305.000000
425,34715,115,301.869565
426,30549,107,285.504673
427,31116,107,290.803738
428,33377,110,303.427273
429,32763,113,289.938053
430,31446,105,299.485714
431,30861,107,288.420561
432,31637,105,301.304762
433,30783,121,254.404959
434,37767,118,320.059322
435,34920,109,320.366972
436,20389,104,196.048077
437,8358,108,77.388889
438,9808,117,83.829060
439,10066,123,81.837398
440,8918,103,86.582524
441,8534,103,82.854369
442,11192,119,94.050420
443,10127,113,89.619469
444,8675,105,82.619048
445,9712,137,70.890511
446,11143,110,101.300000
447,9724,120,81.033333
448,9143,100,91.430000
449,8620,115,74.956522
450,9371,111,84.423423
451,8972,117,76.683761
452,9893,106,93.330189
453,8553,108,79.194444
454,9284,107,86.766355
455,8970,112,80.089286
456,9746,109,89.412844
457,8734,106,82.396226
458,8512,109,78.091743
459,9550,120,79.583333
460,9903,130,76.176923
461,10839,120,90.325000
462,9630,112,85.982143
463,9310,108,86.203704
464,8737,120,72.808333
465,10319,102,101.166667
466,8385,107,78.364486
467,8650,107,80.841121
468,11475,109,105.275229
469,9004,136,66.205882
470,11261,113,99.654867
471,10851,129,84.116279
472,9456,115,82.226087
473,9922,115,86.278261
474,8623,107,80.588785
475,9239,103,89.699029
476,8823,106,83.235849
477,9186,111,82.756757
478,8717,105,83.019048
479,8676,108,80.333333
480,8839,101,87.514851
481,8783,105,83.647619
482,8566,104,82.365385
483,9729,114,85.342105
484,8883,107,83.018692
485,8911,106,84.066038
486,9205,108,85.231481
487,9248,115,80.417391
488,10412,117,88.991453
489,8880,104,85.384615
490,8969,111,80.801802
491,8613,108,79.750000
492,10337,124,83.362903
493,8784,98,89.632653
494,9516,107,88.934579
495,8943,114,78.447368
496,9325,112,83.258929
497,9631,118,81.618644
498,9007,101,89.178218
499,8867,106,83.650943
500,9216,113,81.557522
