sample,epi_delta,runtime_delta,busy_fraction
1,9986,38,262.789474
2,30485,122,249.877049
3,27527,110,250.245455
4,28004,109,256.917431
5,26871,111,242.081081
6,25712,113,227.539823
7,27740,110,252.181818
8,26845,119,225.588235
9,29447,115,256.060870
10,26476,99,267.434343
11,27987,114,245.500000
12,27420,111,247.027027
13,26638,107,248.953271
14,28583,110,259.845455
15,25117,115,218.408696
16,27811,103,270.009709
17,25473,114,223.447368
18,28892,126,229.301587
19,30680,121,253.553719
20,31631,130,243.315385
21,28763,107,268.813084
22,27860,105,265.333333
23,24643,106,232.481132
24,25690,111,231.441441
25,27413,107,256.196262
26,26620,107,248.785047
27,30502,126,242.079365
28,30171,131,230.312977
29,28448,102,278.901961
30,25976,105,247.390476
31,25884,114,227.052632
32,26335,101,260.742574
33,28621,106,270.009434
34,25710,102,252.058824
35,27316,115,237.530435
36,27926,117,238.683761
37,26332,110,239.381818
38,26848,107,250.915888
39,29115,109,267.110092
40,24950,114,218.859649
41,27467,107,256.700935
42,30746,119,258.369748
43,27477,101,272.049505
44,25898,109,237.596330
45,26140,109,239.816514
46,27847,119,234.008403
47,27175,117,232.264957
48,28476,98,290.571429
49,29550,129,229.069767
50,28048,111,252.684685
51,29553,107,276.196262
52,25962,111,233.891892
53,27861,106,262.839623
54,25565,110,232.409091
55,26580,105,253.142857
56,28050,119,235.714286
57,27356,104,263.038462
58,26186,108,242.462963
59,27247,116,234.887931
60,26970,112,240.803571
61,26620,102,260.980392
62,27357,125,218.856000
63,27857,98,284.255102
64,27900,117,238.461538
65,25458,103,247.165049
66,26934,115,234.208696
67,27283,102,267.480392
68,26564,110,241.490909
69,25738,104,247.480769
70,28992,117,247.794872
71,27730,111,249.819820
72,25879,112,231.062500
73,27877,112,248.901786
74,27432,108,254.000000
75,28421,115,247.139130
76,25565,107,238.925234
77,26549,112,237.044643
78,27399,108,253.694444
79,28358,109,260.165138
80,26024,110,236.581818
81,28203,109,258.743119
82,30704,127,241.763780
83,33815,143,236.468531
84,27796,101,275.207921
85,25025,111,225.450450
86,28964,107,270.691589
87,26397,117,225.615385
