sample,epi_delta,runtime_delta,busy_fraction
1,9911,35,283.171429
2,21101,109,193.587156
3,19171,105,182.580952
4,18592,107,173.757009
5,20667,115,179.713043
6,19158,111,172.594595
7,19539,101,193.455446
8,18913,107,176.757009
9,20058,131,153.114504
10,22122,105,210.685714
11,20222,116,174.327586
12,19764,102,193.764706
13,19751,111,177.936937
14,20730,116,178.706897
15,19114,105,182.038095
16,17663,108,163.546296
17,20865,100,208.650000
18,20069,113,177.601770
19,19665,117,168.076923
20,19691,109,180.651376
21,19434,106,183.339623
22,19696,106,185.811321
23,18741,104,180.201923
24,19753,113,174.805310
25,18830,107,175.981308
26,19250,104,185.096154
27,18696,105,178.057143
28,21953,126,174.230159
29,20804,115,180.904348
30,19862,110,180.563636
31,18931,107,176.925234
32,19720,109,180.917431
33,19720,105,187.809524
34,20570,110,187.000000
35,19790,105,188.476190
36,17711,109,162.486239
37,19728,106,186.113208
38,18304,100,183.040000
39,18859,107,176.252336
40,19511,118,165.347458
41,23325,123,189.634146
42,19846,106,187.226415
43,19564,112,174.678571
44,20490,103,198.932039
45,19966,125,159.728000
46,20179,102,197.833333
47,19188,106,181.018868
48,18909,107,176.719626
49,19742,108,182.796296
50,19899,114,174.552632
51,20292,108,187.888889
52,19910,111,179.369369
53,20007,111,180.243243
54,19021,110,172.918182
55,20406,123,165.902439
56,23510,113,208.053097
57,22793,109,209.110092
58,22040,118,186.779661
59,22216,125,177.728000
60,19105,137,139.452555
61,26422,118,223.915254
62,24826,141,176.070922
63,24125,141,171.099291
64,23490,126,186.428571
65,20772,105,197.828571
66,20827,119,175.016807
67,23167,128,180.992188
68,19049,108,176.379630
69,20420,107,190.841121
70,18668,102,183.019608
71,20878,120,173.983333
72,19953,109,183.055046
73,20103,106,189.650943
74,19341,107,180.757009
75,17991,105,171.342857
76,20896,136,153.647059
77,22258,105,211.980952
78,20642,113,182.672566
79,19242,109,176.532110
80,21953,116,189.250000
81,21017,115,182.756522
82,18511,110,168.281818
83,19783,109,181.495413
84,18443,106,173.990566
85,20986,115,182.486957
86,18827,111,169.612613
87,20609,101,204.049505
88,18223,105,173.552381
89,19696,109,180.697248
90,18772,111,169.117117
91,21400,107,200.000000
92,19149,108,177.305556
93,19880,109,182.385321
94,19901,119,167.235294
95,20857,113,184.575221
96,18729,110,170.263636
97,20176,107,188.560748
98,19685,101,194.900990
99,17711,104,170.298077
100,20348,113,180.070796
101,19185,105,182.714286
102,19231,109,176.431193
103,19308,104,185.653846
104,20565,115,178.826087
105,19097,108,176.824074
106,18838,105,179.409524
107,18812,104,180.884615
108,20708,133,155.699248
109,23902,120,199.183333
110,19654,101,194.594059
111,19533,110,177.572727
112,19915,108,184.398148
113,19221,105,183.057143
114,19360,107,180.934579
115,19443,105,185.171429
116,18367,104,176.605769
117,21069,125,168.552000
118,21424,114,187.929825
119,19812,106,186.905660
120,18399,104,176.913462
121,19390,105,184.666667
122,18325,105,174.523810
123,19251,105,183.342857
124,19655,110,178.681818
125,19463,105,185.361905
126,19069,110,173.354545
127,22879,129,177.356589
128,20444,112,182.535714
129,19413,107,181.429907
130,18801,105,179.057143
131,20403,118,172.906780
132,21199,117,181.188034
133,19398,103,188.330097
134,21144,109,193.981651
135,18369,109,168.522936
136,22749,122,186.467213
137,20049,109,183.935780
138,19582,105,186.495238
139,18825,103,182.766990
140,19208,112,171.500000
141,18962,108,175.574074
142,19208,102,188.313725
143,19264,109,176.733945
144,19188,108,177.666667
145,20104,122,164.786885
146,20667,102,202.617647
147,19345,107,180.794393
148,19247,102,188.696078
149,18083,115,157.243478
150,21912,111,197.405405
151,20068,113,177.592920
152,19124,101,189.346535
153,18199,103,176.689320
154,18741,106,176.801887
155,22175,124,178.830645
