sample,epi_delta,runtime_delta,busy_fraction
1,4195,43,97.558140
2,16026,114,140.578947
3,14622,110,132.927273
4,15284,109,140.220183
5,14394,106,135.792453
6,13739,107,128.401869
7,13323,106,125.688679
8,15236,110,138.509091
9,13250,107,123.831776
10,13651,107,127.579439
11,15567,117,133.051282
12,16298,119,136.957983
13,14862,114,130.368421
14,14176,101,140.356436
15,13102,103,127.203883
16,14546,111,131.045045
17,14314,104,137.634615
18,14526,110,132.054545
19,14950,108,138.425926
20,15044,113,133.132743
21,14730,117,125.897436
22,14810,108,137.129630
23,15021,114,131.763158
24,14235,110,129.409091
25,14428,106,136.113208
26,14276,108,132.185185
27,14067,107,131.467290
28,14299,102,140.186275
29,13849,113,122.557522
30,14545,106,137.216981
31,13753,106,129.745283
32,14829,106,139.896226
33,14822,105,141.161905
34,15018,113,132.902655
35,14018,105,133.504762
36,14999,112,133.919643
37,15108,114,132.526316
38,13896,102,136.235294
39,14636,121,120.958678
40,14692,110,133.563636
41,14356,103,139.378641
42,13684,108,126.703704
43,15056,108,139.407407
44,13632,106,128.603774
45,13898,102,136.254902
46,14082,105,134.114286
47,14705,119,123.571429
48,15590,131,119.007634
49,18170,115,158.000000
50,15081,114,132.289474
51,15273,107,142.738318
52,15322,117,130.957265
53,14324,103,139.067961
54,14588,113,129.097345
55,13962,113,123.557522
56,15335,120,127.791667
57,15430,119,129.663866
58,16034,130,123.338462
59,17328,116,149.379310
60,15782,121,130.429752
61,14727,104,141.605769
62,14098,108,130.537037
63,14334,110,130.309091
64,15341,107,143.373832
65,14452,108,133.814815
66,14963,114,131.254386
67,14715,102,144.264706
68,14249,110,129.536364
69,13843,119,116.327731
70,16254,105,154.800000
71,13617,107,127.261682
72,13371,113,118.327434
73,14100,99,142.424242
74,15129,108,140.083333
75,13452,112,120.107143
76,16019,117,136.914530
77,14356,109,131.706422
78,14484,106,136.641509
79,15057,111,135.648649
80,14424,107,134.803738
81,14022,103,136.135922
82,14410,106,135.943396
83,16095,117,137.564103
84,15723,109,144.247706
85,13900,111,125.225225
86,14303,104,137.528846
87,13653,106,128.801887
88,13055,107,122.009346
89,14183,104,136.375000
90,14917,105,142.066667
91,13505,108,125.046296
92,15724,114,137.929825
93,14555,107,136.028037
94,15444,111,139.135135
95,14459,116,124.646552
96,14891,113,131.778761
97,14629,107,136.719626
98,14706,110,133.690909
99,14891,107,139.168224
100,15313,104,147.240385
101,13590,108,125.833333
102,15164,115,131.860870
103,15064,140,107.600000
104,17011,121,140.586777
105,15348,106,144.792453
106,14632,104,140.692308
107,14760,103,143.300971
108,13725,109,125.917431
109,14727,116,126.956897
110,14705,104,141.394231
111,16590,119,139.411765
112,14544,104,139.846154
113,13863,122,113.631148
114,15007,102,147.127451
115,14664,107,137.046729
116,14341,107,134.028037
117,14744,107,137.794393
118,13974,103,135.669903
119,13208,109,121.174312
120,14523,109,133.238532
121,13783,108,127.620370
122,14649,109,134.394495
123,15068,112,134.535714
124,14789,120,123.241667
125,15911,106,150.103774
126,14599,111,131.522523
127,14953,105,142.409524
128,13969,105,133.038095
129,13577,111,122.315315
130,15792,112,141.000000
131,14013,105,133.457143
132,15816,120,131.800000
133,13525,112,120.758929
134,14802,104,142.326923
135,13792,105,131.352381
136,13927,107,130.158879
137,14371,104,138.182692
138,14189,104,136.432692
139,13952,106,131.622642
140,15398,121,127.256198
141,17690,120,147.416667
142,14163,113,125.336283
143,15769,117,134.777778
144,14613,107,136.570093
145,14461,107,135.149533
146,14538,110,132.163636
147,14636,110,133.054545
148,14558,112,129.982143
149,14012,104,134.730769
150,14632,123,118.959350
151,15521,117,132.658120
152,17493,127,137.740157
153,15644,113,138.442478
154,14771,112,131.883929
155,15003,110,136.390909
156,14357,106,135.443396
157,14163,112,126.455357
158,14256,107,133.233645
159,16537,121,136.669421
160,14311,111,128.927928
161,15193,122,124.532787
162,15703,106,148.141509
163,15730,115,136.782609
164,14471,115,125.834783
165,13835,111,124.639640
166,14819,104,142.490385
167,13879,108,128.509259
168,13856,108,128.296296
169,14206,111,127.981982
170,16258,113,143.876106
171,14019,102,137.441176
172,14556,110,132.327273
173,14464,109,132.697248
174,14094,109,129.302752
175,15548,105,148.076190
176,14781,124,119.201613
177,16387,108,151.731481
178,15185,110,138.045455
179,14535,103,141.116505
180,14131,108,130.842593
181,13303,104,127.913462
182,14833,109,136.082569
183,13820,110,125.636364
184,14989,115,130.339130
185,15185,112,135.580357
186,14641,105,139.438095
187,15023,110,136.572727
188,14349,107,134.102804
189,14518,105,138.266667
190,13999,108,129.620370
191,14717,107,137.542056
192,14214,111,128.054054
193,15022,111,135.333333
194,14721,109,135.055046
195,15611,113,138.150442
196,14660,107,137.009346
197,13156,107,122.953271
198,13899,106,131.122642
199,13623,107,127.317757
200,14430,110,131.181818
201,15463,108,143.175926
202,14099,110,128.172727
203,13729,101,135.930693
204,14779,112,131.955357
205,16128,116,139.034483
206,14639,115,127.295652
207,13895,101,137.574257
208,14985,110,136.227273
209,14091,106,132.933962
210,14884,112,132.892857
211,13632,111,122.810811
212,14759,105,140.561905
213,16489,131,125.870229
214,14116,113,124.920354
215,13801,106,130.198113
216,14907,106,140.632075
217,14854,107,138.822430
218,13929,109,127.788991
219,14726,103,142.970874
220,13723,109,125.899083
221,14950,108,138.425926
222,15557,114,136.464912
223,14537,107,135.859813
224,12920,106,121.886792
225,15841,110,144.009091
226,14331,110,130.281818
227,14169,106,133.669811
228,14426,107,134.822430
229,13959,113,123.530973
230,14357,108,132.935185
231,14355,114,125.921053
232,15692,110,142.654545
233,15056,128,117.625000
234,16032,108,148.444444
235,14263,100,142.630000
236,14323,105,136.409524
237,13932,107,130.205607
238,14750,120,122.916667
239,15098,100,150.980000
240,16255,121,134.338843
241,17743,127,139.708661
242,13579,105,129.323810
243,13862,107,129.551402
244,14894,117,127.299145
245,15221,119,127.907563
246,15096,116,130.137931
247,15694,119,131.882353
248,15695,107,146.682243
249,14923,118,126.466102
250,14703,110,133.663636
251,14586,103,141.611650
252,15301,120,127.508333
253,13975,109,128.211009
254,15597,103,151.427184
255,14212,109,130.385321
256,14681,107,137.205607
257,14293,108,132.342593
258,14082,106,132.849057
259,15436,119,129.714286
260,14387,107,134.457944
261,14416,106,136.000000
262,13511,108,125.101852
263,13825,106,130.424528
264,14464,106,136.452830
265,13815,104,132.836538
266,16287,112,145.419643
267,14890,113,131.769912
268,15516,120,129.300000
269,15368,103,149.203883
270,14188,116,122.310345
271,19324,102,189.450980
272,14690,105,139.904762
273,14422,107,134.785047
274,14130,105,134.571429
275,13702,112,122.339286
276,14152,107,132.261682
277,13402,106,126.433962
278,14751,113,130.539823
279,15435,111,139.054054
280,13991,103,135.834951
281,16383,109,150.302752
282,14601,106,137.745283
283,14442,103,140.213592
284,13538,104,130.173077
285,18072,110,164.290909
286,15640,108,144.814815
287,15369,114,134.815789
288,14407,108,133.398148
289,15557,118,131.838983
290,14245,110,129.500000
291,14484,107,135.364486
292,14255,113,126.150442
293,14153,102,138.754902
294,14300,115,124.347826
295,20075,118,170.127119
296,15323,110,139.300000
297,14194,107,132.654206
298,15067,113,133.336283
299,13771,102,135.009804
300,14466,108,133.944444
301,14328,107,133.906542
302,13930,111,125.495495
303,16106,108,149.129630
304,14077,108,130.342593
305,15237,120,126.975000
306,14758,107,137.925234
307,14346,107,134.074766
308,13293,105,126.600000
309,14466,104,139.096154
310,12869,103,124.941748
311,13712,107,128.149533
312,15641,114,137.201754
313,14407,110,130.972727
314,15609,109,143.201835
315,13876,107,129.682243
316,14504,109,133.064220
317,14620,107,136.635514
318,13948,105,132.838095
319,14101,109,129.366972
320,14850,114,130.263158
321,15537,112,138.723214
322,14830,105,141.238095
323,14239,120,118.658333
324,15163,106,143.047170
325,13343,117,114.042735
326,18942,132,143.500000
327,13522,102,132.568627
328,13885,106,130.990566
329,14674,105,139.752381
330,14407,113,127.495575
331,13962,107,130.485981
332,15194,106,143.339623
333,15138,114,132.789474
334,15788,120,131.566667
335,14177,104,136.317308
336,14802,110,134.563636
337,15399,109,141.275229
338,13314,113,117.823009
339,16236,118,137.593220
340,15295,120,127.458333
341,16592,138,120.231884
342,16310,117,139.401709
343,14986,99,151.373737
344,13588,106,128.188679
345,14397,107,134.551402
346,14107,110,128.245455
347,13963,104,134.259615
348,15799,118,133.889831
349,15431,120,128.591667
350,15228,118,129.050847
351,16373,105,155.933333
352,14196,108,131.444444
353,14055,106,132.594340
354,14615,107,136.588785
355,13762,104,132.326923
356,12706,106,119.867925
357,16493,120,137.441667
358,14035,119,117.941176
359,16106,110,146.418182
360,16459,125,131.672000
361,14480,116,124.827586
362,15926,105,151.676190
363,13727,113,121.477876
364,16808,123,136.650407
365,18806,132,142.469697
366,13688,106,129.132075
367,16083,110,146.209091
368,14708,119,123.596639
369,14738,100,147.380000
370,13964,107,130.504673
371,14429,110,131.172727
