sample,epi_delta,runtime_delta,busy_fraction
1,11000,30,366.666667
2,30189,109,276.963303
3,30369,114,266.394737
4,32604,109,299.119266
5,29293,105,278.980952
6,28616,104,275.153846
7,29818,108,276.092593
8,29622,102,290.411765
9,29773,107,278.252336
10,30230,112,269.910714
11,31361,111,282.531532
12,30283,112,270.383929
13,33358,112,297.839286
14,30195,109,277.018349
15,30294,107,283.121495
16,29637,111,267.000000
17,31559,113,279.283186
18,29179,106,275.273585
19,30335,106,286.179245
20,30647,104,294.682692
21,32555,113,288.097345
22,30259,112,270.169643
23,29784,106,280.981132
24,29207,101,289.178218
25,28400,104,273.076923
26,34684,117,296.444444
27,31713,117,271.051282
28,30165,106,284.575472
29,28037,107,262.028037
30,29598,102,290.176471
31,32355,110,294.136364
32,29080,111,261.981982
33,30496,115,265.182609
34,33339,111,300.351351
35,28740,109,263.669725
36,32119,105,305.895238
37,29703,108,275.027778
38,30644,104,294.653846
39,29900,105,284.761905
40,28984,115,252.034783
41,31696,104,304.769231
42,29571,109,271.293578
43,31339,107,292.887850
44,30149,110,274.081818
45,28815,104,277.067308
46,29796,104,286.500000
47,29642,114,260.017544
48,33965,126,269.563492
49,33566,132,254.287879
50,40596,133,305.233083
51,37207,114,326.377193
52,29178,116,251.534483
53,32182,124,259.532258
54,32192,102,315.607843
55,30040,109,275.596330
56,30541,102,299.421569
57,30168,111,271.783784
58,31275,113,276.769912
59,28439,100,284.390000
60,28565,108,264.490741
61,30677,107,286.700935
62,30329,104,291.625000
63,31125,116,268.318966
64,31472,108,291.407407
65,29006,107,271.084112
66,32243,109,295.807339
67,29762,116,256.568966
68,32017,109,293.733945
69,30244,99,305.494949
70,30786,109,282.440367
71,27983,105,266.504762
72,29514,106,278.433962
73,29507,105,281.019048
74,30487,111,274.657658
75,30050,103,291.747573
76,30298,111,272.954955
77,29298,106,276.396226
78,30790,107,287.757009
79,28865,109,264.816514
80,33514,112,299.232143
81,35255,123,286.626016
82,29357,109,269.330275
83,29358,106,276.962264
84,31029,114,272.184211
85,31009,105,295.323810
86,32257,111,290.603604
87,27740,102,271.960784
88,30434,108,281.796296
89,28718,106,270.924528
90,30441,106,287.179245
91,31446,112,280.767857
92,31191,108,288.805556
93,30789,110,279.900000
94,30376,119,255.260504
95,31774,103,308.485437
96,29948,106,282.528302
97,30049,116,259.043103
98,30318,99,306.242424
99,30690,113,271.592920
100,30705,105,292.428571
101,29454,107,275.271028
102,30144,109,276.550459
103,30522,115,265.408696
104,32191,121,266.041322
105,32665,109,299.678899
106,30710,107,287.009346
107,30893,107,288.719626
108,29916,108,277.000000
109,29369,102,287.931373
110,29624,109,271.779817
111,30052,103,291.766990
112,30003,111,270.297297
113,30140,118,255.423729
114,31850,103,309.223301
115,30656,107,286.504673
116,30989,107,289.616822
117,29237,104,281.125000
