sample,epi_delta,runtime_delta,busy_fraction
1,5579,40,139.475000
2,16339,107,152.700935
3,14657,107,136.981308
4,15358,106,144.886792
5,16743,108,155.027778
6,15298,112,136.589286
7,16681,111,150.279279
8,16147,122,132.352459
9,16678,102,163.509804
10,15465,110,140.590909
11,15711,106,148.216981
12,15899,107,148.588785
13,16478,118,139.644068
14,18277,123,148.593496
15,16678,127,131.322835
16,16978,110,154.345455
17,15962,107,149.177570
18,15110,108,139.907407
19,17171,121,141.909091
20,15898,102,155.862745
21,16531,110,150.281818
22,14878,108,137.759259
23,16302,113,144.265487
24,15657,114,137.342105
25,17819,113,157.690265
26,15142,113,134.000000
27,15748,100,157.480000
28,16595,114,145.570175
29,16252,105,154.780952
30,14519,106,136.971698
31,15554,107,145.364486
32,17357,119,145.857143
33,16571,124,133.637097
34,20244,124,163.258065
35,16803,119,141.201681
36,16231,102,159.127451
37,16508,113,146.088496
38,14851,107,138.794393
39,16827,118,142.601695
40,15815,103,153.543689
41,15177,106,143.179245
42,15654,108,144.944444
43,16307,109,149.605505
44,17147,117,146.555556
45,15112,106,142.566038
46,15868,109,145.577982
47,17422,133,130.992481
48,17786,104,171.019231
49,15877,111,143.036036
50,15741,110,143.100000
51,16025,114,140.570175
52,17781,113,157.353982
53,14996,112,133.892857
54,16805,103,163.155340
55,16940,116,146.034483
56,15726,109,144.275229
57,17007,115,147.886957
58,15396,110,139.963636
59,15122,110,137.472727
60,17040,113,150.796460
61,16182,100,161.820000
62,14978,122,122.770492
63,17222,103,167.203883
64,18376,127,144.692913
65,16070,110,146.090909
66,15962,118,135.271186
67,19043,119,160.025210
68,15663,112,139.848214
69,16476,114,144.526316
70,16612,111,149.657658
71,15504,110,140.945455
72,17258,126,136.968254
73,17897,108,165.712963
74,16068,122,131.704918
75,17087,114,149.885965
76,16524,106,155.886792
77,15727,110,142.972727
78,16829,122,137.942623
79,15753,101,155.970297
80,15336,108,142.000000
81,17669,116,152.318966
82,15170,112,135.446429
83,16090,104,154.711538
84,16472,117,140.786325
85,16350,108,151.388889
86,15120,102,148.235294
87,16510,109,151.467890
88,15891,111,143.162162
89,16028,118,135.830508
90,19197,131,146.541985
91,15686,108,145.240741
92,16665,111,150.135135
93,17075,120,142.291667
94,17093,124,137.846774
95,16673,106,157.292453
96,17005,111,153.198198
97,15497,109,142.174312
98,16897,121,139.644628
99,16228,111,146.198198
100,16313,109,149.660550
101,14817,98,151.193878
102,17083,113,151.176991
103,15111,108,139.916667
104,16407,115,142.669565
105,16358,125,130.864000
106,18692,117,159.760684
107,16664,116,143.655172
108,17268,126,137.047619
109,16782,103,162.932039
110,16081,105,153.152381
111,15202,104,146.173077
112,14486,107,135.383178
113,16059,107,150.084112
114,16966,123,137.934959
