sample,epi_delta,runtime_delta,busy_fraction
1,4566,35,130.457143
2,12317,105,117.304762
3,13139,109,120.541284
4,11509,105,109.609524
5,12635,116,108.922414
6,12981,100,129.810000
7,12618,116,108.775862
8,12125,110,110.227273
9,13882,103,134.776699
10,12033,111,108.405405
11,11860,110,107.818182
12,13297,112,118.723214
13,14413,119,121.117647
14,12038,100,120.380000
15,11938,115,103.808696
16,13426,102,131.627451
17,12313,115,107.069565
18,11052,98,112.775510
19,13174,108,121.981481
20,13381,124,107.911290
21,11921,104,114.625000
22,12870,107,120.280374
23,14750,118,125.000000
24,11094,108,102.722222
25,12484,112,111.464286
26,14602,116,125.879310
27,12785,105,121.761905
28,12593,116,108.560345
29,12233,105,116.504762
30,12595,103,122.281553
31,11864,116,102.275862
32,12221,101,121.000000
33,13608,109,124.844037
34,11582,109,106.256881
35,12519,104,120.375000
36,12892,108,119.370370
37,13462,107,125.813084
38,12572,109,115.339450
39,12796,110,116.327273
40,13123,110,119.300000
41,12509,121,103.380165
42,13943,107,130.308411
43,12552,106,118.415094
44,12556,113,111.115044
45,12181,107,113.841121
46,13100,110,119.090909
47,13425,122,110.040984
48,12713,110,115.572727
49,12987,104,124.875000
50,12458,107,116.429907
51,14695,123,119.471545
52,11832,108,109.555556
53,13571,112,121.169643
54,12955,114,113.640351
55,14375,130,110.576923
56,13868,112,123.821429
57,13628,120,113.566667
58,13803,123,112.219512
59,14916,131,113.862595
60,14301,125,114.408000
61,14333,110,130.300000
62,12281,108,113.712963
63,11732,110,106.654545
64,13517,113,119.619469
65,13599,110,123.627273
66,11695,119,98.277311
67,12901,101,127.732673
68,12425,130,95.576923
69,15132,101,149.821782
70,12556,114,110.140351
71,11672,105,111.161905
72,13258,110,120.527273
73,13466,113,119.168142
74,12169,111,109.630631
75,12889,113,114.061947
76,13212,104,127.038462
77,11049,107,103.261682
78,13390,114,117.456140
79,13946,120,116.216667
80,12249,101,121.277228
81,11956,112,106.750000
82,13507,110,122.790909
83,13178,107,123.158879
