sample,epi_delta,runtime_delta,busy_fraction
1,12950,41,315.853659
2,32845,106,309.858491
3,34208,108,316.740741
4,34744,107,324.710280
5,36268,110,329.709091
6,35047,111,315.738739
7,33655,116,290.129310
8,39673,118,336.211864
9,35518,107,331.943925
10,36683,116,316.232759
11,35476,109,325.467890
12,32142,110,292.200000
13,41771,130,321.315385
14,39053,114,342.570175
15,34408,106,324.603774
16,34664,107,323.962617
17,33806,119,284.084034
18,38088,116,328.344828
19,36493,103,354.300971
20,33598,113,297.327434
21,35731,108,330.842593
22,34707,111,312.675676
23,33992,105,323.733333
24,35167,113,311.212389
25,36714,107,343.121495
26,34329,110,312.081818
27,36987,113,327.318584
28,34282,106,323.415094
29,33595,103,326.165049
30,33113,111,298.315315
31,35184,102,344.941176
32,35718,113,316.088496
33,35306,110,320.963636
34,36032,114,316.070175
35,37237,111,335.468468
36,37538,122,307.688525
37,37723,114,330.903509
38,32749,101,324.247525
39,33849,112,302.223214
40,36858,106,347.716981
41,37567,134,280.350746
42,41141,132,311.674242
43,40840,123,332.032520
44,42683,142,300.584507
45,49914,124,402.532258
46,33048,104,317.769231
47,34145,110,310.409091
48,34399,109,315.587156
49,34069,105,324.466667
50,33710,109,309.266055
51,37121,116,320.008621
52,36180,111,325.945946
53,33131,105,315.533333
54,35659,104,342.875000
55,33313,114,292.219298
56,36233,102,355.225490
57,34071,109,312.577982
58,34162,106,322.283019
59,32335,105,307.952381
60,34989,111,315.216216
61,34324,101,339.841584
62,32422,112,289.482143
63,40390,131,308.320611
64,37668,108,348.777778
65,34692,108,321.222222
66,35532,124,286.548387
67,40037,120,333.641667
68,40322,125,322.576000
69,36853,116,317.698276
70,38237,118,324.042373
71,34632,106,326.716981
72,34785,102,341.029412
73,38161,151,252.721854
74,46532,116,401.137931
75,34163,109,313.422018
76,35115,107,328.177570
77,34504,106,325.509434
78,33723,108,312.250000
79,37370,111,336.666667
80,34433,110,313.027273
81,34911,114,306.236842
82,34880,107,325.981308
83,34177,104,328.625000
84,34458,116,297.051724
85,35104,124,283.096774
86,46950,133,353.007519
87,39883,122,326.909836
88,36553,112,326.366071
89,36826,126,292.269841
90,41589,109,381.550459
91,32656,108,302.370370
92,34861,110,316.918182
93,37474,112,334.589286
94,34474,107,322.186916
95,32439,106,306.028302
96,40374,127,317.905512
97,39384,120,328.200000
98,37513,107,350.588785
99,31878,110,289.800000
100,36297,112,324.080357
101,36467,111,328.531532
102,34402,106,324.547170
103,33175,107,310.046729
104,36335,114,318.728070
105,35965,107,336.121495
106,36320,121,300.165289
107,37959,111,341.972973
108,33388,111,300.792793
109,34742,102,340.607843
110,35764,110,325.127273
111,31972,105,304.495238
112,34900,110,317.272727
113,33254,106,313.716981
114,37660,110,342.363636
115,32694,107,305.551402
116,38084,137,277.985401
117,38899,102,381.362745
118,34438,112,307.482143
119,35083,106,330.971698
120,35572,112,317.607143
121,33562,107,313.663551
122,35377,105,336.923810
123,37578,113,332.548673
124,32861,115,285.747826
125,40228,116,346.793103
126,34133,109,313.146789
127,33423,114,293.184211
128,43337,145,298.875862
129,40836,102,400.352941
130,35008,116,301.793103
131,33796,104,324.961538
132,36912,110,335.563636
133,36291,113,321.159292
134,32302,105,307.638095
135,36439,110,331.263636
136,34200,102,335.294118
137,34104,109,312.880734
138,33195,113,293.761062
139,37353,103,362.650485
140,36393,108,336.972222
141,35035,111,315.630631
142,34229,102,335.578431
143,34368,118,291.254237
144,37809,111,340.621622
145,33451,115,290.878261
146,34994,105,333.276190
147,37576,110,341.600000
148,35444,106,334.377358
149,34112,107,318.803738
150,32229,113,285.212389
151,35620,110,323.818182
152,34579,104,332.490385
153,40459,112,361.241071
154,33676,106,317.698113
155,33645,103,326.650485
156,34848,112,311.142857
157,34080,114,298.947368
158,34210,102,335.392157
159,34025,114,298.464912
160,39324,128,307.218750
161,40081,122,328.532787
162,42310,122,346.803279
163,35284,104,339.269231
164,34379,117,293.837607
165,36510,103,354.466019
166,35403,108,327.805556
167,34929,111,314.675676
168,37372,113,330.725664
169,32771,114,287.464912
170,46904,140,335.028571
171,32387,103,314.436893
172,34189,102,335.186275
173,34475,117,294.658120
174,35531,105,338.390476
175,33951,105,323.342857
176,34404,110,312.763636
177,34335,107,320.887850
178,40385,129,313.062016
179,39569,125,316.552000
180,37320,109,342.385321
181,32740,105,311.809524
182,38547,112,344.169643
183,34656,111,312.216216
184,32855,106,309.952830
185,35736,107,333.981308
186,31938,106,301.301887
187,35487,107,331.654206
188,37164,127,292.629921
189,36714,100,367.140000
190,33740,108,312.407407
191,33334,120,277.783333
192,37819,99,382.010101
193,32347,106,305.160377
194,35307,116,304.370690
195,34220,117,292.478632
196,38787,104,372.951923
197,37724,131,287.969466
198,39000,108,361.111111
199,33538,107,313.439252
200,34123,112,304.669643
201,34863,104,335.221154
202,33951,108,314.361111
203,34094,108,315.685185
204,34669,110,315.172727
205,36868,117,315.111111
206,36775,104,353.605769
207,36115,114,316.798246
208,33408,107,312.224299
209,34165,106,322.311321
210,35499,114,311.394737
211,34756,106,327.886792
212,33423,106,315.311321
213,35328,106,333.283019
214,35884,120,299.033333
215,35498,102,348.019608
216,33668,110,306.072727
217,32964,100,329.640000
218,34231,111,308.387387
219,34253,110,311.390909
220,34931,108,323.435185
221,35554,106,335.415094
222,34931,105,332.676190
223,33813,116,291.491379
224,37555,102,368.186275
