sample,epi_delta,runtime_delta,busy_fraction
1,5371,49,109.612245
2,19019,113,168.309735
3,15115,108,139.953704
4,15925,108,147.453704
5,17327,120,144.391667
6,15956,112,142.464286
7,15749,107,147.186916
8,15948,104,153.346154
9,16956,114,148.736842
10,16307,122,133.663934
11,17940,105,170.857143
12,16497,111,148.621622
13,15402,106,145.301887
14,15215,107,142.196262
15,15655,104,150.528846
16,15388,105,146.552381
17,15721,108,145.564815
18,16736,113,148.106195
19,15894,103,154.310680
20,15985,112,142.723214
21,16736,110,152.145455
22,15025,113,132.964602
23,17086,102,167.509804
24,16463,115,143.156522
25,15890,107,148.504673
26,15514,111,139.765766
27,15841,109,145.330275
28,16509,104,158.740385
29,15413,106,145.405660
30,17185,113,152.079646
31,15289,104,147.009615
32,16622,107,155.345794
33,15562,110,141.472727
34,16359,122,134.090164
35,17632,108,163.259259
36,16637,105,158.447619
37,16464,117,140.717949
38,15487,109,142.082569
39,16550,108,153.240741
40,16819,107,157.186916
41,17586,119,147.781513
42,15374,106,145.037736
43,16620,113,147.079646
44,15598,125,124.784000
45,18814,112,167.982143
46,20899,109,191.733945
47,16977,123,138.024390
48,18264,120,152.200000
49,17981,118,152.381356
50,15436,104,148.423077
51,17161,114,150.535088
52,15620,103,151.650485
53,15706,112,140.232143
54,15288,104,147.000000
55,17308,109,158.788991
56,15873,108,146.972222
57,15977,104,153.625000
58,15398,108,142.574074
59,16150,109,148.165138
60,16624,115,144.556522
61,16235,107,151.728972
62,15914,108,147.351852
63,16109,111,145.126126
64,16409,108,151.935185
65,16262,114,142.649123
66,16203,113,143.389381
67,17254,107,161.252336
68,16977,109,155.752294
69,15618,102,153.117647
70,14997,112,133.901786
71,15582,99,157.393939
72,15637,111,140.873874
73,16265,104,156.394231
74,16149,118,136.855932
75,17233,100,172.330000
76,14610,106,137.830189
77,16325,111,147.072072
78,15160,106,143.018868
79,15819,106,149.235849
80,15625,105,148.809524
81,15975,105,152.142857
82,15543,115,135.156522
83,16392,108,151.777778
84,17223,118,145.957627
85,16692,112,149.035714
86,16127,104,155.067308
87,17518,123,142.422764
88,15638,101,154.831683
89,15581,108,144.268519
90,15951,106,150.481132
91,16371,106,154.443396
92,16405,115,142.652174
93,15400,105,146.666667
94,16706,116,144.017241
95,16064,109,147.376147
96,16563,104,159.259615
97,15051,105,143.342857
98,16093,116,138.732759
99,16399,105,156.180952
100,15798,117,135.025641
101,17169,100,171.690000
102,15910,113,140.796460
103,15710,113,139.026549
104,15861,107,148.233645
105,17112,104,164.538462
106,15148,108,140.259259
107,15629,104,150.278846
108,15958,103,154.932039
109,15707,109,144.100917
110,15029,108,139.157407
111,15448,109,141.724771
112,16788,107,156.897196
113,15850,109,145.412844
114,15894,112,141.910714
115,15904,102,155.921569
116,15977,107,149.317757
117,16213,110,147.390909
118,15500,108,143.518519
119,16837,114,147.692982
120,15276,108,141.444444
121,18782,117,160.529915
122,15827,111,142.585586
123,16581,103,160.980583
124,14869,108,137.675926
125,16538,111,148.990991
126,15318,102,150.176471
127,15659,107,146.345794
128,16276,111,146.630631
129,16107,107,150.532710
130,15765,105,150.142857
131,16309,117,139.393162
132,16861,115,146.617391
133,16585,101,164.207921
134,15630,116,134.741379
135,15766,100,157.660000
136,16244,111,146.342342
137,15565,114,136.535088
138,17957,128,140.289062
139,17484,105,166.514286
140,17316,116,149.275862
141,16919,105,161.133333
142,15971,136,117.433824
143,20838,122,170.803279
144,17722,125,141.776000
145,18252,116,157.344828
146,16405,113,145.176991
147,17083,113,151.176991
148,18311,106,172.745283
149,16071,110,146.100000
150,16213,110,147.390909
151,16343,112,145.919643
152,16752,102,164.235294
153,16609,111,149.630631
154,16248,106,153.283019
155,16475,108,152.546296
156,16209,131,123.732824
157,21077,107,196.981308
158,14682,107,137.214953
159,16246,112,145.053571
160,16148,108,149.518519
161,15714,103,152.563107
162,15777,106,148.839623
163,15458,107,144.467290
164,16585,110,150.772727
165,16328,111,147.099099
166,16936,118,143.525424
167,15789,116,136.112069
168,20631,135,152.822222
169,19071,122,156.319672
170,15671,108,145.101852
171,16512,103,160.310680
172,15588,110,141.709091
173,15935,108,147.546296
174,16298,119,136.957983
175,18033,105,171.742857
176,16244,113,143.752212
177,16549,109,151.825688
178,14987,106,141.386792
179,15998,104,153.826923
180,14606,104,140.442308
181,16720,110,152.000000
182,16318,111,147.009009
183,15462,111,139.297297
184,20169,123,163.975610
185,15299,119,128.563025
186,17550,105,167.142857
187,14958,107,139.794393
188,16521,110,150.190909
189,15796,107,147.626168
190,15925,107,148.831776
191,16567,112,147.919643
192,15032,100,150.320000
193,16145,121,133.429752
194,16451,102,161.284314
195,16714,110,151.945455
196,16273,116,140.284483
197,17098,115,148.678261
198,16753,108,155.120370
199,15744,110,143.127273
200,16978,107,158.672897
201,15061,106,142.084906
202,15758,109,144.568807
203,16450,110,149.545455
204,16614,106,156.735849
205,15744,110,143.127273
206,15795,104,151.875000
207,15502,112,138.410714
208,16170,107,151.121495
209,15351,106,144.820755
210,15842,104,152.326923
211,17295,109,158.669725
212,14988,109,137.504587
213,16306,115,141.791304
214,17358,112,154.982143
215,16222,106,153.037736
216,16167,113,143.070796
217,16293,106,153.707547
218,15917,106,150.160377
219,16591,111,149.468468
220,16511,113,146.115044
221,16063,108,148.731481
222,16246,112,145.053571
223,16634,124,134.145161
224,18223,108,168.731481
225,15022,105,143.066667
226,16107,107,150.532710
227,15849,107,148.121495
228,16001,119,134.462185
229,16636,122,136.360656
230,20881,121,172.570248
231,15470,110,140.636364
232,15670,101,155.148515
233,15605,106,147.216981
234,15678,108,145.166667
235,16286,106,153.641509
236,17433,120,145.275000
237,16953,121,140.107438
238,18678,124,150.629032
239,17573,118,148.923729
240,16307,105,155.304762
241,16017,113,141.743363
242,15915,104,153.028846
243,15908,111,143.315315
244,17360,110,157.818182
245,16727,110,152.063636
246,18660,101,184.752475
247,15987,116,137.818966
248,18618,108,172.388889
249,14999,103,145.621359
250,19395,136,142.610294
251,16106,102,157.901961
252,15845,109,145.366972
253,16430,110,149.363636
254,16470,115,143.217391
255,16703,107,156.102804
256,17742,119,149.092437
257,15597,109,143.091743
258,16736,113,148.106195
259,16424,104,157.923077
260,16048,105,152.838095
261,15583,108,144.287037
262,15787,103,153.271845
263,15127,109,138.779817
264,15805,103,153.446602
265,16010,115,139.217391
266,17436,108,161.444444
267,15979,111,143.954955
268,15947,107,149.037383
269,16490,114,144.649123
270,15961,104,153.471154
271,15917,108,147.379630
272,16256,113,143.858407
273,16596,110,150.872727
274,15955,110,145.045455
275,18075,118,153.177966
276,17277,110,157.063636
277,15617,118,132.347458
278,17459,112,155.883929
279,16128,105,153.600000
280,15596,106,147.132075
281,15589,108,144.342593
282,17094,106,161.264151
283,14786,106,139.490566
284,17254,116,148.741379
285,17018,112,151.946429
286,16773,114,147.131579
287,16215,106,152.971698
288,16305,113,144.292035
289,15257,104,146.701923
290,15723,117,134.384615
