sample,epi_delta,runtime_delta,busy_fraction
1,10967,30,365.566667
2,31028,111,279.531532
3,29503,108,273.175926
4,29195,106,275.424528
5,30392,114,266.596491
6,31271,103,303.601942
7,29487,105,280.828571
8,33287,115,289.452174
9,29048,112,259.357143
10,30836,105,293.676190
11,32584,109,298.935780
12,28356,111,255.459459
13,31295,113,276.946903
14,31815,119,267.352941
15,33533,112,299.401786
16,32083,116,276.577586
17,32355,127,254.763780
18,35707,107,333.710280
19,30910,111,278.468468
20,29592,109,271.486239
21,31349,103,304.359223
22,29470,112,263.125000
23,31301,116,269.836207
24,33352,110,303.200000
25,28853,110,262.300000
26,32497,105,309.495238
27,29073,111,261.918919
28,30465,111,274.459459
29,30900,101,305.940594
30,27710,115,240.956522
31,31509,98,321.520408
32,29984,116,258.482759
33,31679,107,296.065421
34,35142,141,249.234043
35,36204,111,326.162162
36,28760,106,271.320755
37,32282,106,304.547170
38,29825,103,289.563107
39,28483,118,241.381356
40,30637,100,306.370000
41,31731,108,293.805556
42,30359,113,268.663717
43,29200,100,292.000000
44,28560,108,264.444444
45,31618,110,287.436364
46,29313,106,276.537736
47,30421,106,286.990566
48,28100,104,270.192308
49,30860,105,293.904762
50,29559,115,257.034783
51,30381,106,286.613208
52,30987,106,292.330189
53,32265,117,275.769231
54,30125,102,295.343137
55,29834,109,273.706422
56,30327,111,273.216216
57,30462,106,287.377358
58,30837,114,270.500000
59,33626,113,297.575221
60,29391,106,277.273585
61,31620,110,287.454545
62,29808,109,273.467890
63,31860,110,289.636364
64,29559,105,281.514286
65,30385,107,283.971963
66,29696,108,274.962963
67,30273,109,277.733945
68,31237,112,278.901786
69,30113,104,289.548077
70,31456,111,283.387387
71,28860,107,269.719626
72,32498,121,268.578512
73,34256,112,305.857143
74,32456,115,282.226087
75,28313,104,272.240385
76,30345,113,268.539823
77,32224,102,315.921569
78,31040,114,272.280702
79,28912,104,278.000000
80,30376,102,297.803922
81,28709,114,251.833333
82,30190,110,274.454545
83,30924,104,297.346154
84,29812,105,283.923810
85,29320,104,281.923077
86,32863,112,293.419643
87,28080,107,262.429907
88,33921,122,278.040984
89,29761,102,291.774510
90,33312,140,237.942857
91,36686,108,339.685185
92,29965,108,277.453704
93,28637,102,280.754902
94,29228,106,275.735849
95,33594,112,299.946429
96,27923,107,260.962617
97,32862,118,278.491525
98,29795,101,295.000000
99,29834,113,264.017699
100,35142,138,254.652174
101,32652,99,329.818182
102,30428,107,284.373832
103,28284,107,264.336449
104,31079,113,275.035398
105,30201,106,284.915094
106,30022,110,272.927273
107,32607,113,288.557522
108,30926,105,294.533333
109,33858,132,256.500000
110,33436,116,288.241379
111,31634,114,277.491228
112,31045,114,272.324561
113,32957,106,310.915094
114,28954,105,275.752381
115,31096,114,272.771930
116,30285,104,291.201923
117,28655,106,270.330189
118,33245,114,291.622807
119,30424,114,266.877193
120,29920,105,284.952381
121,28570,100,285.700000
122,29248,110,265.890909
123,31932,112,285.107143
124,32701,114,286.850877
125,29358,107,274.373832
126,30043,117,256.777778
127,35313,113,312.504425
128,29072,103,282.252427
129,29498,106,278.283019
130,30883,109,283.330275
131,29268,107,273.532710
132,31570,103,306.504854
133,28976,110,263.418182
134,31102,107,290.672897
135,28954,106,273.150943
136,28901,113,255.761062
137,31044,103,301.398058
138,29656,107,277.158879
139,29078,106,274.320755
140,31626,115,275.008696
141,29624,107,276.859813
142,31145,109,285.733945
143,30134,109,276.458716
144,31216,106,294.490566
145,29269,112,261.330357
146,33777,110,307.063636
147,30356,111,273.477477
148,30418,111,274.036036
149,28378,113,251.132743
150,32560,108,301.481481
151,31009,105,295.323810
152,30012,113,265.592920
153,31476,109,288.770642
154,34840,135,258.074074
155,32965,107,308.084112
156,29167,101,288.782178
157,31339,110,284.900000
158,28845,116,248.663793
159,31274,102,306.607843
160,31898,110,289.981818
161,29882,107,279.271028
162,29931,113,264.876106
163,29775,114,261.184211
164,32232,106,304.075472
165,30829,107,288.121495
166,30382,107,283.943925
167,29369,105,279.704762
168,31848,115,276.939130
169,30079,108,278.509259
170,30382,107,283.943925
171,29795,107,278.457944
172,33002,110,300.018182
173,31115,122,255.040984
174,31539,105,300.371429
175,30613,107,286.102804
176,28305,110,257.318182
177,30098,108,278.685185
178,31288,106,295.169811
179,32446,109,297.669725
180,27513,107,257.130841
181,30037,114,263.482456
182,32167,117,274.931624
183,36024,130,277.107692
184,30944,99,312.565657
185,29977,105,285.495238
186,31807,107,297.261682
187,28801,109,264.229358
188,31042,117,265.316239
189,30664,106,289.283019
190,30432,116,262.344828
191,34668,116,298.862069
192,30016,107,280.523364
193,29362,103,285.067961
194,28317,103,274.922330
195,32802,120,273.350000
196,31603,106,298.141509
197,29719,111,267.738739
198,31662,111,285.243243
199,28317,104,272.278846
200,31150,113,275.663717
201,29872,106,281.811321
202,30207,108,279.694444
203,30132,107,281.607477
204,33127,128,258.804688
205,35682,121,294.892562
206,34971,125,279.768000
207,30196,105,287.580952
208,30548,112,272.750000
209,36098,127,284.236220
210,30908,109,283.559633
211,31116,114,272.947368
212,30758,103,298.621359
213,30400,114,266.666667
214,31008,116,267.310345
215,31124,107,290.878505
216,29890,105,284.666667
217,29636,106,279.584906
218,30837,105,293.685714
219,29209,105,278.180952
220,29701,105,282.866667
221,29233,105,278.409524
222,29761,112,265.723214
223,30413,108,281.601852
224,30643,104,294.644231
225,31232,118,264.677966
226,32222,102,315.901961
227,28363,119,238.344538
228,33519,110,304.718182
229,34152,108,316.222222
230,29816,108,276.074074
231,32204,120,268.366667
232,32851,114,288.166667
233,31426,111,283.117117
234,31062,105,295.828571
235,31099,113,275.212389
236,29121,102,285.500000
237,30815,112,275.133929
238,32861,119,276.142857
239,30176,100,301.760000
240,31201,116,268.974138
241,30209,115,262.686957
242,32578,109,298.880734
243,29302,112,261.625000
244,32140,110,292.181818
245,32041,117,273.854701
246,31071,110,282.463636
247,31005,106,292.500000
248,29328,103,284.737864
249,28742,116,247.775862
250,32543,102,319.049020
251,31408,114,275.508772
252,29703,105,282.885714
253,28901,108,267.601852
254,32404,111,291.927928
255,29817,108,276.083333
256,30177,108,279.416667
257,30760,109,282.201835
258,30409,108,281.564815
259,32327,116,278.681034
260,34340,127,270.393701
261,31263,108,289.472222
262,30795,109,282.522936
263,32503,112,290.205357
264,30474,116,262.706897
265,31594,105,300.895238
266,28240,105,268.952381
267,29779,104,286.336538
268,30446,113,269.433628
269,29773,105,283.552381
270,29655,103,287.912621
271,32287,109,296.211009
272,30924,125,247.392000
273,32946,115,286.486957
274,32583,110,296.209091
275,31744,128,248.000000
