sample,epi_delta,runtime_delta,busy_fraction
1,5848,42,139.238095
2,18428,108,170.629630
3,16524,122,135.442623
4,20226,132,153.227273
5,18635,101,184.504950
6,18057,108,167.194444
7,16241,110,147.645455
8,17196,108,159.222222
9,17408,114,152.701754
10,17035,105,162.238095
11,17960,109,164.770642
12,17174,111,154.720721
13,16706,103,162.194175
14,17005,111,153.198198
15,17128,104,164.692308
16,17068,115,148.417391
17,16808,103,163.184466
18,17621,109,161.660550
19,17022,114,149.315789
20,18307,115,159.191304
21,16963,107,158.532710
22,17841,108,165.194444
23,16713,112,149.223214
24,17130,106,161.603774
25,17246,106,162.698113
26,18099,112,161.598214
27,15992,101,158.336634
28,16691,107,155.990654
29,17556,110,159.600000
30,16747,107,156.514019
31,16549,114,145.166667
32,18103,117,154.726496
33,20124,124,162.290323
34,18350,114,160.964912
35,20266,121,167.487603
36,17999,115,156.513043
37,19444,140,138.885714
38,21620,123,175.772358
39,16790,109,154.036697
40,17222,111,155.153153
41,17190,107,160.654206
42,17577,112,156.937500
43,18609,112,166.151786
44,17555,113,155.353982
45,17469,111,157.378378
46,16827,108,155.805556
47,16777,115,145.886957
48,18779,104,180.567308
49,15647,104,150.451923
50,16554,108,153.277778
51,17225,115,149.782609
52,17237,108,159.601852
53,17105,105,162.904762
54,17322,115,150.626087
55,18014,110,163.763636
56,19296,114,169.263158
57,18458,115,160.504348
58,17426,109,159.871560
59,18019,113,159.460177
60,17387,108,160.990741
61,16549,108,153.231481
62,17764,110,161.490909
63,17001,117,145.307692
64,18396,106,173.547170
65,16287,116,140.405172
66,17827,101,176.504950
67,16704,105,159.085714
68,16846,124,135.854839
69,24431,140,174.507143
70,15840,111,142.702703
71,19183,110,174.390909
72,16656,110,151.418182
73,18787,110,170.790909
74,16004,113,141.628319
75,18346,109,168.311927
76,16025,101,158.663366
77,16915,109,155.183486
78,17149,107,160.271028
79,16643,106,157.009434
80,16743,109,153.605505
81,16789,111,151.252252
82,17264,110,156.945455
83,18560,116,160.000000
84,16718,97,172.350515
85,17354,114,152.228070
86,17738,107,165.775701
87,15980,106,150.754717
88,18205,110,165.500000
89,15948,109,146.311927
90,16967,109,155.660550
91,18474,114,162.052632
92,16788,104,161.423077
93,17640,109,161.834862
94,15859,104,152.490385
95,18584,147,126.421769
96,20389,101,201.871287
97,17430,110,158.454545
98,16638,112,148.553571
99,17522,109,160.752294
100,18041,108,167.046296
101,15899,110,144.536364
102,17980,108,166.481481
103,16490,110,149.909091
104,17503,108,162.064815
105,17581,103,170.689320
106,16644,116,143.482759
107,16711,107,156.177570
108,16768,102,164.392157
109,17077,106,161.103774
110,15841,103,153.796117
111,17035,110,154.863636
112,16978,105,161.695238
113,17109,113,151.407080
114,19295,118,163.516949
115,17843,116,153.818966
116,20080,121,165.950413
117,17789,104,171.048077
118,16217,109,148.779817
119,18712,111,168.576577
120,16785,114,147.236842
121,17025,106,160.613208
122,16381,109,150.284404
123,17340,108,160.555556
124,16983,106,160.216981
125,17734,123,144.178862
126,20224,124,163.096774
127,19011,129,147.372093
128,19264,116,166.068966
129,18225,109,167.201835
130,16938,105,161.314286
131,17065,109,156.559633
132,16703,109,153.238532
133,16245,110,147.681818
134,18288,109,167.779817
135,17116,107,159.962617
136,17945,111,161.666667
137,16781,110,152.554545
138,17153,111,154.531532
139,16729,104,160.855769
140,17638,112,157.482143
141,17176,109,157.577982
142,17249,120,143.741667
143,18316,116,157.896552
144,18502,107,172.915888
145,16555,109,151.880734
146,17939,107,167.654206
147,16143,109,148.100917
148,17320,102,169.803922
149,18593,109,170.577982
150,17989,110,163.536364
151,16573,111,149.306306
152,17398,108,161.092593
153,19252,110,175.018182
154,17179,114,150.692982
155,16532,105,157.447619
156,16970,107,158.598131
157,16959,105,161.514286
158,17242,106,162.660377
159,16951,106,159.915094
160,17187,107,160.626168
161,15808,108,146.370370
162,16898,109,155.027523
163,16551,102,162.264706
164,17107,109,156.944954
165,17247,108,159.694444
166,17755,110,161.409091
167,16993,108,157.342593
168,16684,106,157.396226
169,16495,105,157.095238
170,18066,110,164.236364
171,17034,105,162.228571
172,17109,114,150.078947
173,17612,110,160.109091
174,17465,111,157.342342
175,17643,114,154.763158
176,15854,100,158.540000
177,18384,109,168.660550
178,17417,115,151.452174
179,15832,111,142.630631
180,17946,109,164.642202
181,17174,102,168.372549
182,16722,107,156.280374
183,16828,107,157.271028
184,17032,109,156.256881
185,17724,109,162.605505
186,16743,111,150.837838
187,17414,106,164.283019
188,18294,121,151.190083
189,22266,128,173.953125
190,17291,123,140.577236
191,17152,103,166.524272
192,16982,109,155.798165
193,17520,111,157.837838
194,17554,106,165.603774
195,16703,114,146.517544
196,17779,105,169.323810
197,17462,112,155.910714
198,17528,112,156.500000
199,17778,109,163.100917
200,17249,110,156.809091
201,17685,109,162.247706
202,16498,109,151.357798
203,17838,115,155.113043
204,16701,109,153.220183
205,18396,110,167.236364
206,16823,114,147.570175
207,18609,108,172.305556
208,17397,104,167.278846
209,16377,108,151.638889
210,17520,111,157.837838
211,18852,114,165.368421
212,16696,114,146.456140
213,18122,121,149.768595
214,18211,114,159.745614
215,20045,149,134.530201
216,20476,97,211.092784
217,16562,111,149.207207
218,17671,111,159.198198
219,17588,108,162.851852
220,18682,122,153.131148
221,17912,111,161.369369
222,18116,122,148.491803
223,18924,121,156.396694
224,17289,102,169.500000
225,17109,112,152.758929
226,18418,117,157.418803
227,17651,113,156.203540
228,19780,114,173.508772
229,16170,108,149.722222
230,16303,101,161.415842
231,16662,114,146.157895
232,17653,105,168.123810
233,18276,112,163.178571
234,16449,112,146.866071
235,17121,106,161.518868
236,16281,104,156.548077
237,17001,106,160.386792
238,17589,117,150.333333
239,17148,102,168.117647
240,17159,108,158.879630
241,17791,114,156.061404
242,16748,103,162.601942
243,17375,117,148.504274
244,18734,110,170.309091
245,16187,106,152.707547
246,20522,105,195.447619
247,16535,107,154.532710
248,17661,110,160.554545
249,16926,110,153.872727
250,16945,102,166.127451
251,16573,107,154.887850
252,16218,104,155.942308
253,17075,107,159.579439
254,17237,111,155.288288
255,18181,119,152.781513
256,18899,109,173.385321
257,18237,111,164.297297
