sample,epi_delta,runtime_delta,busy_fraction
1,4951,39,126.948718
2,13347,108,123.583333
3,13597,119,114.260504
4,15631,101,154.762376
5,13529,107,126.439252
6,13642,108,126.314815
7,15469,111,139.360360
8,12656,123,102.894309
9,16717,118,141.669492
10,15293,105,145.647619
11,12536,106,118.264151
12,14724,115,128.034783
13,14592,107,136.373832
14,13484,107,126.018692
15,13467,106,127.047170
16,15972,115,138.886957
17,12664,116,109.172414
18,16911,118,143.313559
19,15034,145,103.682759
20,16602,106,156.622642
21,15078,105,143.600000
22,12536,105,119.390476
23,13960,104,134.230769
24,13308,108,123.222222
25,13762,104,132.326923
26,15585,120,129.875000
27,14270,107,133.364486
28,12928,105,123.123810
29,14036,107,131.177570
30,14037,111,126.459459
31,13887,110,126.245455
32,14535,108,134.583333
33,14185,108,131.342593
34,14386,116,124.017241
35,14173,116,122.181034
36,15471,117,132.230769
37,14183,109,130.119266
38,13753,109,126.174312
39,14475,104,139.182692
40,14718,120,122.650000
41,13460,102,131.960784
42,13463,108,124.657407
43,14037,114,123.131579
44,14702,104,141.365385
45,13757,110,125.063636
46,14413,111,129.846847
47,14215,110,129.227273
48,13688,102,134.196078
49,13515,110,122.863636
50,14696,113,130.053097
51,13427,110,122.063636
52,13589,105,129.419048
53,15111,108,139.916667
54,13014,107,121.626168
55,12880,110,117.090909
56,14191,102,139.127451
57,14481,108,134.083333
58,16073,128,125.570312
59,17395,126,138.055556
60,12966,117,110.820513
61,15277,107,142.775701
62,14393,114,126.254386
63,15916,118,134.881356
64,13092,109,120.110092
65,14235,106,134.292453
66,14634,107,136.766355
67,13478,112,120.339286
68,13751,105,130.961905
69,14123,112,126.098214
70,14601,108,135.194444
71,13859,114,121.570175
72,14088,109,129.247706
73,13708,114,120.245614
74,15105,116,130.215517
75,15472,120,128.933333
76,15887,121,131.297521
77,13535,100,135.350000
78,15404,107,143.962617
79,13660,109,125.321101
80,14771,111,133.072072
81,13937,110,126.700000
82,13984,107,130.691589
83,17963,137,131.116788
84,15431,106,145.575472
85,16267,118,137.855932
86,13328,111,120.072072
87,13685,105,130.333333
88,13448,118,113.966102
89,15407,125,123.256000
90,15777,103,153.174757
91,14099,110,128.172727
92,13641,114,119.657895
93,13855,130,106.576923
94,17520,109,160.733945
95,13668,104,131.423077
96,14199,108,131.472222
97,13408,111,120.792793
98,14513,115,126.200000
99,14915,109,136.834862
100,13941,109,127.899083
101,14324,111,129.045045
102,13845,112,123.616071
103,15559,120,129.658333
104,14321,106,135.103774
105,14547,107,135.953271
106,12909,111,116.297297
107,14054,114,123.280702
108,15667,111,141.144144
109,13333,104,128.201923
110,13437,106,126.764151
111,15250,113,134.955752
112,13979,111,125.936937
113,13624,106,128.528302
114,13234,104,127.250000
115,14100,107,131.775701
116,13563,117,115.923077
117,15490,111,139.549550
118,13919,106,131.311321
119,13365,108,123.750000
120,13800,106,130.188679
121,13724,113,121.451327
122,14556,104,139.961538
123,13655,115,118.739130
124,14386,107,134.448598
125,14697,107,137.355140
126,12982,109,119.100917
127,15479,118,131.177966
128,13062,101,129.326733
129,13809,111,124.405405
130,13635,109,125.091743
131,14626,106,137.981132
132,13975,106,131.839623
133,12950,111,116.666667
134,14305,105,136.238095
135,13170,109,120.825688
136,14228,111,128.180180
137,13899,109,127.513761
138,13602,104,130.788462
139,14727,116,126.956897
140,13920,107,130.093458
141,13918,101,137.801980
142,13398,111,120.702703
143,14409,106,135.933962
144,15229,125,121.832000
145,14778,109,135.577982
146,14366,110,130.600000
147,12663,103,122.941748
148,14540,116,125.344828
149,14450,105,137.619048
150,14664,118,124.271186
151,14760,108,136.666667
152,14891,107,139.168224
153,13769,120,114.741667
154,14941,112,133.401786
155,13954,111,125.711712
156,14401,105,137.152381
157,13558,114,118.929825
158,15268,110,138.800000
159,13077,104,125.740385
160,13716,103,133.165049
161,13583,113,120.203540
162,13751,101,136.148515
163,15308,123,124.455285
164,14449,104,138.932692
165,13281,108,122.972222
166,13295,104,127.836538
167,15260,120,127.166667
168,14905,121,123.181818
169,17006,113,150.495575
170,15362,115,133.582609
171,14476,121,119.636364
172,14620,111,131.711712
173,13786,108,127.648148
174,14480,107,135.327103
175,13090,105,124.666667
