sample,epi_delta,runtime_delta,busy_fraction
1,9413,37,254.405405
2,23808,101,235.722772
3,26682,114,234.052632
4,22585,108,209.120370
5,21919,106,206.783019
6,26570,106,250.660377
7,24027,110,218.427273
8,27323,120,227.691667
9,23494,108,217.537037
10,24724,114,216.877193
11,26984,111,243.099099
12,22210,108,205.648148
13,25757,110,234.154545
14,23873,105,227.361905
15,23658,109,217.045872
16,25503,107,238.345794
17,24074,108,222.907407
18,23564,105,224.419048
19,23462,110,213.290909
20,25046,105,238.533333
21,23477,111,211.504505
22,26798,114,235.070175
23,24915,106,235.047170
24,22979,106,216.783019
25,23831,108,220.657407
26,25306,122,207.426230
27,28618,124,230.790323
28,27983,122,229.368852
29,28220,130,217.076923
30,28003,119,235.319328
31,24573,107,229.654206
32,26182,119,220.016807
33,25650,105,244.285714
34,21159,109,194.119266
35,27664,115,240.556522
36,25297,115,219.973913
37,25706,107,240.242991
38,23988,112,214.178571
39,25000,110,227.272727
40,25356,104,243.807692
41,20951,109,192.211009
42,26314,108,243.648148
43,23585,101,233.514851
44,25391,114,222.728070
45,24978,115,217.200000
46,25224,111,227.243243
47,25835,112,230.669643
48,24018,121,198.495868
49,27971,110,254.281818
50,25169,109,230.908257
51,22901,110,208.190909
52,24327,104,233.913462
53,23469,103,227.854369
54,24075,117,205.769231
55,23542,109,215.981651
56,25149,99,254.030303
57,25156,109,230.788991
58,21760,117,185.982906
59,26756,103,259.766990
60,24636,108,228.111111
61,23562,113,208.513274
62,26418,133,198.631579
63,28929,107,270.364486
64,25307,113,223.955752
65,23735,103,230.436893
66,23494,111,211.657658
67,27257,116,234.974138
68,24674,110,224.309091
69,22233,102,217.970588
70,25842,110,234.927273
71,24385,106,230.047170
72,25237,104,242.663462
73,24768,109,227.229358
74,24857,99,251.080808
75,21780,106,205.471698
76,26025,109,238.761468
77,25074,111,225.891892
78,23808,111,214.486486
79,23948,109,219.706422
80,25736,104,247.461538
81,25134,107,234.897196
82,24650,108,228.240741
83,25152,117,214.974359
84,25041,105,238.485714
85,24228,114,212.526316
86,24806,100,248.060000
87,24045,107,224.719626
88,22178,109,203.467890
89,26197,105,249.495238
90,23721,112,211.794643
91,23467,108,217.287037
92,25682,107,240.018692
93,23821,105,226.866667
94,22948,103,222.796117
95,24565,110,223.318182
96,24023,111,216.423423
97,24767,108,229.324074
98,23381,112,208.758929
99,25941,108,240.194444
100,24300,106,229.245283
101,23722,113,209.929204
102,26002,111,234.252252
103,25511,115,221.834783
104,25611,112,228.669643
105,24052,109,220.660550
106,25496,102,249.960784
107,23501,106,221.707547
108,22863,112,204.133929
109,24737,105,235.590476
110,24510,107,229.065421
111,23410,108,216.759259
112,24404,109,223.889908
113,25419,109,233.201835
114,26127,119,219.554622
115,22377,104,215.163462
116,25719,107,240.364486
117,24405,136,179.448529
118,29346,101,290.554455
119,22827,105,217.400000
120,24332,107,227.401869
121,25396,127,199.968504
122,26031,108,241.027778
123,29506,170,173.564706
124,35959,133,270.368421
125,28731,111,258.837838
126,24169,109,221.733945
127,24046,108,222.648148
128,24747,112,220.955357
129,25597,108,237.009259
130,25020,106,236.037736
131,21313,111,192.009009
132,26452,108,244.925926
133,24649,107,230.364486
134,24733,116,213.215517
135,23599,100,235.990000
136,25079,120,208.991667
137,25627,103,248.805825
138,24209,115,210.513043
139,24822,107,231.981308
140,24510,106,231.226415
141,25210,119,211.848739
142,24701,104,237.509615
143,30632,161,190.260870
144,28278,100,282.780000
145,25367,110,230.609091
146,22036,107,205.943925
147,25395,107,237.336449
148,24613,112,219.758929
149,21310,105,202.952381
150,25252,104,242.807692
151,26212,113,231.964602
152,24371,118,206.533898
153,25923,107,242.271028
154,23759,110,215.990909
155,25615,107,239.392523
156,22855,108,211.620370
157,24882,104,239.250000
158,24347,106,229.688679
159,21060,103,204.466019
160,26585,110,241.681818
161,23232,103,225.553398
162,27663,122,226.745902
163,22903,105,218.123810
164,25965,112,231.830357
165,24131,107,225.523364
166,22614,108,209.388889
167,24707,103,239.873786
168,26082,118,221.033898
169,21380,110,194.363636
170,26439,109,242.559633
171,27627,111,248.891892
172,23118,106,218.094340
173,22645,107,211.635514
174,28299,106,266.971698
175,24609,114,215.868421
176,24400,104,234.615385
177,25294,121,209.041322
178,25223,102,247.284314
179,21685,109,198.944954
180,26857,108,248.675926
181,23534,100,235.340000
182,21631,109,198.449541
183,27979,102,274.303922
184,24034,108,222.537037
185,24156,114,211.894737
186,25439,105,242.276190
187,24702,112,220.553571
188,24821,107,231.971963
189,24940,112,222.678571
190,24522,109,224.972477
191,23373,114,205.026316
192,23526,107,219.869159
193,26515,108,245.509259
194,24156,106,227.886792
195,23347,107,218.196262
196,23896,105,227.580952
197,24454,104,235.134615
198,21860,111,196.936937
199,26060,112,232.678571
200,24162,100,241.620000
201,25087,106,236.669811
202,22774,110,207.036364
203,23578,108,218.314815
204,24813,103,240.902913
205,23386,116,201.603448
206,25020,101,247.722772
207,24095,108,223.101852
208,22479,108,208.138889
209,25485,106,240.424528
210,23798,106,224.509434
211,23538,111,212.054054
212,25481,120,212.341667
213,26595,105,253.285714
214,25191,108,233.250000
215,23667,114,207.605263
216,29150,167,174.550898
217,39282,140,280.585714
218,25033,119,210.361345
219,29282,114,256.859649
220,24323,110,221.118182
221,24560,113,217.345133
222,25638,109,235.211009
223,25004,112,223.250000
224,22597,106,213.179245
225,25193,109,231.128440
226,26252,109,240.844037
227,22338,117,190.923077
228,26215,104,252.067308
229,23882,105,227.447619
230,24130,103,234.271845
231,21986,107,205.476636
232,24492,105,233.257143
233,24225,109,222.247706
234,24181,136,177.801471
235,28846,104,277.365385
236,25428,106,239.886792
237,26373,115,229.330435
238,22622,104,217.519231
239,23491,106,221.613208
240,25758,107,240.728972
241,21899,111,197.288288
242,25353,104,243.778846
243,22986,106,216.849057
244,24859,116,214.301724
245,25747,106,242.896226
246,24808,113,219.539823
247,25522,107,238.523364
248,22057,105,210.066667
249,24885,112,222.187500
250,25616,114,224.701754
251,24656,110,224.145455
252,26485,106,249.858491
253,25659,119,215.621849
254,24416,106,230.339623
255,24014,109,220.311927
256,24068,107,224.934579
257,25152,108,232.888889
258,23294,108,215.685185
259,25446,111,229.243243
260,25235,110,229.409091
261,22667,109,207.954128
262,25408,108,235.259259
263,25248,110,229.527273
264,24224,107,226.392523
265,23935,118,202.838983
266,24789,112,221.330357
267,26259,109,240.908257
268,23700,111,213.513514
269,25282,105,240.780952
270,23812,105,226.780952
271,22308,104,214.500000
272,24525,106,231.367925
273,24095,111,217.072072
274,24744,107,231.252336
275,25630,113,226.814159
276,25833,110,234.845455
277,26955,104,259.182692
278,23741,112,211.973214
279,25555,113,226.150442
280,25170,126,199.761905
281,26807,103,260.262136
282,24201,116,208.629310
283,27131,109,248.908257
284,23075,107,215.654206
285,23059,108,213.509259
286,28684,108,265.592593
287,25129,110,228.445455
288,23654,108,219.018519
289,27193,116,234.422414
290,24119,106,227.537736
291,22613,107,211.336449
292,24182,102,237.078431
