sample,epi_delta,runtime_delta,busy_fraction
1,5529,46,120.195652
2,19337,125,154.696000
3,14595,107,136.401869
4,15432,107,144.224299
5,15730,112,140.446429
6,16480,110,149.818182
7,15764,102,154.549020
8,14455,116,124.612069
9,16252,113,143.823009
10,16047,102,157.323529
11,16136,108,149.407407
12,14735,111,132.747748
13,15694,102,153.862745
14,15661,108,145.009259
15,15699,117,134.179487
16,16902,110,153.654545
17,15967,132,120.962121
18,20009,116,172.491379
19,15126,107,141.364486
20,16819,116,144.991379
21,15906,109,145.926606
22,15192,106,143.320755
23,15376,115,133.704348
24,16555,104,159.182692
25,15647,109,143.550459
26,15105,115,131.347826
27,16447,112,146.848214
28,18358,130,141.215385
29,17664,111,159.135135
30,15307,108,141.731481
31,15542,113,137.539823
32,16357,102,160.362745
33,15165,107,141.728972
34,14982,111,134.972973
35,15969,108,147.861111
36,16404,112,146.464286
37,15441,105,147.057143
38,14978,104,144.019231
39,15694,106,148.056604
40,15891,112,141.883929
41,14503,102,142.186275
42,16672,128,130.250000
43,16648,111,149.981982
44,16755,103,162.669903
45,15387,120,128.225000
46,15059,104,144.798077
47,16793,106,158.424528
48,14944,106,140.981132
49,14700,102,144.117647
50,14945,106,140.990566
51,16434,106,155.037736
52,14678,111,132.234234
53,15377,108,142.379630
54,15382,105,146.495238
55,15532,114,136.245614
56,19436,119,163.327731
57,16168,111,145.657658
58,15715,101,155.594059
59,16473,123,133.926829
60,16251,109,149.091743
61,18913,130,145.484615
62,16946,118,143.610169
63,15815,107,147.803738
64,15206,107,142.112150
65,17139,113,151.672566
66,14889,107,139.149533
67,15113,110,137.390909
68,15913,104,153.009615
69,15404,108,142.629630
70,17515,116,150.991379
71,14751,110,134.100000
72,16254,107,151.906542
73,15074,107,140.878505
74,16328,122,133.836066
75,16089,104,154.701923
76,15539,106,146.594340
77,15818,105,150.647619
78,14699,107,137.373832
79,15692,113,138.867257
80,15080,101,149.306931
81,16338,109,149.889908
82,15178,118,128.627119
83,15584,109,142.972477
84,18533,113,164.008850
85,15336,109,140.697248
86,15752,111,141.909910
87,15648,107,146.242991
88,15736,113,139.256637
89,16690,106,157.452830
90,15860,107,148.224299
91,15616,111,140.684685
92,15988,108,148.037037
93,16303,123,132.544715
94,16340,110,148.545455
95,15414,101,152.613861
96,15787,108,146.175926
97,15673,110,142.481818
98,15055,102,147.598039
99,16093,116,138.732759
100,15906,105,151.485714
101,15188,104,146.038462
102,14763,107,137.971963
103,15958,104,153.442308
104,14511,109,133.128440
105,15409,102,151.068627
106,14530,105,138.380952
107,18673,122,153.057377
108,15108,118,128.033898
109,16700,116,143.965517
110,17946,127,141.307087
111,16808,110,152.800000
112,15641,110,142.190909
113,16053,104,154.355769
114,14438,105,137.504762
115,15829,115,137.643478
116,16581,111,149.378378
117,16499,112,147.312500
118,17058,120,142.150000
119,15837,109,145.293578
120,16247,107,151.841121
121,15758,104,151.519231
122,14512,107,135.626168
123,15690,108,145.277778
124,15957,116,137.560345
125,19073,113,168.787611
126,14275,108,132.175926
127,16120,113,142.654867
128,15869,113,140.433628
129,17214,111,155.081081
130,15316,104,147.269231
131,14464,106,136.452830
132,15806,107,147.719626
133,14881,106,140.386792
134,17363,123,141.162602
135,16978,115,147.634783
136,17156,112,153.178571
137,15682,124,126.467742
138,17104,104,164.461538
139,14383,106,135.688679
140,16585,110,150.772727
141,14735,102,144.460784
142,14646,104,140.826923
143,16062,120,133.850000
144,16163,103,156.922330
145,14819,108,137.212963
146,14786,113,130.849558
147,19223,142,135.373239
148,19922,101,197.247525
149,14984,106,141.358491
150,16550,114,145.175439
151,16191,114,142.026316
152,16924,113,149.769912
153,15484,136,113.852941
154,19743,111,177.864865
155,17095,117,146.111111
156,17781,119,149.420168
157,15903,113,140.734513
158,15546,104,149.480769
159,15647,104,150.451923
160,15506,114,136.017544
161,15755,110,143.227273
162,15317,107,143.149533
163,15349,109,140.816514
164,15096,111,136.000000
165,16417,110,149.245455
166,15683,99,158.414141
167,14116,111,127.171171
168,15735,99,158.939394
169,14363,111,129.396396
170,18031,115,156.791304
171,15029,108,139.157407
172,16387,114,143.745614
173,16393,108,151.787037
174,15995,112,142.812500
175,15764,109,144.623853
176,15250,105,145.238095
177,14988,106,141.396226
178,15529,107,145.130841
179,15127,109,138.779817
180,15371,107,143.654206
181,16707,112,149.169643
182,15903,103,154.398058
183,15126,119,127.109244
184,17231,106,162.556604
185,15523,107,145.074766
186,14965,107,139.859813
187,14830,102,145.392157
188,15270,109,140.091743
189,15744,103,152.854369
190,15793,107,147.598131
191,15848,112,141.500000
192,15454,118,130.966102
193,17059,116,147.060345
194,15839,108,146.657407
195,16176,103,157.048544
196,15043,106,141.915094
197,15632,110,142.109091
198,14986,110,136.236364
199,15682,109,143.871560
200,16733,108,154.935185
201,14656,107,136.971963
202,17782,129,137.844961
203,17696,106,166.943396
204,14561,108,134.824074
205,15238,108,141.092593
206,16709,117,142.811966
207,15502,108,143.537037
208,16236,112,144.964286
209,15674,107,146.485981
210,14815,117,126.623932
211,17277,106,162.990566
212,15191,106,143.311321
213,15082,106,142.283019
214,15585,107,145.654206
215,15624,124,126.000000
216,16605,99,167.727273
217,15402,105,146.685714
218,15948,110,144.981818
219,16305,109,149.587156
220,14895,108,137.916667
221,15757,109,144.559633
222,16766,108,155.240741
223,14776,112,131.928571
224,15817,107,147.822430
225,17071,119,143.453782
226,16191,111,145.864865
227,15524,103,150.718447
228,14839,105,141.323810
229,16903,115,146.982609
230,14624,108,135.407407
231,15571,101,154.168317
232,14939,104,143.644231
233,14873,108,137.712963
234,16310,115,141.826087
235,15547,108,143.953704
236,16080,109,147.522936
237,16207,106,152.896226
238,15645,129,121.279070
239,17173,111,154.711712
240,15615,107,145.934579
241,16549,106,156.122642
242,17313,109,158.834862
243,15999,109,146.779817
244,15700,105,149.523810
245,14690,110,133.545455
246,15222,127,119.858268
247,19701,115,171.313043
248,16941,123,137.731707
249,17140,113,151.681416
250,15866,113,140.407080
251,16142,111,145.423423
252,16924,117,144.649573
253,15741,104,151.355769
