sample,epi_delta,runtime_delta,busy_fraction
1,11054,34,325.117647
2,28245,111,254.459459
3,29589,110,268.990909
4,30825,103,299.271845
5,29307,111,264.027027
6,29288,100,292.880000
7,28194,105,268.514286
8,29692,107,277.495327
9,29002,106,273.603774
10,30761,115,267.486957
11,30698,109,281.633028
12,29111,110,264.645455
13,29313,102,287.382353
14,29588,114,259.543860
15,30364,103,294.796117
16,35625,133,267.857143
17,32079,114,281.394737
18,27564,101,272.910891
19,30420,111,274.054054
20,29502,109,270.660550
21,32411,115,281.834783
22,29152,102,285.803922
23,29856,114,261.894737
24,30156,103,292.776699
25,28293,106,266.915094
26,30018,119,252.252101
27,31599,103,306.786408
28,28477,106,268.650943
29,27510,103,267.087379
30,30610,111,275.765766
31,32527,115,282.843478
32,28911,117,247.102564
33,33825,121,279.545455
34,29443,100,294.430000
35,30389,110,276.263636
36,30249,109,277.513761
37,29525,106,278.537736
38,29385,104,282.548077
39,29714,106,280.320755
40,30921,116,266.560345
41,29363,105,279.647619
42,30543,113,270.292035
43,29398,104,282.673077
44,33088,111,298.090090
45,27085,106,255.518868
46,30621,112,273.401786
47,29398,104,282.673077
48,29353,108,271.787037
49,29777,114,261.201754
50,35212,127,277.259843
51,31868,118,270.067797
52,32470,117,277.521368
53,32914,115,286.208696
54,31430,112,280.625000
55,30728,100,307.280000
56,27934,106,263.528302
57,29152,109,267.449541
58,29429,111,265.126126
59,31136,105,296.533333
60,28252,103,274.291262
61,30473,107,284.794393
62,28492,110,259.018182
63,30785,107,287.710280
64,31377,115,272.843478
65,29544,104,284.076923
66,28962,108,268.166667
67,29823,110,271.118182
68,31591,116,272.336207
69,29095,107,271.915888
70,28952,103,281.087379
71,28248,105,269.028571
72,32862,115,285.756522
73,29028,113,256.884956
74,29611,104,284.721154
75,30272,109,277.724771
76,30215,106,285.047170
77,29205,106,275.518868
78,32122,118,272.220339
79,28534,111,257.063063
80,32144,109,294.899083
81,29185,121,241.198347
82,33761,121,279.016529
83,37597,120,313.308333
84,29936,110,272.145455
85,29921,111,269.558559
86,32786,109,300.788991
87,27914,106,263.339623
88,31312,113,277.097345
89,28545,115,248.217391
90,33826,107,316.130841
91,27355,112,244.241071
92,33337,121,275.512397
93,29206,111,263.117117
94,31029,105,295.514286
95,29364,106,277.018868
96,30077,109,275.935780
97,29158,115,253.547826
98,33216,107,310.429907
99,32295,119,271.386555
100,27776,105,264.533333
101,32044,116,276.241379
102,28914,105,275.371429
103,33540,121,277.190083
104,34010,130,261.615385
105,30186,102,295.941176
106,30921,112,276.080357
107,30887,115,268.582609
108,29698,102,291.156863
109,28898,106,272.622642
110,30474,112,272.089286
111,31125,114,273.026316
112,29713,106,280.311321
113,28216,105,268.723810
114,29633,115,257.678261
115,30957,110,281.427273
116,29356,98,299.551020
117,30579,121,252.719008
118,28470,100,284.700000
119,32634,116,281.327586
120,30011,108,277.879630
121,30197,115,262.582609
122,31216,108,289.037037
123,30294,115,263.426087
124,29270,102,286.960784
125,30284,111,272.828829
126,29474,107,275.457944
127,30750,111,277.027027
128,31057,107,290.252336
129,28060,107,262.242991
130,28814,116,248.396552
131,32506,107,303.794393
132,28915,103,280.728155
133,31367,111,282.585586
134,29028,112,259.178571
135,29620,111,266.846847
136,34115,122,279.631148
137,33602,122,275.426230
138,29569,104,284.317308
139,30723,110,279.300000
140,30183,105,287.457143
141,28194,114,247.315789
142,30191,102,295.990196
143,29844,110,271.309091
144,29517,106,278.462264
145,32671,118,276.872881
146,34120,117,291.623932
147,33891,113,299.920354
148,30853,111,277.954955
149,32230,110,293.000000
150,29351,103,284.961165
151,31265,108,289.490741
152,29386,123,238.910569
153,30696,104,295.153846
154,30850,106,291.037736
155,31450,103,305.339806
156,28970,103,281.262136
157,28972,107,270.766355
158,29802,119,250.436975
159,30674,105,292.133333
160,30208,110,274.618182
161,29429,106,277.632075
162,30451,111,274.333333
163,28738,113,254.318584
164,33383,107,311.990654
165,28173,104,270.894231
166,31183,106,294.179245
167,28142,107,263.009346
168,30516,111,274.918919
169,30490,109,279.724771
170,29387,108,272.101852
171,29585,114,259.517544
172,32316,110,293.781818
173,29131,106,274.820755
174,33302,124,268.564516
175,34019,124,274.346774
176,29419,102,288.421569
177,29662,108,274.648148
178,31867,116,274.715517
179,30890,125,247.120000
180,38510,128,300.859375
181,29663,104,285.221154
182,29716,113,262.973451
183,30470,105,290.190476
184,28823,107,269.373832
185,28876,111,260.144144
186,30810,109,282.660550
187,31717,113,280.681416
188,29078,102,285.078431
189,30921,110,281.100000
190,29235,110,265.772727
191,30436,113,269.345133
192,28872,104,277.615385
193,29204,114,256.175439
194,31837,105,303.209524
195,29702,108,275.018519
196,30779,111,277.288288
197,29847,108,276.361111
198,27480,111,247.567568
199,30332,106,286.150943
200,30673,107,286.663551
201,30340,111,273.333333
202,30047,109,275.660550
203,30876,117,263.897436
204,29375,111,264.639640
205,30459,103,295.718447
206,32029,111,288.549550
207,30848,108,285.629630
208,27433,107,256.383178
209,31677,112,282.830357
210,29806,108,275.981481
211,29026,107,271.271028
212,29155,104,280.336538
213,29354,107,274.336449
214,30859,111,278.009009
215,29590,109,271.467890
216,28963,118,245.449153
217,31593,103,306.728155
218,28710,105,273.428571
219,30036,106,283.358491
220,29368,112,262.214286
221,29270,108,271.018519
222,30117,113,266.522124
223,32120,107,300.186916
224,28555,110,259.590909
225,30271,111,272.711712
226,30568,110,277.890909
227,29333,104,282.048077
228,28132,115,244.626087
229,31272,100,312.720000
230,31515,109,289.128440
231,27682,111,249.387387
232,30271,115,263.226087
233,31026,104,298.326923
234,30077,119,252.747899
235,32487,106,306.481132
236,27882,107,260.579439
237,29629,108,274.342593
238,31433,110,285.754545
239,30196,121,249.553719
240,33444,119,281.042017
241,33585,123,273.048780
242,34479,131,263.198473
243,32889,109,301.733945
244,33006,109,302.807339
245,29006,112,258.982143
246,28887,106,272.518868
247,29377,108,272.009259
248,28904,112,258.071429
249,31090,111,280.090090
250,31923,109,292.871560
251,29686,103,288.213592
252,28707,103,278.708738
253,28932,110,263.018182
254,28959,102,283.911765
255,29280,110,266.181818
256,29333,107,274.140187
257,31012,110,281.927273
258,29496,105,280.914286
259,30386,112,271.303571
260,29282,103,284.291262
261,28408,106,268.000000
262,35443,121,292.917355
263,32502,123,264.243902
264,31932,116,275.275862
265,30053,106,283.518868
266,31922,127,251.354331
267,31078,105,295.980952
268,32427,120,270.225000
269,32039,108,296.657407
270,29080,106,274.339623
271,28078,104,269.980769
272,29488,114,258.666667
273,30568,108,283.037037
274,31444,116,271.068966
275,31801,115,276.530435
276,28269,108,261.750000
277,31453,106,296.726415
278,28377,108,262.750000
279,30772,110,279.745455
280,29894,113,264.548673
281,30186,106,284.773585
282,30533,108,282.712963
283,29848,107,278.953271
284,29387,106,277.235849
285,28630,106,270.094340
286,28641,104,275.394231
287,31748,110,288.618182
288,28558,108,264.425926
289,31548,109,289.431193
290,31300,121,258.677686
291,30124,114,264.245614
292,31454,107,293.962617
293,30357,110,275.972727
294,31282,119,262.873950
295,32613,114,286.078947
296,29705,112,265.223214
297,30141,100,301.410000
298,28997,104,278.817308
299,28418,114,249.280702
300,31259,103,303.485437
301,29291,107,273.747664
302,27353,104,263.009615
303,30260,113,267.787611
304,28909,106,272.726415
305,30535,115,265.521739
306,33708,111,303.675676
307,29921,115,260.182609
308,28872,102,283.058824
309,32196,112,287.464286
310,29367,114,257.605263
311,29920,110,272.000000
312,31405,108,290.787037
313,29907,111,269.432432
314,30688,106,289.509434
315,28994,106,273.528302
316,29736,123,241.756098
317,35029,123,284.788618
318,33207,113,293.867257
319,31644,109,290.311927
320,27345,106,257.971698
321,31198,107,291.570093
322,28881,113,255.584071
323,32909,110,299.172727
324,29526,112,263.625000
325,29420,110,267.454545
326,29597,104,284.586538
327,29990,109,275.137615
328,29417,114,258.043860
329,29353,99,296.494949
330,31068,112,277.392857
331,28842,107,269.551402
332,32793,117,280.282051
333,30606,109,280.788991
334,30419,121,251.396694
335,34998,123,284.536585
336,33157,123,269.569106
337,31165,112,278.258929
338,31006,104,298.134615
339,29096,106,274.490566
340,28207,107,263.616822
341,31206,111,281.135135
342,31360,107,293.084112
343,29802,109,273.412844
344,31239,116,269.301724
345,29269,105,278.752381
346,28574,115,248.469565
347,31530,106,297.452830
348,28609,118,242.449153
349,33959,105,323.419048
350,27616,104,265.538462
351,30230,111,272.342342
352,31688,109,290.715596
353,29876,115,259.791304
354,29163,106,275.122642
355,29793,106,281.066038
356,29441,106,277.745283
357,28463,103,276.339806
358,29862,108,276.500000
359,30952,124,249.612903
360,33001,110,300.009091
361,30483,114,267.394737
362,28676,102,281.137255
363,33778,117,288.700855
364,30466,111,274.468468
365,28800,111,259.459459
366,29555,101,292.623762
367,29703,110,270.027273
368,30186,107,282.112150
369,29339,107,274.196262
370,31707,123,257.780488
371,31049,102,304.401961
372,27233,104,261.855769
373,32350,112,288.839286
374,28413,105,270.600000
375,31310,114,274.649123
376,29554,106,278.811321
377,29856,106,281.660377
378,30856,113,273.061947
379,28877,107,269.878505
380,30235,116,260.646552
381,30495,102,298.970588
382,30949,115,269.121739
383,28404,101,281.227723
384,29248,107,273.345794
385,30194,108,279.574074
386,28320,110,257.454545
387,30475,107,284.813084
388,30631,109,281.018349
389,28767,109,263.917431
390,30546,114,267.947368
391,33482,111,301.639640
392,29361,107,274.401869
393,29249,107,273.355140
394,31100,112,277.678571
395,29129,115,253.295652
396,31432,116,270.965517
397,30806,104,296.211538
398,32922,114,288.789474
399,28258,113,250.070796
400,31149,105,296.657143
401,28672,107,267.962617
402,30472,107,284.785047
403,29937,112,267.294643
404,28908,109,265.211009
405,31586,108,292.462963
406,30272,107,282.915888
407,29579,116,254.991379
408,30025,108,278.009259
409,28915,103,280.728155
410,29286,116,252.465517
411,31162,113,275.769912
412,31492,110,286.290909
413,29441,106,277.745283
414,29864,106,281.735849
415,29931,105,285.057143
416,29046,110,264.054545
417,28762,102,281.980392
418,28982,112,258.767857
419,31006,104,298.134615
420,29269,110,266.081818
421,28844,106,272.113208
422,29422,106,277.566038
423,29069,105,276.847619
424,28705,110,260.954545
425,33538,119,281.831933
426,30682,106,289.452830
427,30710,118,260.254237
428,30437,119,255.773109
429,32937,116,283.939655
430,34347,116,296.094828
431,32403,124,261.314516
432,31755,106,299.575472
433,30119,106,284.141509
434,29205,108,270.416667
435,28672,101,283.881188
436,30165,116,260.043103
437,28291,101,280.108911
438,29637,105,282.257143
439,29079,107,271.766355
440,31621,111,284.873874
441,30556,108,282.925926
442,28588,119,240.235294
443,31004,104,298.115385
444,29611,111,266.765766
445,29779,118,252.364407
446,31665,110,287.863636
447,30993,106,292.386792
448,29324,105,279.276190
449,30069,109,275.862385
450,30034,106,283.339623
451,29994,113,265.433628
452,40715,156,260.993590
453,35837,125,286.696000
454,29432,103,285.747573
455,30747,119,258.378151
456,30482,112,272.160714
457,32403,103,314.592233
458,28048,107,262.130841
459,31020,112,276.964286
460,30353,108,281.046296
461,29345,106,276.839623
462,28408,107,265.495327
463,30367,112,271.133929
464,32933,114,288.885965
465,30127,110,273.881818
466,30396,118,257.593220
467,31322,105,298.304762
468,29919,111,269.540541
469,31846,109,292.165138
470,28746,119,241.563025
471,30018,108,277.944444
472,31826,102,312.019608
473,29948,115,260.417391
474,29428,106,277.622642
475,31356,115,272.660870
476,29665,106,279.858491
477,29026,111,261.495495
478,31619,111,284.855856
479,31186,118,264.288136
480,30298,104,291.326923
481,30736,112,274.428571
482,30688,103,297.941748
483,31319,125,250.552000
484,30575,112,272.991071
485,32430,113,286.991150
486,28321,107,264.682243
487,31646,110,287.690909
488,28779,102,282.147059
489,29215,109,268.027523
490,28734,104,276.288462
491,29791,109,273.311927
492,26993,102,264.637255
493,29810,104,286.634615
494,28675,109,263.073394
495,29493,102,289.147059
496,30971,113,274.079646
497,32007,112,285.776786
498,29942,112,267.339286
499,29047,103,282.009709
