cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
45088496,32254588,77374519,46640628,28046015,145198251,52422605,59798524,6787115,8094091,59401792,193479773,269439
88720,25655,128388,67097,54906,303288,0,0,0,7666,102256,287135,256
1713040,249682,2478430,1840997,376514,2812277,798989,0,0,123256,1636188,3046129,778
40944781,86081952,59310315,47282836,7135436,64018049,14421264,17318817,11366749,12326158,37853967,64812236,52437
37498301,31206256,51835088,35967303,10362730,76548721,16126156,16742065,2449910,3142341,21604671,61918488,107858
22553240,2719835,33089590,24919309,6069764,48814340,11581502,13077951,649909,1072211,18468331,36177532,20111
22400302,2319930,32634741,24652781,5793782,45893078,11008225,12391968,429451,837131,18043283,35436419,15938
22526718,2207209,32490009,24528044,5721393,45522457,11067243,12461476,380880,789813,17998879,36183977,17190
22951872,2310667,33193585,24928254,5867231,45193725,10889188,12276604,378985,771113,18226742,36961026,18079
22798105,2309329,33003438,24801097,5886113,45550646,11173424,12579390,390680,778972,17752133,35843534,16933
22497200,2221007,32702184,24676547,5866608,45575501,11166364,12558117,385191,774673,18016552,35192317,16457
22584170,2140795,32663600,24491891,5769768,45109463,11156736,12537661,328406,720625,18124810,36394638,17054
22808792,2150706,32978164,24741340,5773122,45154963,10794775,12386722,331302,720293,18184273,36726228,17731
22661824,2029647,32772224,24499477,5904354,45039902,11228461,12422333,234642,630702,17823444,36115471,17124
22501942,1986985,32792113,24599075,6040591,45126143,11436626,12836878,217537,607401,17773956,35351363,16677
22499379,1944544,32558372,24388490,5789149,44457088,11225530,12639762,230981,620806,17960581,36605239,17304
22756415,2076017,32941131,24620633,5830568,44788822,10871574,12488198,277261,669161,18018386,36759108,18052
22840386,1984451,33035258,24726530,5946160,44902549,11299397,12518122,233890,611083,17867499,36226012,18377
22587766,1962679,32867870,24551765,5924629,44890369,11280398,12676384,230380,604772,17803139,35450334,17050
22888632,2065238,32867229,24632129,5918050,45284772,11467553,12878182,225230,663430,18530472,37433631,18256
22939314,2008968,33150779,24733511,5803598,44628351,10841447,12660096,228480,624956,18308324,37548195,19119
22734498,2068731,32893449,24566505,5945408,44954185,11311893,12494217,228365,609098,17817375,36151390,18267
22674060,1994541,32964110,24656016,5935942,45045073,11259514,12670102,228519,624710,17914461,35458182,17582
22644996,1878799,32545215,24588319,5801423,44650596,11248773,12669756,202121,582708,18025648,36152408,18570
22881891,1916710,33105117,24552228,5958977,44245968,11090714,12513021,204493,601591,18257513,37562495,18989
22845192,1923177,33030651,24641270,5964310,44670562,11307732,12718288,182670,583320,17619848,36463233,19423
22598293,1893668,32787393,24439336,5917605,44468617,11263333,12674918,192703,572654,17654284,35441701,18223
22603695,1817261,32491424,24470681,5829769,44500620,11312839,12729925,177989,576328,17980445,36261357,18480
22806648,1918412,33013231,24594557,5861157,44220023,11158577,12575895,168519,582748,18057505,37152133,19513
22644788,1848159,32786899,24504238,5969622,44559160,11091637,12492835,167611,560403,17730546,36784017,18409
22539023,1849664,32980432,24543454,6047738,44653311,11453475,12869248,186598,567543,17725387,35486592,18941
22589746,1816427,32489084,24439759,5827942,44637425,11301293,12702948,171299,566359,18037155,36818753,18441
22760588,1869789,32972085,24607796,5842211,44209462,11036343,12469107,177344,569549,17943938,36781499,19645
22617085,1881095,32743221,24473855,5952999,44712255,11105901,12537206,175773,567583,17788852,36945207,19423
22652495,1926165,32997158,24648700,5968516,44771650,11327550,12756992,207334,591253,17652451,35754975,19364
22577468,1886872,32661260,24457289,5942078,44831588,11482229,12898363,201290,580268,18190937,36884276,18332
22954499,2010907,33080376,24644431,5936902,44180237,10870951,12492105,205866,601024,18340624,37779390,19659
20515922,1670603,29322325,19865351,5291126,63847140,10180313,11137063,188901,545070,15425882,36679275,94033
731954,383261,1218911,746534,377019,3048933,719322,751170,126670,156011,370920,1073421,3085
491209,599800,993851,837294,346639,3505313,684521,711379,173774,154216,567656,561218,3031
749258,304690,1014754,457009,206019,1893020,629947,866576,101522,125750,1040774,2838493,3660
6499449,1250831,10292169,6629448,3258692,29189070,4025975,4314864,232959,495977,6378242,14989522,25182
11443313,9347244,16416846,11403534,3322206,30939123,4928380,5885594,1223606,1448470,8780877,20523857,25772
10382107,13632753,15670874,11086685,3136674,30006726,4612288,5533751,1583315,2131595,9616030,18550947,15114
10927326,8874032,15116062,10408332,2864450,26586641,4419468,5396986,1665975,1404362,8858385,20007896,18714
11107183,13682709,16910453,11758590,3232853,32081733,4619413,5629623,1632980,1902590,9971293,21327775,19295
11392446,9560278,15043160,10742213,3156210,27730799,4362011,5436996,1594220,2316325,8849361,18972808,15936
10478585,8781063,16234541,11390637,3216655,29476388,4914900,5877461,1142096,1389301,9111122,18581276,16169
11592272,13714126,15711765,10313129,2845114,28103791,4387738,5372668,1550628,1836580,9369534,21096224,16981
10494988,9333761,15286948,11099334,3126429,27894214,4239331,5300004,1607024,1382958,8560374,18820088,16911
6352167,8426385,8963543,6387980,1746041,16667927,2829297,3379737,589617,678338,4823599,11252630,9882
571755,217374,1075136,762134,469378,2969899,868441,890229,81810,107761,812296,706207,2387
30292659,6213286,42848967,24557909,15384478,95212181,22074393,19420291,708796,1587454,30049054,93963465,174836
25559536,2023842,36091239,22468850,7619953,118903855,13598385,13972577,179872,727415,20257647,54060181,188168
26787548,2395654,39351975,24327897,8990881,123475998,17074775,18342815,156547,665317,22057951,55568896,207572
19613024,2837183,29823107,16940099,9942234,64818319,19333951,20736663,447983,915629,20517363,48962472,84048
17945298,13858822,23316926,14766481,6205781,52336860,11304908,12804356,1709339,2823783,17669379,41948631,57945
10707167,2878773,14467514,8652369,5269167,29844602,9995232,11079697,528911,783957,12025581,31307043,29017
27062005,16165651,39389477,26256344,8647276,118949919,16739974,17666947,3585804,4512419,25366320,49914592,164315
29970794,17790970,42960021,29287556,8458102,138263221,17462429,18809373,3916172,4819519,27183781,54448338,218309
14674757,1557720,21212894,13890131,3716037,77556182,7025361,7951004,52425,523666,11111757,26936297,111129
14851584,1626749,21436396,14062734,3951077,77775076,7653216,8168441,84876,556465,10796478,26762252,111396
14487590,1656230,21328079,14107611,3812043,78419586,7387799,8105274,107035,576808,10835377,25356321,119744
14682011,1601559,21002300,13946092,3691062,78342077,7405739,8140451,95368,568153,11094745,26753951,120481
14841692,1694260,21434812,14058078,3826370,77263320,7209916,8156548,111193,594826,11052005,27278214,113962
14782981,1671786,21345790,14051428,3818987,77971214,7403056,7921473,100125,576707,10931096,26850021,118204
14603797,1709608,21346788,14091825,3826653,78089519,7445030,8170653,157650,623057,10686390,25302125,116092
14610792,1763171,21116594,13962059,3835423,77970914,7655774,8381712,144728,624950,11364249,26768212,114630
14703919,1661862,21195638,13918657,3690436,77253919,7004668,7926889,112150,584324,11100029,26827389,112625
14737748,1546243,21290009,13930243,3931371,77752623,7414829,7920763,39229,531897,10995781,27248534,113710
14497783,1478477,21132797,13850750,3819347,77727950,7395961,8114554,11402,493841,10504141,25385060,115041
14382861,1484566,20858962,13889366,3794923,78299432,7397123,8132514,20972,500724,10990788,25935582,119420
14853852,1473498,21445552,13934464,3712511,78228010,7220659,8141286,16848,481221,11183690,27305132,118659
14751661,1520905,21214989,13895445,3814047,77878759,7399724,7925602,15567,491336,10772568,26174446,117518
14481950,1528115,21149422,13897459,3823203,77964950,7430008,8161333,15635,507836,10665316,25337558,113009
14364352,1504756,20802775,13911256,3958609,78116684,7659192,8379452,17993,496736,11215531,26172449,114713
15833322,2658990,22282944,14857965,3882887,82467560,8122557,9294550,875727,1429893,13773724,29685429,122003
14813623,1699702,21430951,14045274,3924280,77875634,7382376,7892955,121284,602312,11121612,26544215,113569
14496343,1552118,21198054,13898908,3829702,78063370,7404771,8125195,59801,534613,10848330,25349107,111550
14479165,1600623,20773835,13802916,3696432,77828763,7405579,8146595,88520,564051,11103407,26011568,110661
14856373,1799317,21452882,14081359,3696550,78220946,7186006,7918204,168217,647137,11230377,26574359,117979
14736070,1516403,21277242,14023440,3795043,78720006,7164527,7672526,34399,506490,11062697,26636323,119975
14626209,1538886,21177629,13904876,3801625,78158782,7400086,8135832,23441,506525,10569096,25142179,115733
14537133,1510305,21016407,13908745,3812882,78431555,7604978,8326577,11777,496378,11272236,25978555,117008
14623431,1506507,21176107,13808391,3687718,77935605,7166069,7890750,20618,497298,11051437,26671815,116947
14663400,1492071,21188664,13855288,3814309,78193074,7208449,7923974,7488,490596,10797031,26630091,114652
14710699,1559616,21418190,13971645,3925288,78028669,7381261,8107007,9488,488704,10794179,26029076,114903
14314193,1499584,20909008,13838745,3799468,78109117,7390266,8124196,11668,498154,11065981,25313874,112623
14813874,1515583,21155141,13786074,3697657,78027765,7396100,8121212,25757,502784,11225652,27243371,115580
14707664,1503708,21172264,13868028,3794156,78156486,7161248,7891304,19356,494058,10814743,26727763,117310
14517645,1531636,21194762,13912428,3805282,78391417,7411747,8142694,21729,496502,10602818,25284264,116705
14403873,1461616,21015788,13835373,3814048,78576290,7417235,8129092,11561,483066,11048586,26001590,117424
14691495,1603720,21429139,14690785,3817160,81271701,7677288,8657042,429461,935664,12336538,27016311,116232
15750367,2491945,22177793,14211038,4012569,80175466,7881046,8587662,510638,1021092,12415905,29155494,119779
14658515,1743372,21411747,14102055,3824726,78271921,7403139,8129628,140877,618704,10801686,25404927,117198
14341604,1467866,20921395,13760345,3809914,77983920,7427302,8165347,10120,489551,11050161,26108983,113227
14637029,1507002,20999738,13883659,3582628,78079183,7190082,8127178,39990,513907,10957401,26478765,117381
14722549,1480140,21253357,13991711,3800459,78346572,7180330,7686263,8288,477218,11016525,26690638,119549
14654495,1477962,21161100,13884490,3816770,78219666,7422562,8148650,16317,482565,10561198,26064786,115421
14360297,1493594,21079727,13881821,3940229,78495656,7617150,8336431,12274,488276,10977766,26052327,114399
14446577,1434001,20893184,13663517,3696386,77596021,7413008,8165170,13027,478835,11025301,26801142,112263
14774064,1511309,21346071,14057852,3702102,78614177,6986149,7920196,15659,499740,11004199,26638732,120201
14651292,1503882,21164693,13892700,3792379,77952210,7358162,7883293,5310,475487,10756024,25970848,116016
14622469,1502761,21333829,13979972,3794717,78137970,7383638,8310931,17804,507466,10994214,25854850,116177
14802929,1488742,21145079,13880988,3816583,78381720,7622126,8335390,7410,488367,11415926,27318341,115139
14657528,1488636,21102033,13876539,3788791,77669521,6976270,7697615,23653,490532,10967166,26646285,115997
14553726,1501917,21028075,13801363,3823426,77449850,7411918,7926954,18311,493652,10716558,25930046,111155
14514957,1508910,21189623,13943177,3807055,78308588,7374755,8108154,16592,495355,10766184,25198813,116991
14511467,1495507,20820223,13863384,3691267,78201701,7408381,8140690,18756,505848,11010594,25971008,115981
15222421,2438408,22881915,15342034,4267839,84503429,8338631,9096495,885991,1402314,13146619,28542161,113728
14607389,1545492,21145962,13841102,3815473,77753438,7406557,8134326,55529,516194,10583802,26036142,110999
14378927,1758282,21229216,13934302,3809161,77413369,7400653,8132925,164681,643954,10946401,25254697,110669
14504143,1541671,20724482,13766785,3699790,77559319,7395871,8114076,50297,523278,11029781,26072270,112137
14697418,1466033,21161682,13830002,3675548,77774677,7159231,7889211,16961,478383,10968648,26616807,117930
14728712,1491007,21302889,14028230,3806741,78548476,7171809,7899916,10312,494532,10807606,26543540,120507
14584638,1475861,21486560,14058916,3941037,78575853,7615107,8345509,21060,490943,10795799,25360682,116022
14402941,1481598,20621977,13616217,3680546,77639578,7389114,8112056,14587,496240,11039095,26680055,113917
14684566,1622200,21201296,13903683,3694313,77373735,6971250,7906690,90427,559685,11053815,26694547,112924
14623343,1477904,21074998,13784014,3811791,77433883,7207298,7927086,6352,476108,10712523,26830376,109887
