cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
45115892,33060728,77402313,46668594,28045755,145065330,52545548,59939425,6832785,8126026,59728952,194423692,270438
108240,58472,156595,91219,57861,333173,0,0,0,23568,126683,308388,295
1739840,293114,2517343,1877711,379279,2766095,803312,0,0,126970,1659522,3054337,723
41432036,87686108,60009578,47991877,7134764,64573332,14428115,17313195,11696395,12621772,38294872,64996661,54100
33419685,29861255,46502971,32336737,9380912,68401204,14538693,14812634,2645846,3199368,19640517,53585007,91707
23652371,3501752,34536604,25840303,6465706,53060051,12035561,13532757,734237,1090944,18628899,39392128,37555
22667227,2390841,33011192,25035427,5844127,46449288,11112901,12513179,436700,812026,18202614,34906669,22603
22896472,2276491,32943034,24800218,5617624,45706438,11123072,12502078,412706,769078,18191572,36300634,22203
22942334,2278735,33126167,24947824,5851327,45904043,10690853,12107819,393890,756294,18246788,36509486,22342
22829084,2365155,33018566,24852400,5852374,46149448,11117340,12500180,458842,813755,17736223,35589468,22923
22469465,2071066,32910823,24671653,6021604,45733266,11403273,12804760,280030,646719,17982598,36045220,21481
22718357,2074248,32625273,24560292,5694998,45222271,11026998,12651686,279028,636927,17991204,36720468,22803
22968222,2210296,33273985,25040346,5924222,45608065,10845623,12212070,297565,677069,18210122,36608351,23441
22959290,2209146,33237112,24976822,5921454,45379175,11231095,12631998,325429,680183,17790861,36062249,22665
22615598,2185801,33068758,24799304,5924178,44972596,11270626,12674574,313601,663407,17962438,35374153,20634
22827324,2155132,32772076,24651940,5794491,44591761,11221628,12828176,307461,662422,18293180,37361788,21116
22964466,2239768,33164198,24917005,5913436,44589990,11026550,12222738,345834,694352,18215417,36762300,20504
22714956,2062484,32893396,24656792,5940621,44617503,11286149,12666642,258191,606937,17560552,35950770,20570
22553729,2101342,32921357,24770033,5920373,44284810,11213166,12607330,312902,670818,17859738,35443906,21213
22898119,2029335,32852479,24683138,5939723,44453303,11314169,12726768,262589,623268,18343547,37670033,22118
22977863,1897746,33261201,24764212,6046857,43839056,11065784,12474473,201274,546921,18317304,38094789,20971
22715239,1876016,32816008,24598919,5942010,44198815,11269122,12678827,180268,536261,17505007,36214979,20005
22568820,1898051,32805953,24707890,5940084,44496567,11304558,12710131,211949,568387,17801531,35533894,21445
22747742,1855407,32916226,24680499,5828858,44313305,11301222,12700696,208670,572173,17986997,36778747,21576
22751969,1856187,32909432,24713517,5810788,43731675,10845882,12462898,188207,544832,17962740,36792548,21539
22898347,1875862,33049013,24748217,5946904,44356777,11276436,12467158,209203,563330,17783523,36853544,21871
22595270,1905973,32878195,24696910,6018466,44369018,11384173,12784720,208382,569575,17755167,35298236,21952
22491341,1957161,32571145,24343372,5822425,43901952,11288279,12701197,219002,566874,17964418,36829021,19046
22729084,1959251,32873113,24593818,5822470,43978453,10860557,12427525,210646,578779,17999103,36653749,22228
22818299,1943477,32935345,24623697,5918872,44274024,11231321,12445437,224088,569086,17768644,36243451,21379
22687196,1973533,33016313,24728001,5957087,44678890,11324082,12719291,225579,583838,17840494,35534308,20769
