cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
45125112,32165361,76948029,46237891,27980735,145283369,52519906,59824659,6811188,8072613,59569149,194502439,265686
103840,52730,150166,85957,56823,329804,0,0,0,20553,121281,302098,301
1694080,216438,2450968,1816452,375244,2796498,796245,0,0,74254,1613877,3036132,675
41050195,86677864,59452285,47428104,7127001,64144037,14409899,17317583,11321015,12237849,37765387,64728545,54062
37177260,30085145,50736736,35181729,10198171,76050882,15913774,16273594,2245354,2933829,21666441,61752007,107720
22852535,2430184,33258989,25109072,6131855,47574346,11682326,13180932,532872,886158,18146105,36362923,19558
22625258,1875719,32935639,25072299,5841368,45526635,11090131,12480647,251266,616091,17825462,34909105,17278
22931270,1852338,32966287,24941718,5614057,44948872,11118547,12516445,233051,595652,17768996,36333632,17675
23100911,1833269,33343945,25157130,5984151,45242407,10881833,12274163,213574,573662,17838859,36985200,18825
22817189,1799147,33176433,25065895,5861592,45023312,11118856,12502601,191005,543400,17394580,35010981,18097
22710574,1756048,33035051,25000746,5894872,44872887,11223744,12617867,183533,538824,17816391,35890070,17468
23017939,1748714,33016411,24911414,5661083,44818323,11189862,12583274,181015,541965,17766151,36507382,20058
23082311,1747502,33375883,25213315,5921565,45087206,10850797,12213493,161604,534879,17902197,36893318,22056
22973590,1735901,33243080,25119079,5897937,45256210,11209078,12608600,152470,519650,17260498,35770968,21137
22656572,1696597,33142622,24998497,6005498,45287406,11371753,12770110,153586,503748,17752838,35855547,20495
22971118,1699508,32985208,25021798,5661963,45105344,10979217,12586735,152156,516489,17803903,36613083,21736
22979793,1658842,33188714,25070811,5899140,44811640,10988508,12168151,144531,501334,17704992,36514369,21436
23048581,1677196,33278822,25077374,5918220,45190110,11237284,12643774,143827,496823,17341515,36087573,22156
22713275,1677474,33246173,25098366,5894540,44946709,11221363,12619901,148131,514800,17532716,35228842,21331
23024116,1754173,33146449,25003621,5904859,45168093,11410609,12809808,142747,493654,18133904,37878556,21477
22985325,1652185,33197438,24843951,6009443,43888710,11006398,12215644,129004,473760,18000952,37479445,19285
22851713,1650121,33063997,24865308,5934595,44153974,11278956,12666319,136536,481575,17299108,35815272,19096
22545067,1636365,32856570,24848172,5923489,44254832,11248818,12667257,115267,476864,17595135,35286237,18454
22771199,1625382,32718938,24709770,5802048,44139051,11250478,12669657,135789,490136,17893038,36788619,18445
23073737,1660149,33348999,24968800,5930855,44148534,11045378,12462521,122773,487426,18068684,37384319,20125
22933625,1661425,33158544,24871413,5935576,44358935,11301038,12725245,125286,470463,17377344,36086739,19042
22545844,1666754,32848917,24832677,5905816,44084865,11226527,12620408,127290,480235,17541129,35239611,18182
22762906,1626711,32708281,24740579,5798779,44072331,11221384,12604812,117258,473471,17771070,36039558,19222
22834891,1675639,33071533,24833547,5799614,43861225,11043270,12434165,124554,489898,17859651,36609269,19168
22928300,1687907,33176585,24972762,5922777,44365405,11033664,12297266,122952,468976,17782008,36667745,19444
22932027,1699666,33337247,24975359,6037365,44502824,11454135,12878050,125049,464333,17615336,35349055,17774
22750369,1577676,32674197,24788396,5814456,44349876,11270097,12692869,100143,453616,17804548,36005212,18838
22961019,1570479,33147048,24882421,5816785,43826504,11093818,12489174,101395,452646,17817170,36779072,19707
23002208,1573088,33188714,24953268,5917248,44122176,11064622,12478586,106037,446679,17699520,36950784,19717
22895764,1596336,33267003,24984532,5935505,44025280,11316666,12741194,114059,452983,17272956,35358420,19091
