cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
44856499,32919928,74709826,46179076,27899613,146170296,50738526,59112967,6245629,8230962,60112947,192435175,286646
100160,48277,144837,82868,55438,320658,104608,0,0,0,117392,293397,301
1622480,214297,2347298,1712444,377084,2814173,811227,937435,0,0,1552674,3039794,731
40345001,83281449,58405964,45739383,6761878,63098097,13500242,17093363,10622483,11143375,37108407,63793940,65189
34685235,31160754,51223556,35559561,10448018,78615118,16890405,18940186,2487603,3046927,17528435,45191456,82097
23052741,2712182,32724899,24813490,5912600,48382631,11609687,13006027,681108,1081641,18578967,36385967,18845
22093221,2203518,31860464,24072374,5763613,46276585,11168384,12566717,373106,766723,17311490,35749980,17549
22717155,2003664,32698998,24454277,5743548,45109015,10914587,12310510,299296,658772,17744451,36478526,16876
22773663,2009189,32916728,24629197,5999649,45761106,11169014,12543028,261512,631246,17487411,36454987,16871
22479959,2063933,32843735,24680790,5878264,45739232,11157834,12550347,285910,656867,17612681,35120463,15910
21617359,2104897,31004739,23154479,5786413,46505516,11209031,12641041,310847,682513,16726801,36082130,18674
21958085,1922457,31814780,23537281,5820007,45882891,11057624,12463068,236338,600535,16858994,36723884,18162
22875516,1974952,33020295,24785556,5931991,45765928,11057302,12464700,200716,569782,17485213,36937043,18540
22851868,2049236,33280569,25135372,5901265,45672236,11234618,12633025,293796,645603,17591394,35420668,17716
22809409,1950926,32961581,24904632,5912781,45627762,11447723,12840929,225462,593736,18155515,36725991,17401
23055192,1972691,33312211,25129286,5795022,45075202,10816529,12420096,213757,574732,18001294,36791510,18372
23076337,1947197,33333043,25099967,5916873,45687400,11058579,12429845,209180,568231,17740619,36743912,18575
22941832,1968512,33174356,24998661,5890480,45653709,11178430,12582501,228901,580222,17431935,35934407,17284
22609981,1892995,32912137,24918279,5877678,45561316,11200602,12611770,197433,553212,17662139,35233942,17394
23062646,1997679,33348210,24952677,5885039,45620710,11393603,12789809,205072,559247,18303740,37860491,18707
23087200,1909229,33367583,25063278,5998438,45402947,11016873,12238232,214412,577993,18168612,37465445,19473
22963422,1874915,33207071,24985421,5918352,45186889,11276397,12650227,195003,543553,17435377,35572103,18396
22553367,1849904,32848257,24865893,5911490,45046845,11247369,12651800,199463,565087,17714385,35370732,17585
22827755,1762680,33040556,24870145,5795238,45067188,11216649,12637140,180133,536245,17943090,36741116,18258
22942730,1723405,33180853,24847622,5910110,45371680,11042784,12444199,153898,520453,17985707,37199799,19118
22989184,1827000,33248008,25032026,5942528,45372382,11268908,12656323,180925,531915,17462186,35531164,17717
22593238,1778791,32896379,24878702,5901846,45447210,11215648,12620209,171747,532212,17838377,35323317,17981
22964815,1735097,32913356,24788151,5692395,45117564,11240412,12623048,167381,521548,17775103,36712775,19104
22948259,1741387,33198840,25032605,5848235,45212770,10859035,12377240,158454,513871,17847580,36785805,18943
22906590,1851496,33205012,25057426,5930026,45295412,11263466,12435663,180428,534136,17616386,35868800,19161
22790664,1828009,33183935,25076044,6007323,45580634,11412479,12824871,181846,547035,17807036,35375580,18163
22958642,1869553,33043250,24879110,5691830,45054075,11216614,12635965,198258,559796,17958411,36811400,19249
22967988,1852710,33246205,25018503,5934491,45206187,10884196,12295880,202422,558153,17940038,36803772,18425
22849911,1813820,33135270,24956724,5913011,45219064,11215882,12628553,192055,547679,17430071,35948659,18801
22800502,1925170,33219909,24996196,5927658,45448907,11288299,12692530,214085,564379,17704482,35564244,18651
22999307,1928523,33013081,24933443,5808435,45445906,11461492,12846302,208774,569921,18129945,36722745,18988
23161854,1911631,33386793,25097446,6003819,45469213,10842625,12246930,183287,564891,18211715,37657062,19276
20428987,1596661,30234357,21776535,5962239,74547275,11523047,12809201,172094,440380,15737117,33909204,64468
800311,539801,1396487,876240,345130,2654621,646111,751084,115071,141575,548939,1328889,4784
357956,384844,535281,682111,337611,3487032,675086,703340,210040,242556,1048576,1322707,1992
957082,311056,1246915,602519,203657,1635666,408670,644034,80211,109826,1017862,2765345,4428
