cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
48837202,34882720,76847875,46849667,28418822,133546947,57070586,62203029,7056944,7704795,57767855,184710106,272777
105840,57202,153025,88241,57719,0,0,0,19156,21848,123577,303635,251
1701360,264085,2461592,1825225,379884,2722714,0,0,114506,108003,1625207,3058509,713
41055644,100260171,59404268,46794418,8273256,67607351,14646874,17549844,12132036,12463024,37884577,57788950,44678
37168190,27710378,50361264,32849437,9672014,69540268,11579172,12743762,3104195,4376844,29333783,84793292,129857
23072898,2509534,33892695,25413869,6134806,49974842,11764127,12914987,653347,1056186,18490243,35779429,23452
22661804,2262015,32955212,24755862,5853287,46184537,11107254,12516661,383072,744302,17804452,34986178,17546
22544161,2337878,32482641,24641154,5726565,46168072,11103951,12503121,436890,805432,18038386,35533428,17415
22971348,2286220,33224858,24783316,5858150,45884813,10937324,12368667,397003,769799,18310919,37085552,18777
22756211,2342187,32839791,24724829,5824161,46032438,11068538,12361335,471277,823440,17776249,35525983,18807
22564237,2114177,32841375,24680587,5876075,46122851,11177569,12565325,325424,691656,17716824,35110939,18924
22565788,2000044,32463971,24590154,5800449,45918103,11216851,12623127,249411,622287,17854512,35950926,20385
22939251,2069583,33133122,24843020,5801827,45577090,10986420,12393950,267825,639238,18122749,36881663,21805
22730179,2023625,32954629,24764843,5908582,46175787,10989580,12380780,263992,635343,17740931,36383121,20644
22708985,2030230,33268882,24842909,6028278,46375581,11429151,12823806,262268,617100,17821787,35316217,20382
22682841,2010334,32625178,24634945,5775897,46013589,11205070,12606589,241109,600567,17982729,36447036,20620
22868937,2127560,33075888,24787523,5796502,45636899,11017739,12404150,258151,643284,18039011,36654718,20584
22896317,2094864,33045289,24797562,5909866,46415682,11015904,12419364,243795,618291,17813664,36747427,21096
22683802,1918704,33025222,24772516,5901805,45830558,11227784,12650217,240037,595211,17598752,35291170,20987
22811514,2043609,33007340,24741560,6039643,46080537,11444107,12834716,272798,641208,18445149,37401964,22248
