cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
48177008,33018735,76594640,45812713,30172756,140021421,56276899,61558320,6906965,7843805,58001483,184635838
101760,45997,147281,84181,55940,333694,0,0,15415,18424,116642,296471
1672960,197697,2420591,1778883,380132,2776758,809977,0,80695,83235,1581925,3062542
40828099,87023149,59111921,46257041,7413249,64723713,14618695,17599198,10761514,11558694,37018591,64050279
29451469,21186013,46859517,33061029,9761323,75769277,16038390,18474249,2486152,3169591,20898301,47249286
23426122,2422516,33759928,25122975,6094069,47207012,11619592,12863499,301639,705885,18398994,38791392
22651699,1835556,32738261,24646788,5887504,45417717,11162599,12591697,200496,575129,17633291,35844264
22692888,1859204,32869802,24644955,5878436,45342127,10969426,12373001,220793,573420,17552252,36383346
22764735,1757003,32973362,24723230,5903542,45674295,11412672,12631652,160662,528593,17965643,36547213
22715723,1790173,32887120,24727903,5912070,45470396,11226927,12614667,184264,557568,17681781,36078342
22703663,1579443,32808381,24527258,5886762,45259236,10987873,12373587,116729,466306,17433867,36533511
22688609,1651541,32816894,24707785,5803088,45314828,11221148,12620548,132576,496537,17776204,36008583
23019852,1833562,33474312,25070804,5942470,45888805,11281871,12696436,194806,561606,17822715,36396721
22860504,1627551,33002934,24610683,5811762,45681091,11064429,12474147,122234,488153,17887135,36840059
22726578,1547204,32797074,24512773,5915162,45228543,11420238,12847532,99175,451682,17784283,36088289
22749521,1534716,33054509,24711158,5932698,45868480,11277715,12695355,82337,441567,17685644,36252645
22916986,1526514,33112909,24741771,5848463,45816488,11158054,12578011,76068,443368,17931002,36973316
22658286,1508456,32738760,24574041,5916465,45363571,11243442,12666123,72265,430951,17559622,35634978
22783400,1497060,33010502,24723472,5909750,45113451,11046865,12646032,77561,434010,17734672,36662999
23039254,1612681,33463476,24868900,6027739,45971867,11603533,12833512,127590,452330,17938567,37514791
22812751,1502008,32937689,24633041,6024361,45360386,11450109,12881001,67500,425166,17528685,35694015
22898192,1524249,33116071,24766369,5940132,45323926,11109481,12706149,74392,440099,17883619,36983094
22706972,1603777,33023029,24660985,5828120,45470050,11249054,12654987,130915,490984,17825400,36176629
22691230,1543333,32780266,24613882,5886949,45011664,11136603,12376844,100902,464330,17419070,35880300
23087302,1507140,33179338,24893244,6022633,45428357,11271350,12865717,70710,434678,17791024,37444400
22801727,1544559,33137284,24792140,5829372,45130654,11278748,12673234,80545,449394,17880314,36389550
22789656,1506966,33040618,24756580,5925068,45434663,11239786,12473144,69536,437759,17595701,36192313
22873876,1528798,32871700,24652706,5922959,44839723,11059087,12665686,70781,434576,17814779,36873310
22737072,1528111,33097357,24819696,5914702,45356804,11256688,12671383,94838,456322,17574303,36138534
22888910,1504496,32997574,24740615,5827968,45169934,11264788,12500604,87206,445691,17827740,36771575
22835434,1523962,33070815,24795793,6014159,45684092,11258783,12660717,76895,440884,17750087,36645185
22592414,1529856,32669034,24573353,5900682,45272710,11232054,12656296,83978,444377,17506388,36051582
22769812,1576720,32975558,24656865,5806241,45043508,11204955,12536986,85232,449714,17741213,36671717
22772878,1544087,32954049,24738340,5937096,45450909,11277905,12672315,88702,452869,17621136,36305096
22971917,1561257,33197552,24879791,5946766,45528643,11103107,12521772,92034,456806,17606118,36883696
22949426,1609534,33254951,25025436,5951491,45493003,11479461,12903036,101433,477527,18049350,36912277
22736943,1605143,33033906,24744945,5909068,45609340,11410335,12830940,111262,484650,17798491,36155770
17266567,1313845,25568464,17707408,4800357,61696491,9179698,10484448,118950,442021,13431092,29402690
518947,328996,932488,795550,369090,2624897,534417,752939,130594,162217,846996,1304437
760840,519171,1150147,785806,320511,3264652,622563,440728,150582,199621,651189,1272527
903971,289604,967413,584919,412442,2373566,587249,814991,95934,91733,745914,2673937
8414816,1416305,11664358,7097295,3648036,32307160,4712119,5201795,238950,490978,6852647,19160954
11067419,12658123,16701835,12225352,3324626,31723561,4791692,5609999,1921053,1760728,9297925,19944192
10906679,12278534,15357429,10048490,3136053,29174032,4255782,5245770,1035910,1467956,8555221,19688754
11345003,8593810,16026242,11331026,3109516,29627735,4680860,5819439,1935854,1708629,9449222,20628729
10875357,16255137,15990827,10959203,3133846,30486212,4639553,5349545,1440238,1700947,8918536,19123656
10659011,8708951,15776637,11541845,3410184,29970943,4726416,5839038,1509764,1748635,9105012,20326232
