cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
44983660,30744349,76930161,45040126,29962029,145607532,53389431,59148032,6636030,7904517,60010868,193276731
102720,50606,148727,85356,56085,321145,106608,0,0,21755,119468,297145
1676400,218176,2425328,1784648,380322,2898739,820138,946148,0,96698,1603911,3070169
40118199,80361262,58063153,45069287,7473980,64523024,13469870,17029098,10480597,10970390,36550255,63638199
28413278,24515973,45879672,33670945,9899430,76203528,16664589,19080696,2251943,3193237,22906664,41475404
23501480,2432203,34060429,25411869,6198584,48293927,11571140,13016377,378964,725499,18198753,38689463
22661304,1876477,32982901,24667839,5797089,46092406,11199036,12624181,205822,586312,17843526,35969458
22847511,1731851,33068346,24719451,5906571,46110398,11058421,12656955,146953,518356,17741435,36688649
22834361,1896329,33222972,24815865,5907994,45983459,11446688,12680969,217609,575533,18161710,36582787
22637391,1655909,32783850,24626060,5895570,45958498,11196177,12616827,127343,485034,17647820,35899791
22765786,1716067,32885411,24612292,5908213,45227581,11026849,12436648,152729,499603,17711379,36695823
22700321,1593978,32890483,24772371,5816436,45477645,11252994,12662823,102685,464140,17855362,36100353
22577749,1643068,32794161,24637443,5897327,45801915,11186773,12538779,99028,471934,17686560,35955701
22815664,1636684,32849040,24688819,5898812,46274425,11030343,12423701,96560,478443,17850234,36611432
22905896,1647133,33065955,24849047,5893106,45820168,11407806,12812491,114030,474715,17831481,36693248
22757093,1682668,33038631,24672131,5889129,46007710,11227447,12623305,146762,498021,17657884,36037869
22953784,1574937,33201475,24894405,5852500,45916869,11146055,12564975,87891,453479,18034638,36908836
22767260,1586085,32932876,24796736,5928377,45953539,11254501,12678185,89132,448816,17756252,35555999
22923982,1566341,33154762,24867047,5945659,45853748,11085284,12706026,94467,464032,17908720,36822653
23030570,1610400,33445737,24900889,6037649,46625920,11450161,12863343,124561,440316,17920362,37416570
22941704,1538632,33171046,24940119,6054864,46428876,11512472,12925531,79719,443715,17722410,35615007
