cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
48599021,33063432,76773892,45921261,30168566,140002486,56118272,61592086,6899348,7843155,57858171,184552405
104240,54032,150543,86550,56585,319101,0,0,20813,23293,121983,298080
1678480,178787,2428682,1790836,377604,2764358,804551,0,67369,78567,1577766,3045890
41216593,89617370,59591684,46633074,7441206,65245120,14624763,17600315,11180631,11984129,37432617,63733292
29323922,20613581,45993127,32817732,9659155,75670115,15999146,18414469,2401725,3119586,20862188,46833947
23470360,2478356,33789536,25221380,6157385,46373464,11725475,13109959,365223,724300,18500754,38772360
22699359,1949576,32812300,24673613,5906564,44669378,11229173,12626119,253700,586013,17595577,36071769
22775918,1823956,32918076,24694601,5919254,44388880,11091460,12706796,222055,530722,17834177,36713720
22756926,1788926,32999301,24656452,5823874,44649787,11281713,12668133,190600,506822,17679073,36102499
22880584,1743936,33014889,24897065,5903507,44670484,11436244,12866063,208429,514454,17994158,36721143
22650932,1613860,32970760,24693962,5812454,44359321,11230362,12643380,141434,447989,17536748,35991879
22653192,1519023,32771843,24562739,5895816,44560355,10997449,12417800,117677,415955,17509249,36172885
22723942,1522421,32796055,24724254,5861679,44263343,11322355,12744710,98448,410229,17654339,36259414
22516744,1460036,32766521,24622707,5909792,44339002,11209529,12633506,87027,387030,17348394,35953276
23048338,1499397,33258352,24785982,5925036,45164580,11273181,12672430,104368,402921,17704528,36874461
22392041,1437855,32436483,24410975,5865096,43795119,10988783,12580629,94246,384235,17525357,35775979
22685390,1550334,33030316,24829384,5930240,44634601,11259720,12672527,106906,409870,17634174,36154850
22571438,1498221,32627618,24375835,5794135,44102440,11213338,12424025,90337,396718,17607650,36498530
22569863,1525061,32700624,24677909,5917226,44350600,11220753,12634770,119343,416856,17397397,35405830
22949703,1482189,33073494,24774563,6122173,44497105,11458474,13072391,137439,433634,18138674,37429072
23070747,1515690,33346257,24921768,5842332,44653162,11462520,12699047,115869,423952,17897178,37391337
22746902,1481265,32647931,24583591,5896619,44231008,11218466,12635453,101423,401312,17453332,36073340
22809875,1474867,32971621,24751578,5910239,44263749,11045641,12656422,103525,415563,17422166,36661811
22641748,1484794,33050408,24844900,5818490,44146719,11267601,12685678,110788,419265,17588164,36093299
22941894,1497686,32967200,24797279,6007943,44505914,11440211,12654354,98433,408907,17590482,36628411
22794923,1505727,32970744,24835065,5926119,44401071,11069269,12660240,115984,414249,17337744,36560635
22887759,1586450,33274825,24965329,5858974,44194236,11333432,12760822,128369,440331,17773109,36369684
22749039,1661166,33086672,24878522,5926634,44287748,11247360,12489043,176994,489077,17493993,36129523
22863800,1561298,33026442,24900475,5931950,44324299,11075927,12496233,124148,438125,17691729,36735349
22688319,1510250,32790774,24716197,5919771,44103388,11260953,12694766,111643,417028,17412984,36224607
22889233,1521905,33308524,24925311,5942517,44533620,11477576,12766060,106674,417882,17711456,36845321
22883296,1525799,32862946,24756960,5926484,44504748,11065783,12484996,106067,419200,17727858,36856830
22658132,1516458,32712464,24710728,5890994,44027776,11175177,12595349,108851,418936,17377706,35964316
22735611,1541872,32935298,24815516,5829176,44077412,11249920,12688664,118235,422994,17583790,36550390
22614841,1497924,32871432,24603979,5823456,44326593,11252725,12657675,111898,412146,17445127,36119717
22661311,1506625,32769474,24725376,6012346,44422500,11215549,12609467,114150,422947,17572041,35974102
22851219,1576461,33027812,24741229,5944272,44098366,11284054,12591404,119553,433215,17787715,37158125
19037850,1212331,27220012,18612722,4681570,59959399,9231092,10248854,127164,370521,13582167,33773600
949400,515675,1285787,806499,317043,2634746,490970,510953,125918,154215,755806,1948782
705980,594264,1231825,801671,210724,2748332,582173,602488,177182,211943,953278,1470379
722394,293728,971280,578044,405594,2788761,776608,601852,69157,121120,765451,1980924
8476774,1497815,11783296,7383454,3876398,32334708,4232808,4641842,210842,506233,6575977,18562503
10509811,12658084,15752723,11876498,3019572,29846363,4748140,5946801,1526701,1776948,9499655,19219496
10485338,8782763,15718423,10699405,3126080,27971828,4533836,5349622,1023208,1271982,8885848,18983677
11413762,16157557,16221886,10943524,3077510,30639973,4359975,5343643,1486389,1724868,9080845,19260446
10898071,12332472,14980699,10831089,3154722,28251932,4375217,5388245,1924471,2128598,8965580,19243389
11193509,9004105,16286287,11842484,3145184,30486201,4925971,5911812,1071508,1314930,9638825,20403807
10470690,12657978,15683008,11178169,2914576,29175915,4253056,5254558,1590548,1744315,9227295,19785830
