cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
48590907,33175251,76892153,45952539,30286542,140568383,56132637,61629495,6896357,7871613,58004315,184988694
100240,49940,145286,82113,56350,304342,0,0,17832,20474,119124,294264
1683360,187300,2435442,1797044,376764,2814170,801927,0,67193,79772,1590054,3055010
41087208,88604041,59549543,46913697,7281361,64311933,14340922,17259661,11189414,12009322,37347108,63066957
30445976,25979679,48859055,34333677,9826169,75972174,16170148,18824460,2926588,3658103,21810882,48329100
23630003,2396976,33991718,25419472,6117125,47799251,11667233,12904726,285764,703247,18466561,38821231
22815844,1792520,33033651,24870822,5909386,45612995,11246004,12650322,145922,544073,17650088,36087147
22864859,1742364,33055313,24770917,5818894,45510102,11263847,12667652,114897,516755,17816222,36665134
22950907,1755161,33362765,24932278,5921521,45594341,11274445,12679386,120555,508193,17837352,36715068
22762997,1694421,32953773,24888915,5917627,45528394,11233096,12674118,113096,502892,17605304,35428176
22771079,1688095,32941434,24725039,5894538,44827967,11008264,12620872,103548,499637,17668770,36515734
22823638,1610029,33186953,24851426,5829963,45676031,11261485,12676499,86717,481328,17966202,36203265
22994962,1687857,33290071,24904797,5958885,45516261,11325029,12551725,91061,510082,17648141,36341376
22747029,1609525,32880764,24820419,5934749,44997920,11089243,12692195,80569,479848,17812032,36137237
22867924,1596339,33217069,24781464,5922659,45396725,11456548,12860435,89324,471351,17908458,36745884
22748889,1591161,32910981,24622126,5911850,45430811,11219631,12426229,74872,464142,17443826,36011008
22983992,1653793,33039311,24823963,5967285,45192037,11146860,12762913,86387,488199,17878702,36902246
22619058,1591543,32964159,24676818,5902090,45078779,11222226,12613895,67771,461617,17471834,35939689
22910003,1704293,33152953,24814166,5822520,45172877,11262549,12491884,144215,523502,17827011,36766114
23148942,1648786,33277263,24865079,6140462,45761936,11479862,13094725,75261,468073,18097997,37513635
22810101,1655942,33176655,24789157,6046780,45552155,11463372,12917798,96185,492052,17614157,36804548
22810410,1620047,33031742,24761126,5839310,45138796,11322381,12540809,89053,483278,17785857,36733699
22622319,1597523,32833638,24701844,5936595,45132963,11282765,12722173,89379,474578,17630885,36145023
22772225,1616584,32996846,24739916,5926335,45403332,11052720,12477457,95687,479130,17564501,36642451
22912646,1607352,33155070,24933567,5919938,45370603,11450526,12766998,89708,476439,17985293,36671044
22610890,1602893,32816375,24717580,5931155,45594372,11274497,12672172,98832,484218,17545949,36009706
22857916,1588656,32944860,24652998,5932255,45357042,11069003,12494804,77071,459582,17609005,36809870
22667993,1625838,32883658,24782519,5825421,45289226,11261318,12689195,97253,486921,17820506,36114657
22708265,1686642,33011151,24756020,5925348,45143990,11245524,12647863,94247,491737,17510097,36127210
22910671,1634741,33040858,24679941,5828094,45427565,11080702,12482804,99220,479439,17739603,36741639
22840201,1671844,33095894,24817705,6028555,45633403,11366466,12908674,98325,495435,17850028,36257090
22775189,1644944,33095167,24790459,5948978,45523654,11296846,12731610,100964,492562,17626146,36248753
22962311,1637636,33195534,24819438,5849113,45720900,11116491,12550071,93929,483230,17903060,36970003
22792587,1598781,32859084,24762322,5939676,45272080,11288993,12728662,100166,485179,17580889,35617907
22861484,1589129,33113279,24804047,5937729,45123152,11089060,12717643,92270,470821,17741268,36849515
22851980,1622177,33200698,24744374,5949157,45844384,11492643,12713555,87926,464138,17914231,36920189
22812748,1622520,32993900,24754484,6015563,45643531,11407095,12827945,102886,494347,17812682,36079336
16026371,1175464,24516772,16862500,4710267,63225665,8405648,9498604,105797,385720,12349847,28432777
750637,474721,1278638,658506,268179,3095203,628306,650388,96579,120831,990357,1937343
907936,687064,1228088,800029,323479,3299781,424462,398734,140850,157464,665934,2185654
695422,321818,955504,705950,305005,2262296,786027,812529,62339,82859,989325,1957780
8962761,1636933,13016852,7951432,3817331,33064432,4764087,5470893,148398,471446,7008145,19556078
11602388,12633620,16245773,11531205,3440004,31787186,4616536,5677926,1542786,2256021,9038739,20378243
11466482,12466726,17219949,11450893,3080241,29412117,4634870,5555187,1498430,1733804,9933247,20071367
10490242,8533369,14730223,10579654,3099590,28385057,4540091,5655807,1448656,1223171,8255265,18777456
11424533,12353838,16828751,11102730,3139346,31949394,4617414,5476647,1480118,2185200,9767042,20938983
10983585,12518581,16498785,12293508,3324336,29563301,4631013,5839116,1935412,1719056,9197366,19292462
11164196,12450745,15737336,10412711,3210838,29380221,4477488,5486595,999077,1691733,8559091,19196459
10988332,12498289,16349093,10837257,3111940,31114447,4562110,5488405,1486004,1738148,9770427,20558434
11243237,12024804,16050083,11510823,3315325,29449906,4553984,5576280,1866635,1627234,8946466,19650483
2206569,444725,2877507,1876053,628818,5978135,1352227,1378752,72915,146094,1822735,4774045
11997688,1269074,14932373,7659025,3401921,37724998,8404491,8801510,210075,446168,10781610,33202839
28310866,5228867,37616729,19632602,10347735,79830022,20609494,24120835,1140660,1701912,28594923,83366097
26195552,1018400,37947367,24154848,7348919,136096710,14200862,15558295,59465,311920,19457767,50358545
25530302,2587560,36496467,21375647,9428528,95333218,17723942,19542752,301646,751357,23359052,61347379
20649355,6146398,28689221,15500743,10042134,57107461,18794441,19790376,903655,1217296,19439215,51881340
11798459,13166645,18279256,12696602,4402732,34900028,5965470,6767998,1889298,2139322,11581998,24890961
21497245,10523415,29727695,17630604,8354569,66553568,14551703,15177133,1761259,2313164,20776985,50302852
31663271,20638712,46102235,31628454,8901991,143350679,17819802,18886270,4736825,5791807,28690891,54641530
20743377,7848587,30105784,20148373,5729807,102955943,11272884,12407618,1865901,2530903,18277239,37731198
14359429,1360149,20857489,13710544,3793542,76940334,7400989,8128012,64869,472858,10657164,25938932
14354364,1237692,20971223,13634169,3761619,76306844,7529603,8196142,19048,419040,10713445,26396047
14357299,1268108,20616424,13483550,3768612,76508626,7142362,7851614,16580,418433,10732786,26358671
14207202,1234508,20588989,13543295,3768185,76120582,7342238,8056172,17979,415770,10506850,25776068
14491313,1240466,20944499,13627141,3757109,75984786,7498761,8223437,15503,420604,10721779,26343600
14189475,1284132,20755835,13478865,3652624,76212180,7336197,8042303,23040,430687,10495566,25684802
14345045,1290467,20777764,13553597,3763202,76494348,7134962,7844589,18170,435345,10539514,25686656
14330949,1227333,20752603,13614922,3873921,76205634,7347426,8254174,10830,416754,10937530,26432384
14275610,1353842,20900686,13562199,3660043,76405181,7345560,8075708,82081,481140,10578081,25746155
14526721,1260840,21002674,13638254,3866331,76405902,7320514,8040019,20240,421729,10718013,26392074
14214690,1216062,20647121,13572263,3776920,76117339,7170402,8088950,18107,412673,10749614,25801679
14184763,1202388,20792084,13538127,3779809,76202620,7352527,8079866,10317,409939,10722744,25773253
14454716,1230598,20921246,13485721,3762502,76099776,7511154,8041294,12841,418151,10693274,26329668
14323647,1257908,20564460,13445406,3769339,76017098,7135897,8049606,28556,433083,10717760,26346010
14144519,1150543,20705384,13493778,3766689,76051010,7329662,8051773,5551,390914,10680426,25700556
14506103,1211104,21007703,13604333,3758662,76290225,7317327,8034501,24685,413357,10897594,26934519
16226598,4524048,23732100,15876721,4256132,83191227,8357549,8906931,587854,1017137,11829655,28048319
14399905,1351811,21047083,13733428,3865555,76117605,7315716,8243870,79603,485181,10760635,26266187
14435740,1524300,20927204,13697308,3661323,75696735,7319768,7835874,165991,571117,10890964,26355503
14137439,1369871,20509153,13443652,3748496,75524568,7315399,8031168,90509,491599,10537240,25576781
14400829,1469071,20847684,13654066,3746660,75776841,7126890,8006548,135632,535901,10648516,26229578
14171120,1263817,20750311,13541102,3655790,75730005,7324848,8034754,28209,425353,10739525,25709423
14240127,1389985,20815759,13625045,3766135,75775727,7324633,7847752,102084,495374,10592217,25709826
14446527,1249050,20718899,13527864,3869500,75944612,7315389,8031582,24935,418319,10700388,26948717
14184141,1212503,20609514,13560085,3658762,75918083,7328870,8053405,13571,415867,10738623,25697640
14185662,1275887,20779905,13548531,3765477,76209812,7331776,8042934,16558,429150,10533015,25709306
14279045,1168277,20592488,13502822,3820804,76019652,7297717,8027880,15706,406249,10893353,26299012
14139216,1256412,20516896,13482451,3756138,75928558,7327260,8039709,15579,416942,10486570,25680440
14234501,1222229,20847482,13546037,3767999,75643323,7521691,8246839,12918,411880,10672053,26296088
14340193,1257698,20784084,13460480,3649984,76071096,7147445,7855935,23042,425152,10738141,26340655
14200241,1253641,20569456,13527914,3754305,76217691,7323489,8027706,22512,431220,10548750,25058167
14369339,1264360,20835596,13575716,3774006,76275711,7171385,8084510,19494,420207,10746561,26406084
14189756,1258718,20951103,14161128,3820456,78394699,7684465,8407989,328490,747338,11515866,25743382
15835881,2980614,22149626,14354168,4038827,78512922,7857832,8740318,654875,1097465,12437092,27994467
14469935,1397601,20926653,13671975,3758753,76344198,7114524,8029038,78515,486149,10858689,26387927
14283652,1467662,20924377,13620980,3656092,76106500,7315890,8028798,140856,546132,10914969,25688046
14410233,1383971,20889351,13654815,3768713,76291844,7313686,7842652,85879,487895,10615187,25690945
14489312,1522070,20834190,13685935,3762910,76069117,7126725,8039626,169421,573176,10962793,26349323
14326540,1367039,20962588,13725738,3767844,76577996,7341382,8053241,79517,480246,10675323,25758742
