cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
44619945,31347490,74375682,44883850,30001287,146361381,51670110,57610401,5748083,7484758,59545309,192399301
102400,51403,148394,84698,56615,314150,107164,111536,0,0,121168,297391
1688880,251630,2443399,1809012,374742,2837129,809017,948539,105108,0,1594965,3032164
41901037,91689250,60515995,47151931,7995230,64921981,13191974,16042335,11936833,11995048,38140929,62754847
25864152,25020457,40126978,29798000,8335891,66490312,15001760,17800927,2651125,2780601,21998794,37493369
23981216,3159904,34635766,25094899,6149367,51720757,11905843,13316827,774424,1184649,18906320,38640526
22449217,2190116,32471310,24478476,5736074,44613699,11033376,12450605,363753,733406,18010798,35438378
22531021,2059601,32757153,24479478,5895877,44944571,11193260,12594205,250837,627314,17807767,35880356
22614708,2026143,32672236,24378139,5812307,44946297,11063706,12448942,232494,625893,17912577,36582205
22504029,2222218,32569430,24472620,5884394,44940822,11184181,12595882,322299,665161,17669359,35226470
22657683,1939734,32936653,24539009,6010983,44912775,11220788,12802427,201438,578217,18093483,36622167
22652828,1908229,32672905,24297162,5825035,44513360,11253261,12475052,198902,584140,17892537,36712379
22561459,1959073,32592790,24394468,5924124,44562990,11250190,12656909,209448,580226,17704430,35652186
22758664,1922838,32915140,24583857,5940339,44469135,11057561,12661810,205352,578207,18050363,36705699
22616311,2013279,32887557,24515155,5807156,44561382,11238796,12655085,222919,595079,18073403,36028248
22831713,1946514,32806513,24554477,6010836,44910761,11410972,12628727,209657,585805,18025602,36543873
22757386,1926064,32867988,24571892,5919374,44457238,11041778,12653473,190115,572551,17818990,36734220
22575897,1925583,32884288,24616627,5821437,44232525,11234366,12635937,208897,565175,18012810,36077340
22570607,1872427,32689981,24405028,5904479,44471962,11212411,12424122,187659,556421,17735374,35983059
22857778,1886537,32806757,24457214,6025511,44483460,11262012,12880333,194023,523847,17870644,37455519
22676913,1787211,33208053,24673818,6025937,44555506,11632448,13048754,150071,527492,18171734,36702291
22468666,1794653,32847313,24525965,5930974,44016659,11289818,12512560,148803,520501,17771707,36062817
22559692,1763989,32412939,24150186,5914420,43859213,11072275,12492938,141216,508566,17851895,36746812
22424132,1758528,32479087,24326636,5908274,43896643,11237921,12657552,139043,508108,17624639,35970096
22558765,1727524,32583963,24310503,5806484,43815508,11250502,12598542,133357,506555,17872153,36610386
22554228,1789041,32614979,24386186,5940805,44160582,11327479,12714108,142997,522246,17714433,36228255
22725011,1798249,32875759,24578944,6046255,44325114,11300935,12725386,151958,516399,17992557,36913248
