cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
47994362,33817064,77271140,46429545,30190502,141029407,56285137,61687817,7154624,8133059,58107002,184945363
103760,52056,150189,85349,57134,328191,0,0,17607,20649,121662,302334
1702880,225867,2463483,1826506,379881,2794351,805021,0,101951,91964,1622733,3054664
41184689,83317470,59609189,46546598,7481178,64698241,13364044,16933230,11442948,12324037,37844391,62096589
28781197,24675815,46549006,34169297,9897675,78280125,16672319,19088932,2372675,3435594,23188238,41354388
23539292,2509435,34136170,25650710,6132201,48555997,11506096,12878759,390167,752548,18024219,38225381
22990344,1984614,33448581,25218017,5744887,46960434,11101713,12498082,268922,654030,17756768,35562237
23024863,1819725,33305364,25122818,5859656,46686929,10958310,12542623,179059,559286,17768646,36356690
23044873,1800340,33524411,25156326,5904804,46506393,11392143,12626666,170342,540767,18158481,36474170
22943732,1814373,33207177,25089312,5900607,46254591,11206182,12630333,171879,535720,17760636,35942261
22985407,1750829,33254339,25099320,5881589,46730753,10996034,12378928,149447,505438,17675801,36367720
22846943,1715244,33067757,25042302,5791021,45989340,11175715,12567186,126271,495540,17866837,35856540
22903384,1768318,33360719,25121382,5921527,46192044,11252203,12450711,136761,523855,17676831,36030214
23127637,1722761,33231798,25087848,5922916,46185297,11051658,12457946,134776,507071,17920211,36756756
23057563,1700922,33253599,25118630,5895647,46283306,11400001,12807550,135989,496771,17880103,36586283
22790430,1664512,33105212,24862657,5884263,45651071,11205557,12617430,104065,466516,17623486,35920140
22949037,1802637,33150955,24823512,5793322,46242489,11010547,12422904,173717,533892,17865491,36591704
22897913,1640251,33115520,25069276,5908439,45997370,11198545,12601779,121029,481918,17647653,35403507
22922744,1648007,33269115,25115728,5800587,45997379,11126882,12562560,124833,480032,17847680,36310663
23206206,1778017,33662490,25184737,5987499,46384058,11382541,12779101,161829,486053,17904268,37306800
22991964,1688659,33263475,25111263,6016014,46116495,11405611,12813681,140865,489559,17718873,35406602
22941858,1698184,33170305,24947098,5916528,45387930,11069659,12645778,121016,478095,17827288,36626348
22871895,1602248,33208465,24914096,5804543,45617644,11210745,12616696,100226,460666,17854576,36019767
23027763,1598956,33339718,25095273,5914141,45473231,11233658,12461762,88203,448163,17636107,36041449
23135037,1606639,33375854,25086263,5988715,45757454,11200947,12811805,100454,457100,18070802,37040169
23032299,1615970,33482482,25141284,5840150,45882620,11306950,12689192,95681,462164,17921416,36239246
22993974,1583977,33157943,24915828,5892474,45763966,11210074,12461518,86904,448647,17620153,35977505
22937216,1572382,33000513,24866211,5919492,45119343,11035043,12645673,87504,445809,17801131,36704774
23035525,1745089,33437750,25214718,5927258,45992249,11266173,12690622,168704,537123,17755469,36160527
23002094,1711398,33147053,24886840,5837162,45416128,11278350,12515950,138241,494518,17889537,36851942
23024996,1703612,33184341,24931108,6022964,45940269,11251705,12861151,130710,494649,17951120,36768766
22965330,1633209,33430893,25204583,5934799,45776395,11279810,12684535,107061,468521,17692750,36137642
23030819,1617694,33306741,25132737,5830421,45619881,11246567,12465628,90434,458661,17840586,36635685
22678492,1622625,32817091,24777960,5913879,45273041,11208373,12632363,92148,447340,17496135,35977397
23014247,1593635,33266057,25056043,5912725,45717441,11049190,12446677,95080,444615,17663200,36649459
23010947,1675191,33354993,25183305,5934381,45592333,11450706,12860041,114091,480771,18104830,36755693
22901111,1593367,33156826,25141724,6017164,46014941,11440951,12849462,105258,466047,17815833,36063866
19595598,1184565,27842825,19185179,5099336,64389636,9752390,10864753,133415,451463,15130441,36125713
749898,459353,1016357,653637,211183,2366827,692190,746240,122429,156699,1007875,1925907
900241,678562,1216097,791865,314781,2545184,571070,429998,164114,214938,672806,1464344
911344,297085,969330,580170,412281,2315288,586431,815256,92675,92210,758804,2680885
7806143,1340695,10964407,6951747,3385640,27550019,3852557,4496466,236355,503152,6379059,17356242
10545108,10349225,15822211,10779844,3225245,30717094,4811567,5562392,1217420,1948681,9038605,19013919
11305652,10964173,15834515,10885631,3111323,29337040,4402115,5725709,1321877,1558351,9473009,20594304
10283006,16215404,15714089,11260228,3085494,28980056,4531212,5349727,1924152,1670722,8009539,18134770
10992433,4980153,15383073,10672613,3081976,29185672,4656505,5381976,1013733,1739833,9426792,20640224
11190753,16157678,16112011,10966725,3233120,29951769,4414242,5440046,1502256,1741113,8862344,18858813
10176199,8718808,15219016,11211663,3182522,30302521,4589163,5585331,1488525,1719885,8763988,19339149
