cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
44514677,30256997,76614036,44850811,29983592,146049255,53272797,58824879,6274026,7549330,58246880,193103201
104880,56499,151543,87821,56556,313129,107700,0,0,24374,123858,298967
1664800,209400,2408847,1768554,378674,2935876,818592,948896,0,92917,1598821,3053303
40484673,81340225,58576841,45596605,7469886,64378146,13449760,17038803,10511171,11017364,36707021,64138255
28148926,24612110,46155273,33896607,9873457,76652909,16716518,19127061,2301560,3339133,22827647,41214721
23584720,2439639,33996341,25309251,6143399,47854550,11889273,13139085,407721,736432,18195235,38868149
22660973,1757837,33006423,24686985,5805783,45338757,11218117,12621828,201132,545958,17668016,36045962
22968923,1668351,33145983,24834589,5929672,45622250,11078333,12683231,154281,480751,17734109,36765490
23071617,1597884,33451733,24948077,5925856,45950057,11465696,12694245,125318,454398,18112299,36828884
22770779,1550515,32983067,24724569,5933681,45626385,11266279,12711714,112783,447037,17722154,36142564
22874840,1536103,33067716,24777626,5874334,45529911,11017424,12487216,115841,443325,17657959,36453929
22773859,1556813,33189525,24937469,5811034,45417905,11211291,12611239,115389,453138,17951996,36031678
22797091,1603363,33179540,24838110,5904913,45942199,11215163,12449133,123310,466588,17763037,36086208
23083784,1552135,33119234,24855398,5924634,46082906,11073493,12481859,117671,457454,18021725,36915491
22998502,1560759,33188739,24893528,5911680,45901384,11427102,12851242,118372,448906,17923917,36736744
22831379,1573949,33237997,24910656,5949062,46048716,11269684,12684283,122797,454064,17748275,36142825
22957896,1660589,33138207,24788573,5834235,45468063,11036431,12438657,136772,468154,17894832,36768899
22880323,1589482,33120190,24969475,5922906,45917765,11252587,12669737,130017,456707,17772315,36103528
22981251,1621465,33303080,24953472,5825144,45838572,11258900,12666192,126491,462459,17897335,36758702
23044934,1712461,33571310,24990750,6020672,46251487,11424814,12837259,171714,465884,17949819,37357118
22915641,1583252,33169358,24962003,5941372,46031839,11289136,12664492,124205,472633,17833687,35681598
23053970,1578685,33422115,25072500,5934926,45587287,11095185,12668542,116312,439620,17888241,36678534
22972654,1564886,33295398,24959171,5786406,45498802,11218318,12639974,106322,445454,17891934,36077199
23063939,1579221,33375407,25098714,5904904,45884059,11056645,12470543,111369,456197,17730130,35952025
23176646,1572770,33534008,25339750,6032183,45860139,11252008,12865160,122388,454746,18173214,36764902
22955378,1587601,33446634,24978855,5830409,45706814,11274372,12705808,129446,465212,17988956,36291302
23036031,1572361,33321758,25075141,5931373,45563999,11228095,12470211,123212,452957,17672001,36090708
23136672,1563427,33217284,24983115,5899225,45258568,11052161,12623788,127509,454136,17857726,36699662
23029889,1639781,33523175,25173226,5908177,45892299,11238061,12642077,128550,480962,17689653,36120582
23197434,1636470,33504116,25181008,5836794,45769681,11257029,12496133,121525,476504,17909864,36704870
23031669,1614794,33155371,24769706,6013549,45711189,11276321,12856887,133848,479964,17880936,36739186
22756903,1657760,33005273,24672748,5904575,45586587,11223173,12657472,130837,481494,17736221,36141851
22943223,1696917,33246359,24938119,5815156,45488780,11232023,12454955,165956,526132,17932479,36657172
22980203,1713267,33167532,24853415,5952345,45984864,11283493,12700302,177403,526176,17881791,36446395
23036602,1672274,33303685,24978877,5937588,45838878,11081635,12507751,154022,496184,17797140,36752580
23015162,1768268,33293230,24930827,5893965,45752713,11367031,12600751,167355,525410,18134634,36641681
22714857,1753912,32963283,24875779,6007113,45807638,11394970,12776743,187071,538072,17931689,35901316
17388742,1316040,26019981,18099441,4889321,62399112,9110304,10408790,167147,466601,13713248,30926763
516391,334143,934245,800536,262989,2577024,726782,752711,138127,169625,846384,1301303
881160,512083,1046912,671084,321682,3249986,624796,442450,155777,203239,669522,1464968
873274,289843,926411,563937,394182,2280139,553975,780984,63529,85898,823269,2565978
7845131,1311424,11203013,6868825,3386988,29247880,4132702,4606228,223046,501562,6296144,17083711
11731459,16451596,16461597,11507470,3488456,32529562,4859321,5568207,1511415,2256978,9181559,19443686
10722900,11481927,16254491,11132253,3144711,28929226,4476616,5554252,1066247,1322570,9077491,20156969
11427803,8636960,15407243,11223855,3131770,28504420,4538581,5769139,1950041,2183540,9392126,20329417
10897490,14949524,16165567,11427324,3063226,29741392,4758754,5373792,1365352,1748869,8762621,19355006
11015670,8721896,15899515,11880968,3514659,30730489,4717596,5877049,1515535,1779898,9188804,20312693
11405252,12517529,16922392,11151633,3016572,29432964,4448304,5266069,1481784,2153263,9659291,20073632
10754056,11930017,15763634,11209228,2963886,29106094,4499037,5562051,1407298,1547728,9171790,19314091
11286655,9301988,15835655,11409798,3407218,32351420,4745305,5780728,1143861,1845818,8864013,19544648
3607949,3908785,5448509,3468450,1255661,9529709,1567003,2030748,468036,567616,3113732,6384489
5550714,595695,7167541,3800537,1396896,18314903,2627918,2828614,132316,205821,3951379,12583417
25494846,4353654,32477443,20388994,15152047,87307901,27747744,28768847,1151175,1925274,32081903,73473523
26050018,1190736,37625561,23903721,7281837,133642771,14089447,15468764,100091,449632,19031750,49561334
26710873,2301425,37939550,23117201,10176904,108827287,19228892,20770493,417287,857940,24559746,61096849
18729553,6104476,29705234,16661894,9713381,55447483,15786286,16368244,880751,1320180,20309346,50542699
14185998,13273175,20797454,14701406,5364728,43143500,7459683,8209493,1983412,2369163,13292693,27043569
15859487,7048997,22338606,12742275,6629663,42420268,12003587,12847136,1052703,1383884,16266217,41630473
30234346,19978891,44042091,30106557,8471765,137776447,16971317,18217356,4282271,5304730,27109896,52429774
24896585,11989442,35663304,23923469,6776832,117735429,13597546,14873149,2724141,3542081,22283910,44929316
14401805,1332837,20883238,13721296,3781885,77812461,7352782,8068535,62018,498234,10605391,25216238
14531093,1300757,21207889,13727283,3890614,77661645,7365513,8273656,39267,476888,11053382,26546847
14600054,1326408,21151790,13688593,3684164,77572743,7373987,7894319,57105,484851,10762129,26571452
14665303,1365476,21014400,13789144,3780756,78241283,7345550,8053072,65027,512552,10625218,25816310
14722574,1555311,21296042,14039759,3879899,78057152,7349105,8249832,169253,608194,10947915,26416648
14459763,1348451,21117178,13760020,3655372,77694407,7289309,7992419,82515,513220,10748820,25665173
14618566,1549475,21174862,13810983,3768126,77449790,7328587,7839599,168318,609367,10713269,25733153
14577503,1423320,21012836,13799874,3774509,77336988,7512150,8243307,117398,550008,11052889,26363092
14511483,1320042,21162557,13755499,3688750,78162358,7343709,8069072,57539,486457,10592462,25843805
