cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
45112498,32106138,77424741,45560701,29993400,146255227,53235743,59992890,6695520,8150163,58920925,189097058
103440,55739,149588,85742,56564,315102,107717,0,0,23169,121455,298464
1476640,172942,2136510,1502206,375768,2752993,812052,946545,0,81184,1370701,3040310
39608595,80959818,57340068,44656171,7305575,66187022,14322711,17229643,10193005,10687687,35855570,63844887
30473646,25492859,49169925,34277847,9838021,76658318,16174946,18832897,3100938,3752486,21558465,48510413
23644758,2552217,33991581,25277965,6084636,49609988,11579277,12825045,383793,768841,18432137,38646392
22844660,1839496,32799651,24671411,5901590,46469356,11193029,12603077,211667,573218,17563509,35849405
22761408,1927640,32905922,24778062,5789983,45531659,11180446,12598847,246115,590121,17959798,36438597
22383468,1947437,32577166,24140072,5947399,46112700,11298014,12723914,254574,593584,17439200,36810927
22239197,1674866,32215322,24162328,5927446,45712552,11269489,12678481,137461,471385,17227615,35503093
22417262,1710364,32467628,24311486,5898092,45052366,11005849,12602973,148760,487606,17526954,36509637
22593541,1637689,32876258,24623115,5794089,45344514,11186225,12595900,130387,468708,17638085,35928005
22875616,1732818,33067090,24816215,5947289,45476793,11110826,12521711,156260,507635,17799396,36298435
22624503,1682001,32796368,24803765,5912828,45385241,11024383,12638835,140548,489458,17982533,35943841
22742692,1629294,32979990,24583496,5905744,45655710,11405683,12838696,131037,457128,18052073,36603211
22781826,1526674,32899218,24680193,5912288,45329322,11234885,12452236,98519,427329,17707001,36095862
22824988,1669266,32826022,24709534,5942779,45028193,11076730,12688853,153215,485474,17922111,36760970
22513482,1771101,32821514,24667537,5891429,45358376,11228409,12663946,194506,524910,17861397,35794379
22725423,1611470,32904067,24661608,5802284,45457320,11228814,12463567,136353,464424,17822561,36552523
23147945,1776261,33273701,24951391,6132259,45952782,11435229,13041619,180078,505276,18286719,37397728
22591811,1621276,32885360,24710673,5898092,45433558,11186249,12627410,153980,469798,17677792,35985173
22822466,1629771,33048764,24795454,5817190,45361520,11252875,12448441,109750,447257,17742982,36530307
22579833,1543910,32671441,24552947,5921508,45397297,11244467,12658376,103074,427373,17663680,36001875
