cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
44536187,30338447,74060666,44544656,29960778,145354421,51814662,57835874,5491243,7206002,60383640,192451720
99440,45093,143786,80962,55592,315981,105490,109769,0,0,115591,293568
1699360,262801,2459116,1823759,378768,2743604,813762,953454,102794,0,1640821,3055552
41203752,86901046,59526522,45813204,8106384,65614871,13561930,16445663,11011874,11123182,37644072,63725957
27290664,19599822,42311751,30763958,8853171,73782715,16386553,19426318,2642836,2491905,23203992,41824271
23671173,2491513,34291370,25594545,6251793,48759601,11771847,13203815,493357,927231,18408682,37089860
22795186,2162835,32972703,24927387,5792140,46279023,11187751,12608318,300467,716345,18101765,35949846
22908549,2129527,33083413,24830675,5908081,46099756,11228673,12441060,287250,692544,17903131,36002758
22951862,2012902,33029163,24844579,5929596,46358287,11091384,12715137,243283,646954,18105874,36759892
22977265,2101173,33217132,24878554,5907559,46610037,11225162,12629999,204891,655027,18083846,36623634
22733206,2022205,32870234,24775387,5910040,45940034,11051457,12656665,177922,629397,18073070,36102996
22771505,2026309,33078007,24787086,5914667,46645831,11243794,12677207,199184,630942,18070167,36060552
22774630,2025444,32972484,24716850,5811632,46516223,11076518,12511486,188352,632402,18007340,36599505
22688411,1998619,32811991,24804503,5927646,46540516,11226191,12640020,179271,623630,17798936,35337626
22883174,2008507,33206103,24877654,6030146,46389413,11264299,12874042,179148,609145,18237509,36800566
22778549,1986156,32964076,24692853,5792524,46362890,11234817,12441639,179411,612496,17982956,36511945
22989029,1910674,33129486,24951036,5964290,46606842,11324341,12746812,139302,576831,17871220,36295948
22808304,1876343,33033632,24802311,5888167,46084028,10996692,12601007,140796,577105,17714592,36455862
22828881,1890016,33133904,24767058,5820941,46508904,11247353,12652870,139248,574221,18007498,36173331
23262041,1960473,33415363,24908598,6041470,47214235,11647965,12869540,172902,616238,18319257,37419178
23154266,1948866,33404913,25003389,6043529,46334080,11102010,12907044,154101,599455,18109216,37494091
22616587,1868130,32899636,24706106,5819480,46065147,11233184,12658305,144335,576909,17861992,35883688
22835913,1863721,33204847,24881778,5953355,46549268,11324515,12567714,115408,557443,17877995,36292449
22800792,1814247,32785907,24697993,5922124,46248322,11075112,12460549,131711,561003,18002540,36741308
22987439,1848018,33393943,25025264,5934484,46900994,11476851,12892561,128790,571006,18151602,36860135
22857451,1909254,33279588,24999826,5959801,46428238,11312047,12558202,135252,577892,17879941,36189414
22994686,1938913,33090603,24923421,5951630,46685132,11114182,12529640,144601,574294,18102717,36799064
22906702,1956290,33122468,25017968,5930696,46807577,11279752,12699359,199228,622292,18003043,36180962
22936087,1830230,33214402,24895726,5832684,46418364,11276783,12678377,110626,557134,18061014,36787216
22914141,1868864,33333142,24926397,5859442,46599400,11336016,12738983,134066,581856,17901346,36420071
22966230,1913510,33201169,24957349,6034642,46719440,11248831,12665320,168974,598646,18146730,36533602
22950898,1789149,33085661,24783740,5818888,46173582,11252999,12662074,101913,530527,18010600,36959808
22856659,1789968,33205135,24852541,5847691,46673832,11307599,12719833,104234,537095,17857796,36267297
22812262,1755778,33029905,24769354,5937995,46362014,11084349,12516816,92760,526770,17724703,36123801
22664955,1783472,32780008,24700888,5912337,46058851,11083180,12655062,98324,531431,17950609,36134509
22922792,1729152,33277543,24775200,5947811,46678633,11495717,12925474,92522,526161,18238868,36999127
23051526,1786694,33331630,24966711,6040355,46503150,11434376,12728709,88441,525025,17988790,36771357
17889377,1325187,25399255,17264274,4615916,60512847,8661180,9622392,120604,420030,13216789,32270046
752033,486204,1277680,800598,324458,2337855,696919,754224,108052,140681,1016077,1964965
926552,658361,984529,682258,322918,2618599,381430,443249,191928,226779,961080,2194345
705660,306089,960946,708869,301051,2223319,787362,814891,87279,93319,756253,1993904
8906760,1603413,12606000,7717179,3942404,34353708,4686022,5132194,203073,537871,7073516,19290139
10771923,12601014,16211959,11863341,2991143,29235234,4627024,5756633,1528837,1343252,9397285,19216657
11511953,12491306,15667953,10525919,3237975,28991179,4442258,5495585,1940009,2176008,9017028,20567565
11168605,8841856,16866613,11538686,3143803,30737017,4877262,5720615,1018396,1279720,9875740,21148598
10588967,12238908,15148503,10836941,3004467,29672849,4497244,5713769,1925102,1750740,8369400,18272110
11204696,12615166,16862066,11307380,3290805,29003109,4601356,5508353,1520753,1777034,9658188,19232028
11312047,8931054,16293076,11803240,3087576,30267503,4844905,5643099,1057053,1307849,9817182,21194924
11134687,12456445,16136472,10867692,3166591,30412075,4506948,5610111,1509073,2235036,9399428,19517726
10730364,8731966,15418457,10936113,3210424,27960610,4321683,5430667,1486462,1257057,8113285,19181632
3462793,3905333,4772062,3277517,879404,8967856,1631741,1807330,488455,565133,3102101,6491167
10906613,1276959,14106783,7115968,2788234,34134539,8027634,8463578,199460,442109,10037800,30425314
26305995,4886146,36149547,19356304,10350567,69978125,19466732,23580855,1273798,1809001,26543616,75596531
26512295,1066079,38034380,24098665,7347177,135688171,13999131,15525819,53806,438607,19667949,51192145
26068016,2646413,37810922,22403307,9762913,104334365,18560661,20331136,294565,712840,24060448,61274172
20521934,6444194,28595236,15217797,9484379,56660786,17861478,18927286,855714,1191563,18736886,50801583
13443395,13078944,19391209,12810960,4692809,42272526,8222026,8856369,783099,1061512,12229462,23845128
16976648,8333677,25211938,15423691,7901087,55717370,13520557,13876284,1401431,1796960,17794213,40609643
31440948,20425612,45058153,30782365,8674820,138501477,17197363,18474334,4728631,5656901,28468727,55315089
23053718,10600038,33410320,22380707,6282569,109524623,12653889,13735458,2336258,2925926,19423612,40978435
14311982,1367627,20897889,13510619,3794899,76360655,7384402,8103832,23104,473651,10559016,26085223
14622439,1532126,21026983,13624234,3733686,76747654,7181860,7891079,143544,581679,10893958,26689817
14487390,1330554,20960638,13653595,3806170,76830604,7576831,8300900,17787,454283,10732663,26634237
14280562,1358800,20903400,13577154,3788475,76676798,7365521,8082180,33396,482536,10545302,25907530
14650365,1330396,21146657,13577692,3807967,77042352,7410986,8135621,16355,464488,10772864,26654300
14394986,1327534,20847179,13681400,3797370,77437589,7392418,8086617,24626,484360,10606253,25338536
14600123,1308884,21015934,13679706,3691003,77127271,7361119,7886956,16484,448241,10773497,26645169
14617607,1350573,21027627,13695259,3884728,77826617,7361455,8266456,8556,471527,10832985,26549276
14493995,1339646,21069587,13718132,3805237,77845873,7376742,8100031,20170,470068,10660913,26027176
14678555,1375146,21079406,13685279,3786321,76870342,7341739,8084483,27270,486593,11080222,27248928
14340981,1273876,20689789,13499023,3797707,76948827,7353862,8082348,18580,445777,10554819,25933125
14531648,1333847,20971837,13681681,3792764,77474329,7168282,7877767,13676,460815,10604191,26529874
14676944,1344282,21139848,13893441,3795349,78002296,7546049,8286056,10917,470819,11038216,26579006
14498392,1314247,20881503,13698293,3798122,77814711,7381461,8103281,14611,464946,10616063,25960493
14650193,1365937,21123029,13795381,3789776,78038561,7149352,7870218,21213,479002,10569711,26464537
14648225,1385426,21129024,13865623,3695436,77601063,7547920,8270134,29435,491123,11088254,26598451
15309490,2884584,22945702,15202849,4199387,83544823,8404110,9178387,903861,1395896,12661894,27278199
14741425,1592448,21135292,13906200,3815922,77591547,7206874,8139505,167886,614091,11046535,26697078
14608762,1420714,21307523,13938804,3793516,77208006,7529150,8266703,89319,526716,10817705,26454455
14541482,1364262,21014869,13707073,3790909,77194684,7357324,7888011,37021,485484,10573294,25955883
14500521,1279525,20779179,13562075,3798415,76804579,7181233,8104205,17921,463599,10759171,26545722
14380683,1304569,20962503,13671855,3796473,77157786,7359439,8086940,10385,450413,10575309,25892350
14525035,1299214,20982211,13672474,3697030,77047841,7371955,7920417,14869,455187,10798381,26597205
14507404,1308562,20949787,13652967,3901793,76998806,7357828,8088767,14823,456085,10758902,26559520
14311065,1336189,20692271,13600697,3785728,76447002,7337725,8071811,19016,461393,10500445,25875056
