cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
48996598,35828888,77421182,45792105,29173227,139930773,59959280,62039814,7368390,8083820,59100195,181321297,291041
101440,55141,146722,83935,55920,313238,0,0,0,21845,118882,294156,242
1680720,190462,2431784,1797834,375934,2738513,793857,0,0,94529,1588493,3035860,739
40510881,93024246,58660875,46334164,7571800,66044487,14659357,17299989,10966881,11894523,37297671,61451065,47636
37042527,29790371,50691057,34795286,10029840,74790791,13279674,14217512,2581504,3659435,25991851,72710802,130843
23125608,2567734,33703215,25794040,6100635,50074863,11706136,13096339,482015,886793,18150920,35597418,22249
22785792,2018002,33435468,25302351,5824016,46894918,11054032,12446541,269046,661266,17817558,34863270,18286
22823571,1939004,33059515,25206718,5863682,46295034,11137475,12541983,235475,612702,18033299,35652845,18369
23335555,1962370,33656206,25220418,5746825,46134203,10970264,12589923,246786,628633,18284082,37109709,20523
23089693,1913945,33381307,25234354,5836435,46279404,11091756,12291320,212807,583136,17825272,36246388,19904
22923948,1881922,33364338,25273829,5850900,46560194,11103211,12503116,217807,593179,17554203,34926254,19434
22799255,1832495,32989761,25109445,5869973,46288231,11112336,12508517,213070,588418,18031985,35773957,19007
23097928,1870223,33445990,25184782,5694539,45442224,10994091,12610376,176839,552508,18066869,36630162,20190
23057624,1795104,33393686,25205934,5916126,45845008,11024123,12219599,156199,524105,17929267,36449166,20204
23028289,1822466,33576109,25254538,5992477,46212461,11380400,12800185,164189,536603,17778773,35116998,21138
22835496,1784505,32935349,25033281,5843413,45760123,11199667,12607494,151659,524701,17998694,35875687,19242
23166511,1955046,33479131,25142608,5700420,45423123,11024505,12641150,223165,592113,18070682,36782079,21457
23039337,1867623,33319202,25112847,5876306,45530386,10772490,12164611,174580,551031,17973211,36516705,20706
23065777,1795123,33363170,25194256,5903790,45996055,11217237,12635937,148800,514685,17532743,35783331,21047
22980739,1889870,33657037,25308343,6001076,46049419,11364600,12966234,201966,577001,18222602,36578260,21070
23055706,1745928,32997047,24951895,5676334,45749554,11194312,12800347,143994,514853,18107688,37013117,20870
23105147,1816197,33438864,25217331,5933613,45575584,10993299,12208107,147544,516996,17895893,36637998,20139
23072098,1747631,33271890,25012355,5892119,45580488,11216005,12628609,149990,515467,17493046,36086821,22549
22816796,1861196,33409414,25182350,5929391,45620624,11272697,12660317,206178,581671,17811134,35402808,20850
23180126,1868115,33310770,25197681,5804855,45807326,11238072,12826727,212232,585759,18277078,37395837,22043
23101731,1819660,33436448,25215555,5926313,45498121,11051012,12242961,175424,542234,18024716,36742264,21354
23028886,1762340,33273410,25077551,5895590,45505423,11199270,12613875,166932,535287,17529288,35942683,21588
22796410,1776443,33215846,25132554,5904796,45488962,11223846,12647027,137869,526361,17763337,35341762,21566
22957039,1742842,33015354,25024024,5792571,45353470,11245912,12649433,125419,507510,17916857,36618079,21527
