decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
57165,1776780,3732455,2376331,5209,309719,2681,1614359,110,18775,607698,6718,3044594,5365,258491,489,15602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,87996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5593,1645849,2567133,0,0,0,0,0,0,0,0,0,2147111,16704,15821,115,616,48140,0,10312,236373,17758,3826749,2189908,22284242,2178437,331419,7310686,9384309,1377896,21358421,69337911,6408971,41022112
7188,1408116,3435514,3046649,3251,183763,62,184483,281,44585,114483,0,573544,2406,76929,0,31,69935,344,57052,6330198,3082562,6667171,3003093,854246,5493629,943603,18533071,4869915,1295127,17068384,41357568,4417979,30543067
26530,140036,4348386,2077316,119773,884395,780,691046,60,48658,383062,59,2071673,15012,157610,0,30,118081,0,15835,1394619,2774779,292129,137037,1530254,7898095,1325480,27496585,2406245,668928,6669587,47872371,4521887,23244744
26786,126533,4407859,2041991,125523,957197,0,691901,29,50353,382116,0,2045250,8607,155592,0,59,119962,0,15218,1433503,2912440,280676,137357,1515232,7980387,1333664,27741621,2412810,670529,6703800,48355559,4535789,23199658
26967,120187,4422244,2103573,123761,1002325,0,681574,59,44908,381534,0,2103860,6629,166717,0,330,116894,0,16632,1318180,2334045,813326,350741,4436375,8074123,1346509,28139738,2438268,670111,6728108,44914861,4040760,22999861
26086,134412,4437025,2090692,110154,984206,0,808769,29,44836,381618,60,2106736,5333,147065,0,60,108383,0,14103,1294359,2073292,305383,141327,1528269,8110580,1358268,28438628,2455899,676650,6781623,45723370,4030893,23521663
26330,118709,4427598,2103923,116769,1017990,811,699319,30,50864,380836,29,2066144,7968,151544,0,0,110095,0,14139,1317885,2112549,885400,393129,6122066,8067107,1344113,28145700,2428971,667128,6729577,44727286,4026088,22675610
27373,122038,4440926,2111416,108432,983708,0,683757,0,49013,381847,30,2106100,5755,148280,0,60,104952,0,14548,1285750,2073580,295948,150729,1684509,8059820,1347465,28020693,2440577,669963,6744840,43812965,3878738,22634169
28569,136102,4434774,2085510,112068,982796,187,687257,0,45239,390513,0,2077168,5783,146156,0,60,109293,0,14184,1318310,2082078,302577,331527,4396401,8098608,1348328,28288901,2437655,668100,6732401,45495566,4037541,23167065
26112,117389,4396747,2115949,113117,972410,0,686801,90,45902,435815,0,2108639,5920,145822,0,30,116678,0,16877,1291899,2091105,309371,144398,1619820,8077932,1351471,28155641,2439522,669271,6733954,44252614,3926789,22513892
26444,137769,4501968,2093994,103727,962216,0,666488,60,44855,377281,30,2070528,4955,147718,0,89,105992,0,16285,1294286,2011260,292577,141982,1624890,8151625,1370038,28750466,2451711,668852,6747761,45892873,3993207,23394535
28589,121718,4479264,2106668,106219,990539,0,671638,0,43691,371353,30,2111164,4834,140547,0,106,104317,300,14214,1250751,1981696,293729,146324,2947586,8158199,1363470,28392020,2461561,677065,6812810,43757418,3823904,22671701
26384,130045,4463770,2106987,106393,992308,239,679999,32,43344,369782,0,2092347,5184,140970,0,0,105523,0,13943,1267441,1996195,307850,146705,1656013,8152988,1365996,28445219,2465322,677132,6815211,43864892,3910033,23066005
27564,115847,4447367,2062440,106193,959292,0,668222,54,43893,369871,0,2125521,5036,144173,0,0,101597,0,16095,1295377,2083620,857397,359364,1622778,8125205,1367789,28349632,2452903,676080,6801042,43526843,3791523,22786198
28038,114956,4543364,2131090,102019,986322,120,677155,30,42814,364980,0,2428576,4587,143130,0,29,108133,0,17325,1270158,2027269,309628,146114,1552660,8131988,1362297,28635889,2470762,674446,6831322,43842963,3817000,22745643
26925,128148,4463831,2116301,105553,986411,0,674279,29,44129,371883,30,2111000,5259,141400,0,0,106686,0,14052,1303295,2117066,281548,147910,1638555,8133796,1349431,28148208,2447852,677024,6800482,44087817,3866655,23086807
26567,130134,4479461,2093924,104866,999401,60,781474,0,44421,381906,0,2113282,8716,141361,0,60,106213,0,14276,1316786,2198809,823596,335958,1627423,8073015,1350195,28152081,2441059,672775,6785586,45672873,4031949,23285266
26605,142122,4445856,2082197,102939,981092,0,663806,60,44326,376375,30,2120350,4896,141189,0,30,106399,30,13984,1288328,2081297,355649,164394,1835479,8078536,1359235,28500958,2453836,675178,6792194,45009388,3940955,23470941
27564,119864,4482580,2075947,101973,992879,0,674739,59,43020,371480,29,2094950,4679,151585,0,29,101268,0,13894,1254139,2150183,851076,342719,4483102,8186502,1372620,28518259,2457211,674761,6744906,43601006,3817381,22822030
28036,133192,4465700,2107066,99042,984459,0,659771,300,45903,368953,0,2144157,4769,142211,0,90,105145,0,13907,1269615,2126862,307168,145512,1613484,8127258,1363647,28387046,2448942,668273,6729295,43580591,3810927,22752610
26936,130824,4486965,2076465,100494,1009863,0,673532,0,45137,377800,30,2118618,4307,150449,0,60,107138,0,14016,1294926,2118627,990381,359528,4498569,8081203,1358587,28248535,2455764,676391,6835281,45383556,3962727,23238957
