mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any,mem_inst_retired.lock_loads,mem_inst_retired.split_loads,mem_inst_retired.split_stores,mem_inst_retired.stlb_miss_loads,mem_inst_retired.stlb_miss_stores,mem_load_completed.l1_miss_any,mem_load_l3_hit_retired.xsnp_fwd,mem_load_l3_hit_retired.xsnp_miss,mem_load_l3_hit_retired.xsnp_no_fwd,mem_load_l3_hit_retired.xsnp_none,mem_load_l3_miss_retired.local_dram,mem_load_l3_miss_retired.remote_dram,mem_load_l3_miss_retired.remote_fwd,mem_load_l3_miss_retired.remote_hitm,mem_load_l3_miss_retired.remote_pmm,mem_load_misc_retired.uc,mem_load_retired.fb_hit,mem_load_retired.l1_hit,mem_load_retired.l1_miss,mem_load_retired.l2_hit,mem_load_retired.l2_miss,mem_load_retired.l3_hit,mem_load_retired.l3_miss,mem_load_retired.local_pmm,mem_store_retired.l2_hit,mem_uop_retired.any,longest_lat_cache.miss
17656672,8790362,30495218,238204,56207,40725,11748,1735,2271348,454,103,148,32534,16111,981,0,492,0,0,378711,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,55,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,17,484,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10992960,6952165,19310583,113956,44646,62456,0,0,0,0,0,0,60953,11897,163,0,0,0,0,74874,8070657,58989,50886,18628,6201,12650,0,177806,14960466,1352326
10250266,3445230,9653733,110981,35063,72274,5661,4085,1338545,138,46,254,1054,885,0,0,0,0,0,36144,2235138,73502,70884,2686,2832,15319,0,72978,21418178,240895
7548762,4070114,11472437,89038,59,4590,980,37,248498,239,0,225,653,743,0,0,0,0,0,89563,8148164,160665,158946,2629,1238,577,0,87263,12630565,268119
7493348,4026165,11334616,88096,52,4587,29,7,220537,30,0,97,893,824,0,0,0,0,0,67739,8314655,155703,151517,1690,682,721,0,80817,12563367,289544
7553456,4060275,11395130,88556,59,4577,7,7,222674,0,0,0,811,902,0,0,0,0,0,61836,7410109,154598,149039,2010,1027,1201,0,87065,12825121,304028
7515639,4041396,11401428,109638,67,4555,149,15,233894,120,7,322,721,908,0,0,0,0,0,62036,7458466,150485,148653,1799,781,870,0,80124,12614407,292818
8549742,4518657,12920844,125726,52,4578,29,15,223636,0,0,0,653,805,0,0,0,0,0,63234,7433903,154122,151274,2263,668,1073,0,80079,13419581,288631
7553454,4046927,11420054,88809,59,4641,14,22,219763,202,0,90,554,765,0,0,0,0,0,63246,7469234,149999,147837,1981,922,863,0,80664,13609252,290657
7506258,4056422,11479871,89210,44,4602,22,7,219012,67,0,112,803,981,0,0,0,0,0,67673,8209988,150376,148687,2136,795,803,0,80982,12503023,287281
7504321,4025713,11370181,88511,59,4597,29,7,227528,187,0,292,787,833,0,0,0,0,0,67172,7432647,150566,147054,2069,683,855,0,82289,12627221,289546
7510766,4046289,11391458,88615,59,4560,37,7,221490,172,0,270,795,885,0,0,0,0,0,60101,7452022,148725,145908,2123,924,931,0,82084,12620482,290938
8063881,4554854,13000762,131626,89,4592,44,30,218552,142,0,262,945,887,0,0,0,0,0,65431,7438766,150290,148447,2124,826,795,0,80544,12590395,287583
8046181,4283359,11344837,88229,44,4590,52,0,215496,150,0,240,727,826,0,0,0,0,0,70050,7457786,153588,151509,1884,923,796,0,80578,14618930,288777
7528071,4049589,11413763,88608,59,4629,52,22,227026,217,0,210,885,765,0,0,0,0,0,67351,8430628,154716,148323,1942,1036,502,0,81029,12664930,289980
7540315,4032550,11348280,88379,59,4603,14,7,218940,45,0,22,480,496,0,0,0,0,0,64666,7502960,148517,146835,1050,480,592,0,83211,12715843,289264
7534787,4048463,11418079,88859,59,4583,29,0,220160,150,7,187,691,495,0,0,0,0,0,61078,7527931,146565,144514,1523,585,442,0,81427,12642115,288991
8062104,4266791,12836572,130030,67,4569,44,0,225914,22,0,7,751,638,0,0,0,0,0,61980,8273502,160523,159124,3423,382,607,0,81048,12702445,289735
8692946,4321694,12294530,89098,59,4629,29,15,217842,67,0,105,878,908,0,0,0,0,0,68241,7529472,158285,157448,1509,796,744,0,78619,14816830,289361
7595439,4084877,11426938,88708,59,4555,14,15,210398,195,0,323,548,420,0,0,0,0,0,63258,8252968,146394,149619,1524,667,750,0,81938,12767702,291724
7501672,4037850,11437266,88555,59,4623,22,0,216149,240,0,353,593,532,0,0,0,0,0,67072,8323045,148883,145875,1874,517,480,0,82176,12676303,288669
7574567,4073915,11449377,88412,52,4553,22,15,217361,473,0,427,879,472,0,0,0,0,0,63608,7500096,156687,155386,1469,532,374,0,81445,12780609,291258
7519184,4043489,12180055,110371,89,4594,81,0,221101,45,0,202,652,541,0,0,0,0,0,65150,7424318,146288,145496,1623,525,481,0,82199,12579126,286116
8626535,4541589,12919447,109499,59,4617,22,0,216387,217,0,180,480,375,0,0,0,0,0,62612,7403736,147448,147176,1352,360,405,0,82171,13661136,285881
7518839,4043435,11385119,88601,59,4624,29,7,216494,202,0,277,675,390,0,0,0,0,0,64190,7491633,153520,152062,1432,734,428,0,83252,12672582,287524
7543225,4061846,11442649,88749,59,4644,44,7,212636,142,0,120,624,367,0,0,0,0,0,68499,8334164,152110,149046,1322,676,360,0,81798,12764558,290646
7530011,4035182,11399823,87955,59,4605,52,7,219428,247,0,390,503,495,0,0,0,0,0,61478,7510322,148647,146665,1561,571,382,0,82495,12759154,290012
7554961,4059036,11492905,110716,74,4580,52,7,227305,150,0,210,623,472,0,0,0,0,0,63292,7468602,148034,147813,1494,495,767,0,81684,12688017,289794
8624728,4538272,12928978,131087,52,4605,14,0,213766,164,0,225,684,338,0,0,0,0,0,60468,7470275,148442,144896,1671,699,330,0,82253,13735385,288064
8092557,4057357,11467025,89179,52,4618,0,0,218880,330,22,202,375,285,0,0,0,0,0,58762,7465558,145051,144161,592,322,240,0,80766,13634910,286847
7628091,4057464,11437557,88819,59,4592,37,7,215961,67,0,202,382,247,0,0,0,0,0,65220,9164600,153646,147264,967,262,562,0,86737,12842488,300359
7546630,4057477,11454738,89305,59,4618,22,7,208686,240,0,172,195,398,0,0,0,0,0,63342,7480563,148950,147725,1081,322,307,0,82208,12686353,288679
7615536,4101283,11444643,88871,52,4599,59,0,234854,322,0,330,224,270,0,0,0,0,0,74877,7455377,155728,150317,1585,525,255,0,82202,12815451,290595
7930528,4064216,10382198,111420,89,3959,67,22,220848,157,0,246,3042,1260,0,0,0,0,0,72522,8516232,122936,121885,773,285,142,0,49476,14221991,145209
1306495,613709,1162551,25033,67,74,14,0,27741,172,0,292,1809,187,0,0,0,0,0,11329,94053,14918,15609,488,1906,7,0,435,3323779,315
233477,64633,183416,1110,59,74,29,0,28254,157,0,277,2627,15,0,0,0,0,0,14895,946639,22734,13747,6598,6717,97,0,555,411654,605
120298,65082,177676,1045,52,67,59,7,28928,285,0,277,0,0,0,0,0,0,0,12906,92936,14648,14347,322,15,0,0,352,187840,30
2249982,1275112,3506242,23274,1170,59,14,0,41287,149,0,75,11279,346,0,0,0,0,0,68826,2108079,105658,104206,165,157,0,0,17401,3883710,785
3730375,1906275,5703176,58991,535,164,1209,75,403746,0,0,44,1227,97,0,0,0,0,0,24944,1827447,115845,155381,5376,3060,307,0,3962,5324886,721
4453231,1786218,6129564,45704,59,59,552,15,459929,135,7,82,2501,150,0,0,0,0,0,33250,1286866,45509,75382,5085,4358,322,0,3444,7611502,514
3469039,1565176,4756251,43480,59,59,44,7,195391,315,0,427,4551,187,0,0,0,0,0,54837,4556028,82812,57564,6108,3904,173,0,42862,7215804,164643
2959748,1611626,5271211,48729,59,59,37,0,143188,37,0,105,3266,247,0,0,0,0,0,48109,4039997,103844,112790,622,157,0,0,43222,3592956,328652
2201748,890951,3331238,35892,126,59,96,0,143651,112,0,217,4219,0,0,0,0,0,0,83858,3299660,107644,87960,2201,1179,15,0,5335,4496198,154
3653146,1279943,4350930,51913,156,104,699,37,193509,224,0,217,676,15,0,0,0,0,0,49895,3419397,163630,160311,3119,2175,45,0,5206,6453370,150
4405328,2111085,6905730,67878,132,59,543,30,378520,135,22,112,1799,37,0,0,0,0,0,24272,1389236,56639,95039,5241,4571,22,0,3513,6352380,170
3573694,1564954,4835399,43374,59,59,22,15,196124,29,0,330,4558,15,0,0,0,0,0,51879,3502289,70991,46690,4435,7709,82,0,38532,8235056,146649
149646,79949,221617,6019,59,59,7,0,28958,277,0,285,217,0,0,0,0,0,0,17246,1019716,20279,15737,623,292,0,0,262,225330,65
6215164,8361373,29429030,227346,71676,29625,44,0,54402,224,7,134,3734,517,0,0,0,0,0,245326,19647527,323775,236895,2354,127,0,0,18209,5609514,22505
10175651,2913206,7695020,82539,2798,1316,543,92,291750,98,0,85,2078,316,13,0,0,0,0,110959,17969900,195293,189653,2193,6936,742,0,13422,25991692,14056
10153519,5245167,14634279,141726,20437,6784,0,0,108523,164,0,180,0,0,0,0,0,0,0,31088,10594301,96036,90232,485,37,14,0,18156,16677759,224
13678747,6987009,19142954,284008,16835,3462,291,0,233242,173,0,217,2653,172,0,7,0,0,0,87041,10141819,153984,143198,9132,6650,415,0,21143,21795558,8092
6368883,4709724,17950465,411406,1922,1263,389,0,225250,173,0,1639,3367,247,7,0,0,0,0,168988,18515646,164817,112858,7136,8697,707,0,6085,8390069,150427
3444174,1556664,5447622,94076,210,149,560,15,135618,120,0,157,699,82,0,0,0,0,0,56574,3089664,81415,75000,2020,7505,364,0,21834,7443993,368193
15813703,7301558,19847356,315948,9523,7120,704,37,713801,27105,0,6728,412,315,0,0,0,0,0,297014,10797149,535671,485032,65386,4092,289,0,22048,23055159,30520
13075317,7293050,20045304,240019,19137,14375,135,0,1180131,64869,7,13599,413,0,0,0,0,0,0,500401,15009085,706021,592146,81087,587,0,0,26240,21968460,825
4797625,2612247,7259726,71855,10225,3469,7,0,243443,150,0,210,0,0,0,0,0,0,0,79241,5504799,139540,140927,6680,59,0,0,20066,8358259,70
4787420,2604855,7230071,71803,10134,3420,0,0,230128,248,0,164,0,0,0,0,0,0,0,86603,4649723,145331,143853,357,0,0,0,19864,7887185,35
4762189,2601226,7198131,71308,10059,3400,37,22,254020,172,0,240,22,0,0,0,0,0,0,77228,4668963,140617,136607,410,0,0,0,19743,7902759,19
5370779,3143737,8862564,116536,10037,3408,0,0,237118,232,0,540,173,0,0,0,0,0,0,83059,4633969,143940,141685,640,37,0,0,20412,7875127,0
5336565,2862067,7186577,71208,10148,3417,0,0,235702,0,0,7,7,0,0,0,0,0,0,77949,4661406,140660,141483,14,14,0,0,20920,9884963,55
4761618,2592327,7195545,71191,10110,3400,0,0,248228,150,0,165,22,0,0,0,0,0,0,90850,5446818,143505,141131,498,0,0,0,19471,7876757,14
4785999,2601034,7230806,71331,10082,3388,0,7,247819,143,0,157,59,0,0,0,0,0,0,85233,4616886,146702,143925,274,0,0,0,19772,7863290,80
4791986,2606610,7238326,71382,10072,3383,7,7,251186,225,7,113,44,0,0,0,0,0,0,83461,4611237,144520,145222,59,0,0,0,20440,7879898,50
5343181,2860951,8317244,114774,10097,3402,0,0,242607,381,0,360,90,0,0,0,0,0,0,82912,4570705,144176,143403,156,14,0,0,18713,7814497,79
5912159,2853363,7994665,71015,10050,3409,0,0,251413,14,0,97,0,0,0,0,0,0,0,80253,4630856,144014,145678,237,0,0,0,19927,9835852,25
4755686,2590704,7196515,71177,10104,3399,0,0,238130,104,0,216,45,0,0,0,0,0,0,85410,6318553,143053,142717,320,0,0,0,20144,7815151,5
4749051,2585004,7165630,70701,10035,3395,0,0,238044,171,0,165,0,0,0,0,0,0,0,81500,4592577,140529,141591,564,0,0,0,20514,7831815,5
4756858,2584333,7186075,71113,10100,3436,172,0,255015,187,0,255,0,0,0,0,0,0,0,85373,4596317,144326,142382,329,0,0,0,20422,7843460,0
4751914,2572398,7943936,93136,9948,3363,120,7,247441,232,0,210,52,0,0,0,0,0,0,84139,4606759,145558,144561,573,37,0,0,19072,7775669,5
5858639,3097167,8769302,91672,10047,3372,60,0,231259,187,0,225,60,0,0,0,0,0,0,75298,4613561,141341,141470,7,14,0,0,20178,8851119,14
4754695,2593530,7188601,71275,10062,3389,60,0,240132,164,0,195,0,0,0,0,0,0,0,86010,5434453,145420,147034,712,0,0,0,17635,8825246,0
4733948,2590995,7183870,71142,11253,6430,134,15,482390,315,0,480,143,0,0,0,0,0,0,84831,5498307,140141,139827,916,96,7,0,20180,7837829,39
4773476,2594892,7203108,71280,10032,3394,60,0,240608,127,0,263,120,7,0,0,0,0,0,82673,4584222,147205,145882,523,0,0,0,20566,7860456,59
4730610,2577493,7173243,70962,9949,3403,90,0,241057,150,0,286,45,0,0,0,0,0,0,84608,4591093,141618,141805,247,29,0,0,21030,7810002,19
5347798,2858534,8817728,116024,10014,3403,60,0,251749,173,0,225,7,0,0,0,0,0,0,77837,4609968,141446,142175,720,0,0,0,22570,7847441,9
5325805,2841680,7966779,70588,10035,3407,59,0,238321,179,0,262,0,0,0,0,0,0,0,82944,4575111,151586,147544,540,0,0,0,21412,9790326,74
4748998,2593851,7212264,71282,10115,3422,60,0,245379,172,0,232,0,0,0,0,0,0,0,87778,5448106,143850,143418,420,0,0,0,20573,7830039,24
4757893,2598031,7191575,70989,10070,3402,67,0,246982,0,0,0,0,0,0,0,0,0,0,83795,4561933,145682,145631,105,52,0,0,22670,7884499,0
4746950,2579721,7173657,70939,10059,3404,89,0,254484,90,7,82,7,0,0,0,0,0,0,83195,4588396,143413,142036,472,74,0,0,21368,7833024,24
5362685,2872271,8064062,116559,10076,3431,75,0,245486,60,0,29,15,0,0,0,0,0,0,81341,4578134,145820,144369,0,14,0,0,22081,7892736,0
5891140,2856166,7996311,93515,10097,3399,75,0,237725,150,0,210,52,0,0,0,0,0,0,83257,4621693,146659,146176,345,0,0,0,20990,9817294,34
4738640,2585974,7180068,71281,10050,3387,59,0,249679,285,0,202,0,0,0,0,0,0,0,82876,6209694,146852,148846,397,0,0,0,21315,7809558,24
4734200,2582916,7183822,71124,10157,3431,59,0,251907,164,0,299,45,0,0,0,0,0,0,81860,4620375,146279,144080,0,0,0,0,20664,7792176,14
4788369,2604738,7216665,71269,10019,3389,60,0,256471,0,0,0,0,0,0,0,0,0,0,81204,4595170,143628,143959,435,59,0,0,21858,7873554,4
4721984,2561587,7960601,92976,9976,3390,82,0,234506,0,0,0,60,0,0,0,0,0,0,92524,4594048,147319,147094,44,37,0,0,22037,7794053,24
5867787,3098878,8775242,92235,10121,3420,59,0,243543,142,0,7,0,0,0,0,0,0,0,87193,4560857,146549,145879,90,0,0,0,20020,8823844,39
5351030,2590853,7186928,71127,10051,3395,60,0,252329,0,0,7,7,0,0,0,0,0,0,79101,5464982,135302,138453,578,156,0,0,22754,8856255,14
4741868,2580397,7167005,71068,10054,3403,59,0,253910,97,0,37,30,0,0,0,0,0,0,83753,5458145,141984,142670,188,30,0,0,21749,7812719,4
4769242,2592322,7187719,70959,10008,3392,67,0,230600,22,0,22,0,0,0,0,0,0,0,81875,5699869,230336,266807,18558,375,0,0,20920,8765164,9
4762818,2584422,7161659,70910,9955,3384,112,0,235360,292,0,218,0,0,0,0,0,0,0,83080,4601796,141083,139671,472,0,0,0,20389,7844520,9
5287854,2834510,8787452,115779,10032,3409,67,0,249233,142,7,209,7,0,0,0,0,0,0,82563,4618699,144260,143404,547,0,0,0,21950,7785331,9
5292967,2837506,7968277,71333,10150,3423,82,0,248764,172,0,218,0,0,0,0,0,0,0,79739,4618700,145694,147311,202,0,0,0,19804,9788221,19
4750192,2579405,7159986,70926,10082,3414,75,0,240321,0,0,104,0,0,0,0,0,0,0,84636,6297442,150751,147369,540,0,0,0,20441,7814674,9
4736537,2583477,7174816,71143,10033,3398,60,0,234717,165,0,202,0,0,0,0,0,0,0,78980,4624204,143667,144128,412,60,0,0,19927,7730544,0
4750934,2590043,7155660,70737,10063,3382,105,0,245834,7,0,37,22,0,0,0,0,0,0,86252,4607615,146033,146762,97,15,0,0,19885,7839569,4
5336396,2856046,8017804,115896,9973,3377,97,0,241504,7,0,37,0,0,0,0,0,0,0,78879,4624209,141380,141185,0,15,0,0,20959,7841465,14
5849300,2838631,7958932,93023,10067,3402,60,0,251704,45,0,22,0,0,0,0,0,0,0,84642,4601826,146224,142963,779,150,0,0,19941,9775506,19
4760441,2583210,7185969,71085,10073,3410,60,0,250576,104,0,135,7,0,0,0,0,0,0,85111,6314860,151617,148286,344,30,0,0,19805,7843343,59
4753057,2592804,7197302,71112,10065,3419,67,0,244979,135,0,7,0,0,0,0,0,0,0,83927,4580324,143724,142663,579,0,0,0,20076,7832591,0
4767445,2591452,7182370,71164,10060,3379,67,0,260741,142,0,179,45,0,0,0,0,0,0,77337,4581972,145677,147952,157,0,0,0,20541,7857031,14
4837833,2579595,7960046,93066,9946,3405,97,0,245857,0,0,0,15,0,0,0,0,0,0,78963,4644258,141434,144500,74,15,7,0,20082,8716619,24
