cycle_activity.stalls_l3_miss,machine_clears.memory_ordering,mem_trans_retired.load_latency_gt_128,mem_trans_retired.load_latency_gt_16,mem_trans_retired.load_latency_gt_256,mem_trans_retired.load_latency_gt_32,mem_trans_retired.load_latency_gt_4,mem_trans_retired.load_latency_gt_512,mem_trans_retired.load_latency_gt_64,mem_trans_retired.load_latency_gt_8,mem_trans_retired.store_sample,memory_activity.cycles_l1d_miss,memory_activity.stalls_l1d_miss,memory_activity.stalls_l2_miss,memory_activity.stalls_l3_miss,rtm_retired.aborted,rtm_retired.aborted_events,rtm_retired.aborted_mem,rtm_retired.aborted_memtype,rtm_retired.aborted_unfriendly,rtm_retired.commit,rtm_retired.start,tx_mem.abort_capacity_read,tx_mem.abort_capacity_write,tx_mem.abort_conflict
103571,2819,0,0,0,0,0,0,0,0,13324764,13039589,7519727,6164350,1925692,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,35882,35797,18425,15922,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,306629,90276,53368,46695,21853,0,0,0,0,0,0,0,0,0,0
0,909,0,0,0,0,0,0,0,0,0,18771928,6567204,4311156,3345805,0,0,0,0,0,0,0,0,0,0
0,1105,0,0,0,0,0,0,0,0,10135135,11328529,7548725,6697567,3574890,0,0,0,0,0,0,0,0,0,0
0,595,0,0,0,0,0,0,0,0,3950812,1563673,535917,186260,59742,0,0,0,0,0,0,0,0,0,0
0,634,0,0,0,0,0,0,0,0,4029517,1400842,474550,134002,75367,0,0,0,0,0,0,0,0,0,0
0,720,0,0,0,0,0,0,0,0,4130264,1439283,495597,161166,140232,0,0,0,0,0,0,0,0,0,0
0,701,0,0,0,0,0,0,0,0,4645001,1379222,449127,96153,45440,0,0,0,0,0,0,0,0,0,0
0,673,0,0,0,0,0,0,0,0,4091661,1414351,476272,118281,96632,0,0,0,0,0,0,0,0,0,0
0,678,0,0,0,0,0,0,0,0,4103876,1315697,401087,84060,44144,0,0,0,0,0,0,0,0,0,0
0,762,0,0,0,0,0,0,0,0,4065665,1402787,464751,119244,70644,0,0,0,0,0,0,0,0,0,0
0,717,0,0,0,0,0,0,0,0,4084961,1367539,442321,98308,69068,0,0,0,0,0,0,0,0,0,0
0,737,0,0,0,0,0,0,0,0,4683978,1418630,463271,113705,59950,0,0,0,0,0,0,0,0,0,0
