cycle_activity.stalls_l3_miss,machine_clears.memory_ordering,mem_trans_retired.load_latency_gt_128,mem_trans_retired.load_latency_gt_16,mem_trans_retired.load_latency_gt_256,mem_trans_retired.load_latency_gt_32,mem_trans_retired.load_latency_gt_4,mem_trans_retired.load_latency_gt_512,mem_trans_retired.load_latency_gt_64,mem_trans_retired.load_latency_gt_8,mem_trans_retired.store_sample,memory_activity.cycles_l1d_miss,memory_activity.stalls_l1d_miss,memory_activity.stalls_l2_miss,memory_activity.stalls_l3_miss,rtm_retired.aborted,rtm_retired.aborted_events,rtm_retired.aborted_mem,rtm_retired.aborted_memtype,rtm_retired.aborted_unfriendly,rtm_retired.commit,rtm_retired.start,tx_mem.abort_capacity_read,tx_mem.abort_capacity_write,tx_mem.abort_conflict
182623,2989,0,0,0,0,0,0,0,0,13225556,13961821,8081813,6526726,2259919,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,36621,41321,22239,19516,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,305668,87635,52171,45230,31384,0,0,0,0,0,0,0,0,0,0
0,250,0,0,0,0,0,0,0,0,0,17382174,6137475,4150045,3464869,0,0,0,0,0,0,0,0,0,0
0,1184,0,0,0,0,0,0,0,0,22846373,14921608,6719907,4727300,315606,0,0,0,0,0,0,0,0,0,0
0,699,0,0,0,0,0,0,0,0,4004526,1466125,610646,208516,76640,0,0,0,0,0,0,0,0,0,0
0,786,0,0,0,0,0,0,0,0,4065860,1410643,467159,105578,65875,0,0,0,0,0,0,0,0,0,0
0,822,0,0,0,0,0,0,0,0,4091705,1444303,510745,152547,93350,0,0,0,0,0,0,0,0,0,0
0,853,0,0,0,0,0,0,0,0,4043133,1461403,514164,153811,96486,0,0,0,0,0,0,0,0,0,0
0,705,0,0,0,0,0,0,0,0,4601441,1476790,491383,126725,64766,0,0,0,0,0,0,0,0,0,0
0,753,0,0,0,0,0,0,0,0,4111354,1452136,504654,165488,58506,0,0,0,0,0,0,0,0,0,0
0,716,0,0,0,0,0,0,0,0,4104542,1447906,473598,106772,64275,0,0,0,0,0,0,0,0,0,0
0,793,0,0,0,0,0,0,0,0,4103543,1435979,491516,109538,56904,0,0,0,0,0,0,0,0,0,0
0,730,0,0,0,0,0,0,0,0,4107043,1444770,496451,148568,68540,0,0,0,0,0,0,0,0,0,0
0,709,0,0,0,0,0,0,0,0,4622700,1483732,515085,141917,59484,0,0,0,0,0,0,0,0,0,0
0,794,0,0,0,0,0,0,0,0,4076575,1446143,504091,130606,80166,0,0,0,0,0,0,0,0,0,0
0,703,0,0,0,0,0,0,0,0,4109417,1503825,510094,161032,83157,0,0,0,0,0,0,0,0,0,0
0,687,0,0,0,0,0,0,0,0,4086476,1418183,506401,141037,59428,0,0,0,0,0,0,0,0,0,0
0,746,0,0,0,0,0,0,0,0,4092464,1460089,503862,135273,45402,0,0,0,0,0,0,0,0,0,0
0,754,0,0,0,0,0,0,0,0,4516332,1443905,499216,117205,44706,0,0,0,0,0,0,0,0,0,0
0,824,0,0,0,0,0,0,0,0,4123074,1472108,554498,192856,105998,0,0,0,0,0,0,0,0,0,0
0,696,0,0,0,0,0,0,0,0,4105466,1389818,460399,103750,78793,0,0,0,0,0,0,0,0,0,0
0,722,0,0,0,0,0,0,0,0,4127561,1449579,493279,119141,55797,0,0,0,0,0,0,0,0,0,0
0,746,0,0,0,0,0,0,0,0,4041852,1347334,456017,100711,51409,0,0,0,0,0,0,0,0,0,0
0,788,0,0,0,0,0,0,0,0,4120813,1493090,517446,156622,50468,0,0,0,0,0,0,0,0,0,0
0,793,0,0,0,0,0,0,0,0,4153947,1361791,451251,109611,58917,0,0,0,0,0,0,0,0,0,0
0,802,0,0,0,0,0,0,0,0,4119751,1448373,496968,147706,59109,0,0,0,0,0,0,0,0,0,0
0,730,0,0,0,0,0,0,0,0,4063475,1508467,545062,183917,105643,0,0,0,0,0,0,0,0,0,0
0,771,0,0,0,0,0,0,0,0,4854305,1526684,554337,174794,75047,0,0,0,0,0,0,0,0,0,0
0,795,0,0,0,0,0,0,0,0,4089635,1403812,503699,146196,64340,0,0,0,0,0,0,0,0,0,0
0,776,0,0,0,0,0,0,0,0,4136929,1430077,509607,134365,53608,0,0,0,0,0,0,0,0,0,0
0,781,0,0,0,0,0,0,0,0,4112539,1461118,507384,140722,70782,0,0,0,0,0,0,0,0,0,0
0,750,0,0,0,0,0,0,0,0,4209193,1627695,580238,194781,66338,0,0,0,0,0,0,0,0,0,0
0,772,0,0,0,0,0,0,0,0,4891723,1498828,512768,124963,59191,0,0,0,0,0,0,0,0,0,0
0,754,0,0,0,0,0,0,0,0,4129615,1478576,523596,144783,73616,0,0,0,0,0,0,0,0,0,0
0,603,0,0,0,0,0,0,0,0,4638983,1118942,458082,95663,24976,0,0,0,0,0,0,0,0,0,0
0,42,0,0,0,0,0,0,0,0,65350,155944,65868,37603,0,0,0,0,0,0,0,0,0,0,0
0,23,0,0,0,0,0,0,0,0,67029,288867,171655,138293,0,0,0,0,0,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0,868899,423783,372925,279371,0,0,0,0,0,0,0,0,0,0,0
0,120,0,0,0,0,0,0,0,0,918170,612918,240062,52891,0,0,0,0,0,0,0,0,0,0,0
0,277,0,0,0,0,0,0,0,0,1582422,5398471,3321992,2383638,48431,0,0,0,0,0,0,0,0,0,0
0,158,0,0,0,0,0,0,0,0,1117279,963646,294152,1843286,1811481,0,0,0,0,0,0,0,0,0,0
0,168,0,0,0,0,0,0,0,0,2061469,5129171,2932821,2004367,628138,0,0,0,0,0,0,0,0,0,0
0,128,0,0,0,0,0,0,0,0,1894963,1258070,569918,208004,1979239,0,0,0,0,0,0,0,0,0,0
0,149,0,0,0,0,0,0,0,0,1091272,714455,2124493,1549379,1321397,0,0,0,0,0,0,0,0,0,0
0,180,0,0,0,0,0,0,0,0,1719031,5288068,3205318,2300594,2362,0,0,0,0,0,0,0,0,0,0
