cpu_clk_unhalted.c01,cpu_clk_unhalted.c02,cpu_clk_unhalted.c0_wait,cpu_clk_unhalted.distributed,cpu_clk_unhalted.one_thread_active,cpu_clk_unhalted.pause,cpu_clk_unhalted.pause_inst,cpu_clk_unhalted.ref_distributed,cpu_clk_unhalted.ref_tsc,cpu_clk_unhalted.thread,cpu_clk_unhalted.thread_p,cycle_activity.cycles_l1d_miss,cycle_activity.cycles_l2_miss,cycle_activity.cycles_mem_any,cycle_activity.stalls_l1d_miss,cycle_activity.stalls_l2_miss,cycle_activity.stalls_total,exe_activity.1_ports_util,exe_activity.2_ports_util,exe_activity.3_ports_util,exe_activity.4_ports_util,exe_activity.bound_on_loads,exe_activity.bound_on_stores,exe_activity.exe_bound_0_ports,inst_decoded.decoders,inst_retired.any,inst_retired.any_p,inst_retired.macro_fused,inst_retired.nop,inst_retired.prec_dist,inst_retired.rep_iteration,int_misc.clear_resteer_cycles,int_misc.mba_stalls,int_misc.recovery_cycles,int_misc.unknown_branch_cycles,int_misc.uop_dropping,int_vec_retired.128bit,int_vec_retired.256bit,int_vec_retired.add_128,int_vec_retired.add_256,int_vec_retired.mul_256,int_vec_retired.shuffles,int_vec_retired.vnni_128,int_vec_retired.vnni_256,ld_blocks.address_alias,ld_blocks.no_sr,ld_blocks.store_forward,load_hit_prefetch.swpf,lsd.cycles_active,lsd.cycles_ok,lsd.uops,machine_clears.count,machine_clears.smc,misc2_retired.lfence,misc_retired.lbr_inserts,resource_stalls.sb,resource_stalls.scoreboard,topdown.backend_bound_slots,topdown.bad_spec_slots,topdown.br_mispredict_slots,topdown.memory_bound_slots,topdown.slots,topdown.slots_p,uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
0,0,0,65850312,613152,171,4,689578,55953182,80955965,80994348,16064867,9767926,57442829,5948488,1867137,24638773,7001394,6805540,4387849,3335378,11116504,3097203,1014594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,115052,20052,12763,56461,19477,18464,15599,13277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1768224,120728,106054,1487449,238405,219942,176387,147587,673338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8698500,5073453,40316624,4130785,3753440,2795620,3815720,21225925,10629244,3018841,1541118,28894020,28939051,2697907,814827,0,859587,644959,0,894191,286054,292504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,84475898,1024235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195043,785098,0,0,0,0,0,0,0,0,64980,6534,41469,0,0,0,0,1012,0,232,0,1569599,11520421,88667091,5259179,4995485,29620547,149293035,149120443,1173275,2048743,4478203,2808463,2764896,4455443,4353394,2758584,22517874,9260450,5890078,3679351,2087631,9265811,5903692,3682486,2085921,16070435,16002341,22475219,0,24015359,6471344,15060464,14074138,44553922,26943308,28463620
0,0,0,48978249,403460,0,0,286356,22841465,32915578,32899137,3036829,1502052,18492276,688909,225909,21931028,3432541,3190832,2703716,2145766,8573882,1853757,1309456,6288725,36193349,30866842,2909506,996874,0,197569,416456,0,244009,296688,33915,0,0,0,0,0,0,0,0,31712,0,41625,0,0,0,0,818,0,270,0,6465837,12011291,123595745,2691238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352557345,69683381,51342162
0,0,0,32935101,283460,0,0,281920,22517455,32700945,32643607,2196411,835351,17906732,790397,233121,21558733,3053488,2800066,2336440,1828808,8467225,2205247,1166706,5580175,28582257,28592447,2697908,848531,0,189576,463935,0,218989,311333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139139693,3042972,2030668,50755843,196470762,198422662,3962307,3424113,3404698,7761488,5055710,5802993,6640716,4871019,34104648,11652672,8737165,6076645,3905955,11680686,8741371,6057360,3886900,21904772,21924831,36919578,0,38109852,8659208,8419266,6100713,34056263,25447761,25364332
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28299704,2733212,848023,0,190203,488263,0,233264,316200,32686,0,0,0,0,0,0,0,0,28811,0,45438,0,0,0,0,856,0,240,0,6519605,12211197,122864407,2273159,1999845,50841478,193680606,195611350,3939004,3430677,3413518,7755379,5053016,5815278,6661866,5290771,37138394,12588444,9482535,6611979,4293150,12607536,9496979,6124110,3961535,21038834,21050211,34714442,0,35475030,8000805,7996658,5908800,34488133,24790267,24662217
0,0,0,32461665,279347,0,0,293503,23314351,33561669,33632590,2057008,744814,18749264,508234,139660,20857242,2852080,2688587,2180271,1760831,7680716,2072783,1128882,5593375,29086660,29111574,2753234,861237,0,192477,311145,0,199459,351157,34301,0,0,0,0,0,0,0,0,38996,0,43386,0,0,0,0,878,0,240,0,6554799,12489308,123936081,2328472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7929202,5895113,34303827,25045232,24886287
0,0,0,33951494,292711,0,0,278384,22243246,32159916,32129879,1794413,483870,17567640,527502,173718,20684243,2853410,2697607,2161353,1766343,7861702,2168113,1127351,5633247,28922037,28953950,2743815,861173,0,191703,333514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7084767,12355431,128222813,2443655,2031696,49489448,212153773,208987565,3987242,3764805,3647861,8734181,5504324,6211989,7221437,4964444,34698014,11833576,8888130,6178563,3982017,11836737,8872846,6170752,3976666,21316597,21244020,34596427,0,35294974,7964271,7939448,5871873,34275505,25277283,25315124
