cpu_clk_unhalted.c01,cpu_clk_unhalted.c02,cpu_clk_unhalted.c0_wait,cpu_clk_unhalted.distributed,cpu_clk_unhalted.one_thread_active,cpu_clk_unhalted.pause,cpu_clk_unhalted.pause_inst,cpu_clk_unhalted.ref_distributed,cpu_clk_unhalted.ref_tsc,cpu_clk_unhalted.thread,cpu_clk_unhalted.thread_p,cycle_activity.cycles_l1d_miss,cycle_activity.cycles_l2_miss,cycle_activity.cycles_mem_any,cycle_activity.stalls_l1d_miss,cycle_activity.stalls_l2_miss,cycle_activity.stalls_total,exe_activity.1_ports_util,exe_activity.2_ports_util,exe_activity.3_ports_util,exe_activity.4_ports_util,exe_activity.bound_on_loads,exe_activity.bound_on_stores,exe_activity.exe_bound_0_ports,inst_decoded.decoders,inst_retired.any,inst_retired.any_p,inst_retired.macro_fused,inst_retired.nop,inst_retired.prec_dist,inst_retired.rep_iteration,int_misc.clear_resteer_cycles,int_misc.mba_stalls,int_misc.recovery_cycles,int_misc.unknown_branch_cycles,int_misc.uop_dropping,int_vec_retired.128bit,int_vec_retired.256bit,int_vec_retired.add_128,int_vec_retired.add_256,int_vec_retired.mul_256,int_vec_retired.shuffles,int_vec_retired.vnni_128,int_vec_retired.vnni_256,ld_blocks.address_alias,ld_blocks.no_sr,ld_blocks.store_forward,load_hit_prefetch.swpf,lsd.cycles_active,lsd.cycles_ok,lsd.uops,machine_clears.count,machine_clears.smc,misc2_retired.lfence,misc_retired.lbr_inserts,resource_stalls.sb,resource_stalls.scoreboard,topdown.backend_bound_slots,topdown.bad_spec_slots,topdown.br_mispredict_slots,topdown.memory_bound_slots,topdown.slots,topdown.slots_p,uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
0,0,0,58925491,570289,45567,1244,661696,54962239,80427582,80491874,15720428,10027605,59340318,5492290,2251566,22342622,6735026,6499562,4196752,3496542,10934487,2878093,1026248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,18878,117452,18341,11837,55895,20130,18991,16068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,129373,1665750,126040,108904,1535820,240725,207540,168743,108414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,41158864,6334203,4256200,41788265,4109352,3747740,2784932,3823697,21513428,9371967,3274255,1598516,28907478,28951503,2704371,813859,0,858621,652650,0,894301,287806,290816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,72105979,815391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181479,792222,0,0,0,0,0,0,0,0,46379,6746,40995,0,0,0,0,958,0,232,0,1591357,11609197,88186349,5207302,4787204,29035899,150783334,150209021,1153951,2037481,4487511,2778656,2756021,4432092,4331859,2728283,22230422,9153386,5800028,3667680,2059979,9166576,5840576,3674002,2080801,15976412,15921309,22418691,0,24065696,6494019,15102893,14160065,40400190,25003456,26235829
0,0,4745,51482962,426902,3220,0,288448,23019918,33166319,33148938,2940782,1450376,18590583,680394,250281,21958705,3454948,3204095,2689766,2152428,8562648,1883910,1343575,6297335,36244147,30884723,2909782,994630,0,197704,525390,0,248808,315933,33885,0,0,0,0,0,0,0,0,33378,0,42254,0,0,0,0,803,0,270,0,6539543,11995691,123438850,2657533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255772636,75624201,54770629
0,0,0,32548169,280970,0,0,279672,22362668,32366816,32412237,2045565,700581,17703591,641069,193151,21263385,3047663,2837543,2321460,1839279,8289718,2089701,1139028,5541836,28368223,28430738,2692731,847498,0,189931,351437,0,220699,323192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123795225,2770344,2106816,50602534,195075942,196041222,3981182,3453788,3420117,7805928,5074607,5842491,6680226,4902747,34311228,11751355,8771147,6050103,3861081,11672006,8713560,6022824,3847249,21696486,21573544,36723916,0,37940420,8623199,8384604,6087181,34025171,24652373,24685972
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28230043,2683860,848499,0,189936,318339,0,203702,325909,32934,0,0,0,0,0,0,0,0,31748,0,44055,0,0,0,0,727,0,240,0,6577376,11886897,120898995,2361237,2016884,50509632,196620673,195972339,3935375,3416119,3385580,7754357,5043391,5799303,6632187,5260570,36948292,12582915,9441672,6547256,4201479,12578196,9448008,6057880,3891718,20929016,20885694,34577576,0,35523190,8076193,8008992,5925455,34539668,24452941,24259515
0,0,0,32688979,282327,0,0,297094,23599389,33933293,33916195,2085414,682606,18806548,522641,108411,21363556,2881926,2737891,2187086,1759831,7885528,2102223,1142256,5589948,29197066,29089375,2750122,858831,0,191839,325634,0,228780,331148,35106,0,0,0,0,0,0,0,0,48998,0,40173,0,0,0,0,825,0,240,0,6501688,11825903,119200151,2474175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7897810,5942006,34700287,24699107,24712284
0,0,0,33778333,291233,0,0,277116,22178023,32097312,32170962,1738335,420166,17559156,519393,136804,20947024,2865233,2721848,2198266,1764084,7902760,2123469,1133111,5684167,29143454,29220420,2751729,866699,0,195457,347515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6699169,12190505,123104541,2706724,1872568,49694814,195306782,210048883,3979411,3776072,3651626,8751783,5513069,6204619,7226391,4983460,34806544,11851345,8909949,6192809,3972708,11910053,8922827,6190485,3979837,20834476,20832834,34710490,0,35491130,8083709,8004445,5926572,34684105,24944331,25057230
