cpu_clk_unhalted.c01,cpu_clk_unhalted.c02,cpu_clk_unhalted.c0_wait,cpu_clk_unhalted.distributed,cpu_clk_unhalted.one_thread_active,cpu_clk_unhalted.pause,cpu_clk_unhalted.pause_inst,cpu_clk_unhalted.ref_distributed,cpu_clk_unhalted.ref_tsc,cpu_clk_unhalted.thread,cpu_clk_unhalted.thread_p,cycle_activity.cycles_l1d_miss,cycle_activity.cycles_l2_miss,cycle_activity.cycles_mem_any,cycle_activity.stalls_l1d_miss,cycle_activity.stalls_l2_miss,cycle_activity.stalls_total,exe_activity.1_ports_util,exe_activity.2_ports_util,exe_activity.3_ports_util,exe_activity.4_ports_util,exe_activity.bound_on_loads,exe_activity.bound_on_stores,exe_activity.exe_bound_0_ports,inst_decoded.decoders,inst_retired.any,inst_retired.any_p,inst_retired.macro_fused,inst_retired.nop,inst_retired.prec_dist,inst_retired.rep_iteration,int_misc.clear_resteer_cycles,int_misc.mba_stalls,int_misc.recovery_cycles,int_misc.unknown_branch_cycles,int_misc.uop_dropping,int_vec_retired.128bit,int_vec_retired.256bit,int_vec_retired.add_128,int_vec_retired.add_256,int_vec_retired.mul_256,int_vec_retired.shuffles,int_vec_retired.vnni_128,int_vec_retired.vnni_256,ld_blocks.address_alias,ld_blocks.no_sr,ld_blocks.store_forward,load_hit_prefetch.swpf,lsd.cycles_active,lsd.cycles_ok,lsd.uops,machine_clears.count,machine_clears.smc,misc2_retired.lfence,misc_retired.lbr_inserts,resource_stalls.sb,resource_stalls.scoreboard,topdown.backend_bound_slots,topdown.bad_spec_slots,topdown.br_mispredict_slots,topdown.memory_bound_slots,topdown.slots,topdown.slots_p,uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
0,0,0,59312330,571349,0,0,662568,55034766,80721243,80801150,16029169,10322413,59954414,5668337,2121910,21517203,6775832,6443501,4159087,3356134,10331167,2447362,976492,3549902,39493495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,115546,18350,12051,57180,19947,19072,15746,12946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1808449,137667,119584,1596286,244844,208399,174517,146298,727409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9134782,5372166,40912200,3917473,3757742,2753618,4018502,20716864,11544877,2957422,1688599,30177553,28891847,2692234,810604,0,854555,648656,0,850110,219753,278977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,24168513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704915,0,0,0,0,0,0,0,0,76570,8119,49321,263,0,0,0,963,0,224,0,1500911,11287292,84824423,4909626,4511339,27502205,144441545,143761420,1130788,1985700,4360569,2706797,2672666,4304021,4216022,2652150,21732064,8858098,5650903,3623821,2052943,8823684,5626297,3633722,2048243,14907707,14931484,21842507,0,23369438,6255784,14708675,14177563,22350867,17849687,17846826
0,0,0,57152070,481580,0,0,281270,23166490,33365236,33294878,2972822,1368649,18395340,990358,164674,22000565,3165431,3187251,2751793,2155383,8501902,1858468,1317532,6217981,33405222,36206772,2905572,996749,0,198300,376884,0,237126,385724,33775,0,0,0,0,0,0,0,0,33450,0,42865,0,0,0,0,968,0,270,0,6421429,12433663,124577860,2656428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15528451,90296157,63471911,56861919
0,0,0,32878525,282365,0,0,282258,22602248,32674789,32690369,1846805,489913,17692181,488164,118679,21261345,3012399,2806430,2333956,1850610,7968785,2104221,1144065,5380316,31022518,28498513,2690684,844503,0,189546,277070,0,213109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11740395,126416032,2597061,1950991,49024061,195575791,197147447,3869191,3440829,3414209,7775555,5061987,5802420,6634983,4880940,34163166,11719688,8735502,6068057,3890485,11707343,8741935,6062921,3875123,21642152,21643470,36456658,0,37571809,8468251,8338176,6091720,34369593,25083286,25080852
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28672771,28590852,2700609,846821,0,189873,269323,0,196725,290778,32985,0,0,0,0,0,0,0,0,27679,0,45671,0,0,0,0,938,0,240,0,6581491,12274656,122053170,2320082,1912749,49753460,196521170,196735830,3853160,3451130,3415997,7809483,5074304,5822903,6656953,4903338,37142678,12583932,9407192,6573409,4228353,12564421,9396080,6562405,3881610,21229858,21216674,34244863,0,35042985,7921157,7913907,5864988,34220918,24993219,24891180
0,0,0,32667417,282045,0,0,294655,23468625,33762690,33815533,1915605,545168,18589182,458058,85582,21349536,2838432,2668906,2200500,1748858,7810298,2079602,1130644,5540836,28994514,29057431,2747853,859563,0,191994,297613,0,198564,323275,34804,0,0,0,0,0,0,0,0,29879,0,43059,0,0,0,0,931,0,240,0,6506013,12287645,121337536,2411561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7875763,7906932,5881128,34193166,25275385,25169882
0,0,0,33800347,291228,0,0,279763,22392580,32434798,32383218,1750618,316918,17352120,430349,71809,21163599,2828979,2691262,2199198,1768206,7663168,2083966,1139101,5624818,29300561,29340085,2777124,868848,0,192987,367683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7006395,12597112,126391871,2421539,2068997,49453065,195026150,209903741,3914605,3759359,3655171,8734725,5509207,6202541,7213546,4959882,34880920,11791174,8874223,6179291,3987511,11813812,8871690,6218270,3993196,21244570,21298597,34748210,0,35620802,8010139,7998973,5923764,34681277,24921749,25339414
