arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
871,84530,37,190886,244851,11977,29911339,25159357,17399549,9841910,14458,187501,2305082,2400491,15094297,259676,269869,137291,101489,13910,4074,131390,538
0,0,0,0,0,0,0,0,0,0,50,170,7248,7248,31036,277,206,84,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1275,208,50336,50336,213217,778,674,266,787,0,0,0,0
3969,3970,0,3969,3969,21409,5760710,6445554,4174986,3238063,18669,242037,1071679,1006080,9226822,100770,74309,22448,29325,3039,249,7415,36
60234,63209,0,10106,9397,980,1573769,1073065,704800,475553,7650,72918,822315,1238928,8292904,139269,100887,56640,54655,9504,2068,59969,32851
19189,18743,3252,12516,15289,854,6293205,4145727,2777287,1382639,335,10408,780352,771816,3579061,22575,9340,3134,15884,9660,2856,29078,7423
10774,11057,0,10934,10852,830,5672812,3905616,2732014,1363601,217,14877,803188,790289,3353182,18225,2159,1025,1208,5967,1100,15923,9414
11320,10286,0,10525,10230,810,5651689,3889705,2601265,1289102,190,5503,723574,715835,3068444,15853,2280,1048,1332,6091,1500,15445,6865
10352,10357,0,10822,11152,793,6002997,4262078,2838879,1430326,231,15783,782405,774481,3318363,16133,1541,653,918,5509,1096,16245,9908
11632,11091,0,11240,10233,867,5714344,3934255,2627535,1301839,200,13377,763554,754607,3219807,17661,2430,1081,1381,6146,1504,16993,9574
10905,10898,0,11245,11421,896,6162997,4203627,2803373,1401353,225,13422,767924,760930,3098062,16608,1575,682,916,5504,1499,16804,9799
10289,10527,0,10507,10493,869,5742736,3954421,2637161,1308743,213,15797,772333,760993,3240961,17743,2411,994,1316,6004,1399,15513,8514
11467,12023,0,11122,11114,824,5993731,4089614,2729635,1311420,202,5497,730479,719384,3090507,16589,1834,834,966,5549,1453,16891,9623
10286,10286,0,10484,10486,821,5958364,4092032,2729291,1363406,219,23403,820331,781684,3293727,19329,2325,1034,1027,5569,1149,17466,10905
11469,11351,0,11145,10508,868,5779039,3969203,2657421,1317607,201,5541,735311,724962,3246647,17798,1771,778,993,6539,1685,17967,10254
11063,10652,0,11016,11016,857,6182948,4224374,2729792,1406429,222,20152,803086,762570,3267694,19152,1867,776,958,5579,1108,17818,11375
10755,10757,0,10648,11129,843,5775410,3966752,2662104,1323071,198,5560,736641,727458,3295469,18864,1788,838,1026,6593,1723,17662,9933
12149,12236,0,11288,11904,911,6281444,4253053,2735999,1362086,219,12945,734564,725009,3100987,17942,1655,772,954,5586,1166,16980,10233
10028,10058,0,10227,10160,782,5751009,3961270,2647385,1362151,233,14155,773196,809394,3475482,18530,2213,856,1037,6220,1472,16114,9703
12007,11996,0,11548,11584,908,6081929,3964695,2648553,1317879,193,5545,733693,725427,3113429,18906,2422,1128,1459,6444,1632,18344,10418
9660,9723,0,10929,10626,839,5992264,4218663,2895434,1451578,235,20372,833448,827143,3538073,19234,2097,935,1181,6182,1141,17449,10962
11531,11604,0,11150,11373,777,5775479,3999149,2667541,1330979,194,5592,737653,726801,3117731,17893,1764,875,1071,6159,1477,17803,9971
11074,11092,0,11506,10971,754,6294436,4272653,2831752,1413289,201,13051,771351,763510,3136665,18680,1814,833,1000,5588,1140,17687,11161
10203,10224,0,10290,10295,770,5760588,3976205,2659707,1324137,200,13980,776596,770594,3295560,20852,2215,1024,1153,6204,1447,18825,11375
11467,11997,0,12346,12355,765,6093453,4169537,2784758,1325629,199,5560,740452,730656,3136047,19877,1725,768,877,5574,1433,19687,12584
9444,9600,0,9729,9481,823,5998642,4106641,2744876,1367930,227,19581,801917,782712,3249960,20116,2113,1066,1052,5593,1153,18454,11653
11743,11677,0,11417,10884,761,5999227,4107244,2651153,1321951,207,5608,736687,726135,3316447,20064,1974,961,1055,6682,1747,19568,11874
10876,10956,0,11349,10426,763,6047201,4116777,2739104,1417175,204,21535,799884,756640,3226554,18524,1897,813,988,5588,1147,17459,11073
10810,10818,0,9990,10222,725,5755975,3960209,2659846,1322011,197,5586,736936,728209,3288463,19356,2074,968,1107,7019,1872,19413,11562
10885,11350,0,11409,11973,804,6290430,4293896,2754966,1383494,211,15864,739892,730090,3127438,18635,1873,916,1005,5578,1130,17279,10665
10620,10554,0,10238,9857,705,5755956,3965748,2651600,1363252,215,12935,765175,789026,3371444,19824,2259,1011,1126,6207,1517,17072,10678
11295,10898,0,11547,11608,795,6008474,4122772,2754795,1379366,198,5608,737796,728343,3115977,18984,1970,942,1058,6016,1360,18806,11281
10514,10502,0,10645,10837,848,5759741,4141693,2762859,1371327,218,21965,804259,793919,3390773,19420,1981,1003,1003,5556,1147,17635,11060
11782,11219,0,11180,10905,790,5824198,4006452,2676112,1332466,197,5621,739814,731537,3128269,18806,2122,1037,1080,6314,1960,19930,11503
10290,10291,0,11526,11554,756,6312104,4301708,2886096,1448953,221,16185,786192,773767,3139068,19404,2001,996,969,5557,1121,18416,11724
11335,10808,0,10124,10067,740,5766893,3971598,2652841,1317964,180,13028,766344,758090,3249804,20558,2186,1133,1061,6252,1541,19698,12147
10487,11316,0,11579,11575,748,6192833,4233187,2828098,1367084,215,14736,777652,771005,3123639,18362,1892,933,938,5531,1422,18304,11570
34972,39671,121,54744,64940,35,3561649,2149169,1452249,841039,5444,98312,663052,656530,2749710,80777,2032,881,1114,39874,17902,46828,4337
11413,13247,0,12721,12061,38,347897,214400,54822,16392,120,1862,27255,27292,118179,4160,2429,1008,1602,2156,1655,3498,426
11464,11464,0,10291,11019,21,342302,214257,146783,144935,158,23614,117995,61869,234715,3939,1257,419,430,2644,1747,3346,345
11644,11329,0,10519,10183,16,82060,51143,34758,16483,117,1373,12736,12333,182439,3250,1058,518,903,2508,1863,4099,423
25439,24211,1312,21391,21218,225,3470931,2885653,1740306,1145909,1343,43222,408758,432264,2733868,63617,17015,6983,8569,36445,13309,39196,4496
11513,11500,0,10977,10864,143,3084799,2505603,1614014,722379,234,5940,253773,300068,1687035,16351,4187,1114,3075,6603,1956,14013,5469
11306,11204,0,11902,11884,162,3510327,2466049,1658722,805845,255,8314,256850,254566,1431345,15025,3594,775,2438,5760,1523,13996,6419
10570,10756,0,10727,11040,131,3092892,2366073,1611243,773297,256,15937,351447,349027,1700686,15214,2548,596,2182,5904,1390,13122,5870
12782,12964,0,11881,11558,133,3028971,2312455,1651487,820863,232,5547,261435,245417,1374509,17450,2988,644,2073,6247,1779,17656,9431
10445,10507,0,11328,11401,130,3354967,2657971,1846819,908887,240,13585,302895,292569,1596880,16905,3151,681,2806,5264,1374,16594,8651
11782,11168,0,11459,11731,104,2720987,2101596,1579057,705141,221,5276,295910,265155,1447199,16746,2906,756,2045,6732,1756,16793,8523
11682,11059,0,11333,11464,106,3556303,2750148,1899526,897824,253,13088,279695,263406,1437376,16373,2498,625,2208,5807,1470,16195,7750
10411,10555,0,10599,10654,122,2893209,2320455,1582600,704580,235,14367,281713,279471,1683981,17876,3590,781,2505,5796,1749,15717,7883
12030,12786,0,12798,12877,39,441073,257754,160964,20087,144,1713,15356,14941,57233,2375,165,62,97,1696,1714,2948,565
76205,64929,0,29845,26528,236,3216246,4792298,4010330,3738307,3790,417820,1242777,1332385,7972775,143254,22781,10192,13457,97405,33563,101710,4515
117301,139423,419,142410,129650,798,12175983,8392472,5545136,3056924,8349,382747,1868394,1612597,5694563,123551,11516,5428,10679,93687,41854,116856,6691
184723,184434,0,184411,184634,109,7536603,4500426,2887349,1614442,12718,233855,1205285,1195646,4366424,227398,746,467,461,220120,113959,227425,6530
85049,79514,0,68549,63795,749,9973848,6535531,4296665,2271505,3879,239387,1325164,1298635,5272919,103074,6143,2355,2807,97942,50567,113324,6346
49794,57947,0,65341,64798,892,11170728,6894973,4439112,2462675,5005,326406,1584266,1337177,6033025,61728,5417,2900,3194,60084,29819,66557,7594
17121,19508,0,19158,19451,258,2783276,1333408,835947,410303,271,4559,106852,122240,992690,13871,3133,1263,2825,7561,2684,17506,6759
75344,72499,0,68271,64791,1028,9963346,6228744,4130193,2183680,7706,266552,1554243,1587683,6089085,151085,11592,4949,6586,126332,58612,139429,12860
129622,130216,0,130565,130646,1318,10381816,6417444,4238708,2169021,19081,237930,1524315,1536395,5967796,236663,8603,4832,3758,216583,103033,237889,15040
72823,71252,0,70232,70200,64,3940027,2357055,1557345,971026,8469,157889,908505,938440,3581636,157359,3503,1956,1197,129394,59113,126614,8249
69745,69209,0,68894,68835,86,3602628,2142475,1357150,784784,6634,114646,595450,590124,2242496,113392,423,302,200,105264,49653,113455,7123
69257,69809,0,69654,69847,86,4092893,2452258,1566194,845956,6674,125132,648693,637939,2240788,111003,427,227,162,104213,49917,111452,6886
69296,69273,0,68717,68200,80,3613479,2156145,1366528,838164,6627,121934,631424,658131,2513913,112472,495,277,164,106009,50125,112081,6806
69989,69819,0,69433,69608,95,4047003,2280748,1446175,836515,6659,123109,600104,592697,2250876,111505,378,233,149,102489,46717,110656,8171
69080,69306,0,69368,69402,52,3607165,2145813,1483197,850781,6638,123678,638235,666192,2534327,116468,535,305,225,105582,50183,115369,10089
69562,69385,0,69087,68809,49,3853963,2154176,1367228,789208,6678,115262,598286,590674,2240292,113473,384,279,133,105538,50085,113830,7599
68951,68929,0,69444,69688,63,3838578,2297164,1562302,903970,6633,124538,645637,640280,2430776,112442,372,257,143,104905,49867,112410,6889
69536,69458,0,69021,68146,95,3593810,2144844,1360413,786384,6639,115113,631511,623852,2378826,111145,377,270,147,103640,49463,110117,6802
69312,69199,0,69470,69451,65,3825033,2403827,1525422,878915,6635,122157,634344,629057,2399164,113949,369,222,116,104915,49362,113173,8148
69039,68921,0,69183,69069,48,3616434,2147142,1362050,786296,6627,124686,684690,672786,2556427,113603,967,380,560,105802,50268,112867,6869
70194,70096,0,69829,69693,62,3851232,2288642,1447529,831844,6646,114906,597042,589020,2236995,108941,397,268,131,105080,50194,109617,3617
68334,68666,0,69083,69173,82,3815795,2281635,1450889,838243,6648,132546,685364,682632,2438847,115589,504,309,173,109804,54616,113406,3537
69424,69990,0,69620,69368,55,3601613,2145511,1360034,784022,6634,114677,597677,592001,2245992,115630,439,270,180,111077,56050,114839,3664
69042,69674,0,69716,69504,83,4051193,2406900,1525217,830952,6591,128118,663409,659464,2378711,115289,447,283,136,111484,56436,115487,3566
69199,69101,0,69526,68819,39,3871118,2314319,1368299,791430,6713,115599,600870,593953,2389631,113096,424,234,179,108887,53512,112921,3666
79614,82397,0,85680,84785,490,5509349,3057823,1711592,909614,6967,121732,630671,589477,2236145,111937,338,251,120,107882,52601,113509,4396
68515,68435,0,68654,68720,65,3597378,2142909,1362013,836052,6610,122859,638012,634055,2610633,111288,694,330,304,107310,56822,112904,4802
69792,69762,0,69269,69624,99,3912450,2341106,1361724,785718,6664,114715,597214,591248,2241434,114435,355,232,149,109402,54840,114478,4712
68254,68194,0,68105,69191,104,3813571,2268237,1440477,877433,6623,128720,627663,654952,2509890,118438,541,310,160,110961,56366,118238,6818
69583,69612,0,69082,69659,70,3848549,2147766,1364169,785871,6653,114532,595256,587354,2228552,114046,362,273,118,108612,55223,116293,6860
69563,69586,0,69987,69327,87,3847679,2282139,1542170,882308,6602,124324,627890,622061,2375459,112962,315,215,127,104938,51744,111676,6523
68337,67881,0,68290,68251,80,3577883,2139660,1354763,782674,6615,122192,633724,629637,2409540,108776,517,307,190,105640,53250,109186,3566
69551,69643,0,70273,70307,76,3924316,2343069,1486368,851774,6607,114011,594306,587713,2231607,107557,343,225,120,104193,51118,108105,3580
68827,68638,0,68270,68419,88,3820477,2267443,1437903,830053,6626,129015,663719,656855,2373730,112511,483,284,187,104632,49952,111988,6764
68781,69610,0,69284,69229,84,3838103,2291893,1455592,780695,6589,114191,591500,587594,2235009,112328,372,231,121,105029,50036,111923,6829
69332,69366,0,69365,69109,65,3891713,2301055,1459354,837840,6594,129489,663749,657424,2376706,112545,365,247,82,105344,49994,112178,6863
68650,68662,0,68394,68393,80,3806746,2270493,1360017,783677,6611,114513,596305,588643,2277969,112330,393,261,127,105518,50139,112054,6835
69773,69668,0,70061,69996,79,4173813,2509041,1484192,855532,6617,124136,638257,587472,2231510,112005,311,218,87,105580,50167,112525,6884
68397,68010,0,67889,67976,47,3601920,2146477,1360434,830233,6633,121791,630349,622334,2503784,111494,482,278,150,105152,49974,111755,6693
69314,69627,0,68918,69855,70,4047175,2422029,1454168,840265,6618,123488,597172,590741,2236701,108874,388,274,162,104953,49832,108526,3586
69651,69479,0,69765,69691,45,3605597,2147858,1361239,844956,6657,123015,633565,659510,2511647,109244,417,250,115,105246,50170,109099,3591
69812,69883,0,69116,69028,62,3818155,2145837,1360336,784967,6655,114981,598675,592408,2250940,109518,367,215,182,105837,50405,109790,3712
68519,68770,0,69506,69187,59,3854168,2332884,1762390,1098140,8971,163968,884851,870780,3301479,142984,1720,671,479,109323,50399,112222,6886
69644,69810,0,68763,68398,38,3614475,2149597,1361151,784255,6626,114506,629346,622698,2373445,112423,404,327,164,105459,50111,112242,6846
68984,69088,0,69767,70045,60,3820193,2407628,1534737,887940,6623,123023,637654,633608,2430256,112228,296,227,84,105010,50069,112696,6905
69538,69347,0,69303,69319,48,3618249,2156416,1366866,787465,6655,115231,634917,624236,2368098,112110,533,342,175,105097,49886,112229,6801
69450,69330,0,69636,69780,85,3843789,2282306,1445262,833093,6640,114672,596314,589566,2236962,109858,372,269,106,102379,46736,109330,6857
69213,68918,0,68900,69374,52,3612483,2300484,1464541,846988,6631,134899,697732,687756,2617740,112436,391,295,109,104658,49983,111746,6846
70341,69866,0,69056,68878,73,3594515,2141530,1354695,781430,6607,114681,596598,589400,2238263,111889,375,260,123,104930,50294,112341,6819
68464,69023,0,69055,69091,87,4036947,2406587,1525872,830543,6623,122140,632926,628257,2230319,111727,357,228,126,104645,49692,111728,6813
69374,69200,0,68772,68996,43,3591802,2141204,1357373,852580,6641,124218,639706,630480,2542229,113424,465,270,140,105475,50215,112349,6806
68925,68980,0,69181,69348,65,4057640,2406382,1441712,830085,6620,121526,596995,591240,2239377,114305,350,246,96,107110,55722,113677,6787
68691,68557,0,68742,68792,41,3613840,2148406,1359911,843587,6628,123977,645032,687220,2609026,114988,412,258,121,107091,55876,113464,6867
70340,70075,0,69744,68691,75,3885682,2138822,1357884,784461,6630,122244,631239,623613,2369840,115760,553,277,137,108235,53036,114876,6857
67985,67919,0,68123,68728,67,3802411,2266668,1522345,876197,6608,129439,633167,629055,2409098,115470,332,228,93,108427,53144,115415,6900
69133,69689,0,69442,69469,55,3611199,2141942,1360618,783919,6629,114545,631135,628148,2385046,115284,489,340,155,108230,53115,115435,7037
69056,68757,0,69292,69360,65,3848745,2425227,1530070,876964,6598,121510,628671,621783,2365710,113227,364,240,136,108372,53160,113656,5357
68880,68846,0,68830,68831,52,3614131,2151275,1361531,786335,6651,115142,644668,640616,2450104,113313,565,362,187,108755,53114,112239,3705
81030,81596,0,75160,72610,67,3925800,2326135,1472003,844271,6651,114896,597593,590469,2241016,111884,305,375,503,122232,61175,131717,4704
