arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
80224,93761,0,57291,190553,12810,26126896,22260476,15955988,9926092,15684,140577,2498653,2320980,16677120,269565,235957,130090,149325,15391,3668,111381,4621
0,0,0,0,0,0,0,0,0,0,0,122,6656,6656,28800,272,198,89,109,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,99,50195,50195,213602,798,688,284,404,102,0,0,0
4075,3805,0,3670,3670,21562,5704379,3764378,3901538,2908759,18958,200859,1135534,1071025,8766673,143329,90978,31643,33553,5683,904,8185,134
60183,60204,3531,12231,11993,1102,2432712,1538149,935387,418992,3417,34828,773286,918440,8494622,151601,120862,60715,74343,14954,3967,82199,18583
11691,11047,0,11508,11125,1082,6290694,4111750,2735735,1368796,230,9790,731518,749596,3203951,22969,5966,2423,3775,6010,1461,21074,12487
9991,10228,0,10489,10166,988,5699240,3920125,2707055,1343826,230,14724,811126,806268,3452485,17319,2296,1012,1175,6115,1113,13782,7268
11762,11881,0,11514,11903,941,5669761,3905898,2606100,1299968,198,5496,724209,715777,3071429,17185,1847,1060,1166,5996,1426,17021,9213
10244,10268,0,10560,10568,1041,5980067,4226692,2812953,1401419,232,13116,803510,797458,3426369,12788,1999,911,1137,6328,1130,10963,4499
11484,10814,0,11573,11595,1058,5759494,3963379,2644381,1318213,212,5500,729520,720991,3099898,12005,2108,1035,1138,6067,1414,12272,4555
10907,11996,0,10519,10456,1103,6235355,4226724,2812042,1352361,212,12120,762478,751473,3110277,11706,1746,788,1017,5587,1169,10959,4401
10373,10320,0,10355,10355,994,5750022,3956065,2638269,1315373,215,14496,774490,767809,3473056,14141,2365,1082,1105,6213,1483,11713,4505
11858,11540,0,12107,11570,1242,6085803,4158700,2662076,1311481,201,5534,729933,720694,3091360,11720,1597,708,885,6077,1446,11669,4571
10134,10268,0,10315,10048,1047,5997480,4102584,2736102,1413186,240,20517,804947,762461,3267755,12833,2036,776,940,5625,1189,11062,4532
11611,11483,0,10753,11720,1056,6024519,4127887,2665632,1316365,198,5637,738495,729578,3308224,12947,2160,874,1260,6714,1772,12452,4594
10868,10876,0,10033,10821,1116,6074854,4149263,2759537,1430190,216,20903,772072,763196,3256902,12621,2014,931,943,5577,1154,11038,4496
10847,10848,0,10422,10815,993,5803260,3996459,2669996,1324173,203,5607,740798,772494,3293761,12893,2003,863,1233,7019,1925,11893,4545
11214,11234,0,12186,11856,1056,6392823,4182619,2793515,1397993,206,5574,736263,726712,3116363,11917,1717,803,893,5582,1121,11048,4598
10562,10123,0,10284,10075,1035,5772553,3969864,2743692,1360637,205,13149,802480,793462,3385039,13570,1990,964,1051,6287,1131,11087,4491
10893,10690,0,11532,11530,1066,6000204,4124625,2748843,1377513,198,5603,736335,726241,3112815,13592,2737,1222,1454,6654,2105,13256,4699
10996,10670,0,10841,10654,960,6377015,4318188,2880704,1432300,225,29274,841167,830230,3264120,13173,2057,943,1056,5581,1148,11373,4667
10528,10902,0,10892,11014,978,5830721,4015538,2671455,1332241,208,5607,740241,729252,3127594,12765,1876,870,987,6279,1987,12603,4572
10239,11093,0,11043,11055,1002,6358274,4338733,2898919,1380412,206,15712,778046,767204,3117871,11950,1921,901,933,5558,1128,10954,4466
10643,10309,0,10266,10303,1017,5820117,4004633,2668605,1334629,212,13097,773023,764610,3360989,13439,2216,1076,1118,6335,1604,12149,4566
11350,11214,0,11347,10886,1039,6242524,4264202,2766656,1377413,210,15406,787056,732753,3141228,12022,1865,840,1005,6169,1471,11768,4587
11314,11347,0,11233,11228,1047,5817336,4003353,2678146,1391420,198,14168,779871,766879,3407188,13420,2165,1035,1078,6169,1493,11807,4535
11169,11153,0,10576,10654,1036,6002467,4114875,2667825,1322150,190,5617,739589,730877,3138227,11931,1827,814,1049,6291,1556,11853,4595
10548,10542,0,10682,11173,1077,6053373,4155206,2777734,1457189,236,28116,786848,774752,3298109,13016,2035,967,972,5563,1124,11025,4490
11621,11667,0,10170,10204,909,5788487,3982159,2666584,1318190,193,5556,736632,762188,3257019,12546,1953,886,1132,6792,1890,11970,4576
10676,10412,0,11436,11217,1040,6221573,4115770,2741565,1372164,203,9279,740092,733765,3147435,12076,1911,981,979,5578,1126,11077,4585
11498,11821,0,11346,11378,1039,5793035,3987826,2780518,1379285,205,14747,816445,803270,3415522,13226,1853,981,1013,6692,1478,11791,4639
10374,10398,0,11030,11024,1020,6024892,4135140,2747353,1375830,205,5600,739132,729632,3132025,12013,1874,978,907,5649,1185,11947,4600
10876,10877,0,10611,11213,1005,5809234,4146077,2773138,1380136,221,16474,838428,825838,3497280,12959,2073,1019,1001,6194,1097,11008,4550
12207,11653,0,11403,11058,1023,5815942,4022654,2685144,1337314,204,5568,741347,733243,3151562,12031,2146,1060,1156,6162,1500,12737,4585
10453,9989,0,10564,10819,1015,6021599,4250514,2840922,1413477,210,13907,781361,774941,3319028,12098,1939,885,908,5598,1115,11136,4588
10787,11076,0,11100,11185,1116,5799180,4005642,2666645,1333273,192,15477,783027,773131,3293874,13592,2265,1060,1116,6132,1774,12347,4558
10203,10623,0,11129,10886,1064,6499926,4392871,2920861,1419617,207,13127,772782,764422,3440869,25850,8867,3973,5435,13710,4888,26077,4583
50210,50160,0,49144,49041,77,2579180,1617285,1084799,645192,5378,89554,441399,369843,1155875,49080,2153,787,1755,52467,32347,73856,5702
11582,11940,0,12071,11735,11,397750,228566,143677,16371,118,1387,12781,12320,46364,2099,410,162,202,1934,1581,3040,369
10454,10168,0,10156,10184,15,313557,189043,124068,65299,145,18346,98100,61252,250416,6116,2045,824,640,1370,1158,1926,357
13040,14144,1530,15190,15164,49,616001,388660,109787,41131,120,1371,12773,12291,220313,3464,971,477,439,2507,1882,3614,365
18615,17025,293,18461,20413,489,5191666,4016536,2543490,1653054,1904,54734,427662,346933,2540153,42339,8595,3777,3934,26087,11175,37554,8324
11282,11340,0,10875,10940,99,2984580,2425155,1622879,737003,224,5485,231190,281486,1624705,16630,4254,1132,3031,6514,2169,15781,6852
11680,11679,0,12196,12746,152,3459671,2560035,1751032,778416,270,14799,256336,251447,1421904,15097,2746,827,1893,5698,1560,15203,6737
10467,10662,0,10414,10468,115,3055175,2432608,1570802,753410,242,13132,322460,327044,1718719,16950,3327,709,2414,6393,1486,14268,7016
12010,11466,0,12375,12413,132,3290647,2576719,1634341,829040,218,5533,252743,247700,1336752,14338,3021,762,2271,6016,1716,15807,6854
10890,10921,0,9901,9935,89,3069526,2494700,1684905,793601,253,20643,328235,328128,1632326,16777,3189,817,2370,5466,1523,13995,7143
11360,11032,0,11342,11407,105,2950366,2298011,1503642,728112,245,6062,264818,255877,1389891,15472,3012,787,2162,6232,2141,16342,7230
10885,11853,0,11890,12038,125,3755697,2844877,1872601,860519,254,14437,285897,280504,1311645,15901,3127,723,2531,5627,1477,14484,6883
11256,10910,0,10934,10929,78,2290390,1660564,1131113,558730,212,11945,208962,204850,1151759,13266,2541,784,1893,5883,1947,16155,7595
11162,11937,0,11807,11486,20,346207,216971,146759,21702,154,1797,15917,15450,58636,2530,332,214,127,2239,1722,2860,483
65129,146837,986,363588,374651,4316,16409768,11576408,6543645,3336675,5872,156822,981540,1109347,8404411,151300,46342,22777,25693,83577,31180,70683,5914
137290,133277,0,123597,120313,646,11136431,6246055,3643799,1667849,7234,179453,823264,689468,2846868,119131,3279,1215,1764,152800,81094,176272,6673
180790,184552,0,187149,186955,131,7460065,4585647,2927321,1626931,12825,234937,1211978,1200835,4534441,227352,1608,783,986,214976,109520,221715,6503
63582,62035,0,60949,62438,1229,13011298,8240247,5056970,2633344,3303,287956,1319399,1179034,4403876,44233,6740,3175,4532,54090,28805,83681,7668
47306,53934,0,55720,47699,596,7399329,4430354,2407058,1208962,2145,157848,989338,1221556,5327566,60375,7760,3410,4977,55518,32418,78795,9853
19344,20090,0,18560,16050,272,4794523,3496141,2630619,1393518,972,116042,618447,550688,2384185,24305,6904,2551,3333,15417,7120,19844,4158
84723,84915,0,85437,87965,1435,9610406,5818956,3722163,1890167,14884,189980,1275037,1393079,5452924,165213,8670,4104,5027,125989,60764,142405,12877
138855,142127,0,139255,137316,1527,10995407,6743319,4400529,2247718,18898,242125,1517033,1478226,5655088,220079,7088,4111,2886,209322,100206,238003,12544
68574,68825,0,68848,68882,40,3611918,2290526,1458925,840138,6674,133113,689209,685542,2653204,114916,649,370,420,107171,52437,112831,5713
69490,69839,0,69976,69383,44,3606769,2148264,1363780,787663,6665,114669,598294,589287,2235686,113723,545,297,230,108433,53489,113898,4699
68205,68927,0,68596,68918,40,4049659,2415820,1532177,833130,6614,128790,665505,662297,2387466,117394,497,318,156,110011,55209,117358,6837
69470,69443,0,69684,69407,30,3625975,2163480,1371027,790393,6686,115468,598433,590567,2246089,116709,439,296,140,111756,56679,116103,4074
69303,69883,0,69545,69480,68,4154121,2457583,1550004,835700,6626,121791,630361,589055,2236202,113813,405,301,141,107556,52951,113012,5268
68312,68412,0,68787,68742,47,3830896,2282379,1366604,787422,6644,123105,639167,633844,2607313,114376,495,325,124,107536,53004,113156,5504
70073,70021,0,70188,70028,88,3928599,2347993,1364006,786758,6647,114911,597572,590291,2243192,111386,317,237,82,106943,53245,110474,3618
