arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
125221,94450,0,54330,193687,13042,26231487,22313712,16010272,9967566,15692,133635,2501499,2324405,16915873,275075,238336,127259,149282,15070,3763,109111,4211
780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,120,125,19,4,210,66
952,2916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,295,397,34,15,508,77
36738,36631,0,4452,3888,21456,5698925,3765240,3911242,2897869,19204,197876,1153844,1223907,9156540,143303,70528,31683,37666,5914,1345,29034,497
65464,68193,4361,9922,9921,1007,1576604,1073593,719575,360066,3064,31213,692832,831106,7685788,133755,106484,52569,65058,11335,2683,76681,17335
12339,12599,0,12615,12155,1023,6163400,4055230,2704609,1357883,216,18250,729801,752642,3228580,24867,7514,2647,5654,8599,2724,23924,11291
10419,10854,0,10851,10702,850,5653511,3886310,2727774,1354405,219,15517,765626,794970,3375714,14826,2029,868,1106,5971,1392,12003,5593
12226,11784,0,11092,11067,941,5906721,3906422,2611194,1301825,202,5495,724058,716335,3071542,12840,1650,844,1288,6045,1483,13276,5885
10291,10292,0,11013,10687,935,5994501,4103431,2829086,1414006,226,15371,779794,771826,3305348,14524,1495,591,900,5501,1091,12425,5969
11777,11079,0,11313,10965,1021,5750407,3957442,2642361,1318723,192,5534,768809,758319,3236591,13680,1959,943,1140,6580,1496,13250,5832
10424,10439,0,10830,11095,986,5961167,4212675,2812052,1401368,212,13294,768886,761372,3261495,13320,1673,735,1036,5543,1118,13272,6255
10866,10360,0,10810,10806,900,5736876,3943225,2628228,1314933,198,16532,775537,764736,3259401,13572,2050,884,1187,6125,1456,12769,5572
11866,11127,0,11533,11491,979,6019934,4110809,2744804,1360521,202,5540,735111,722358,3102067,12472,1624,656,942,5560,1483,12807,5596
10299,10093,0,10419,10422,903,5965137,4094708,2731210,1363231,208,23715,813427,810549,3286805,18122,2081,843,1176,5526,1106,15689,9415
11925,11820,0,11846,11258,944,5757945,3956479,2643493,1312596,186,5571,732093,722393,3234679,18293,1934,800,1116,6555,1720,19136,11272
10301,10242,0,10219,11029,923,6161067,4218328,2719966,1408305,227,19808,792475,763383,3276782,18377,1957,817,862,5592,1115,17378,11033
11069,10808,0,10790,11062,851,5773411,3966468,2661323,1320994,202,5564,742185,778945,3319497,16540,1919,800,1123,6602,1724,15018,7756
11394,11803,0,10866,11459,906,6314607,4130821,2752041,1378123,195,13086,739546,730592,3132822,13125,1606,774,873,5591,1174,12403,5955
10266,10294,0,10549,10289,1007,5763710,3966646,2736420,1362476,201,14441,777949,813172,3482255,18560,2004,848,1129,6303,1515,14820,8309
12155,11902,0,11772,11808,1001,6117547,3987722,2665654,1329278,198,5533,733011,724298,3104371,14022,2533,1226,1520,6495,1689,14571,6578
10251,10286,0,10650,10586,958,5980186,4219665,2900681,1446157,227,20547,837769,830086,3553394,16100,2081,973,1140,6293,1150,12997,6604
11482,10739,0,11212,11484,824,5816626,4013745,2669325,1335614,185,5612,739035,730756,3134428,18528,1937,968,1067,6063,1416,17830,9830
10504,10488,0,10528,10577,963,6098312,4307264,2861443,1422038,198,13345,767262,759251,3247881,14824,1787,878,944,5555,1133,14383,7837
10444,10463,0,10554,10554,920,5780576,3974762,2647667,1321503,214,14094,775483,766718,3291203,16972,2178,1057,1022,6260,1517,14979,7678
11165,11731,0,12131,11540,880,6096288,4162527,2784448,1314951,195,5571,738589,728515,3124276,14202,1770,778,960,6055,1383,13529,6625
10468,10316,0,10362,10378,908,6043968,4136553,2754632,1376768,220,20718,807603,766017,3293068,15884,2254,1166,1027,5597,1156,14257,7800
11356,11541,0,11347,10820,906,6027850,4137393,2668589,1320123,199,5650,740464,731633,3322868,15780,2009,923,1058,6715,1749,14617,6776
10779,10766,0,10764,9841,885,6080759,4161049,2760654,1435639,231,21473,806058,762049,3256922,19390,1917,923,881,5594,1163,17062,10493
10591,10604,0,10212,10480,910,5754860,3975516,2652228,1310857,195,5602,733253,762673,3266621,17154,2134,993,1216,7052,1939,14829,7704
10886,11407,0,11461,12033,888,6302333,4138406,2779818,1400693,220,15922,734918,726301,3120802,14162,1948,947,941,5562,1118,13554,6968
11005,10862,0,10343,10375,913,5799072,3990213,2752832,1366049,212,13109,771199,793124,3377815,16554,2315,1184,1180,6292,1575,13700,7170
10899,11222,0,11265,11207,948,6262774,4150143,2775674,1387637,216,5598,738837,729938,3131001,14777,1777,982,1051,6146,1440,14864,7674
