arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
144485,90048,0,52769,187781,13055,26229978,22267020,15969375,9949192,15700,140759,2496906,2310941,16682267,270991,236837,128567,150561,16248,3608,112790,4555
0,0,0,0,0,0,0,0,0,0,0,162,7206,7206,30941,338,252,102,150,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,99,50566,50566,213909,743,632,261,371,115,0,0,0
4069,3935,0,3668,3668,21846,5700087,6216184,4038441,3017088,18764,205324,1137326,1072569,8904457,120547,87949,26474,32373,5579,895,7906,117
60031,62150,0,12398,11855,1050,2246113,1393620,818654,531335,8548,81435,918429,1391880,9258706,156621,113980,65348,67509,12939,3552,71188,31941
11371,10904,0,11520,15350,905,6119991,4165661,2780179,1378487,325,9778,771131,760285,3447524,24487,7433,2334,4285,6042,1219,21688,11640
10225,10481,0,10356,10163,916,5660033,4033198,2697956,1345887,227,15167,812213,809801,3460925,13232,2190,1019,1228,5994,1028,12384,6105
11896,11465,0,11629,12059,885,5686291,3910618,2612172,1294783,203,5488,724924,716550,3078834,12264,1893,735,1226,6043,1473,13204,5190
10253,10286,0,10562,10568,908,5982963,4207602,2804726,1402939,212,20481,800641,796160,3421908,13941,2028,989,1036,5567,1131,12425,5795
11610,11144,0,11612,11652,852,5736669,3936985,2626838,1304454,184,5548,726248,717268,3074072,12714,2042,855,1072,6052,1731,13777,6144
10899,11083,0,10585,10519,963,6244374,4240479,2816358,1400999,222,12890,763759,753825,3101836,12704,1602,717,899,5536,1127,12053,5699
10409,10360,0,10623,10619,888,5750867,3955808,2639044,1312338,232,14388,773444,766160,3276551,15574,2456,1095,1198,6238,1516,13340,5890
11220,11446,0,11600,11371,908,6055666,4143101,2763524,1312992,210,5495,730483,720517,3093087,15438,1426,640,823,5959,1378,14949,7971
10397,10496,0,10301,10323,857,5964370,4083370,2721958,1357967,227,20113,799230,759968,3251110,15003,2079,985,931,5596,1173,13406,6932
11356,11222,0,11482,11387,929,6004383,4118137,2652757,1317338,209,5600,734863,725025,3302011,14662,1979,884,968,6629,1723,14673,6839
11220,11238,0,10425,10124,839,6017552,4108163,2730307,1412017,219,20806,798737,757515,3235976,14291,1859,793,895,5567,1142,12828,6293
10581,10591,0,10482,10610,878,5794346,3973859,2667015,1325716,208,5565,740625,731247,3310744,14622,1920,930,1106,6970,1919,14215,6480
11225,11243,0,11217,11795,905,6339570,4147965,2771473,1385769,212,15398,734614,726813,3114245,13848,1632,743,850,5549,1124,12712,6150
10545,10101,0,10185,10297,833,5746909,3943323,2718570,1355498,210,13032,764533,789653,3378150,14641,1870,827,1001,6252,1591,12937,6504
11608,10806,0,11341,11338,918,6007039,4128171,2751577,1376736,199,5599,733076,723084,3096792,13196,2977,1341,1586,6572,1685,15030,6353
11310,11337,0,11596,11005,837,6070466,4296963,2852960,1421576,222,28984,838759,828786,3396484,15065,2031,873,1136,5555,1122,13083,6532
11623,10705,0,10715,11083,837,5758820,3981470,2656591,1321672,206,5561,733376,724398,3103352,18675,2022,914,1167,6320,1998,19214,11171
10552,10963,0,11109,11046,833,6311929,4308994,2888334,1445753,209,15501,772847,760326,3097108,18031,1806,799,983,5533,1118,18211,11643
9826,9878,0,9898,9955,826,5751359,3952717,2641087,1317983,195,12251,764822,756272,3237386,15910,2106,971,1095,6264,1589,14496,7090
10825,11414,0,11224,10560,951,6204712,4245071,2839116,1370554,208,15205,779345,724874,3116601,14292,1819,817,933,6149,1440,14185,7208
10961,11037,0,11241,11279,848,5802970,4002682,2664449,1327648,224,13648,771832,761970,3374339,16305,2268,1118,1101,6101,1474,14392,7032
11464,11110,0,11088,10858,830,5981567,4090696,2646731,1313095,187,5589,733816,724556,3108719,17415,1878,861,986,6295,1561,16873,9448
10812,10809,0,10968,10964,798,6025393,4137273,2762209,1446024,244,27649,825652,765924,3257598,19460,1929,932,907,5547,1131,17828,11283
11385,10634,0,9838,9815,818,5739676,3955094,2642768,1313721,207,5549,733826,759133,3248243,20299,1981,1005,1141,6895,1962,19356,11804
10934,10952,0,11421,11414,805,6074485,4105409,2747664,1381519,225,5573,737890,728260,3126570,14070,1794,832,991,5540,1100,13765,6758
11239,10475,0,11028,11048,906,5786686,4160332,2779232,1375753,222,14203,811107,798414,3395883,15036,2027,1059,1010,6618,1427,13591,6478
10717,10736,0,11254,10960,964,6012236,4121494,2748610,1372150,205,5568,737278,729299,3122747,14511,1902,933,973,5628,1122,14356,6774
