decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
57652,2042276,4323019,3355692,4030,65789,837,1695709,159,44494,636599,3384,3598394,3603,322478,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10527,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6282,1711709,2680218,0,0,0,0,0,0,0,0,4726,1592509,4920,145654,0,1022,46530,0,10063,371546,24943,3786575,2195866,22647697,2166340,332837,7552661,9644482,1417967,18519937,77403267,7092109,43220273
8126,1680366,3813928,1493147,2556,177181,0,180499,277,45246,113148,123,561871,1944,76823,0,2679,146825,5318,24995,1035315,2237695,154898,71543,714050,5243493,828542,14450544,5976481,1473814,17674008,40857521,5305212,47808620
27245,113558,4407822,2070096,120315,921171,0,701564,60,45443,394984,269,2054722,6266,152177,0,150,116997,0,17888,1301512,2231453,406955,177294,2006873,8217353,1347585,28130092,2428002,678893,6677274,47574245,4433218,22880144
27977,117782,4401578,2038583,124183,942947,0,682917,30,45909,390864,0,2055758,7411,153990,0,0,119150,0,14564,1350204,2203703,282899,133492,1439234,8077482,1352912,28101321,2432485,672085,6698121,44702389,4148469,22949763
30534,109176,4443235,2061365,123800,939227,0,702554,0,46974,382905,30,2218992,6693,152415,0,210,113855,0,17966,1398289,2260113,827659,340285,1434655,8034968,1351054,28002139,2429257,675027,6753750,44538297,4011052,22888221
29746,132218,4503561,2045730,104538,939141,783,681998,59,44502,371556,60,2070939,4827,143146,0,60,106598,0,13627,1283224,2152213,301285,141554,1462592,8168587,1367409,28510202,2465361,685292,6813953,46255695,4092617,23978451
27973,111321,4461273,2037301,107187,970217,0,681750,29,44279,378274,30,2091393,5036,154796,0,30,106547,0,15518,1365685,2229707,1154534,478811,1548878,8109645,1368186,28278662,2424586,674127,6728160,43716594,3897344,22621277
