decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
56826,1928251,4275308,3474366,3498,68425,747,1803516,171,44746,626687,4300,3618454,4124,326028,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10440,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6856,1928310,2990747,0,0,0,0,0,0,0,0,3994,1460605,5221,143215,0,784,47541,0,10402,349184,18703,3892045,2215735,22513245,2178978,339741,7561206,8892230,1065592,16889603,79296831,6821133,39596768
7717,2605642,3833500,593252,2828,205382,400,179424,92,42968,123732,92,603731,2527,65235,61,25595,336565,0,8846,970206,1796472,149121,72673,743511,4713114,710197,10853906,6185221,1475232,17775683,53159827,7756769,53158743
29039,131292,4358262,3287531,128097,959393,0,699101,30,47550,499717,60,2083894,5799,162186,0,82,114981,60,13700,1359948,2116108,282903,136045,1369602,8058737,1339375,27874618,2422770,673575,6711093,47141884,4384122,23404979
26133,127166,4399756,2099361,123993,983796,0,745513,112,44750,421878,0,2055308,6076,154170,0,0,117477,0,16949,1368564,2256352,313040,134908,4478257,8038926,1341833,27957408,2429364,671244,6682592,46375324,4218609,23519953
27387,115579,4407211,2098416,109930,1012232,0,701468,0,44825,393934,59,2064059,5058,150665,0,30,110369,449,15620,1308230,2132417,308671,140410,1476081,8011612,1349443,27977756,2433722,673573,6712739,44298706,3966575,22964149
26619,134400,4525825,2119091,109665,972635,0,697199,29,45426,394085,29,2098383,4471,152315,0,60,109794,0,13398,1286218,2072325,289502,135137,1489392,8111914,1358094,28513353,2475730,682554,6782223,43967163,4092318,23937341
26698,118200,4426436,2066299,109982,982342,0,698912,30,43701,387129,0,2054199,6000,147948,0,0,108910,0,17835,1417153,2210038,1322444,532548,1514988,8061456,1360113,28190413,2438895,675685,6737778,44069098,3917037,23085690
