decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
57198,1890138,4210010,3257790,3787,71071,1186,1673943,187,43150,692074,1564,3727738,14586,268023,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5969,1821192,2852263,0,0,0,0,0,0,0,0,0,0,0,147421,256,6501,35711,0,10559,312902,17219,3980489,2293897,23305012,2235673,333807,7444237,9615103,1197907,18266000,77813624,6787739,41749486
8716,2577663,3836817,539147,2624,194899,2075,166935,30,42572,115688,30,581300,1954,59266,0,12311,384923,122,9252,903469,1705698,141602,69904,737594,4700258,713510,10907066,6126267,1459480,17567649,41416735,7289003,47878717
26279,123601,4412455,3186375,123050,908501,0,689948,60,48417,489378,30,1996357,7194,153252,0,165,115465,60,14625,1286913,2346575,296837,135592,1394121,7956702,1324884,27848770,2422946,674771,6724232,47055091,4349805,23198222
26098,122256,4416177,2007521,122476,935963,0,695120,74,50355,389877,0,2064078,9432,158246,0,81,125336,0,15203,1415588,2547492,286613,133066,1490834,8023278,1334059,28134536,2433848,673342,6694070,47128396,4334274,23124208
27184,116171,4421868,2063480,107359,952231,0,684117,45,48302,393057,29,2133786,6461,151782,0,30,112714,540,16543,1324801,2404326,290588,137970,1573161,8154033,1362375,28454043,2454567,677952,6763557,44771229,4021086,22644613
26357,132377,4488928,2066381,106846,936181,0,698099,29,45605,388271,30,2088557,6189,143991,0,59,108971,60,14489,1290782,2296671,287127,132828,1447374,8091204,1350676,28351664,2450419,681174,6720830,45119210,4227912,23563062
26855,110347,4445983,2048234,107416,938011,0,689068,30,46543,383546,60,2129077,7671,153099,0,30,111162,0,19064,1457167,2478580,1361712,536312,1523124,8083258,1354265,28037601,2423436,673146,6743767,44882917,4030660,22724546
27981,120563,4472063,2135428,108798,966808,330,692687,0,46981,387536,52,2114592,5990,149819,0,59,112650,60,16339,1341555,2334094,272130,139320,1575851,8111277,1363892,28334139,2449193,677916,6770019,44558110,3995024,22668458
26559,117134,4429534,2096722,111991,962650,0,707305,0,47835,390889,0,2120688,6321,156068,0,120,114660,29,16538,1301997,2334935,815028,312323,4352099,8130931,1362164,28321114,2449566,678844,6763812,46232550,4147420,23386768
30177,111628,4469900,2115355,107312,951086,0,705925,210,45932,390054,60,2098207,5925,162647,0,29,113095,0,14299,1306397,2288511,290658,138513,1474153,8112681,1365600,28536180,2463912,684587,6824944,45019945,4033471,22509414
27499,122219,4458942,2157350,106766,976499,0,701259,0,48752,381931,30,2103726,7337,153076,0,0,115178,0,14469,1368919,2326573,285387,133087,1307221,8185354,1373055,28591431,2471855,685045,6791340,48310401,4430739,23187781
28388,109372,4469367,2110936,105120,973521,0,714060,29,50843,386693,30,2100058,6581,148101,0,0,104789,0,14179,1302172,2258184,1095619,394014,4584705,8164954,1374154,28585206,2460743,679576,6799512,44824447,4015630,22709927
26949,119191,4459315,2094174,104999,971320,0,693240,120,46178,378179,0,2144842,5011,148267,0,30,106306,0,13960,1324556,2290219,297658,138558,1520988,8187092,1369170,28518517,2451885,678695,6771134,45559089,4024886,22772206
29009,109344,4441843,2136812,107390,968789,0,694292,60,45483,381803,60,2106487,5219,152888,0,149,110712,0,14214,1301660,2283306,297108,333814,4422989,8166207,1370800,28527318,2465637,682731,6812572,44913069,3998269,22593649
27321,111133,4509124,2118170,104478,939092,0,697649,30,49810,385365,29,2108872,5161,155974,0,30,107904,0,13994,1328586,2309762,279377,141913,1601314,8228566,1380830,28602811,2459785,675691,6743719,44894138,4004477,22483383
29055,124260,4457713,2104991,105534,958886,0,689050,0,45759,399181,0,2112953,5530,148110,0,60,113328,0,18540,1353472,2387777,278032,138719,5554735,8113715,1356833,28410875,2459923,683108,6803960,46024065,4108869,23089799
26576,112513,4473111,2101476,99249,966172,0,681514,0,44984,467269,0,2105725,4559,150131,0,0,114369,0,15346,1325259,2228018,287940,132863,1536354,8139086,1361543,28390177,2460096,682684,6814828,46553196,4142425,23178313
26811,138681,4452573,2105747,101963,952284,0,703584,30,45245,383294,0,2106936,4586,147197,0,333,104642,0,13861,1307864,2211949,335560,155844,1544139,8111933,1360047,28358521,2462481,682827,6804416,47301583,4192327,23522060
28011,109521,4519607,2126819,101659,951447,0,698798,30,44941,392757,0,2449046,4584,145114,0,60,100395,210,14229,1304006,2192321,304792,138499,1607035,8156705,1368233,28563468,2467162,678464,6776888,44349269,3936643,22725544
26463,123458,4463271,2092431,94458,966610,718,695759,30,45490,390010,89,2152277,4402,147338,0,30,112800,0,17415,1349676,2253657,298972,140578,1449150,8129625,1363978,28467262,2459124,677046,6752801,44136877,3891954,22870307
27514,108271,4476685,2057305,102681,966814,0,699350,59,46607,385112,60,2092950,4123,147570,0,59,112732,0,14181,1337463,2326044,849619,313893,1587739,8206367,1378113,28693518,2466020,680972,6790005,44914738,4007576,22642169
29361,125180,4459612,2099640,101451,977547,301,697388,0,45438,386039,30,2482751,4643,152226,0,30,107440,0,14116,1318178,2312695,325633,150316,1684173,8204031,1371173,28554359,2469021,681876,6817623,44723943,3968842,23168698
26742,111107,4545964,2120590,101901,984632,0,698869,0,44470,375544,0,2147025,4982,151614,0,0,101116,0,16106,1398684,2316526,848254,328765,1605784,8189312,1376482,28678524,2490694,686817,6783488,45829057,4031778,23236483
27175,108652,4473246,2120319,101269,965505,0,869081,30,45342,383500,59,2126581,6723,149542,0,30,101427,0,14519,1362685,2298505,276112,140890,1625625,8248408,1376539,28218769,2423625,666854,6751538,44153315,3895898,22392877
