mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any,mem_inst_retired.lock_loads,mem_inst_retired.split_loads,mem_inst_retired.split_stores,mem_inst_retired.stlb_miss_loads,mem_inst_retired.stlb_miss_stores,mem_load_completed.l1_miss_any,mem_load_l3_hit_retired.xsnp_fwd,mem_load_l3_hit_retired.xsnp_miss,mem_load_l3_hit_retired.xsnp_no_fwd,mem_load_l3_hit_retired.xsnp_none,mem_load_l3_miss_retired.local_dram,mem_load_l3_miss_retired.remote_dram,mem_load_l3_miss_retired.remote_fwd,mem_load_l3_miss_retired.remote_hitm,mem_load_l3_miss_retired.remote_pmm,mem_load_misc_retired.uc,mem_load_retired.fb_hit,mem_load_retired.l1_hit,mem_load_retired.l1_miss,mem_load_retired.l2_hit,mem_load_retired.l2_miss,mem_load_retired.l3_hit,mem_load_retired.l3_miss,mem_load_retired.local_pmm,mem_store_retired.l2_hit,mem_uop_retired.any,longest_lat_cache.miss
17497083,8870249,29893884,238050,55758,41307,11399,1562,2274091,288,99,198,32986,17757,1020,0,506,0,0,414654,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,52,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20,232,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11079843,7006774,19458645,114475,44191,63410,0,0,0,0,0,0,58938,13699,145,0,0,0,0,75132,8061670,61340,53025,18087,4394,13186,0,172555,15033768,1369947
10171035,3325913,9507461,110542,35027,72094,5630,4363,1337024,92,0,23,692,1385,0,0,0,0,0,39065,2236087,73788,71541,2170,2394,15889,0,74853,21390072,249281
7566780,4054368,11452643,89244,52,4617,1065,60,263644,247,0,202,315,1351,7,0,0,0,0,90379,8168139,174890,174709,2110,879,758,0,84508,12673819,270238
7514719,4061810,11408890,89004,59,4600,52,7,239186,300,0,405,308,1502,0,0,0,0,0,61444,8296804,171686,168201,1958,255,1086,0,82101,12646849,294551
7521006,4060449,11412725,88759,59,4583,14,0,233281,157,0,360,442,1470,0,0,0,0,0,64302,7463118,169146,163685,2102,578,1568,0,85378,12833471,306522
7511072,4044006,11398408,109495,74,4570,126,14,245489,67,0,7,360,1379,0,0,0,0,0,62708,7425935,165840,166708,2080,367,1240,0,82205,12682485,294964
8617386,4525973,12895426,112234,59,4617,0,7,230228,172,0,367,502,1029,0,0,0,0,0,60637,7466332,165092,164248,2230,397,1382,0,82062,13593807,292779
8001272,3998012,11278179,87777,59,4595,0,29,234794,240,0,434,247,1521,0,0,0,0,0,60750,7454703,164640,163812,2463,427,1290,0,81333,13610376,292680
7549821,4047248,11370124,88211,52,4584,22,22,232772,112,0,37,450,1427,0,0,0,0,0,62818,9099945,167292,166039,2078,728,1052,0,80814,12694795,293844
7493565,4021092,11288271,87736,67,4554,7,22,230727,0,0,0,337,1334,0,0,0,0,0,62150,7436313,172771,170101,1776,502,1566,0,81200,12633772,295216
7499895,4039049,11411027,88544,59,4620,14,14,235122,217,0,434,420,1547,0,0,0,0,0,60876,7388655,168347,166794,2143,382,1282,0,83165,12558233,294050
8055104,4256794,12863294,130981,74,4531,44,14,249358,172,0,263,353,1547,0,0,0,0,0,59862,7381222,167513,164536,2784,420,1359,0,81213,12644546,292626
8248173,4308870,12207751,88670,59,4615,29,7,225580,179,0,352,307,1292,0,0,0,0,0,57882,7506318,165105,163700,1854,435,1044,0,80630,14484372,288576
7542366,4050399,11467584,89218,59,4640,37,22,233985,187,0,232,217,879,0,0,0,0,0,62240,8322290,168320,169357,1809,442,533,0,82456,12708946,292145
7500858,4051217,11399449,88378,59,4578,7,7,239955,195,0,240,443,622,0,0,0,0,0,57436,8332393,163321,158910,1863,390,909,0,81681,12655838,291779
7564886,4065831,11467276,88809,59,4593,14,7,232370,352,0,473,367,699,0,0,0,0,0,59278,7448482,164273,160529,2183,585,781,0,82895,12785076,294979
7514052,4283157,12179589,131266,81,4564,89,22,236710,150,7,60,353,1000,0,0,0,0,0,59335,7502126,165915,162455,4520,2711,773,0,83656,12746174,291701
8674860,4566035,12230742,110259,66,4606,37,7,225422,262,0,382,623,1260,0,0,0,0,0,60202,7470350,164828,162761,1246,375,826,0,80081,14768223,289525
7543584,4061527,11516622,88860,59,4635,44,0,230907,142,0,142,360,653,0,0,0,0,0,58632,7741901,164946,162558,1584,300,682,0,81002,12686910,292563
7476950,4031189,11340906,87927,59,4608,14,0,224144,172,0,277,338,622,0,0,0,0,0,60282,8265718,162788,154277,2492,592,967,0,81184,12632648,290472
7556743,4059084,11443482,88586,59,4624,0,0,232239,337,7,450,630,984,0,0,0,0,0,58538,7429302,162159,161423,1538,330,592,0,82909,12741310,291795
7599347,4076593,11450993,109442,74,4559,89,14,240741,345,0,412,525,638,0,0,0,0,0,64295,7517681,166074,165483,1200,375,630,0,83958,12721973,291266
8712056,4581059,13028694,131763,59,4649,7,0,235231,90,0,90,360,518,0,0,0,0,0,57969,7548332,161116,158582,1282,518,789,0,84417,13745381,291790
8065489,4051642,11472368,88730,59,4635,22,0,230127,0,0,0,518,870,0,0,0,0,0,57860,7436819,159573,159359,1336,488,712,0,81238,13611410,288988
7515888,4039279,11411347,88050,52,4647,7,14,231418,15,0,180,375,871,0,0,0,0,0,65064,9003446,175502,173955,1651,495,479,0,82348,12698010,292152
7531403,4045813,11367233,88100,44,4575,44,7,227795,180,0,75,465,608,0,0,0,0,0,56847,7570987,168281,167257,996,442,383,0,82163,12679266,290691
7603257,4072099,11471768,88528,74,4556,81,22,237541,15,0,127,420,435,0,0,0,0,0,56439,7517201,161610,161683,802,217,338,0,82445,12784081,292227
7616968,4078199,11454591,88808,60,4642,15,7,231808,97,0,0,300,405,0,0,0,0,0,59682,7416324,164245,164043,1090,419,450,0,79338,12780387,292212
7483668,4023297,11305918,88015,52,4637,7,7,228650,165,0,195,247,427,0,0,0,0,0,61067,8321875,162983,160417,705,195,465,0,79555,12747498,288989
7573129,4095535,11532147,89833,60,4639,15,0,246503,67,0,15,307,795,0,0,0,0,0,58342,7546572,161302,162528,750,224,352,0,79510,12738791,291144
7513958,4034050,11382570,88508,60,4629,90,22,240025,89,0,82,240,352,0,0,0,0,0,56703,7432813,160381,162447,540,232,495,0,78169,12740726,289918
8105617,4300688,12107298,130270,67,4475,30,7,235598,157,0,195,202,412,0,0,0,0,0,59852,7535173,166383,165133,901,277,466,0,79633,12791983,291160
7405473,4279783,12226338,91590,9615,11628,913,262,225767,22,0,7,82,248,0,0,0,0,0,47984,8563327,125848,118727,488,202,255,0,55819,12031441,235586
