mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any,mem_inst_retired.lock_loads,mem_inst_retired.split_loads,mem_inst_retired.split_stores,mem_inst_retired.stlb_miss_loads,mem_inst_retired.stlb_miss_stores,mem_load_completed.l1_miss_any,mem_load_l3_hit_retired.xsnp_fwd,mem_load_l3_hit_retired.xsnp_miss,mem_load_l3_hit_retired.xsnp_no_fwd,mem_load_l3_hit_retired.xsnp_none,mem_load_l3_miss_retired.local_dram,mem_load_l3_miss_retired.remote_dram,mem_load_l3_miss_retired.remote_fwd,mem_load_l3_miss_retired.remote_hitm,mem_load_l3_miss_retired.remote_pmm,mem_load_misc_retired.uc,mem_load_retired.fb_hit,mem_load_retired.l1_hit,mem_load_retired.l1_miss,mem_load_retired.l2_hit,mem_load_retired.l2_miss,mem_load_retired.l3_hit,mem_load_retired.l3_miss,mem_load_retired.local_pmm,mem_store_retired.l2_hit,mem_uop_retired.any,longest_lat_cache.miss
17824882,8846891,30416646,237155,56350,40559,11587,1609,2365389,400,104,162,32696,16990,973,0,529,0,0,365875,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,48,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,13,417,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11046453,6967253,19354630,114986,45264,67045,0,0,0,0,0,0,60113,14340,127,0,0,0,0,75468,8061611,59435,50582,19019,5989,12643,0,174090,15005698,1359580
9882510,2940013,9319140,110925,38561,78741,5911,4262,1325752,121,0,22,1075,840,0,0,0,0,0,37468,2182195,75970,73869,1696,2998,16095,0,76222,21281301,235923
7507354,4037276,11348114,88465,59,4636,946,90,292966,413,0,382,757,803,0,0,0,0,0,108071,8078791,186362,184346,2834,1133,698,0,86340,12661688,269142
7499760,4033181,11386549,88356,59,4599,45,7,268562,195,0,172,833,969,0,0,0,0,0,80586,8213797,178534,175216,2117,690,914,0,81725,12695463,291663
7501954,4032700,11354732,88459,52,4629,0,7,261260,142,0,217,877,720,0,0,0,0,0,80374,7396704,175170,173990,1877,1059,1440,0,86622,12802897,304144
7483642,4022466,11400609,88303,59,4570,135,0,288747,0,0,82,713,915,0,0,0,0,0,79714,7406236,182011,177303,1803,488,962,0,84604,12662767,292309
8036282,4030610,11388297,88682,60,4591,15,30,267000,278,0,277,585,899,0,0,0,0,0,80292,8229156,180860,178683,2327,653,1103,0,78056,13537594,288726
7532849,4053990,11408751,88873,59,4627,0,15,271493,44,0,119,727,1036,0,0,0,0,0,93348,8135696,183641,179709,1726,570,922,0,76799,12711541,294495
7537370,4058850,11447757,89220,60,4656,7,15,264346,165,0,217,668,952,0,0,0,0,0,77195,7469436,173675,175039,2168,736,1216,0,80126,12729634,295683
7595253,4071357,11458196,88797,60,4611,120,22,283928,52,7,187,961,728,0,0,0,0,0,79754,7388516,181708,180570,1382,735,961,0,80074,12792165,295626
8126307,4319701,12575728,129706,75,4584,7,7,272592,135,0,0,877,848,0,0,0,0,0,78837,7438278,175644,172060,2032,741,668,0,79220,12715241,292126
8625339,4287772,12159631,88234,60,4628,22,7,255904,45,0,195,847,862,0,0,0,0,0,75637,7447393,175128,179015,2078,1042,944,0,77220,14622527,288381
7546739,4064801,11397847,88861,60,4611,37,15,255678,180,0,195,720,1195,0,0,0,0,0,87098,9022915,181185,177266,2151,819,765,0,78317,12742342,292778
7615787,4098769,11584620,90129,60,4640,7,0,263112,22,0,0,773,818,0,0,0,0,0,79257,7481195,172516,172091,901,480,525,0,79317,12867233,302435
7568272,4057216,11449850,89298,60,4588,37,22,266215,0,0,0,502,420,0,0,0,0,0,75308,7417959,175200,173227,1245,757,502,0,78791,12653477,290320
