mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any,mem_inst_retired.lock_loads,mem_inst_retired.split_loads,mem_inst_retired.split_stores,mem_inst_retired.stlb_miss_loads,mem_inst_retired.stlb_miss_stores,mem_load_completed.l1_miss_any,mem_load_l3_hit_retired.xsnp_fwd,mem_load_l3_hit_retired.xsnp_miss,mem_load_l3_hit_retired.xsnp_no_fwd,mem_load_l3_hit_retired.xsnp_none,mem_load_l3_miss_retired.local_dram,mem_load_l3_miss_retired.remote_dram,mem_load_l3_miss_retired.remote_fwd,mem_load_l3_miss_retired.remote_hitm,mem_load_l3_miss_retired.remote_pmm,mem_load_misc_retired.uc,mem_load_retired.fb_hit,mem_load_retired.l1_hit,mem_load_retired.l1_miss,mem_load_retired.l2_hit,mem_load_retired.l2_miss,mem_load_retired.l3_hit,mem_load_retired.l3_miss,mem_load_retired.local_pmm,mem_store_retired.l2_hit,mem_uop_retired.any,longest_lat_cache.miss
17393296,8807498,29342952,234447,57703,40535,11708,1675,2106611,507,104,123,25521,17003,1018,0,513,0,0,486756,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,26,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,17,389,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11023066,6959698,19334056,114165,44715,67858,0,0,0,0,0,0,61276,13747,155,0,0,0,0,79999,8023087,60089,50194,19732,5707,13886,0,177614,15073716,1371941
10298004,3555756,9596293,110684,35086,72169,5989,4047,1356847,169,0,161,1077,1031,0,0,0,0,0,38515,2195193,74719,72399,2371,3070,16477,0,74363,21413944,239939
7492490,4031058,11363325,88092,59,4563,1065,45,260341,202,0,389,773,1118,0,0,0,0,0,97373,8154222,168102,164855,2850,991,1028,0,86513,12562411,267857
7467311,4016759,11315239,88413,59,4587,44,15,233022,278,0,435,404,1478,0,0,0,0,0,66205,8315702,156021,150988,2064,412,1358,0,81659,12603878,293097
7550972,4046400,11421819,89077,59,4609,14,22,225785,262,0,375,450,1080,0,0,0,0,0,63592,7405672,153172,151472,2266,623,1435,0,84936,12746383,304925
7538535,4044772,11416777,109974,74,4546,171,0,238640,262,0,210,992,1239,0,0,0,0,0,61678,7388279,152284,151848,1966,569,870,0,81910,12652343,294259
8579991,4519684,12935549,131016,59,4599,29,15,222034,1448,0,540,540,1021,0,0,0,0,0,62176,7351972,149538,147591,2146,517,1223,0,80645,13521963,290206
8050391,4042732,11397432,88450,52,4562,0,22,225432,135,0,217,322,1206,0,0,0,0,0,63117,7468637,150476,150753,1845,457,1288,0,79762,13505807,289845
7523045,4079411,11447620,88913,52,4539,22,29,224101,285,0,224,322,1298,0,0,0,0,0,64341,9106831,158123,155727,2575,623,878,0,82779,12680937,293419
7561004,4058825,11418353,88575,52,4609,7,7,225247,157,15,112,525,930,0,0,0,0,0,64712,7482662,154775,154287,1110,443,1037,0,81780,12753663,296462
7494912,4048309,11434375,88552,52,4606,14,7,228951,30,0,45,638,982,0,0,0,0,0,61536,7464018,152595,151842,1733,698,824,0,80038,12630649,289972
8078655,4304996,12998153,131116,74,4528,59,14,227434,37,0,142,503,1013,0,0,0,0,0,62046,7471993,154420,151105,2143,608,1177,0,80128,12624147,293341
8603944,4286045,12147654,88125,44,4545,52,22,220007,150,0,195,630,1443,0,0,0,0,0,60932,7411661,152330,151050,1576,292,1268,0,80376,14533090,288828
7480431,4031683,11402105,88229,52,4552,14,0,224038,135,0,240,518,1116,0,0,0,0,0,63842,8248375,158440,157116,2099,510,1193,0,81614,12543555,291958
7476131,4016055,11321479,87929,59,4593,29,7,219820,240,0,157,764,1396,0,0,0,0,0,56843,8229415,151770,150544,1877,450,1254,0,81368,12658981,292518
7469582,4025769,11334341,88195,59,4582,7,7,216342,225,0,329,682,734,0,0,0,0,0,57701,7450336,149437,147005,1802,548,743,0,80771,12599118,289848
7504330,4026343,12143292,108835,89,4524,67,0,227225,180,0,195,434,743,0,0,0,0,0,57475,7402324,149777,151008,4162,2506,1119,0,81627,12640265,288822
9216965,4831876,13820797,132128,37,4582,14,0,229727,142,0,172,495,682,0,0,0,0,0,58638,7423850,151887,148688,1066,450,465,0,81888,13652423,283822
7534295,4040429,11414040,88847,60,4625,7,7,224697,209,0,255,292,713,0,0,0,0,0,56445,7383988,151834,153017,1855,578,578,0,80223,13602613,288366
7528914,4057611,11410967,88823,60,4608,22,7,226813,180,0,217,420,495,0,0,0,0,0,59579,9082163,153172,149964,1518,360,1013,0,83246,12688967,291334
7533682,4062158,11440795,88555,60,4579,22,7,223217,187,0,202,345,997,0,0,0,0,0,59081,7476906,153473,149014,2042,443,637,0,82709,12713876,291030
7551889,4054628,11394852,88708,75,4506,141,0,226854,157,0,225,390,660,0,0,0,0,0,55546,7540943,156975,155595,1563,375,563,0,81947,12672322,290919
8108935,4567146,13016280,131839,74,4616,37,0,218962,285,45,428,337,833,0,0,0,0,0,57751,7478061,152371,150053,1388,443,563,0,83326,12657676,289199
8077682,4302857,11358257,87892,52,4548,14,7,217506,127,15,112,435,442,0,0,0,0,0,56153,7471480,150223,148309,1222,427,539,0,79396,14554511,285847
7501371,4030554,11345611,88343,60,4622,44,37,225552,292,0,322,540,720,0,0,0,0,0,60674,9156845,165659,159450,1255,517,660,0,82629,12681023,289284
7528951,4028706,11380323,88267,60,4594,7,7,219557,37,0,67,450,615,0,0,0,0,0,61415,7462868,152613,151555,1930,659,727,0,86888,12739742,300765
7550279,4053676,11433287,88784,52,4627,37,7,225194,120,0,75,532,1073,0,0,0,0,0,56012,7498503,151018,148337,886,360,683,0,83082,12700728,290508
8063653,4279314,11390738,88678,60,4580,30,0,222778,150,0,255,495,609,0,0,0,0,0,56889,7453971,152737,150436,1556,488,653,0,80710,13612674,287882
7508254,4049338,11358884,88074,52,4578,30,0,224593,240,7,195,594,938,0,0,0,0,0,60255,8255953,153181,148855,1073,458,645,0,78537,12626806,289618
7539826,4046801,11438600,88729,60,4595,15,7,212746,247,0,352,727,607,0,0,0,0,0,56413,7435539,149717,150285,1650,532,781,0,77759,12721568,291611
7602118,4085590,11461826,88865,60,4641,75,7,233807,30,0,112,277,300,0,0,0,0,0,75637,7468595,157975,157509,773,232,367,0,79349,12773486,289925
7517762,4292649,12195091,131689,82,4562,60,7,211473,690,0,315,345,480,0,0,0,0,0,58192,7463633,149421,150888,1487,510,735,0,76947,12671330,288554
8473496,4305646,12187675,88902,60,4573,15,0,268559,338,0,450,142,164,0,0,0,0,0,39724,8585300,110230,113818,1104,150,202,0,61136,15110920,235678
289974,153732,342071,3778,52,60,0,0,32577,187,0,157,1650,0,0,0,0,0,0,15854,1907317,24067,20365,908,780,0,0,492,506766,3253
131097,67183,175919,956,45,45,30,0,25760,240,0,0,7022,0,0,0,0,0,0,11472,93853,17969,11491,6689,5904,0,0,327,207596,39
131382,70636,185207,986,60,60,0,7,32742,187,0,22,1704,0,0,0,0,0,0,10428,97205,15301,14857,367,7,0,0,268,209469,34
717726,201542,1030118,22874,90,104,1058,37,106982,278,0,426,705,7,0,0,0,0,0,65547,2123387,106057,105756,811,98,0,0,12137,2188921,169
4513554,2146213,7161833,86288,5156,3024,738,7,263422,150,0,180,480,112,0,0,0,0,0,93321,4285119,174222,136766,2636,3402,314,0,9726,8302012,829
3210437,1254836,3744479,29649,127,1413,683,7,377440,404,0,277,1478,195,0,0,0,0,0,27195,2686880,111769,143030,7090,5139,299,0,3554,5261835,766
3827798,1612386,5258273,40873,52,502,609,30,455364,285,7,135,2463,240,0,0,0,0,0,35525,1532470,45268,59969,4183,4632,436,0,4360,6494308,881
3103294,1515571,4643917,44888,59,2366,14,0,186847,30,0,105,6360,450,0,0,0,0,0,53311,3981162,93383,67685,337,1467,165,0,78701,6079052,326545
3206233,1638372,5025319,65407,82,2278,875,22,157482,0,0,105,1850,209,0,0,0,0,0,46033,2968964,93522,109822,502,164,0,0,41208,4903441,163941
4161098,1659825,5763675,89608,60,2489,97,0,138533,210,7,179,149,0,0,0,0,0,0,88395,3433460,115326,94653,1835,932,89,0,4888,6162322,163076
2813868,1053821,3101572,27167,210,2631,374,15,206929,0,0,0,759,52,7,0,0,0,0,41150,3823782,157570,155444,7841,4627,158,0,5388,5412806,238
3764816,1562512,5177018,40106,59,612,488,52,459346,196,0,164,2041,97,0,0,0,0,0,36500,2354550,51798,71692,4390,4572,127,0,4185,6398432,268
1162192,667160,2675355,24446,60,435,0,0,27735,0,0,0,4699,0,0,0,0,0,0,11389,122042,15669,15533,457,67,0,0,260,836578,64
530935,101502,216048,1441,67,75,270,15,81513,149,0,172,2979,316,0,0,0,0,0,307126,16822835,205055,121511,511,82,0,0,9417,1741410,129
18047410,11589359,28860614,224672,28174,3520,1016,58,233687,359,0,320,2860,176,6,0,0,0,0,144833,23826393,290385,235419,16422,15192,1699,0,14810,15076901,105208
9599937,5240765,14580852,140808,20127,6653,0,0,107334,375,0,308,22,0,0,0,0,0,0,27314,10514122,75723,73699,420,52,0,0,17958,15737429,119
13356784,6977611,18595127,289351,16492,4054,118,6,312188,2527,0,44,360,284,7,0,0,0,0,101493,13447183,182522,167184,1206,218,7,0,20975,20623579,6190
6656762,4902935,18181117,436613,1969,2476,586,22,206113,210,7,2111,3103,210,0,0,0,0,0,140175,14434988,137449,112045,17064,16580,601,0,6990,8358239,149735
4572131,2176071,7337752,70087,196,1787,172,7,120810,157,0,217,879,157,0,0,0,0,0,66976,5210640,86055,65988,1848,6652,299,0,78446,8794546,367401
