cycle_activity.stalls_l3_miss,machine_clears.memory_ordering,mem_trans_retired.load_latency_gt_128,mem_trans_retired.load_latency_gt_16,mem_trans_retired.load_latency_gt_256,mem_trans_retired.load_latency_gt_32,mem_trans_retired.load_latency_gt_4,mem_trans_retired.load_latency_gt_512,mem_trans_retired.load_latency_gt_64,mem_trans_retired.load_latency_gt_8,mem_trans_retired.store_sample,memory_activity.cycles_l1d_miss,memory_activity.stalls_l1d_miss,memory_activity.stalls_l2_miss,memory_activity.stalls_l3_miss,rtm_retired.aborted,rtm_retired.aborted_events,rtm_retired.aborted_mem,rtm_retired.aborted_memtype,rtm_retired.aborted_unfriendly,rtm_retired.commit,rtm_retired.start,tx_mem.abort_capacity_read,tx_mem.abort_capacity_write,tx_mem.abort_conflict
480862,2882,0,0,0,0,0,0,0,0,13273494,13126667,7515144,6303807,2406045,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,34973,34665,17664,14981,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,301947,115236,72348,66172,38943,0,0,0,0,0,0,0,0,0,0
0,236,0,0,0,0,0,0,0,0,0,17363186,6190486,4172745,3450263,0,0,0,0,0,0,0,0,0,0
0,1152,0,0,0,0,0,0,0,0,23494286,15247672,6933763,4943706,566261,0,0,0,0,0,0,0,0,0,0
0,853,0,0,0,0,0,0,0,0,4022148,1579801,674844,269520,97800,0,0,0,0,0,0,0,0,0,0
0,890,0,0,0,0,0,0,0,0,4094988,1476091,486336,133539,86148,0,0,0,0,0,0,0,0,0,0
0,871,0,0,0,0,0,0,0,0,4134411,1326982,435899,100340,108767,0,0,0,0,0,0,0,0,0,0
0,821,0,0,0,0,0,0,0,0,4117752,1489986,524552,166051,66443,0,0,0,0,0,0,0,0,0,0
0,833,0,0,0,0,0,0,0,0,4194118,1527345,536626,176019,78276,0,0,0,0,0,0,0,0,0,0
0,865,0,0,0,0,0,0,0,0,4132425,1517476,530104,173726,80976,0,0,0,0,0,0,0,0,0,0
0,920,0,0,0,0,0,0,0,0,4156368,1502837,525746,167576,57194,0,0,0,0,0,0,0,0,0,0
0,829,0,0,0,0,0,0,0,0,4091926,1392709,464636,112620,60996,0,0,0,0,0,0,0,0,0,0
0,935,0,0,0,0,0,0,0,0,4092102,1470741,528661,166005,76693,0,0,0,0,0,0,0,0,0,0
0,931,0,0,0,0,0,0,0,0,4617142,1416993,477764,146508,74817,0,0,0,0,0,0,0,0,0,0
0,923,0,0,0,0,0,0,0,0,4050585,1433496,479690,118831,69663,0,0,0,0,0,0,0,0,0,0
0,881,0,0,0,0,0,0,0,0,4071936,1395950,475279,132433,91408,0,0,0,0,0,0,0,0,0,0
0,862,0,0,0,0,0,0,0,0,4085641,1424100,502107,161194,91546,0,0,0,0,0,0,0,0,0,0
0,914,0,0,0,0,0,0,0,0,4136890,1488007,519253,172771,61875,0,0,0,0,0,0,0,0,0,0
0,829,0,0,0,0,0,0,0,0,4595346,1501481,506251,148163,59889,0,0,0,0,0,0,0,0,0,0
0,843,0,0,0,0,0,0,0,0,4078752,1349130,439825,83267,75255,0,0,0,0,0,0,0,0,0,0
0,837,0,0,0,0,0,0,0,0,4122927,1531084,550843,180644,74867,0,0,0,0,0,0,0,0,0,0
0,878,0,0,0,0,0,0,0,0,4107040,1426513,518240,197920,71920,0,0,0,0,0,0,0,0,0,0
0,806,0,0,0,0,0,0,0,0,4139558,1439321,492543,136560,50286,0,0,0,0,0,0,0,0,0,0
0,893,0,0,0,0,0,0,0,0,4128367,1453713,495018,133033,59428,0,0,0,0,0,0,0,0,0,0
