cycle_activity.stalls_l3_miss,machine_clears.memory_ordering,mem_trans_retired.load_latency_gt_128,mem_trans_retired.load_latency_gt_16,mem_trans_retired.load_latency_gt_256,mem_trans_retired.load_latency_gt_32,mem_trans_retired.load_latency_gt_4,mem_trans_retired.load_latency_gt_512,mem_trans_retired.load_latency_gt_64,mem_trans_retired.load_latency_gt_8,mem_trans_retired.store_sample,memory_activity.cycles_l1d_miss,memory_activity.stalls_l1d_miss,memory_activity.stalls_l2_miss,memory_activity.stalls_l3_miss,rtm_retired.aborted,rtm_retired.aborted_events,rtm_retired.aborted_mem,rtm_retired.aborted_memtype,rtm_retired.aborted_unfriendly,rtm_retired.commit,rtm_retired.start,tx_mem.abort_capacity_read,tx_mem.abort_capacity_write,tx_mem.abort_conflict
318935,2907,0,0,0,0,0,0,0,0,15472672,13597438,8216215,6701121,2818316,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,37093,40246,21454,18652,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,299852,79161,46111,39198,29728,0,0,0,0,0,0,0,0,0,0
0,534,0,0,0,0,0,0,0,0,0,16981694,5943743,4068888,3387066,0,0,0,0,0,0,0,0,0,0
0,973,0,0,0,0,0,0,0,0,18919669,15429070,7720511,5471588,1004090,0,0,0,0,0,0,0,0,0,0
0,823,0,0,0,0,0,0,0,0,4053464,1697047,582294,264639,130458,0,0,0,0,0,0,0,0,0,0
0,833,0,0,0,0,0,0,0,0,4103997,1537225,517617,165396,105071,0,0,0,0,0,0,0,0,0,0
0,763,0,0,0,0,0,0,0,0,4087274,1484035,495761,171857,119884,0,0,0,0,0,0,0,0,0,0
0,769,0,0,0,0,0,0,0,0,4102253,1546890,517922,189450,93445,0,0,0,0,0,0,0,0,0,0
0,704,0,0,0,0,0,0,0,0,4604762,1477162,452900,116751,75979,0,0,0,0,0,0,0,0,0,0
0,778,0,0,0,0,0,0,0,0,4104635,1371651,403699,99911,85803,0,0,0,0,0,0,0,0,0,0
0,852,0,0,0,0,0,0,0,0,4145532,1486501,480319,171214,89561,0,0,0,0,0,0,0,0,0,0
0,838,0,0,0,0,0,0,0,0,4075502,1418856,463339,146203,81272,0,0,0,0,0,0,0,0,0,0
0,771,0,0,0,0,0,0,0,0,4098912,1349238,435013,111239,83471,0,0,0,0,0,0,0,0,0,0
0,833,0,0,0,0,0,0,0,0,4608594,1501218,485412,161077,79233,0,0,0,0,0,0,0,0,0,0
0,860,0,0,0,0,0,0,0,0,4098699,1375265,417753,105961,99002,0,0,0,0,0,0,0,0,0,0
0,927,0,0,0,0,0,0,0,0,4115732,1487446,477333,149442,82596,0,0,0,0,0,0,0,0,0,0
0,796,0,0,0,0,0,0,0,0,4118530,1338114,392870,100810,68439,0,0,0,0,0,0,0,0,0,0
0,818,0,0,0,0,0,0,0,0,4097134,1436338,470791,168277,75854,0,0,0,0,0,0,0,0,0,0
0,868,0,0,0,0,0,0,0,0,4086656,1478619,499931,183241,115989,0,0,0,0,0,0,0,0,0,0
0,775,0,0,0,0,0,0,0,0,4116929,1392026,434313,120245,62252,0,0,0,0,0,0,0,0,0,0
0,855,0,0,0,0,0,0,0,0,4099699,1414296,435104,122741,64228,0,0,0,0,0,0,0,0,0,0
0,815,0,0,0,0,0,0,0,0,4134755,1389264,442623,147818,64007,0,0,0,0,0,0,0,0,0,0
0,830,0,0,0,0,0,0,0,0,4775327,1486078,483838,164503,110082,0,0,0,0,0,0,0,0,0,0
0,814,0,0,0,0,0,0,0,0,4097290,1474747,463570,161514,76442,0,0,0,0,0,0,0,0,0,0
0,740,0,0,0,0,0,0,0,0,4100188,1445707,415219,128130,84411,0,0,0,0,0,0,0,0,0,0
0,844,0,0,0,0,0,0,0,0,4145303,1429624,460288,162961,95552,0,0,0,0,0,0,0,0,0,0
0,788,0,0,0,0,0,0,0,0,4072236,1368557,398474,169794,112298,0,0,0,0,0,0,0,0,0,0
0,822,0,0,0,0,0,0,0,0,4705365,1379883,416031,88716,58760,0,0,0,0,0,0,0,0,0,0
0,827,0,0,0,0,0,0,0,0,4070605,1430180,460807,170419,75272,0,0,0,0,0,0,0,0,0,0
0,778,0,0,0,0,0,0,0,0,4164888,1565122,505041,171602,97554,0,0,0,0,0,0,0,0,0,0
0,860,0,0,0,0,0,0,0,0,4088379,1387091,439798,136353,79085,0,0,0,0,0,0,0,0,0,0
0,756,0,0,0,0,0,0,0,0,4891409,1417468,440418,227462,158591,0,0,0,0,0,0,0,0,0,0
0,841,0,0,0,0,0,0,0,0,4104905,1384284,448763,137530,77749,0,0,0,0,0,0,0,0,0,0
0,794,0,0,0,0,0,0,0,0,4048144,1378351,429106,128176,74459,0,0,0,0,0,0,0,0,0,0
0,563,0,0,0,0,0,0,0,0,4140005,1994856,1001925,506085,252652,0,0,0,0,0,0,0,0,0,0
0,48,0,0,0,0,0,0,0,0,64998,131502,204645,149023,79248,0,0,0,0,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0,0,894452,633350,575537,455029,0,0,0,0,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0,65528,123801,46268,22550,812,0,0,0,0,0,0,0,0,0,0
0,101,0,0,0,0,0,0,0,0,1279436,778631,287112,64733,10270,0,0,0,0,0,0,0,0,0,0
0,265,0,0,0,0,0,0,0,0,2218148,1587286,545571,201228,39586,0,0,0,0,0,0,0,0,0,0
0,146,0,0,0,0,0,0,0,0,1557144,3761555,4140039,3146330,1307864,0,0,0,0,0,0,0,0,0,0
0,131,0,0,0,0,0,0,0,0,2036510,1624571,480866,188705,8600,0,0,0,0,0,0,0,0,0,0
0,130,0,0,0,0,0,0,0,0,613453,3213640,2196678,2356480,3481963,0,0,0,0,0,0,0,0,0,0
0,162,0,0,0,0,0,0,0,0,2044237,1556789,502601,147832,8861,0,0,0,0,0,0,0,0,0,0
0,124,0,0,0,0,0,0,0,0,1999380,1041276,279912,104074,8521,0,0,0,0,0,0,0,0,0,0
0,142,0,0,0,0,0,0,0,0,1070127,3467679,2199495,3122313,2594575,0,0,0,0,0,0,0,0,0,0
0,122,0,0,0,0,0,0,0,0,1958435,5430239,3383635,2439039,3740,0,0,0,0,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,0,436485,273422,90234,44643,1006,0,0,0,0,0,0,0,0,0,0
0,60,0,0,0,0,0,0,0,0,3547963,966322,296497,291336,144148,0,0,0,0,0,0,0,0,0,0
0,1388,0,0,0,0,0,0,0,0,1818316,2539238,1189455,558250,96315,0,0,0,0,0,0,0,0,0,0
