cpu_clk_unhalted.c01,cpu_clk_unhalted.c02,cpu_clk_unhalted.c0_wait,cpu_clk_unhalted.distributed,cpu_clk_unhalted.one_thread_active,cpu_clk_unhalted.pause,cpu_clk_unhalted.pause_inst,cpu_clk_unhalted.ref_distributed,cpu_clk_unhalted.ref_tsc,cpu_clk_unhalted.thread,cpu_clk_unhalted.thread_p,cycle_activity.cycles_l1d_miss,cycle_activity.cycles_l2_miss,cycle_activity.cycles_mem_any,cycle_activity.stalls_l1d_miss,cycle_activity.stalls_l2_miss,cycle_activity.stalls_total,exe_activity.1_ports_util,exe_activity.2_ports_util,exe_activity.3_ports_util,exe_activity.4_ports_util,exe_activity.bound_on_loads,exe_activity.bound_on_stores,exe_activity.exe_bound_0_ports,inst_decoded.decoders,inst_retired.any,inst_retired.any_p,inst_retired.macro_fused,inst_retired.nop,inst_retired.prec_dist,inst_retired.rep_iteration,int_misc.clear_resteer_cycles,int_misc.mba_stalls,int_misc.recovery_cycles,int_misc.unknown_branch_cycles,int_misc.uop_dropping,int_vec_retired.128bit,int_vec_retired.256bit,int_vec_retired.add_128,int_vec_retired.add_256,int_vec_retired.mul_256,int_vec_retired.shuffles,int_vec_retired.vnni_128,int_vec_retired.vnni_256,ld_blocks.address_alias,ld_blocks.no_sr,ld_blocks.store_forward,load_hit_prefetch.swpf,lsd.cycles_active,lsd.cycles_ok,lsd.uops,machine_clears.count,machine_clears.smc,misc2_retired.lfence,misc_retired.lbr_inserts,resource_stalls.sb,resource_stalls.scoreboard,topdown.backend_bound_slots,topdown.bad_spec_slots,topdown.br_mispredict_slots,topdown.memory_bound_slots,topdown.slots,topdown.slots_p,uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
0,0,0,70294043,635095,0,0,694703,55604856,80270387,80270208,16417282,9077573,54514669,5718255,2000625,27213756,7182840,4749170,4346685,3400586,12146549,5041604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,22867,119799,20743,14657,57945,19857,18995,16443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,151550,1719594,138333,120758,1595047,246622,204750,173298,128956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,40365436,6102187,5794858,41231480,4236387,3748552,2898368,3646260,21349047,8399482,3344922,1563905,29003352,29032860,2712160,816612,0,861190,881063,0,921067,311920,300458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,154133807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325698,960989,833661,0,0,0,0,0,0,0,0,40973,3780,9935,0,0,0,0,943,0,232,0,1572454,11785331,87348483,4691186,3969525,27741129,145504999,145681409,1159069,2062494,4546590,2839809,2788928,4453074,4378609,2766750,22617238,9265951,5907186,3703063,2090248,9201783,5863525,3697149,2102698,15230400,15196041,22481857,0,23952732,7261906,15657388,13964352,51543625,30986410,33962098
0,0,1228,43021929,298481,991,30,287767,22912343,33114672,33194144,2821074,1288085,18518904,697123,231081,22797301,3409150,3186875,2741599,2161098,8147511,1895176,1353822,5640394,30993413,30989969,2922411,998727,0,198423,439207,0,208340,285181,33351,0,0,0,0,0,0,0,0,32730,0,42281,0,0,0,0,990,0,262,0,6500776,12158066,123691104,2735345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19524837,154474964,42151097,37022809
0,0,0,32495491,280530,0,0,280968,22492932,32535464,32523456,1791214,451928,17646049,500664,101142,21362912,3052354,2826374,2332045,1846373,8117863,2139017,1151456,5595134,28644677,28649100,2709057,848679,0,190139,338841,0,211538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11327090,126266086,2656625,2160126,49056895,193431884,193623490,3954655,3439212,3428121,7809009,5105196,5838460,6661852,4920372,34466666,11782847,8787439,6104425,3901916,11747642,8799589,6610202,4233544,21441180,21465185,37062000,0,38334277,8702624,7928527,5885054,34264156,24854541,24771508
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27986115,28227564,2678126,845588,0,189810,347936,0,214165,289668,33752,0,0,0,0,0,0,0,0,28205,0,44389,0,0,0,0,894,0,240,0,6600657,11953683,120220993,2440292,2080497,49485609,196321842,196157172,3991575,3478316,3439200,7822758,5105422,5856035,7186466,5273251,37099049,12603068,9430281,6572881,4230952,12632882,8788087,6100177,3907029,20959283,20858227,34316814,0,35117943,7991565,7931713,5884840,34293908,24740590,24979235
0,0,0,32406350,284458,0,0,293391,23301436,33627551,33675263,1920400,541707,18555615,441035,90362,20782167,2850355,2684073,2188690,1753894,7594152,2077735,1130765,5617614,29014364,28961472,2730648,856001,0,192411,343248,0,224286,334322,34725,0,0,0,0,0,0,0,0,28726,0,42519,0,0,0,0,855,0,240,0,6572146,11949793,120764733,2420447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7841752,7914744,5880626,34055310,24560783,24557233
0,0,0,33549084,288712,0,0,278273,22279099,32246657,32292191,1673295,361286,17516139,464673,100923,21028856,2870762,2688483,2190877,1763177,7748659,2157667,1150504,5688920,29096860,29062892,2752238,864137,0,192446,467428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6960090,12303149,123115857,2617280,2035171,51963184,214331006,210308056,4010418,3758192,3659075,8739833,5511348,6242711,6756677,5000512,34861636,11908404,8937639,6197886,3982928,11881103,8895477,6179908,3974459,21200944,21161890,34897649,0,35625883,8074092,8003587,5946049,37562186,24924253,24946110
