cpu_clk_unhalted.c01,cpu_clk_unhalted.c02,cpu_clk_unhalted.c0_wait,cpu_clk_unhalted.distributed,cpu_clk_unhalted.one_thread_active,cpu_clk_unhalted.pause,cpu_clk_unhalted.pause_inst,cpu_clk_unhalted.ref_distributed,cpu_clk_unhalted.ref_tsc,cpu_clk_unhalted.thread,cpu_clk_unhalted.thread_p,cycle_activity.cycles_l1d_miss,cycle_activity.cycles_l2_miss,cycle_activity.cycles_mem_any,cycle_activity.stalls_l1d_miss,cycle_activity.stalls_l2_miss,cycle_activity.stalls_total,exe_activity.1_ports_util,exe_activity.2_ports_util,exe_activity.3_ports_util,exe_activity.4_ports_util,exe_activity.bound_on_loads,exe_activity.bound_on_stores,exe_activity.exe_bound_0_ports,inst_decoded.decoders,inst_retired.any,inst_retired.any_p,inst_retired.macro_fused,inst_retired.nop,inst_retired.prec_dist,inst_retired.rep_iteration,int_misc.clear_resteer_cycles,int_misc.mba_stalls,int_misc.recovery_cycles,int_misc.unknown_branch_cycles,int_misc.uop_dropping,int_vec_retired.128bit,int_vec_retired.256bit,int_vec_retired.add_128,int_vec_retired.add_256,int_vec_retired.mul_256,int_vec_retired.shuffles,int_vec_retired.vnni_128,int_vec_retired.vnni_256,ld_blocks.address_alias,ld_blocks.no_sr,ld_blocks.store_forward,load_hit_prefetch.swpf,lsd.cycles_active,lsd.cycles_ok,lsd.uops,machine_clears.count,machine_clears.smc,misc2_retired.lfence,misc_retired.lbr_inserts,resource_stalls.sb,resource_stalls.scoreboard,topdown.backend_bound_slots,topdown.bad_spec_slots,topdown.br_mispredict_slots,topdown.memory_bound_slots,topdown.slots,topdown.slots_p,uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
0,0,663,70302962,635329,471,13,695373,55653678,80370151,80314138,16675759,9012392,54263580,5725522,1515694,27005641,7062052,4749994,4614171,3414935,11989487,588456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13699,57989,19714,18927,15932,13547,36465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88383,1567559,243388,209396,169158,146960,904654,284608,82335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11962448,40865674,4853887,3724247,2867721,3620281,21752815,9668733,2900933,1514811,31184230,31491884,2713132,816110,0,861065,893092,0,930136,326389,304068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,145814743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2305371,1066489,831367,0,0,0,0,0,0,0,0,23908,3508,10705,0,0,0,0,1003,0,232,0,1590205,11725456,87189733,4834511,4300405,27003080,143490494,144440169,1164231,2053570,4517842,2806556,2778834,4441061,4378397,2760479,22579760,9244916,5881326,3732830,2119842,9192529,5861463,3733155,2109152,15084211,15073107,22485468,0,23842477,7288922,15676774,13774186,50697379,30294040,33112872
0,0,0,43528460,295341,0,0,288280,22947477,33121635,33107573,2804940,1258817,18399836,623291,252866,22767427,3420978,3202055,2737321,2167109,8283405,1825778,1312701,5690443,30699880,30678325,2889054,978819,0,199123,447030,0,214141,302375,33206,0,0,0,0,0,0,0,0,31798,0,42114,0,0,0,0,915,0,270,0,6459503,12070004,122369336,2696640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19467784,149784476,43121576,37869396
0,0,0,32668290,281986,0,0,280303,22478501,32477150,32559384,1834026,450764,17671230,521681,125242,21243850,3054960,2833861,2354933,1846514,8118147,2071326,1141626,5591282,28561520,28570325,2697541,849462,0,189459,289870,0,208681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11928402,123399625,2575692,2020815,48046872,193767721,194481898,3954053,3456896,3430880,7808151,5066004,5840665,6727124,4898311,34410151,11760892,8777022,6096387,3895696,11788067,8797669,6597464,4215413,21247437,21250489,37073383,0,38357757,8708501,7935034,5884274,34309850,24777199,24883340
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26657605,27889634,2696099,843285,0,189433,341531,0,211231,314282,32990,0,0,0,0,0,0,0,0,27181,0,44741,0,0,0,0,735,0,240,0,6528233,11820592,118438943,2333796,2185784,49899883,196823702,196415804,3950241,3445593,3409604,7786663,5061757,5831995,6661792,5287730,37085759,12643650,9474113,6574671,4208077,12669164,9482103,6085589,3885723,20964611,21036769,34353741,0,35089791,7982402,7931410,5869424,34172267,24972712,24832327
0,0,0,32986596,283930,0,0,295687,23490702,33917971,33930352,2002412,543532,18716883,493207,93098,20968518,2878114,2674660,2214178,1737560,7706231,2080731,1133697,5664522,29223482,29146994,2763613,858197,0,193399,293690,0,197727,319832,34789,0,0,0,0,0,0,0,0,24257,0,43304,0,0,0,0,1020,0,240,0,6504240,11880168,118599215,2344360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7751155,5829077,33943591,25230350,25229973
0,0,0,33719704,291219,0,0,280601,22415338,32406246,32356694,1677599,290749,17356685,414536,76684,20757395,2863697,2693858,2214454,1762691,7678056,2078564,1144087,5706488,29200756,29168468,2750581,864929,0,193334,311852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6691791,12484552,122816070,2558023,1985747,48600056,212544176,208518955,3997249,3807335,3672248,8739086,5517660,6246598,7235550,4991037,34969513,11856849,8897753,6195879,3968085,11844079,8858808,6169052,3972808,20868149,20795350,34799909,0,35573793,8050765,8043561,5944736,34672150,24934978,24930995
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5713708,45521397,38433815,3433520,1142916,0,191189,349002,0,202677,317766,32790,0,0,0,0,0,0,0,0,30750,0,44177,0,0,0,0,947,0,270,0,6533322,12298354,123956951,2466820,1978416,48625794,198612993,198062849,4015204,3526430,3500327,7918387,5167787,5958796,6780831,4977359,34870699,11854119,8877731,6188044,3998845,11878607,8914285,6194622,4004343,21150738,21217254,37660781,0,38925085,8951407,8830849,6453669,34974551,24577336,24632460
0,0,0,32746715,281848,0,0,277944,22219848,32317682,32295682,1645111,270746,17334619,412888,59499,21003473,3046926,2865527,2359990,1895654,8005020,2121006,1154254,5622838,31324629,28867682,2728645,861869,0,193032,286345,0,200413,327483,34512,0,0,0,0,0,0,0,0,26619,0,46199,0,0,0,0,982,0,250,0,6412988,12253453,119918159,2306440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37509652,8015097,7990791,5936075,34708102,24801781,24811001
0,0,0,32381683,280388,0,0,288546,22982144,33167854,33121363,1603880,231818,18389204,378114,54952,20803310,2870218,2687755,2210336,1762712,7727144,2077352,1138362,5688458,29029570,29084990,2729241,862993,0,182948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,6707042,12216698,121847119,2580482,1991041,49145193,196310133,197095077,4051319,3535809,3496012,7905442,5139086,5905331,6740421,5322985,37378508,12656857,9464771,6616780,4270296,12570831,9434850,6114742,3943451,21194130,21190674,34949336,0,35817621,8121391,8069574,5974476,34474279,24428132,24396975
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2122030,1109875,5567509,28875913,28904592,2740683,858430,0,192941,278364,0,199155,340000,35079,0,0,0,0,0,0,0,0,25272,0,43121,0,0,0,0,931,0,240,0,6500925,12136164,120211862,2342456,1982519,46878639,193730302,208386371,3985700,3796699,3650818,8717810,5482697,6237230,7224246,4966440,34798904,11850970,8889794,6168634,3985486,11826577,8871542,6149686,3953879,20877978,20863169,34638173,0,35350900,8009807,8011358,5945889,35038702,25616270,0
0,0,0,33760325,292068,0,0,281094,22457453,32487815,32648187,1669389,329112,17570606,431201,81250,21063778,2865498,2698159,2207436,1765174,7691564,2095439,1151463,5695491,29116682,31591961,3004071,992654,0,192027,332520,0,209014,329717,33755,0,0,0,0,0,0,0,0,20826,0,42952,0,0,0,0,915,0,267,0,6398592,11940602,117768100,2699376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32612312,0,34899474,7978431,7985778,5928571,34640206,25145742,25167768
0,0,0,32492741,280928,0,0,277089,22150385,32003871,32008215,1505113,220857,17214422,386030,74938,20578774,2958380,2830237,2366045,1905326,7902413,2031317,1149266,5634081,34886507,29141270,2770221,869952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,0,349,0,6616929,12283796,124186931,2629568,2095885,48650344,194378823,194914505,4009632,3498495,3474551,7911920,5161490,5937042,6756691,4999884,35090128,11898130,8973064,6263242,4009529,11863278,8940336,6232248,4014123,20910045,21208758,37448837,0,38741033,8766125,8560910,6237302,38123267,24559146,24589857
